datetime,open,high,low,close,volume
2021-01-29,153.34,154.55,148.77,148.77,576425
2021-01-28,149.62,154.67,148.5,153.34,1634500
2021-01-27,152.64999,154.45,143.14999,147.92999,3368300
2021-01-26,160.00999,160.11,156.56,157.63,819600
2021-01-25,163.67999,164.6736,156.38499,159.66,1847073
2021-01-22,165.59,166.45,163.14999,163.75999,660100
2021-01-21,165.02,167.78,165.02,166.67999,472100
2021-01-20,166.03999,166.48,164.21001,165.17999,497300
2021-01-19,165.11,167.12,163.19,165.92999,951302
2021-01-15,167.39999,168.0,164.94,165.25,907100
2021-01-14,172.91,172.91,167.75,168.83,879800
2021-01-13,176.02,176.11,171.25,171.75999,880800
2021-01-12,170.84,177.92,170.7,176.67,1101000
2021-01-11,167.95,173.85001,167.35001,171.02,1123717
2021-01-08,168.31,171.07001,168.10001,170.06,864500
2021-01-07,165.96001,168.8,164.60001,167.67,993200
2021-01-06,157.21001,166.78999,157.21001,166.25,1584000
2021-01-05,156.23,158.14,155.34,157.17,619500
2021-01-04,157.89999,159.57001,155.96001,157.34,825334
2020-12-31,157.07001,157.67,155.52,157.50999,621000
2020-12-30,156.64,159.7,156.64,157.66,599600
2020-12-29,159.13,159.42,156.19,156.69,704300
2020-12-28,161.31,162.64,158.27,158.8,858755
2020-12-24,159.83,160.97501,158.92999,160.67999,330323
2020-12-23,158.67999,160.46001,158.41,159.28999,606500
2020-12-22,160.42,161.17999,158.67999,159.39999,780400
2020-12-21,158.44,160.58,156.69,160.49001,757376
2020-12-18,160.35001,160.98,158.75999,159.91,814019
2020-12-17,162.28999,163.55,160.0,160.35001,881765
2020-12-16,159.95,161.92999,158.31,161.32001,1242600
2020-12-15,157.72,159.94,156.11,159.84,881285
2020-12-14,158.61,161.33,157.3,157.56,943308
2020-12-11,157.5,160.89999,156.44,157.66,824678
2020-12-10,156.25,158.62,154.56,158.22,840500
2020-12-09,152.99001,158.42,152.50999,157.95,1275300
2020-12-08,153.06,153.06,148.96001,152.81,961886
2020-12-07,151.61,153.72,151.0,153.67999,832109
2020-12-04,149.72,152.82001,149.72,152.47,532697
2020-12-03,148.64,151.06,148.31,150.14,646200
2020-12-02,151.17999,151.45,147.5,148.45,1279900
2020-12-01,149.07001,153.17999,147.57001,152.61,1258300
2020-11-30,149.33,150.30499,147.37,147.7,1455129
