datetime,open,high,low,close,volume
2021-01-29,135.78,136.74001,130.21001,130.7381,97758619
2021-01-28,139.52,141.99001,136.7,137.09,142621028
2021-01-27,143.42999,144.3,140.41,142.06,139236700
2021-01-26,143.60001,144.3,141.37,143.16,97615900
2021-01-25,143.07001,145.08,136.53999,142.92,157611713
2021-01-22,136.28,139.85001,135.02,139.07001,113907200
2021-01-21,133.8,139.67,133.59,136.87,120150900
2021-01-20,128.66,132.49001,128.55,132.03,104319500
2021-01-19,127.78,128.71001,126.94,127.83,90757300
2021-01-15,128.78,130.22,127.0,127.14,111598500
2021-01-14,130.8,131.0,128.75999,128.91,90221800
2021-01-13,128.75999,131.45,128.49001,130.89,88636800
2021-01-12,128.5,129.69,126.86,128.8,91951100
2021-01-11,129.19,130.17,128.5,128.98,100620900
2021-01-08,132.42999,132.63,130.23,132.05,105158200
2021-01-07,128.36,131.63,127.86,130.92,109578200
2021-01-06,127.72,131.05,126.38,126.6,155088000
2021-01-05,128.89,131.74001,128.42999,131.00999,97664900
2021-01-04,133.52,133.61,126.76,129.41,143301900
2020-12-31,134.08,134.74001,131.72,132.69,98990400
2020-12-30,135.58,135.99001,133.39999,133.72,96452100
2020-12-29,138.05,138.78999,134.34,134.87,121047300
2020-12-28,133.99001,137.34,133.50999,136.69,124486200
2020-12-24,131.32001,133.46001,131.10001,131.97,54930100
2020-12-23,132.16,132.42999,130.78,130.96001,88223700
2020-12-22,131.61,134.41,129.64999,131.88,168904800
2020-12-21,125.02,128.31,123.45,128.23,121251600
2020-12-18,128.96001,129.10001,126.12,126.66,192541500
2020-12-17,128.89999,129.58,128.03999,128.7,94359800
2020-12-16,127.41,128.37,126.56,127.81,98208600
2020-12-15,124.34,127.9,124.13,127.88,157572300
2020-12-14,122.6,123.35,121.54,121.78,79184500
2020-12-11,122.43,122.76,120.55,122.41,86939800
2020-12-10,120.5,123.87,120.15,123.24,81312200
2020-12-09,124.53,125.95,121.0,121.78,115089200
2020-12-08,124.37,124.98,123.09,124.38,82225500
2020-12-07,122.31,124.57,122.25,123.75,86712000
2020-12-04,122.6,122.86,121.52,122.25,78260400
2020-12-03,123.52,123.78,122.21,122.94,78967600
2020-12-02,122.02,123.37,120.89,123.08,89004200
2020-12-01,121.01,123.47,120.01,122.72,128166800
2020-11-30,116.97,120.97,116.81,119.05,169410200
2020-11-27,116.57,117.49,116.22,116.59,46691300
2020-11-25,115.55,116.75,115.17,116.03,76499200
2020-11-24,113.91,115.85,112.59,115.17,113874200
2020-11-23,117.18,117.62,113.75,113.85,127959300
