datetime,open,high,low,close,volume
2021-01-29,50.9,50.9,49.695,49.9,1743049
2021-01-28,49.93,51.31,49.58,51.01,2962100
2021-01-27,51.53,51.94,49.28,49.58,3741300
2021-01-26,53.1,53.3,51.83,52.18,2637800
2021-01-25,52.82,53.69,52.53,53.09,2451120
2021-01-22,52.38,53.11,51.92,52.82,1818800
2021-01-21,53.32,53.63,52.69,52.79,1812500
2021-01-20,53.45,53.99,52.79,53.5,2307400
2021-01-19,52.91,53.25,52.527,53.1,3321662
2021-01-15,52.55,52.77,51.58,52.2,2676700
2021-01-14,52.36,53.38,52.16,52.87,2373900
2021-01-13,51.27,52.33,50.89,51.77,4196700
2021-01-12,52.16,52.16,51.39,51.4,2523100
2021-01-11,51.83,52.475,51.68,52.04,2016030
2021-01-08,52.62,53.11,51.7,52.57,2909100
2021-01-07,53.0,53.33,52.32,52.43,2863000
2021-01-06,51.23,53.57,51.14,52.9,3366900
2021-01-05,49.9,51.16,49.73,50.84,3080200
2021-01-04,50.4,51.03,49.36,49.87,2877743
2020-12-31,50.04,50.51,49.8,50.41,1698900
2020-12-30,49.45,50.18,49.34,49.91,1533200
2020-12-29,49.85,49.93,49.1,49.45,1354200
2020-12-28,49.8,49.97,49.49,49.7,1135851
2020-12-24,49.33,49.5,49.02,49.44,486427
2020-12-23,49.02,49.56,48.84,49.35,1692900
2020-12-22,49.27,49.45,48.69,48.73,1600100
2020-12-21,49.02,49.485,48.73,49.37,1555199
2020-12-18,49.39,49.83,48.93,49.68,1519068
2020-12-17,49.79,49.79,48.93,49.39,1298698
2020-12-16,49.5,49.71,48.81,49.2,1937200
2020-12-15,48.7,49.84,48.63,49.57,1179921
2020-12-14,50.28,50.3323,48.69,48.69,1916804
2020-12-11,48.8,49.9,48.565,49.81,2141259
2020-12-10,49.84,49.84,48.85,49.2,3436400
2020-12-09,50.64,50.67,49.61,49.84,2517500
2020-12-08,50.04,50.65,49.66,50.36,1127607
2020-12-07,50.46,50.6698,49.9,50.04,1646428
2020-12-04,49.81,50.58,49.81,50.58,1253523
2020-12-03,49.52,49.95,49.29,49.81,2128600
2020-12-02,49.95,50.19,49.36,49.49,2718800
2020-12-01,50.19,50.36,49.83,50.11,2373000
2020-11-30,50.2,50.27,49.4,49.77,2320058
2020-11-27,50.5,50.78,50.12,50.45,1383100
2020-11-25,50.37,50.71,49.79,50.5,2460700
2020-11-24,49.15,50.56,48.92,50.56,2669900
2020-11-23,48.75,49.118,48.28,48.81,1952415
2020-11-20,48.66,48.88,48.31,48.61,1814400
2020-11-19,49.0,49.07,48.12,48.92,1603200
2020-11-18,49.95,50.3,49.245,49.27,1682719
2020-11-17,50.03,50.46,49.52,50.16,1836400
2020-11-16,50.65,50.65,49.8,50.41,2637992
2020-11-13,49.33,50.035,49.23,49.85,1284012
2020-11-12,49.88,49.88,48.84,49.33,2084400
2020-11-11,50.5,50.5,48.84,50.09,2523400
2020-11-10,49.65,50.64,49.49,50.15,2481900
2020-11-09,50.2,51.39,49.27,49.29,3336651
2020-11-06,48.2,48.73,47.75,48.27,3125400
2020-11-05,47.05,48.42,46.87,47.91,2946300
2020-11-04,48.03,48.1,46.46,46.51,3781500
2020-11-03,49.32,49.6,47.39,47.9,4088600
2020-11-02,47.15,48.575,46.95,48.56,4924784
2020-10-30,48.0,49.58,45.68,46.24,6630100
2020-10-29,49.38,50.28,48.93,49.92,3687400
