datetime,open,high,low,close,volume
2021-01-29,167.81,169.45,165.0,165.28,1179132
2021-01-28,169.85001,172.57001,166.61,166.75,2187500
2021-01-27,162.7,172.87,162.58,165.67,3535300
2021-01-26,164.35001,165.83,163.00999,164.53,2862500
2021-01-25,161.36,164.07001,160.83,163.67999,1850542
2021-01-22,161.14999,162.44,159.81,161.98,1895000
2021-01-21,162.2,162.35001,160.10001,161.03,1867200
2021-01-20,162.03999,162.83,160.62,162.35001,1441900
2021-01-19,161.13,162.2,160.16,161.98,1703598
2021-01-15,161.59,161.71001,159.31,161.12,2885000
2021-01-14,164.67999,165.0,161.5,161.91,2591100
2021-01-13,162.0,165.69,161.0,164.66,3146400
2021-01-12,168.64999,169.53999,167.02,169.06,1637900
2021-01-11,170.92999,171.58,168.12,168.50999,1162085
2021-01-08,168.97,172.38,168.31,171.05,2638700
2021-01-07,168.06,169.95,167.44,168.85001,1596700
2021-01-06,166.13,169.44,166.03,167.89999,1645100
2021-01-05,168.67999,170.17999,167.37,168.49001,1491600
2021-01-04,175.97,176.57001,167.73,168.96001,1920276
2020-12-31,174.14,176.45,173.33,176.2,1142800
2020-12-30,175.60001,176.25,173.32001,173.81,787500
2020-12-29,177.46001,177.81,174.57001,174.87,797100
2020-12-28,177.55,178.11,176.47,176.61,731716
2020-12-24,176.12,176.57001,174.92999,176.56,371600
2020-12-23,177.5,178.25999,174.99001,175.19,934700
2020-12-22,176.7,177.03999,175.46001,176.34,946600
2020-12-21,176.0,177.81,174.405,177.49001,1457215
2020-12-18,178.12,179.46001,177.47,179.24001,1333489
2020-12-17,176.59,179.02499,175.92,177.32001,852545
2020-12-16,175.91,176.55,174.28,175.59,1119900
2020-12-15,174.25999,175.78999,172.87,175.75999,719010
2020-12-14,173.33,175.8,172.28999,173.14999,2107535
2020-12-11,171.45,173.67999,171.08,173.64999,763033
2020-12-10,172.72,172.85001,171.21001,172.0,1811900
2020-12-09,175.12,175.17,172.77,173.84,1535400
2020-12-08,173.7,174.95,173.39999,174.42999,729464
2020-12-07,174.0,174.72,172.8613,174.57001,1115483
2020-12-04,172.36,175.63,171.705,174.8,746176
2020-12-03,171.25,173.33,170.88,172.09,1423100
2020-12-02,174.67999,175.06,171.00999,171.58,2365000
2020-12-01,175.16,176.41,173.64,174.67,2270500
2020-11-30,174.14,175.095,171.33,173.88,2086633
2020-11-27,174.66,175.42999,174.21001,175.25,588300
2020-11-25,176.7,176.7,173.42,174.08,910500
2020-11-24,173.53999,175.58,172.25,175.27,1599300
2020-11-23,172.14,173.53999,170.25,172.06,1056538
2020-11-20,173.5,173.78,171.25,171.27,1477300
2020-11-19,171.85001,174.35001,171.36,173.63,1110600
2020-11-18,176.14999,176.17751,172.94,173.17,898432
2020-11-17,175.0,176.58,174.25,176.14999,1249000
2020-11-16,174.0,177.19,172.45,177.05,2322655
2020-11-13,170.96001,171.92999,169.63,171.63,843524
2020-11-12,170.85001,171.85001,168.47,169.42999,1346300
2020-11-11,172.0,173.33,170.56,171.87,1821400
2020-11-10,169.12,173.39,168.17999,171.07001,1669800
2020-11-09,173.47,174.78999,169.64999,169.89,2298279
2020-11-06,164.8,166.58,163.56,166.23,1902300
2020-11-05,165.64999,166.87,161.94,162.71001,2740200
2020-11-04,167.88,168.67,163.85001,164.58,2478700
2020-11-03,163.60001,167.37,163.07001,166.48,2136200
2020-11-02,159.44,162.08,158.5,161.46001,2742482
2020-10-30,156.88,159.42,155.78999,157.96001,2894400
2020-10-29,154.67,159.46001,153.49001,158.19,2225100
2020-10-28,155.2,159.35001,153.88,155.08,4716600
2020-10-27,146.12,147.1917,145.61,146.0,1774216
2020-10-26,147.39999,147.41,144.61459,145.77,2535941
2020-10-23,150.07001,150.39999,148.33,149.2,911393
2020-10-22,147.06,149.5,146.09,148.85001,1494500
2020-10-21,146.92,148.07001,145.85001,146.85001,1174600
2020-10-20,146.42999,147.53999,145.77,146.62,1195600
2020-10-19,148.10001,148.985,144.7,145.05,2198956
2020-10-16,148.21001,149.64,147.5,148.42,1145600
2020-10-15,146.52,147.78999,146.0,147.39,1706700
2020-10-14,150.0,150.95,148.06,148.49001,1136857
2020-10-13,151.55,152.14999,148.72009,149.67,1038838
2020-10-12,151.5,152.14,150.05,150.58,2661578
2020-10-09,148.0,150.08,146.87,149.85001,2025615
2020-10-08,145.235,147.3,144.905,147.02,1640253
2020-10-07,143.37,144.42,142.0,143.73,2422200
2020-10-06,141.22,145.58,140.00999,142.25999,2206000
2020-10-05,139.28999,141.87,139.02,140.96001,1957642
2020-10-02,135.95,139.28,135.11,138.62,1690759
2020-10-01,141.62,141.67,136.74001,137.71001,1631308
2020-09-30,137.95,140.97,137.77,139.49001,2856800
2020-09-29,137.91,138.505,136.4989,137.53999,1486269
2020-09-28,136.72,138.03999,136.08,137.31,2593481
2020-09-25,129.23,134.94,129.23,134.56,1775218
2020-09-24,128.25,131.34,127.31,130.81,1632660
2020-09-23,132.31,132.92,128.41,128.59,1204094
2020-09-22,131.41,133.2953,130.45,132.87,877742
2020-09-21,132.21001,132.59,129.11,131.02,1710284
2020-09-18,137.77,137.87,133.87,135.00999,2165394
2020-09-17,134.53,137.97,134.2,137.94,1184052
2020-09-16,137.62,140.14,137.16,137.71001,1232517
2020-09-15,137.09,138.10001,136.14999,136.96001,1536816
2020-09-14,134.64999,137.28,134.37,136.58,1675446
2020-09-11,132.5,133.8,131.41,133.39,1565084
2020-09-10,136.42999,136.72,131.28,132.05,2123046
2020-09-09,136.67999,138.53,135.12,137.21001,1529124
2020-09-08,136.24001,137.85451,134.8,135.82001,2239802
2020-09-04,139.22,141.73,137.5,138.46001,1744549
2020-09-03,142.92999,144.25,137.72,139.2,1536098
2020-09-02,138.17999,143.05,137.5,142.42999,1837133
2020-09-01,137.78,138.57001,137.35001,138.53999,1310751
2020-08-31,140.50999,140.955,138.36,139.10001,1317077
2020-08-28,140.94,141.44,139.38,141.39,866200
2020-08-27,141.49001,142.46001,140.02858999999998,141.08,1421365
2020-08-26,140.60001,141.28,139.065,139.60001,1289907
2020-08-25,141.08,142.85001,140.16,141.06,1437126
2020-08-24,138.63,140.72,137.63,140.69,1163836
2020-08-21,139.05,139.05,137.10001,138.03,1159670
2020-08-20,137.59,139.476,137.36,139.14999,1062433
2020-08-19,139.89,140.50999,138.22,138.88,1091186
2020-08-18,140.405,140.78999,138.94,139.94,1326489
2020-08-17,139.25,140.735,139.08501,139.55,1174373
2020-08-14,139.25999,140.10001,137.97,138.96001,1565315
2020-08-13,139.03,140.53999,138.99001,139.22,1989628
2020-08-12,138.86,140.28,138.755,139.58,2243573
2020-08-11,137.91,140.03999,136.78999,138.10001,2068646
2020-08-10,137.88,138.87,136.425,138.09,1985227
2020-08-07,136.98,138.98,136.63,137.98,2788427
2020-08-06,135.465,136.96001,134.92598999999998,136.48,1745266
2020-08-05,136.60001,138.24001,134.50999,134.77,1946541
2020-08-04,133.95,136.78999,133.9398,136.78999,2082030
2020-08-03,133.105,134.99001,132.22,134.47,2507852
2020-07-31,133.66,134.53,129.84,132.97,2732724
2020-07-30,134.2693,134.74001,132.27,132.84,7992218
2020-07-29,139.79289,141.35001,135.35001,137.12,4830126
2020-07-28,145.85001,147.8,145.37,146.46001,1391135
2020-07-27,145.25,146.64,144.16,145.72,1165319
2020-07-24,147.58,148.0,144.89999,145.45,855479
2020-07-23,147.57001,148.97,146.28,146.97,804293
2020-07-22,148.2,148.2,146.74001,147.58,895051
2020-07-21,147.86,149.34,146.425,147.03,948141
2020-07-20,147.58,148.31,145.655,147.44,983774
2020-07-17,147.25999,148.39999,145.81,147.53,570477
2020-07-16,147.34,147.66,145.38,146.13,230523
2020-07-15,145.94,149.3,145.75999,148.60001,1675100
2020-07-14,142.67999,145.59,142.11,145.48,264206
2020-07-13,147.5,149.12,145.07001,145.47,195419
2020-07-10,145.0,147.3,144.62621000000001,147.27,154775
2020-07-09,147.58,147.58,144.12,145.77,164022
2020-07-08,147.0,148.22,146.27,148.17999,174312
2020-07-07,149.98,150.99001,146.71001,146.88,242037
2020-07-06,152.5,152.62,150.065,150.71001,202063
2020-07-02,150.5,152.13,149.955,150.56,179723
2020-07-01,149.22,150.45,148.63,149.11,1381308
2020-06-30,147.45,149.57001,146.10001,148.89,1656000
2020-06-29,146.25999,146.998,144.23,146.38,936815
2020-06-26,147.25999,147.45,143.91,144.72,2566900
2020-06-25,144.5,147.71001,143.84,147.46001,275854
2020-06-24,148.89,149.59,144.28999,144.84,315745
2020-06-23,151.62,152.11971,150.11,150.52,296562
2020-06-22,148.5,150.55499,147.34,150.5,279493
2020-06-19,154.33,154.99001,148.63499,148.99001,374043
2020-06-18,149.97,151.82001,148.905,151.74001,281805
2020-06-17,151.59,152.58,150.0938,150.67999,157588
2020-06-16,151.66,153.31,149.05,151.81,301031
2020-06-15,142.81,148.45,142.44,147.38,328953
2020-06-12,147.5,148.85001,143.09,147.02,514995
2020-06-11,152.96001,154.10001,142.81,142.89999,718821
2020-06-10,157.73,158.21001,153.95,155.89999,305801
2020-06-09,160.75,160.75,157.02,157.57001,414507
2020-06-08,159.36,161.3,158.28999,161.19,457796
2020-06-05,154.3,161.05,153.57001,160.13,3344600
2020-06-04,149.88,151.95,149.14999,149.97,2086400
2020-06-03,149.8,152.25,148.96001,151.67999,2100300
2020-06-02,145.41,148.32001,145.00999,148.25,2880900
2020-06-01,146.00999,146.98,144.56,145.55,2374100
2020-05-29,145.37,146.98,142.17,146.49001,3239500
2020-05-28,145.67,146.50999,143.52,144.8,2547000
2020-05-27,141.3,145.13,139.53999,144.67,3439600
2020-05-26,138.0,139.56,136.7,138.92,3080400
2020-05-22,133.0,135.72,131.89999,134.87,2201100
2020-05-21,134.08,135.05,132.7,133.32001,2856300
2020-05-20,134.64,136.09,133.99001,134.78,5466000
2020-05-19,136.21001,137.62,133.05,133.10001,2523000
2020-05-18,135.32001,137.48,134.50999,136.39999,3753600
2020-05-15,133.77,134.98,131.85001,134.85001,4047700
2020-05-14,133.97,135.16,130.64,134.95,2164900
2020-05-13,141.73,141.73,132.8,134.58,2963900
2020-05-12,144.85001,145.64,141.39,141.73,2014200
2020-05-11,144.09,145.8,143.7,144.61,1762700
2020-05-08,149.57001,149.78,144.72,146.0,1738400
2020-05-07,147.39,149.32001,146.67,147.77,1900200
2020-05-06,143.13,147.63,143.13,144.56,1780200
2020-05-05,145.56,147.77,144.82001,145.82001,1672000
2020-05-04,139.36,144.64,138.39,144.48,2614300
2020-05-01,143.17,144.7,139.46001,140.42,2617000
2020-04-30,144.49001,147.32001,143.57001,146.69,2592300
2020-04-29,146.75999,146.75999,141.60001,145.84,2644300
2020-04-28,143.23,146.19,142.60001,143.00999,2129400
2020-04-27,139.81,142.32001,139.47,142.22,1779500
2020-04-24,136.53,139.73,135.38,139.23,2000300
2020-04-23,138.85001,141.14999,135.45,135.92,2345000
2020-04-22,136.75,139.75,135.03999,138.7,1558400
2020-04-21,137.21001,137.64,133.2,133.61,2178100
2020-04-20,138.53,141.64999,138.0,139.82001,2521400
2020-04-17,141.50999,142.12,138.7,141.08,3179500
2020-04-16,138.52,138.95,134.42,136.92,1949100
2020-04-15,140.14,140.66,137.17999,137.64,2146300
2020-04-14,140.72,143.99001,140.47,143.87,2404400
2020-04-13,140.23,140.92,136.02,139.53,1728700
2020-04-09,140.23,143.81,139.91,142.52,2683400
2020-04-08,138.0,139.60001,136.35001,138.53,2726600
2020-04-07,145.53999,147.17,136.75,136.96001,2870600
2020-04-06,135.0,140.45,134.35001,139.64999,3664100
2020-04-03,130.7,132.53,126.69,128.57001,1567500
2020-04-02,127.72,132.61,127.43,131.55,3808200
2020-04-01,129.98,133.41,128.09,129.72,2905400
2020-03-31,134.98,139.39999,134.22,136.67999,3513000
2020-03-30,132.39999,138.53999,131.77,137.82001,2522300
2020-03-27,130.36,136.0,128.92,131.38,2997800
2020-03-26,123.06,138.14,122.6,137.06,4041000
2020-03-25,120.76,130.0,116.49,122.59,3941600
2020-03-24,114.66,122.04,114.3,120.96,4884100
2020-03-23,108.53,112.06,104.89,109.07,4794500
2020-03-20,118.92,119.47,107.1,112.06,6257600
2020-03-19,117.8,123.17,110.0,117.37,4022100
2020-03-18,120.86,122.59,103.11,117.6,5108600
2020-03-17,124.45,130.53,118.43,129.39,4274800
2020-03-16,128.06,131.72,122.05,122.46,4415900
2020-03-13,136.99001,144.53,129.27,144.5,3604900
2020-03-12,137.55,137.87,125.86,130.28,5497200
2020-03-11,149.64999,151.92,145.69,148.00999,2751000
2020-03-10,156.95,157.12,147.21001,154.42,4152200
2020-03-09,149.10001,155.22,146.28,150.92,4551300
2020-03-06,153.42,160.11,153.00999,159.14999,3137400
2020-03-05,159.44,163.14999,158.92999,160.67,3359700
2020-03-04,158.42,164.62,156.81,164.39,2847600
2020-03-03,161.63,164.44,154.0,155.24001,3095200
2020-03-02,155.55,163.09,154.24001,163.0,3194400
2020-02-28,153.41,159.45,150.53,154.74001,4585800
2020-02-27,164.06,165.97,157.46001,157.53,2843300
2020-02-26,169.0,170.8,166.23,166.33,2319700
2020-02-25,174.64999,175.49001,166.89999,167.17999,2606400
2020-02-24,175.78,177.17999,173.89999,174.53999,2084100
2020-02-21,179.8,180.42999,177.35001,178.58,3538400
2020-02-20,180.67,181.75,178.5,180.77,1501600
2020-02-19,180.5,181.74001,180.19,181.25,1651500
2020-02-18,181.36,182.32001,179.74001,179.92999,1512200
2020-02-14,180.16,181.28,179.39999,181.25,1566500
2020-02-13,177.47,180.99001,177.07001,180.11,1913900
2020-02-12,178.69,180.85001,176.89999,178.03,2622500
2020-02-11,180.25,180.25,177.78999,177.97,1584200
2020-02-10,178.66,179.82001,178.31,179.36,2153800
2020-02-07,179.78,179.89999,178.49001,179.10001,2311500
2020-02-06,179.75,180.47,178.8,180.25999,1600800
