datetime,open,high,low,close,volume
2021-01-29,282.79999,283.47,274.9183,275.14001,657858
2021-01-28,277.16,289.39999,276.70001,284.22,1752100
2021-01-27,285.32001,285.32001,272.70001,273.47,2712900
2021-01-26,294.0,295.94,291.32001,291.75,2131100
2021-01-25,301.76001,302.48999,289.51999,293.64001,2667183
2021-01-22,303.0,306.5,296.51001,299.17001,2590200
2021-01-21,309.23999,309.95999,305.34,306.45999,2000800
2021-01-20,311.51999,315.26001,307.42001,308.57999,1794500
2021-01-19,314.82999,315.47,310.25,310.97,1414107
2021-01-15,311.73999,316.35001,308.03,308.51001,1248300
2021-01-14,314.07999,316.10999,310.06,311.10999,1269700
2021-01-13,320.75,321.13,313.07001,314.32999,1182000
2021-01-12,320.0,320.94,317.10999,320.13,859500
2021-01-11,317.42999,319.84,313.75,317.81,1054847
2021-01-08,316.41,320.42999,315.07999,319.85001,1196700
2021-01-07,305.45001,316.45001,305.01001,315.20001,1527100
2021-01-06,294.14999,309.95001,294.13,302.87,1557700
2021-01-05,297.84,302.51001,296.54001,301.70001,1636900
2021-01-04,304.10999,307.73999,293.04999,296.84,1407015
2020-12-31,299.0,305.85001,299.0,305.34,941700
2020-12-30,300.25,301.51001,297.94,299.41,513700
2020-12-29,300.0,301.73001,296.03,298.10999,672800
2020-12-28,304.25,305.0,298.15799,299.64999,702708
2020-12-24,300.39999,302.76001,298.76999,301.39001,323100
2020-12-23,305.64999,307.22,300.0,300.17999,689700
2020-12-22,303.31,304.29999,300.0,303.85999,1302800
2020-12-21,302.84,303.98999,296.70001,300.88,1289874
2020-12-18,299.82999,305.95001,298.73999,305.26001,1623493
2020-12-17,294.59,297.76001,292.38,297.35001,900463
2020-12-16,288.73999,293.10001,288.73999,292.17001,1054700
2020-12-15,288.20001,290.64999,287.12,287.53,758529
2020-12-14,281.57001,293.47989,281.16,288.32999,1743931
2020-12-11,280.25,280.435,275.48001,279.75,960782
2020-12-10,278.14001,282.17999,274.23999,281.16,1159800
2020-12-09,288.97,289.45001,278.07001,279.42001,1484300
2020-12-08,283.35999,286.23999,280.31,284.79001,768762
2020-12-07,278.17999,282.26639,278.10001,280.79999,1361856
2020-12-04,277.62,281.77398999999997,276.97501,278.04999,1408233
2020-12-03,276.0,279.79001,275.70999,277.29001,1841700
2020-12-02,277.98999,279.14999,273.76001,277.06,1426300
2020-12-01,281.87,282.0,275.16,279.10999,1753700
2020-11-30,275.0,281.35001,272.21011,280.23001,2612328
2020-11-27,272.75,276.48001,270.51001,272.81,785462
2020-11-25,260.98999,282.48999,260.01001,271.23999,3128300
2020-11-24,257.72,260.89001,256.60001,258.97,1587500
2020-11-23,255.57001,257.95001,251.60001,257.25,1207667
2020-11-20,256.73001,260.60001,254.09,254.89,1458500
2020-11-19,250.24001,259.66,250.24001,256.88,1077600
2020-11-18,252.39,255.09,250.53,252.25,752048
2020-11-17,249.24001,253.67,247.62,252.71001,1015400
