datetime,open,high,low,close,volume
2021-01-29,73.41,73.8287,72.58,72.79,510962
2021-01-28,75.12,76.17,73.91,73.91,1650000
2021-01-27,74.37,76.41,74.05,75.09,1505600
2021-01-26,74.85,75.68,73.66,75.21,1224100
2021-01-25,72.32,75.15,72.12,75.08,1566982
2021-01-22,71.66,73.1,71.01,72.88,2680500
2021-01-21,72.32,72.71,71.62,71.74,2416600
2021-01-20,72.39,72.86,71.85,72.54,2273300
2021-01-19,74.48,74.48,72.77,72.99,2451722
2021-01-15,73.9,74.78,73.42,74.39,1240100
2021-01-14,75.69,75.69,73.03,73.99,1764500
2021-01-13,74.44,75.76,74.29,75.5,1879800
2021-01-12,74.87,75.21,73.4,74.24,1456500
2021-01-11,74.91,75.33,74.3738,75.04,1480384
2021-01-08,74.3,75.13,74.1,75.0,1552700
2021-01-07,76.62,76.79,73.99,74.24,2153800
2021-01-06,75.57,77.0,75.43,76.39,2284400
2021-01-05,76.39,76.58,75.48,75.76,1570800
2021-01-04,77.64,77.98,75.56,76.13,1393077
2020-12-31,77.26,78.11,76.73,78.06,1238700
2020-12-30,76.6,77.19,76.51,76.97,1526600
2020-12-29,76.85,77.47,76.55,76.57,1027600
2020-12-28,76.63,77.2,76.46,76.75,982124
2020-12-24,75.77,76.54,75.68,76.47,541122
2020-12-23,76.8,77.17,75.54,75.72,1226300
2020-12-22,77.0,77.09,75.76,76.55,1680600
2020-12-21,77.61,78.32,76.37,77.08,1255535
2020-12-18,78.73,79.5,78.42,78.86,1043770
2020-12-17,78.01,79.66,78.01,78.74,1284863
2020-12-16,79.0,79.64,77.59,78.0,1326600
2020-12-15,77.26,79.25,76.95,78.73,1189590
2020-12-14,77.77,78.6,76.75,77.24,1339324
2020-12-11,77.31,77.64,76.65,77.46,934106
2020-12-10,77.71,78.15,76.68,77.34,1105700
2020-12-09,77.22,78.01,76.97,77.8,1449800
2020-12-08,78.14,78.22,76.82,77.25,1460493
2020-12-07,76.93,78.21,76.76,78.2,1532956
2020-12-04,77.92,78.2,76.44,77.09,943748
2020-12-03,78.2,78.44,77.57,77.91,1122200
2020-12-02,78.11,78.56,77.01,78.49,914100
2020-12-01,78.3,79.25,77.83,78.51,1246100
