datetime,open,high,low,close,volume
2021-01-29,24.295,24.91,24.24,24.245,2897591
2021-01-28,23.36,24.78,23.04,24.55,12015500
2021-01-27,23.96,24.0,22.82,22.96,14197200
2021-01-26,26.24,26.36,24.46,24.56,10506600
2021-01-25,26.86,27.2097,25.91,26.23,10635387
2021-01-22,27.14,27.28,26.93,27.1,5784600
2021-01-21,28.03,28.08,27.17,27.28,7104900
2021-01-20,27.99,28.68,27.88,28.02,6807900
2021-01-19,28.05,28.405,27.75,28.06,6587179
2021-01-15,27.27,27.82,27.16,27.6,5220400
2021-01-14,26.88,27.58,26.88,27.45,5924300
2021-01-13,26.11,27.06,26.04,26.88,8193500
2021-01-12,25.53,26.12,25.47,26.02,5220000
2021-01-11,25.09,25.545,25.02,25.46,5926313
2021-01-08,24.89,25.45,24.75,25.42,4479300
2021-01-07,25.2,25.3,24.73,24.73,6067000
2021-01-06,24.28,25.22,24.1,24.98,6504300
2021-01-05,23.21,24.19,23.2,24.02,6392000
2021-01-04,23.71,23.99,23.02,23.24,6221634
2020-12-31,22.91,23.56,22.83,23.5,4313300
2020-12-30,22.98,23.12,22.66,22.78,8226300
2020-12-29,23.38,23.62,23.08,23.31,2818800
2020-12-28,23.48,23.61,23.235,23.3,3885305
2020-12-24,23.44,23.52,23.1,23.27,3146521
2020-12-23,23.14,23.56,23.0,23.49,5114100
2020-12-22,22.71,23.16,22.59,22.82,4832900
2020-12-21,22.33,23.15,22.08,22.62,5810293
2020-12-18,22.17,22.69,22.025,22.54,7057744
2020-12-17,22.1,22.46,22.0,22.09,4973365
2020-12-16,22.41,22.48,21.86,21.9,6493400
2020-12-15,21.405,22.3,21.295,22.28,4777705
2020-12-14,21.34,21.57,21.165,21.3,4807529
2020-12-11,20.522,21.23,20.522,21.15,3865207
2020-12-10,20.71,20.97,20.64,20.85,4779400
2020-12-09,21.18,21.26,20.69,20.85,4848400
2020-12-08,20.7996,21.345,20.76,21.19,3694968
2020-12-07,20.99,21.16,20.64,20.87,4174220
2020-12-04,21.27,21.39,20.89,21.07,3721015
2020-12-03,21.11,21.54,21.01,21.16,5008800
2020-12-02,20.48,21.39,20.27,21.16,6780500
2020-12-01,20.66,20.92,20.54,20.6,5935400
2020-11-30,20.97,21.03,20.38,20.44,7231739
2020-11-27,21.08,21.12,20.92,21.04,1924100
2020-11-25,21.15,21.28,20.83,20.98,4529300
2020-11-24,20.72,21.23,20.55,21.15,5628200
2020-11-23,20.61,20.7,20.36,20.46,5598155
2020-11-20,20.73,20.85,20.38,20.42,6956400
2020-11-19,21.28,21.3,20.82,20.88,6364300
2020-11-18,21.36,21.55,21.18,21.37,10555269
2020-11-17,21.13,21.52,21.13,21.35,4545800
2020-11-16,21.29,21.43,21.07,21.33,5238769
2020-11-13,20.77,21.01,20.63,20.87,4150947
2020-11-12,21.11,21.11,20.28,20.54,5706800
2020-11-11,21.0,21.6,20.88,21.29,6060800
2020-11-10,20.95,21.07,20.52,20.82,6543700
2020-11-09,21.93,22.32,20.905,20.97,6798005
2020-11-06,20.91,21.33,20.36,20.41,4317800
2020-11-05,20.22,21.28,20.1,20.97,5602800
2020-11-04,20.26,20.42,19.89,19.94,6436200
2020-11-03,20.35,20.69,20.17,20.27,4676700
2020-11-02,19.79,20.14,19.67,20.0,5475441
2020-10-30,19.5,19.81,19.31,19.5,5949800
2020-10-29,19.32,19.73,18.98,19.53,4772900
2020-10-28,20.0,20.17,19.36,19.5,6373700
2020-10-27,20.52,20.67,20.265,20.33,3125575
2020-10-26,20.39,20.65,20.05,20.58,5534199
2020-10-23,20.5,20.755,20.3242,20.66,2617557
2020-10-22,20.2,20.45,20.04,20.41,4110600
2020-10-21,19.97,20.27,19.93,20.21,5449300
2020-10-20,20.17,20.39,19.95,20.0,4392600
2020-10-19,19.9,20.095,19.68,19.9,7918138
2020-10-16,19.93,20.03,19.65,19.9,3838900
2020-10-15,19.34,19.95,19.28,19.86,3941700
2020-10-14,19.51,19.74,19.47,19.63,3055566
2020-10-13,19.425,19.605,19.27,19.54,4321056
2020-10-12,19.32,19.61,19.21,19.52,5106269
2020-10-09,19.55,19.57,18.98,19.32,6263216
2020-10-08,18.84,19.48,18.79,19.44,8149270
2020-10-07,18.76,18.93,18.59,18.75,3546900
2020-10-06,18.59,18.84,18.42,18.66,3555500
2020-10-05,18.65,18.78,18.545,18.58,3242910
2020-10-02,17.51,18.545,17.47,18.54,5611766
2020-10-01,18.24,18.31,17.68,17.92,4123964
2020-09-30,18.04,18.27,17.96,18.11,6615400
2020-09-29,17.96,18.23,17.82,18.0,3274305
2020-09-28,18.28,18.45,17.85,17.87,4501312
2020-09-25,18.035,18.035,17.72,17.98,2958509
2020-09-24,17.805,18.13,17.42,17.97,6202187
2020-09-23,18.33,18.445,17.76,17.76,4658642
2020-09-22,18.365,18.46,18.0,18.23,3240683
2020-09-21,18.5,18.53,17.98,18.36,3808488
2020-09-18,18.51,19.12,18.45,18.79,7911215
2020-09-17,17.82,18.59,17.605,18.43,5735104
2020-09-16,17.86,18.13,17.73,18.06,3445576
2020-09-15,18.112,18.13,17.62,17.79,3073155
2020-09-14,17.85,18.08,17.725,17.95,3652897
2020-09-11,17.36,17.845,17.255,17.8,6379914
2020-09-10,17.56,17.64,17.31,17.36,2292775
2020-09-09,17.5,17.735,17.325,17.54,2352806
2020-09-08,17.4559,17.53,17.21,17.4,3687106
2020-09-04,17.74,17.8,17.125,17.56,3806991
2020-09-03,18.27,18.34,17.535,17.69,3920753
2020-09-02,17.91,18.25,17.73,18.18,4308348
2020-09-01,17.74,17.955,17.562,17.91,2952374
2020-08-31,17.915,17.985,17.67,17.74,2807775
2020-08-28,17.92,17.95,17.57,17.9,3891063
2020-08-27,17.85,18.01,17.7,17.92,3235938
2020-08-26,17.83,17.91,17.58,17.72,2287589
2020-08-25,18.16,18.16,17.65,17.89,2353017
2020-08-24,18.14,18.18,17.91,18.07,2617573
2020-08-21,18.06,18.155,17.82,18.02,3999600
2020-08-20,17.351,18.065,17.26,17.95,4506372
2020-08-19,17.75,17.97,17.59,17.62,2080416
2020-08-18,17.59,17.89,17.49,17.75,3882673
2020-08-17,17.6,17.795,17.485,17.67,3134399
2020-08-14,17.61,17.705,17.46,17.58,3611987
2020-08-13,17.28,17.99,17.17,17.8,7247522
2020-08-12,17.01,17.625,16.775,17.25,4202408
2020-08-11,17.67,17.86,16.96,16.98,4849240
2020-08-10,17.33,17.72,16.92,17.58,5378255
2020-08-07,16.375,17.297,16.37,17.17,8073810
2020-08-06,15.4,16.81,15.26,16.56,8655128
2020-08-05,15.5721,15.6704,15.21,15.42,4974545
2020-08-04,15.18,15.53,14.98,15.47,4973241
2020-08-03,15.21,15.21,14.95,15.12,2991367
2020-07-31,15.17,15.255,14.83,15.22,3346913
2020-07-30,15.45,15.475,15.15,15.42,2692519
2020-07-29,15.3018,15.625,15.23,15.57,3715567
2020-07-28,15.245,15.38,15.125,15.2,3023527
2020-07-27,15.34,15.405,15.015,15.24,4694258
2020-07-24,15.75,15.835,15.31,15.4,3243678
2020-07-23,15.69,15.895,15.58,15.69,3570946
2020-07-22,15.21,15.72,14.895,15.6,5481847
2020-07-21,15.53,15.805,15.305,15.42,4120462
2020-07-20,15.57,15.57,15.15,15.26,4803031
2020-07-17,14.98,15.715,14.775,15.63,5973678
2020-07-16,15.11,15.165,14.82,14.875,627922
2020-07-15,14.88,15.19,14.87,15.08,588593
2020-07-14,14.51,14.9872,14.51,14.75,796330
2020-07-13,14.49,14.875,14.41,14.63,523058
