datetime,open,high,low,close,volume
2021-01-29,132.42,134.94,132.42,133.75999,152732
2021-01-28,131.96001,134.98,131.53999,133.5,452900
2021-01-27,129.64999,131.39999,128.0,130.78999,626100
2021-01-26,133.47,133.83,129.25999,130.47,455900
2021-01-25,133.69,134.88,132.46001,132.73,329527
2021-01-22,136.88,137.47,134.72,134.89999,305300
2021-01-21,141.66,142.60001,137.13,137.71001,262100
2021-01-20,142.44,143.67,141.96001,142.00999,277200
2021-01-19,141.39,143.37,140.17999,142.98,310993
2021-01-15,138.00999,140.19,137.53,140.17,306100
2021-01-14,140.3,141.16,138.59,139.13,328100
2021-01-13,140.71001,141.48,139.75,140.35001,333400
2021-01-12,139.24001,141.32001,138.87,141.17,353400
2021-01-11,137.33,138.895,137.28,137.81,168636
2021-01-08,139.39,139.39,136.53,138.61,188700
2021-01-07,138.48,140.75,138.22,139.34,381000
2021-01-06,133.64999,138.89,133.2,137.95,371300
2021-01-05,132.36,133.45,131.0,132.14999,258700
2021-01-04,136.21001,136.5872,131.05,132.11,367400
2020-12-31,134.46001,136.39999,133.87,136.22,233100
2020-12-30,132.42999,134.53,132.42999,134.03,210900
2020-12-29,133.89,133.89,132.00999,132.53,204500
2020-12-28,132.99001,134.03999,132.5,133.38,184262
2020-12-24,132.55,132.85001,131.85001,132.62,86700
2020-12-23,131.57001,133.45,131.57001,132.44,260600
2020-12-22,131.16,132.52,131.08,131.49001,334200
2020-12-21,130.92,131.62,128.98,130.82001,349832
2020-12-18,132.28999,133.61,130.25,131.3,393596
2020-12-17,134.59,135.2,132.17,132.35001,321622
2020-12-16,133.14,134.81,132.78,134.21001,310900
2020-12-15,132.28,133.88,131.72,132.39,394020
2020-12-14,133.25,134.36501,131.61501,131.7,120613
2020-12-11,132.03,133.35001,131.47501,132.22,200572
2020-12-10,130.8,132.99001,130.58,132.52,379500
2020-12-09,132.3,132.57001,130.95,131.17999,376000
2020-12-08,130.505,132.88,130.505,131.86,277797
2020-12-07,131.53999,132.00999,130.64,131.33,455785
2020-12-04,132.985,133.32001,131.74001,132.47,300860
2020-12-03,131.19,132.74001,131.19,132.17999,604900
2020-12-02,130.39999,132.11,130.21001,131.58,619000
2020-12-01,131.39,132.67,130.73,131.36,455700
2020-11-30,132.88,133.77,129.03999,129.12,453579
2020-11-27,134.53999,134.98,133.5,133.78999,158300
2020-11-25,135.28,136.09,134.19,135.58,377500
2020-11-24,136.66,136.89,135.17999,136.08,517200
2020-11-23,135.58,135.88,134.63,135.33,379077
2020-11-20,134.50999,135.25999,133.53,133.89,423800
2020-11-19,134.63,135.09,133.19,134.92,284700
2020-11-18,138.74001,139.67999,135.52,135.62,342500
2020-11-17,135.75999,138.78,134.55,138.59,558900
2020-11-16,136.52,137.815,135.24001,137.11,451238
2020-11-13,131.97,133.91,131.82001,133.5,358604
2020-11-12,130.86,131.86,129.39,130.82001,344900
2020-11-11,134.21001,134.96001,130.67,131.59,638800
2020-11-10,133.49001,134.17999,131.58,134.16,719000
2020-11-09,136.44,136.87,130.62,131.8,689570
2020-11-06,128.46001,129.39999,126.73,127.09,259400
2020-11-05,126.87,128.09,125.27,127.36,324700
2020-11-04,123.78,130.05,123.78,125.89,438500
2020-11-03,130.49001,131.3,124.57,126.31,961400
2020-11-02,125.5,130.27,125.29,129.92999,871360
2020-10-30,124.41,125.8099,122.92,124.35,226272
2020-10-29,122.18,125.96,119.97,125.2,289414
2020-10-28,118.58,123.81,118.58,122.21,402300
2020-10-27,123.4,123.4,120.54,120.69,151333
2020-10-26,124.13,124.13,121.5724,123.09,151029
2020-10-23,125.73,126.93,124.4,126.0206,199291
2020-10-22,122.42,125.05,122.17,124.59,236400
2020-10-21,122.34,123.87,122.34,122.94,298300
2020-10-20,122.665,123.74,122.36,122.71,125111
2020-10-19,123.215,124.19,121.46,121.85,134749
2020-10-16,123.45,125.07,122.55,123.47,291400
2020-10-15,120.72,123.62,119.47,123.12,273300
2020-10-14,122.58,124.87,122.24,122.46,240691
2020-10-13,125.31,126.68,122.2,122.58,176931
2020-10-12,125.3,126.95,125.02,126.35,207858
2020-10-09,126.78,127.47,125.42,125.57,299774
2020-10-08,124.8,125.75,124.04,125.62,377976
2020-10-07,123.74,124.77,122.33,123.81,393900
2020-10-06,125.78,126.0,122.28,122.9,365900
2020-10-05,124.98,125.9,124.125,125.36,277000
2020-10-02,120.7949,124.39,120.7949,123.44,206983
2020-10-01,122.25,122.71,120.1,122.48,248622
2020-09-30,121.2,123.46,120.76,121.31,479800
2020-09-29,119.965,120.975,118.44,120.59,185496
2020-09-28,119.17,121.365,119.07,120.1,202517
2020-09-25,117.015,118.17,116.5,117.76,224042
2020-09-24,118.59,119.48,116.4,117.82,226807
2020-09-23,121.71,123.28,118.37,118.72,552372
2020-09-22,119.995,122.49,119.995,120.88,390551
2020-09-21,117.99,121.22,117.765,120.04,508625
2020-09-18,119.97,121.22,119.4274,119.93,291435
2020-09-17,116.705,119.73,116.11,119.47,351248
2020-09-16,118.22,119.57,117.43,117.76,251385
2020-09-15,119.73,119.775,117.18,117.23,154589
2020-09-14,119.82,121.21,119.3,119.43,136867
2020-09-11,118.585,119.9,118.31,118.7,157949
2020-09-10,121.53,122.57,118.16,118.35,254054
2020-09-09,121.655,123.13,120.64,121.35,380848
2020-09-08,122.365,122.42,120.06,120.33,281761
2020-09-04,122.02,124.1,121.175,122.67,227583
2020-09-03,125.28,126.565,120.98,122.0,235780
2020-09-02,123.48,125.06,122.65,124.01,264223
2020-09-01,121.575,123.21,120.65,123.16,287645
2020-08-31,122.64,122.725,120.705,121.5,213913
2020-08-28,123.53,124.42,122.46,122.64,234510
2020-08-27,121.925,125.1911,121.925,123.67,229371
2020-08-26,122.41,122.6,120.82,121.71,443156
2020-08-25,124.61,124.73,122.68,122.85,152722
2020-08-24,120.82,123.855,120.65,123.72,152336
2020-08-21,122.315,122.66,120.51,120.6,168572
2020-08-20,122.0407,123.255,121.92,122.02,182032
2020-08-19,124.04,125.16,123.21,123.52,160071
2020-08-18,124.9,125.205,123.37,123.63,217572
2020-08-17,125.405,125.75,123.73,124.44,237866
2020-08-14,123.69,125.87,123.69,124.95,156031
2020-08-13,124.45,124.91,123.0,124.44,312556
2020-08-12,127.2,128.49001,123.59,124.38,250359
2020-08-11,125.745,127.91,124.5,124.96,390694
2020-08-10,122.29,124.56,121.485,124.23,281988
2020-08-07,118.81,122.31,118.48,122.25,370331
2020-08-06,122.31,122.31,117.95,118.87,394301
2020-08-05,106.99,124.81,106.99,122.3,1071940
2020-08-04,106.845,108.27,106.49,107.04,383880
2020-08-03,107.99,108.38,106.75,107.28,315616
2020-07-31,105.24,107.54,105.1373,107.49,302941
2020-07-30,107.62,107.62,104.225,105.23,337811
2020-07-29,105.97,107.89,105.69,107.62,269303
2020-07-28,105.61,106.55,105.35,106.03,237477
2020-07-27,106.06,106.33,104.68,105.63,255937
2020-07-24,107.7,107.94,106.33,106.73,240437
2020-07-23,106.52,108.3,105.67,107.35,274891
2020-07-22,104.69,106.08,104.3893,105.94,166980
2020-07-21,103.67,105.17,103.34,104.7,188360
2020-07-20,103.52,104.555,102.65,103.18,181049
2020-07-17,105.19,105.51,103.945,104.18,175812
2020-07-16,103.425,106.35,103.425,105.06,104901
2020-07-15,102.86,104.2,102.07,103.78,75441
2020-07-14,100.65,102.0,100.3,101.53,80297
2020-07-13,101.13,101.74,99.6,100.18,125720
2020-07-10,98.56,100.7,97.965,100.35,83908
2020-07-09,100.46,100.78,96.715,97.52,181029
2020-07-08,99.8,101.15,99.14,100.79,121827
2020-07-07,101.7,102.01,99.0,99.42,104856
2020-07-06,102.95,104.095,100.85,102.25,113348
2020-07-02,103.31,103.97,100.38,100.5,79163
2020-07-01,102.95,103.49,100.48,101.07,356627
2020-06-30,100.02,103.88,100.02,103.29,365900
2020-06-29,100.53,101.32,99.36,100.6,286939
2020-06-26,98.89,99.83,97.67,99.21,868000
2020-06-25,99.95,100.74,98.01,100.3,141842
2020-06-24,103.8,103.8,100.53,100.68,173024
2020-06-23,106.78,107.17,104.33,104.86,127740
2020-06-22,105.27,106.09,104.25,105.18,75818
2020-06-19,109.2681,109.2681,105.495,106.24,127586
2020-06-18,105.01,107.56,104.39,107.02,93134
2020-06-17,107.85,108.29,105.96,106.03,88844
2020-06-16,110.79,110.855,106.62,108.55,100628
2020-06-15,103.48,107.85,103.47,107.12,157480
2020-06-12,108.65,109.49,104.47,107.03,124792
2020-06-11,109.74,110.895,104.34,104.78,184976
2020-06-10,115.56,117.82,114.44,114.45,196749
2020-06-09,115.195,117.38,114.15,116.68,134376
2020-06-08,116.67,117.46,115.14,117.4,154179
2020-06-05,116.27,116.27,112.41,114.88,608400
2020-06-04,107.96,110.42,106.24,110.39,473600
2020-06-03,106.3,108.91,106.13,108.34,539000
2020-06-02,103.89,105.08,103.03,104.14,370100
2020-06-01,103.18,103.71,102.5,103.06,324400
2020-05-29,102.33,103.37,101.7,102.58,451500
2020-05-28,105.29,106.13,103.45,103.49,398900
2020-05-27,107.08,107.11,103.27,104.37,370500
2020-05-26,104.94,105.66,102.45,102.83,397800
2020-05-22,100.86,101.88,99.31,101.37,453500
2020-05-21,100.71,102.59,100.25,101.08,559900
2020-05-20,99.68,101.83,98.57,100.93,560500
2020-05-19,97.85,100.41,97.28,97.98,781200
2020-05-18,94.89,99.16,94.7,98.29,719200
2020-05-15,88.01,91.18,86.75,91.11,1931200
2020-05-14,86.39,89.3,83.89,89.05,669700
2020-05-13,92.26,92.42,86.78,87.76,1018700
2020-05-12,98.45,98.85,93.09,93.1,536700
2020-05-11,97.7,99.13,95.47,98.4,477900
2020-05-08,100.93,101.42,97.89,98.8,521900
2020-05-07,98.68,102.53,98.26,98.59,520900
2020-05-06,104.92,105.5,97.35,97.92,850900
2020-05-05,101.05,103.66,101.02,102.09,721400
2020-05-04,102.13,102.29,98.69,100.0,450800
2020-05-01,104.34,105.42,101.52,102.32,440500
2020-04-30,107.09,109.33,106.09,106.24,375600
2020-04-29,112.0,112.29,109.66,109.73,300200
2020-04-28,110.63,112.56,109.47,109.58,429700
2020-04-27,105.09,109.78,105.09,108.37,528900
2020-04-24,103.0,105.45,101.33,104.65,445000
2020-04-23,103.5,104.19,100.79,101.25,416800
2020-04-22,104.08,104.9,100.35,103.0,684800
2020-04-21,100.75,103.91,100.5,101.15,405600
2020-04-20,103.75,104.77,101.18,103.02,468800
2020-04-17,104.08,106.1,103.35,105.81,468200
2020-04-16,101.02,102.59,99.47,100.58,471900
2020-04-15,105.1,105.74,100.87,101.41,365200
2020-04-14,110.9,112.61,106.15,107.69,377900
2020-04-13,111.81,112.0,108.49,108.57,320900
2020-04-09,108.26,114.74,107.0,112.39,353700
2020-04-08,105.11,107.52,103.84,106.72,310900
2020-04-07,107.1,110.63,103.85,104.09,420800
2020-04-06,102.81,104.67,99.87,103.93,527200
2020-04-03,98.88,100.87,97.56,98.75,288300
2020-04-02,100.99,104.96,98.81,100.06,609500
2020-04-01,100.5,103.29,100.21,102.12,578600
2020-03-31,106.36,106.44,102.32,104.09,754200
2020-03-30,104.55,108.66,99.5,107.33,358700
2020-03-27,102.12,108.31,101.1,104.7,409400
2020-03-26,99.17,106.05,98.87,105.35,477500
2020-03-25,96.89,103.58,96.33,99.64,597400
2020-03-24,97.23,100.57,94.68,98.12,695700
2020-03-23,91.6,98.02,88.46,93.18,793500
2020-03-20,83.39,93.86,80.26,91.05,1082600
2020-03-19,79.66,85.47,76.27,83.44,883900
2020-03-18,86.32,90.3,79.1,80.41,868600
2020-03-17,86.48,94.86,83.73,92.5,1063700
2020-03-16,93.0,100.15,83.33,83.9,968800
2020-03-13,102.35,104.72,97.57,104.53,573700
2020-03-12,100.15,104.28,95.37,96.61,716500
2020-03-11,110.69,111.93,107.09,108.38,449500
2020-03-10,112.67,114.01,108.87,113.89,499000
2020-03-09,113.0,115.5,107.74,109.05,723300
2020-03-06,116.16,120.3,115.91,119.69,468300
2020-03-05,123.15,123.92,118.79,120.8,445500
2020-03-04,125.26,126.96,122.75,126.85,533400
2020-03-03,127.37,129.64999,122.88,123.25,553100
2020-03-02,120.8,127.95,120.61,127.89,553200
2020-02-28,124.05,125.59,117.93,120.59,1207400
2020-02-27,131.03,132.53,126.84,126.89,955200
2020-02-26,134.42999,135.59,132.02,132.50999,520500
2020-02-25,137.02,137.86,133.69,133.86,639500
2020-02-24,137.25999,139.12,136.44,137.24001,508000
2020-02-21,140.59,141.58,139.38,140.10001,431100
2020-02-20,140.53999,142.33,140.49001,141.57001,499000
2020-02-19,142.11,142.17,140.5,140.67999,372400
2020-02-18,141.94,142.61,141.2,141.8,361800
2020-02-14,140.44,142.56,140.3,142.52,298200
2020-02-13,136.69,140.82001,136.69,140.34,384700
2020-02-12,137.0,139.59,132.55,136.69,748500
2020-02-11,137.46001,140.03,137.46001,139.61,507700
2020-02-10,135.89999,137.14,135.67999,137.11,318000
2020-02-07,135.74001,136.86,135.41,136.36,234200
2020-02-06,137.33,137.83,136.17999,136.28999,276500
2020-02-05,135.21001,136.87,135.21001,136.83,335900
2020-02-04,133.89999,135.09,133.66,134.32001,319900
