datetime,open,high,low,close,volume
2021-01-29,108.88,109.22,107.27,107.33,557357
2021-01-28,110.24,111.38,108.9,109.3,2741200
2021-01-27,108.8,112.9,108.54,110.51,2797100
2021-01-26,111.02,111.41,109.16,109.52,1078300
2021-01-25,110.05,111.88,109.87,110.95,1078835
2021-01-22,110.19,110.96,109.5,110.43,1238700
2021-01-21,111.52,111.9,110.71,110.72,1605200
2021-01-20,110.11,111.71,109.78,111.0,1993400
2021-01-19,108.6,110.5,108.35,110.27,1255145
2021-01-15,108.7,109.37,108.02,108.4,2126800
2021-01-14,108.99,109.54,108.2,109.06,1432400
2021-01-13,109.36,110.19,108.16,108.88,2023500
2021-01-12,109.58,110.51,109.16,109.78,1219200
2021-01-11,109.13,110.185,108.92,109.15,1152259
2021-01-08,110.52,110.64,108.7,109.95,1260900
2021-01-07,110.27,110.91,109.64,110.07,1545300
2021-01-06,107.88,111.07,107.61,109.99,2174800
2021-01-05,108.35,108.35,106.57,107.23,2054000
2021-01-04,109.9,110.25,107.18,108.08,1546238
2020-12-31,108.17,110.1,108.0,109.93,1033800
2020-12-30,108.11,108.61,107.77,108.15,1017200
2020-12-29,107.73,108.32,107.34,107.52,1406000
2020-12-28,108.02,108.97,107.4,107.47,1116223
2020-12-24,106.48,107.41,105.92,107.19,578449
2020-12-23,106.43,107.55,105.95,105.99,1083300
2020-12-22,106.56,107.26,106.01,106.19,1513600
2020-12-21,107.6,107.61,104.47,106.17,1844472
2020-12-18,106.98,108.02,106.3,107.35,2205775
2020-12-17,106.43,107.04,105.85,106.56,1239079
2020-12-16,106.39,107.49,106.04,106.42,1823600
2020-12-15,104.81,106.555,104.79,105.91,1033040
2020-12-14,105.4,106.0,104.6,104.87,1494448
2020-12-11,103.816,105.65,103.816,104.43,1299360
2020-12-10,104.91,105.72,104.32,105.42,2220700
2020-12-09,105.01,105.86,104.84,105.19,1413800
2020-12-08,102.65,105.7,102.44,105.44,1257346
2020-12-07,103.7,104.4,102.71,103.41,1432477
2020-12-04,103.88,104.88,103.72,104.36,936066
