datetime,open,high,low,close,volume
2021-01-29,11.09,11.095,10.88,10.935,3493501
2021-01-28,11.18,11.28,11.09,11.18,8100200
2021-01-27,11.03,11.28,10.98,11.06,8617700
2021-01-26,11.03,11.26,10.96,11.21,5636400
2021-01-25,11.1,11.225,10.855,10.97,8239290
2021-01-22,11.18,11.23,10.94,11.09,7302100
2021-01-21,11.1,11.32,11.07,11.25,5448300
2021-01-20,10.99,11.28,10.92,11.23,5633800
2021-01-19,11.14,11.16,10.93,10.95,5481890
2021-01-15,11.33,11.33,11.05,11.05,6619300
2021-01-14,11.44,11.51,11.34,11.39,4375300
2021-01-13,11.57,11.58,11.36,11.43,5606100
2021-01-12,11.5,11.69,11.42,11.63,4135100
2021-01-11,11.36,11.585,11.36,11.535,2834640
2021-01-08,11.64,11.71,11.35,11.5,3717700
2021-01-07,11.72,11.77,11.58,11.68,5787900
2021-01-06,11.48,11.88,11.48,11.78,7457600
2021-01-05,11.35,11.55,11.35,11.46,7657400
2021-01-04,11.7,11.77,11.35,11.38,7088980
2020-12-31,11.81,11.84,11.64,11.77,2822500
2020-12-30,11.68,11.78,11.66,11.74,2625500
2020-12-29,11.7,11.7,11.53,11.6,2513100
2020-12-28,11.71,11.76,11.58,11.59,1739884
2020-12-24,11.65,11.66,11.54,11.64,1125113
2020-12-23,11.54,11.66,11.53,11.56,2033800
2020-12-22,11.51,11.62,11.49,11.5,4999200
2020-12-21,11.41,11.5,11.16,11.47,4532177
2020-12-18,11.55,11.7,11.49,11.65,4460310
2020-12-17,11.495,11.56,11.4,11.55,2842646
2020-12-16,11.51,11.59,11.39,11.4,3246100
2020-12-15,11.44,11.63,11.42,11.535,2798327
2020-12-14,11.57,11.6,11.27,11.27,4024848
2020-12-11,11.41,11.49,11.31,11.43,3642011
2020-12-10,11.59,11.65,11.48,11.53,6171300
2020-12-09,11.53,11.65,11.51,11.61,7143700
2020-12-08,11.36,11.59,11.315,11.54,4279894
2020-12-07,11.48,11.485,11.255,11.35,4829958
2020-12-04,11.49,11.62,11.48,11.54,3264794
2020-12-03,11.5,11.59,11.4,11.44,4071400
2020-12-02,11.48,11.61,11.44,11.47,4745200
2020-12-01,11.47,11.61,11.43,11.53,4601200
2020-11-30,11.38,11.445,11.235,11.33,5531362
2020-11-27,11.5,11.58,11.39,11.48,2629100
2020-11-25,11.62,11.67,11.53,11.59,6025300
2020-11-24,11.53,11.82,11.49,11.8,9952400
2020-11-23,11.8,11.8,11.52,11.57,6501691
2020-11-20,11.96,12.02,11.88,11.93,3949400
2020-11-19,11.79,11.95,11.7,11.92,3830300
2020-11-18,11.94,12.0,11.83,11.84,3368294
2020-11-17,12.01,12.05,11.84,11.93,5869200
2020-11-16,12.0,12.23,11.81,12.15,5512038
2020-11-13,11.56,11.8375,11.52,11.79,3714448
2020-11-12,11.73,11.85,11.37,11.55,10966600
2020-11-11,11.93,12.06,11.79,11.93,7207900
2020-11-10,11.81,11.88,11.66,11.86,9546200
2020-11-09,12.16,12.4,11.93,12.04,9481368
2020-11-06,11.72,11.93,11.39,11.52,6756900
2020-11-05,11.2,11.62,11.14,11.51,5138400
2020-11-04,11.11,11.2,10.93,11.09,5291100
2020-11-03,10.98,11.19,10.92,11.14,3322100
2020-11-02,10.6,10.89,10.59,10.85,5899570
