datetime,open,high,low,close,volume
2021-01-29,87.6,88.33,85.08,85.14,30638371
2021-01-28,89.83,89.88,87.3,87.52,46944300
2021-01-27,91.1,91.88,86.22,88.84,73153700
2021-01-26,94.91,95.72,93.63,94.71,58843900
2021-01-25,94.14,95.74,91.4,94.13,54077036
2021-01-22,94.42,95.95,91.88,92.79,71203400
2021-01-21,89.34,92.07,88.43,91.53,54221900
2021-01-20,90.55,90.78,88.6,88.75,35106000
2021-01-19,89.56,89.58,87.24,89.45,45115055
2021-01-15,90.75,91.59,87.86,88.21,49243100
2021-01-14,91.77,92.36,90.45,90.79,53274300
2021-01-13,93.01,93.89,90.84,91.78,60503100
2021-01-12,97.86,98.97,94.07,95.36,67615100
2021-01-11,94.025,99.23,93.76,97.25,48669103
2021-01-08,95.98,96.4,93.27,94.58,39765600
2021-01-07,91.33,95.51,91.2,95.16,42834200
2021-01-06,91.62,92.28,89.46,90.33,51837300
2021-01-05,92.1,93.21,91.41,92.77,34138400
2021-01-04,92.11,96.06,90.915,92.3,51802552
2020-12-31,92.1,92.3,90.87,91.71,24920500
2020-12-30,90.78,92.85,90.19,92.29,25815700
2020-12-29,91.66,92.46,89.43,90.62,31714400
2020-12-28,92.93,93.14,90.82,91.6,30627297
2020-12-24,91.8,92.51,91.31,91.81,16705900
2020-12-23,93.08,93.13,91.46,91.55,25948400
2020-12-22,93.36,93.55,90.53,93.16,35673700
2020-12-21,94.25,95.27,91.08,93.23,47093891
2020-12-18,97.25,97.68,93.56,95.82,42379632
2020-12-17,97.4884,97.92,96.25,96.84,30164970
2020-12-16,97.04,97.27,95.46,96.85,34833300
2020-12-15,95.9648,97.98,95.45,97.125,55207372
2020-12-14,92.205,95.405,91.85,94.78,48026426
2020-12-11,91.5,92.33,90.16,91.64,26864589
2020-12-10,89.55,92.09,89.03,91.66,33771700
2020-12-09,92.76,94.7,89.16,89.83,52050800
2020-12-08,94.02,94.74,91.9,92.93,32038508
2020-12-07,94.95,95.0,92.97,94.07,39815654
2020-12-04,92.58,94.58,90.63,94.04,45351128
2020-12-03,94.06,94.7,92.01,92.31,35797400
2020-12-02,92.89,96.37,92.53,93.74,57814200
2020-12-01,92.25,93.9,90.78,92.63,58583600
2020-11-30,87.33,92.74,86.53,92.66,84482979
2020-11-27,87.99,88.0,86.36,87.19,22717600
2020-11-25,85.76,87.84,85.52,86.71,41311100
2020-11-24,85.72,86.11,83.32,85.07,36790300
2020-11-23,85.52,87.54,84.615,85.31,46504964
2020-11-20,85.28,86.1,84.47,84.64,34974800
2020-11-19,82.39,85.64,81.72,85.54,49941200
2020-11-18,83.01,83.96,82.22,82.54,29898500
2020-11-17,83.93,84.81,82.91,83.36,29420600
2020-11-16,81.21,83.78,80.48,83.73,38233402
2020-11-13,82.8065,83.11,80.7,81.43,29164129
2020-11-12,81.32,83.0,80.3,81.84,37242600
2020-11-11,79.39,81.47,78.97,81.28,44535800
2020-11-10,81.93,82.13,77.63,77.99,67006400
2020-11-09,84.24,87.05,82.77,83.12,57638510
2020-11-06,83.52,86.09,82.67,85.88,53760600
2020-11-05,83.27,83.5,81.85,83.0,46367700
2020-11-04,80.25,81.85,78.97,81.35,66464700
2020-11-03,74.93,77.08,74.6,76.58,41141400
2020-11-02,75.85,76.335,73.7573,74.7,45760659
2020-10-30,77.09,77.7,74.23,75.29,51349000
2020-10-29,76.78,79.18,76.3,78.0,50059958
2020-10-28,78.73,78.96,75.76,76.4,76393400
2020-10-27,82.05,82.37,77.57,78.8,148310448
2020-10-26,82.55,84.97,80.8601,82.23,69423675
2020-10-23,80.325,81.99,79.33,81.96,43783104
2020-10-22,79.65,80.82,78.42,79.42,37790200
2020-10-21,81.72,81.93,79.19,79.2,36317900
2020-10-20,82.16,82.69,80.58,81.56,38186700
2020-10-19,83.62,84.65,81.53,82.0,35860916
2020-10-16,83.54,83.99,82.41,83.17,31427400
2020-10-15,83.4,84.72,82.42,83.13,33610200
2020-10-14,85.4762,85.96,83.46,84.21,37663116
2020-10-13,85.0258,86.09,83.9733,85.26,40483187
2020-10-12,83.65,85.13,83.12,84.29,46697877
2020-10-09,84.7694,85.75,82.3465,83.13,77077905
2020-10-08,88.099,88.72,85.95,86.49,52569419
2020-10-07,86.1,87.79,85.65,86.69,42951900
2020-10-06,86.21,87.25,83.54,84.48,52651100
2020-10-05,82.55,86.2819,82.55,86.15,46287425
2020-10-02,82.55,84.65,81.66,81.84,50257022
2020-10-01,83.1,85.25,82.86,84.86,49784599
2020-09-30,81.75,82.94,80.66,81.99,51479700
2020-09-29,79.3,82.55,79.3,81.77,59065466
2020-09-28,79.1165,79.57,77.52,79.48,48005488
2020-09-25,76.35,78.2,74.67,78.05,44672909
2020-09-24,74.26,77.25,73.9,75.815,54606928
2020-09-23,77.38,77.905,74.34,74.75,40049347
2020-09-22,78.27,78.69,75.28,77.7,52793900
2020-09-21,74.2,77.98,73.88,77.93,59978268
2020-09-18,76.92,77.4,73.85,74.9,46030418
2020-09-17,74.8799,76.625,74.2,76.54,54262277
2020-09-16,79.35,79.72,76.54,76.69,36644391
2020-09-15,77.7475,80.33,75.97,78.92,56573483
2020-09-14,76.7732,78.82,76.26,77.885,44856768
2020-09-11,79.81,79.97,75.0402,76.325,53264609
2020-09-10,83.1,83.3,78.38,78.98,50056093
2020-09-09,81.4,82.44,79.28,81.89,51406845
2020-09-08,78.05,81.88,78.0,78.69,53350159
2020-09-04,81.45,84.39,76.33,82.0,80120542
2020-09-03,87.84,88.47,81.59,82.54,83012878
2020-09-02,94.01,94.28,88.74,90.2,48976932
2020-09-01,92.42,92.4599,90.1899,92.2,54515426
2020-08-31,85.05,92.64,85.05,90.8,88591854
2020-08-28,84.3,86.04,84.19,85.55,39408854
2020-08-27,86.33,86.57,82.94,83.83,41146079
2020-08-26,86.9694,87.64,85.2,86.03,45719786
2020-08-25,83.18,86.62,82.35,86.31,47167590
2020-08-24,84.55,85.33,82.55,83.08,36383279
2020-08-21,83.29,84.41,82.23,83.815,47731917
2020-08-20,79.67,82.84,79.33,82.7601,41516420
2020-08-19,81.7757,81.85,80.45,81.095,36345924
2020-08-18,82.8,82.88,81.03,81.7,27912871
2020-08-17,82.09,83.06,81.552,82.42,29861310
2020-08-14,81.81,83.24,80.88,81.27,41454255
2020-08-13,82.88,84.02,81.54,81.85,56784991
2020-08-12,78.43,82.88,77.55,82.61,86015551
2020-08-11,80.71,80.71,76.1,76.88,76206851
2020-08-10,85.05,85.16,79.3221,82.24,69428885
2020-08-07,86.67,87.29,82.6702,84.84,65410369
2020-08-06,85.49,86.98,84.7801,86.71,52000970
2020-08-05,84.96,86.32,83.32,85.33,63417318
2020-08-04,78.03,85.805,77.99,85.05,149913428
2020-08-03,78.19,78.5,77.06,77.66,41440352
2020-07-31,78.67,78.96,75.36,77.43,69261461
2020-07-30,75.37,78.96,75.1,78.19,78531556
2020-07-29,75.5,77.19,73.9,76.1,130222411
2020-07-28,68.1,69.8,67.02,67.77,77287549
2020-07-27,69.28,71.63,67.79,68.98,105595883
2020-07-24,64.18,69.94,64.05,69.42,204884239
2020-07-23,61.63,62.31,58.6342,59.58,95797496
2020-07-22,57.07,62.0,56.97,61.785,131994826
2020-07-21,57.805,58.5,56.3173,57.0,43657054
2020-07-20,55.23,57.53,54.83,57.45,43631837
2020-07-17,55.3001,55.81,54.68,55.04,15381286
2020-07-16,54.68,55.14,53.81,54.92,3973645
2020-07-15,54.96,55.37,53.59,55.34,42310200
2020-07-14,53.52,54.86,52.26,54.71,3022104
2020-07-13,56.72,58.35,53.38,53.6,4264317
2020-07-10,57.45,58.15,55.51,55.89,4248704
2020-07-09,53.52,57.58,53.31,57.26,3425917
2020-07-08,53.01,53.47,52.07,53.425,1787389
2020-07-07,53.36,54.17,52.86,52.93,3747746
2020-07-06,52.83,53.52,52.33,53.38,3185023
2020-07-02,53.06,53.06,52.0508,52.33,2134939
2020-07-01,52.63,52.87,51.6,52.58,32370945
2020-06-30,51.16,52.77,50.82,52.61,42209800
2020-06-29,50.15,50.28,48.42,50.28,49905813
2020-06-26,51.85,51.95,49.45,50.1,65392900
2020-06-25,52.5979,52.7,50.54,51.93,5501735
2020-06-24,53.92,54.74,51.92,52.391,9336949
2020-06-23,55.11,55.37,53.87,54.01,6700614
2020-06-22,54.5701,55.17,53.74,54.78,5013772
2020-06-19,54.63,55.455,53.815,54.22,6282817
2020-06-18,54.84,55.12,53.65,54.03,4694318
2020-06-17,54.79,55.815,54.3,54.54,5351477
2020-06-16,55.72,56.07,53.59,54.46,7825821
2020-06-15,52.55,54.73,52.4128,54.69,8692043
2020-06-12,55.01,55.6,52.11,53.48,8465763
2020-06-11,55.8633,56.68,52.8,52.83,8128779
2020-06-10,57.23,59.0,57.03,57.4401,8790945
2020-06-09,52.9497,56.46,52.72,56.39,9293212
2020-06-08,53.3441,53.3441,52.34,52.97,4490060
2020-06-05,52.99,53.57,52.08,53.1,53908300
2020-06-04,52.59,53.74,52.2,52.63,44869100
2020-06-03,53.6,53.65,52.33,52.73,46765300
2020-06-02,53.45,53.57,52.01,53.54,42855200
2020-06-01,53.31,54.11,52.89,53.63,36864400
2020-05-29,52.07,53.8,51.85,53.8,64948300
2020-05-28,52.25,53.54,51.25,51.74,53670200
2020-05-27,53.27,53.28,49.09,52.74,102414500
2020-05-26,56.01,56.08,53.02,53.19,51618900
2020-05-22,54.77,55.37,53.78,55.17,43524100
2020-05-21,56.68,56.72,54.61,54.65,48496100
2020-05-20,56.55,56.98,55.63,56.39,50888200
2020-05-19,54.39,56.73,54.36,55.47,60388500
2020-05-18,54.98,55.25,54.24,54.59,48679100
2020-05-15,53.32,54.44,52.86,54.2,66950900
2020-05-14,52.1,54.54,51.61,54.51,73814000
2020-05-13,54.04,55.22,51.3,52.18,76824700
2020-05-12,56.21,56.58,53.75,53.76,55631100
2020-05-11,52.9,55.89,52.75,55.74,68574000
2020-05-08,52.15,53.27,51.81,53.19,40774200
2020-05-07,52.93,52.97,51.62,51.95,48956600
2020-05-06,52.42,53.31,51.88,52.16,48138100
2020-05-05,53.43,53.51,51.29,52.19,56560500
2020-05-04,49.82,52.61,49.73,52.56,62590600
2020-05-01,51.07,51.95,49.09,49.88,69562700
2020-04-30,53.43,54.29,52.03,52.39,65199200
2020-04-29,54.53,54.86,52.74,53.66,110800900
2020-04-28,57.16,57.35,55.3,55.51,80501800
2020-04-27,57.44,58.0,56.25,56.49,62568100
2020-04-24,55.1,56.78,54.42,56.18,72854800
2020-04-23,56.65,57.29,55.64,55.9,69662700
2020-04-22,54.91,56.15,54.34,55.92,63164100
2020-04-21,56.9,57.73,51.41,52.92,123906400
2020-04-20,55.98,58.63,55.85,56.97,72367300
2020-04-17,57.35,57.76,55.55,56.6,76908800
2020-04-16,55.96,58.08,55.63,56.95,103106500
2020-04-15,53.73,55.57,53.41,54.99,83814000
2020-04-14,52.24,55.14,52.11,54.93,85306800
2020-04-13,48.47,51.07,48.23,50.94,64290100
2020-04-09,49.65,50.25,47.72,48.38,80357400
2020-04-08,48.07,49.0,47.61,48.79,64930800
2020-04-07,48.96,49.65,46.68,47.56,102098700
2020-04-06,44.3,47.58,44.06,47.52,82294000
2020-04-03,44.3,44.84,41.7,42.59,79335000
2020-04-02,43.4,45.28,43.1,44.49,79024100
2020-04-01,44.18,46.85,43.16,43.66,92083100
2020-03-31,47.93,48.53,45.16,45.48,83483700
2020-03-30,47.24,48.46,46.66,47.86,68486600
2020-03-27,46.32,47.98,45.9,46.58,74599200
2020-03-26,45.78,47.5,45.4,47.5,73680200
2020-03-25,46.79,47.88,44.43,44.63,93760400
2020-03-24,44.04,46.81,43.99,46.22,106794200
2020-03-23,40.62,42.32,38.95,41.64,101704700
2020-03-20,41.51,42.48,39.58,39.61,106859500
2020-03-19,39.56,41.7,37.69,39.82,88939000
2020-03-18,39.54,41.95,36.75,39.12,106949300
2020-03-17,40.19,42.88,38.3,41.88,92741900
2020-03-16,39.08,43.37,38.51,38.71,84545900
2020-03-13,42.2,43.91,39.6,43.9,86689700
2020-03-12,42.0,42.5,39.0,39.01,107461500
2020-03-11,44.19,45.97,43.8,45.7,101601100
2020-03-10,45.41,45.44,43.1,45.38,76228200
2020-03-09,43.03,46.34,42.51,43.27,80859800
2020-03-06,49.44,49.54,46.74,48.59,124590900
2020-03-05,48.68,49.72,47.51,48.11,98302700
2020-03-04,48.25,50.14,47.21,50.11,93311800
2020-03-03,49.03,50.2,45.67,46.75,141972300
2020-03-02,47.42,47.68,44.66,47.46,102324700
2020-02-28,41.36,46.15,41.04,45.48,100667700
2020-02-27,45.38,46.24,42.21,44.01,105957300
2020-02-26,47.7,49.29,47.07,47.49,86378400
2020-02-25,51.14,51.24,47.12,47.57,88699400
2020-02-24,48.18,50.28,47.49,49.12,86624100
2020-02-21,56.71,56.8,52.89,53.28,88271100
2020-02-20,58.44,59.02,56.15,57.27,74203400
2020-02-19,57.99,59.27,57.51,58.9,58597300
2020-02-18,54.94,58.13,54.84,56.89,70133200
2020-02-14,55.19,55.4,54.56,55.31,52365400
2020-02-13,53.43,55.03,53.34,54.53,51640000
2020-02-12,54.53,54.85,53.53,53.89,45994900
2020-02-11,53.22,54.48,52.91,53.8,74719100
2020-02-10,49.47,52.3,49.35,52.26,60971700
2020-02-07,48.91,50.67,48.64,49.73,53107600
2020-02-06,48.8,49.39,47.63,49.32,48670600
2020-02-05,50.29,50.42,49.31,49.84,42737100
2020-02-04,49.21,49.75,48.61,49.45,46302100
2020-02-03,46.4,48.1,46.23,48.02,47077000
2020-01-31,48.4,48.58,46.79,47.0,60322400
2020-01-30,46.49,48.81,46.13,48.78,70460200
2020-01-29,47.84,48.07,46.1,47.51,112349900
2020-01-28,50.03,50.85,49.48,50.53,62343800
2020-01-27,48.45,49.79,47.9,49.26,48878600
2020-01-24,52.28,52.81,49.47,50.35,80004900
2020-01-23,51.34,51.75,50.74,51.71,40135400
2020-01-22,51.63,51.88,51.2,51.43,40772200
2020-01-21,50.96,51.81,50.7,51.05,49095000
2020-01-17,50.2,51.05,49.9,50.93,57722500
2020-01-16,49.17,50.31,48.99,49.77,58898900
2020-01-15,48.23,49.08,48.12,48.55,40199900
2020-01-14,48.64,49.04,47.91,48.21,38563200
2020-01-13,48.66,48.86,48.24,48.75,34266800
2020-01-10,49.26,49.29,48.0,48.17,44133700
2020-01-09,48.94,49.96,48.39,48.97,76512800
2020-01-08,47.85,48.3,47.14,47.83,53767000
2020-01-07,49.35,49.39,48.04,48.25,58061400
2020-01-06,48.02,48.86,47.86,48.39,47934900
2020-01-03,48.03,49.39,47.54,48.6,73127400
2020-01-02,46.86,49.25,46.63,49.1,80331100
2019-12-31,45.07,46.09,44.92,45.86,31673200
2019-12-30,46.14,46.17,44.66,45.52,41149700
2019-12-27,46.85,46.88,45.98,46.18,36581300
2019-12-26,46.99,47.31,45.66,46.63,57562800
2019-12-24,46.1,46.61,45.77,46.54,44432200
2019-12-23,44.58,45.63,44.39,45.46,55886500
2019-12-20,43.44,44.26,43.26,44.15,68104700
2019-12-19,42.63,43.34,42.6,42.83,45883000
2019-12-18,42.79,43.06,42.24,42.3,39083300
2019-12-17,42.51,43.11,42.15,42.77,44852000
2019-12-16,41.73,42.98,41.73,42.35,58824900
2019-12-13,42.35,42.95,41.06,41.15,79927800
2019-12-12,39.4,42.62,39.25,42.59,86878000
2019-12-11,39.44,39.61,39.04,39.47,31698300
2019-12-10,39.2,39.73,38.82,39.44,33733600
2019-12-09,39.46,39.84,38.91,38.93,27928100
2019-12-06,40.1,40.19,39.56,39.63,31101400
2019-12-05,39.95,40.22,39.55,39.62,35574000
2019-12-04,39.38,39.82,39.13,39.69,44299400
2019-12-03,37.34,38.93,37.15,38.9,51556400
2019-12-02,39.32,39.41,38.44,38.73,35710200
2019-11-29,39.1,39.52,39.02,39.15,17609900
2019-11-27,39.46,39.76,39.07,39.41,33630100
2019-11-26,39.3,39.48,38.81,38.99,43603300
2019-11-25,39.5,40.17,39.49,39.79,45769500
2019-11-22,39.36,39.89,38.19,39.15,56931900
2019-11-21,40.42,40.71,38.64,39.52,88069400
2019-11-20,40.96,41.75,40.07,40.98,79767900
2019-11-19,40.14,41.79,39.69,41.29,94373000
2019-11-18,38.65,39.99,38.6,39.88,66102800
2019-11-15,38.94,39.37,38.34,38.56,62958500
2019-11-14,37.51,38.5,37.36,38.35,65829500
2019-11-13,36.65,37.96,36.58,37.52,67648300
2019-11-12,36.43,37.13,36.4,36.71,58664500
