datetime,open,high,low,close,volume
2021-01-29,113.665,115.39,112.91,113.555,743630
2021-01-28,112.49,116.0,111.75,114.78,1323800
2021-01-27,111.7,112.01,106.96,111.06,2026000
2021-01-26,117.16,117.42,113.24,113.3,930300
2021-01-25,116.6,117.0,114.43,116.35,1028922
2021-01-22,119.0,119.65,116.91,117.35,974800
2021-01-21,120.27,121.52,119.28,119.48,758100
2021-01-20,119.37,120.67,118.65,120.11,731600
2021-01-19,120.19,121.07,118.46,118.95,792093
2021-01-15,119.72,119.72,116.9,119.0,1241900
2021-01-14,121.61,121.84,120.02,120.72,679700
2021-01-13,123.89,123.98,121.34,121.44,660800
2021-01-12,124.07,124.83,123.3,124.12,640100
2021-01-11,122.01,124.93,121.915,124.15,528791
2021-01-08,125.03,125.32,122.05,123.54,675300
2021-01-07,124.96,125.81,123.43,124.4,734900
2021-01-06,120.46,125.26,120.46,124.25,848400
2021-01-05,117.92,119.91,117.92,119.2,837400
2021-01-04,121.1,122.33,117.71,118.38,979744
2020-12-31,120.1,121.07,118.82,120.94,638700
2020-12-30,119.08,120.35,119.06,119.83,437000
2020-12-29,120.34,120.34,117.66,118.66,392200
2020-12-28,120.14,120.9,119.62,119.76,359934
2020-12-24,118.83,119.32,118.0,119.04,215242
2020-12-23,118.25,119.44,117.53,118.62,454000
2020-12-22,118.32,118.57,117.24,117.66,560200
2020-12-21,115.93,118.59,114.63,118.11,626773
2020-12-18,117.96,118.52,116.975,118.09,637458
2020-12-17,117.27,117.75,116.86,117.62,554878
2020-12-16,117.9,118.13,116.27,116.78,660300
2020-12-15,116.31,118.59,116.24,117.75,538912
2020-12-14,119.48,119.69,116.24,116.3,700249
2020-12-11,117.11,118.53,116.8,118.34,526025
2020-12-10,118.11,119.07,117.24,118.35,880600
2020-12-09,118.84,119.3,118.19,118.76,849900
2020-12-08,117.01,119.23,117.01,118.57,485842
2020-12-07,117.23,117.87,116.705,117.61,704927
2020-12-04,114.65,117.31,114.48,116.84,644704
2020-12-03,114.82,116.02,114.24,114.43,927100
