datetime,open,high,low,close,volume
2021-01-29,226.92999,228.78,225.205,227.08,1042161
2021-01-28,227.71001,232.96001,226.61,228.31,2685600
2021-01-27,234.14,234.14,227.62,229.06,2761600
2021-01-26,227.84,232.99001,224.31,232.28999,2838700
2021-01-25,224.0,228.7325,222.13,227.50999,2311067
2021-01-22,222.10001,225.0,221.86,223.92,2113900
2021-01-21,220.95,223.16,218.36,222.2,1736700
2021-01-20,217.75,223.60001,216.08,222.78,2399000
2021-01-19,220.86,221.52,215.96381,216.88,2536351
2021-01-15,214.99001,220.46001,214.22,219.89,2403900
2021-01-14,217.0,217.24001,214.41,214.99001,3735000
2021-01-13,214.28999,217.17,213.89999,216.46001,2314000
2021-01-12,214.62,215.78,210.66,214.91,2468900
2021-01-11,221.25999,221.97,214.19,214.92,2254621
2021-01-08,218.24001,223.82001,218.11,222.2,2310400
2021-01-07,215.27,219.50999,214.67999,217.5,2933800
2021-01-06,219.5,219.67999,214.56,214.89,3230500
2021-01-05,220.12,222.60001,219.09,220.71001,2481600
2021-01-04,226.07001,226.21001,219.27,219.60001,2560595
2020-12-31,219.75999,224.67,219.60001,224.46001,1669300
2020-12-30,220.50999,221.53,219.35001,220.34,1361300
2020-12-29,222.21001,223.42,220.42,220.48,1283000
2020-12-28,218.87,221.45,217.42999,221.07001,1822817
2020-12-24,216.19,219.39,216.19,218.64999,816321
2020-12-23,221.27,223.60001,217.38,217.39999,1553400
2020-12-22,219.28999,220.85001,218.27,220.49001,1845600
2020-12-21,218.36,220.5,217.13499,219.78,1818971
2020-12-18,222.78999,223.23,219.84,221.41,2175627
2020-12-17,221.03,223.5954,220.13,222.66,1961374
2020-12-16,218.28,219.8,215.67999,219.62,2347600
2020-12-15,218.175,218.36,215.554,217.25,1703401
2020-12-14,220.97,222.42999,216.39999,216.72,2404770
2020-12-11,218.02,220.14999,215.46001,219.82001,2521960
2020-12-10,220.21001,221.92999,218.48,219.41,3027300
2020-12-09,222.72,223.03999,216.22,219.44,3413100
2020-12-08,224.0,224.772,222.17999,223.49001,1987821
2020-12-07,227.66,228.78999,223.35001,224.27,2452186
2020-12-04,227.24001,228.89999,224.44,228.5,2954674
2020-12-03,229.52,230.75999,225.78999,226.22,3702600
2020-12-02,234.78999,235.83,228.59,228.89999,2755100
2020-12-01,232.0,236.39,231.72,235.83,2471000
2020-11-30,234.0,234.14,228.75,231.2,3183482
2020-11-27,233.96001,234.09,230.58,234.09,937400
2020-11-25,229.28999,233.37,228.64999,233.0,2478800
2020-11-24,231.03999,231.85001,227.39,228.06,2635100
2020-11-23,233.56,233.61,228.62,228.91,2783987
2020-11-20,238.19,238.42999,232.5,232.66,1965500
2020-11-19,237.09,238.88,233.37,238.42999,1636400
2020-11-18,238.31,242.31,237.21001,237.7,1617400
2020-11-17,239.0,240.87,238.31,239.17999,1354200
2020-11-16,244.75999,245.59,238.85001,239.09,1385659
2020-11-13,240.24001,243.72,237.705,243.12,1155269
2020-11-12,239.60001,240.3,236.46001,238.00999,1882600
2020-11-11,234.82001,241.48,233.32001,238.45,1573700
2020-11-10,238.92999,238.92999,230.22,232.38,2717400
