datetime,open,high,low,close,volume
2021-01-29,357.16,360.49261,354.39999,356.13,93042
2021-01-28,353.35999,369.54001,352.92999,362.87,420300
2021-01-27,362.20999,364.98001,345.45001,348.85001,480100
2021-01-26,368.12,369.87,362.97,366.64001,661600
2021-01-25,376.59,376.59,364.54401,367.87,395568
2021-01-22,371.23001,375.82999,370.79001,374.57001,661400
2021-01-21,379.57001,380.20999,371.73999,371.85999,364900
2021-01-20,371.89001,380.76001,371.47,378.64999,334900
2021-01-19,367.26999,370.76001,365.26999,369.51001,352223
2021-01-15,368.85001,370.57001,362.22,364.28,498100
2021-01-14,376.0,378.35999,367.60999,369.04999,457700
2021-01-13,370.94,378.85001,366.48999,375.57999,464300
2021-01-12,371.38,375.85001,370.57001,373.26999,760800
2021-01-11,371.64999,375.0,369.51999,373.32999,267169
2021-01-08,366.56,375.78,365.0,374.66,497700
2021-01-07,352.60999,366.17001,352.60999,365.01999,402100
2021-01-06,351.85001,355.35001,348.53,349.89999,767200
2021-01-05,356.78,360.5,353.73001,359.82999,400300
2021-01-04,362.35001,373.79001,353.745,357.67001,474531
2020-12-31,363.81,366.47,362.42001,363.79999,396500
2020-12-30,362.95999,364.85999,360.87,362.32001,224700
2020-12-29,365.0,366.69,358.72,360.85001,195800
2020-12-28,367.07999,368.0,362.07999,363.72,203497
2020-12-24,362.76001,366.32501,361.13,364.17001,205705
2020-12-23,364.72,369.82001,362.19,362.22,398800
2020-12-22,355.0,362.57999,355.0,362.31,372300
2020-12-21,351.73001,357.89001,344.2746,355.95001,319577
2020-12-18,347.67001,358.01001,347.005,357.81,351189
2020-12-17,345.73999,346.73001,342.31,346.63,255570
2020-12-16,344.63,346.0,341.29999,343.62,315100
2020-12-15,344.31,349.37,342.19,342.75,256886
2020-12-14,336.75,346.31,335.26001,343.39001,426115
2020-12-11,331.57001,335.73001,328.60001,335.17999,185022
2020-12-10,332.19,337.20999,330.26001,334.04001,319800
2020-12-09,342.70001,343.48001,333.26999,334.54999,329600
2020-12-08,342.98999,344.48999,338.26999,341.39999,228359
2020-12-07,343.92001,346.67609,340.56,341.89001,232811
2020-12-04,339.14999,345.54001,339.0,343.64001,170695
2020-12-03,332.64999,340.5,332.64999,337.54001,269100
2020-12-02,338.87,339.85001,334.23001,334.92999,284800
2020-12-01,339.09,343.70001,335.20001,340.85001,397500
2020-11-30,330.17001,338.84,328.75,338.06,550219
2020-11-27,326.23999,331.98999,324.23001,330.41,209300
2020-11-25,323.70001,328.13,320.20001,322.87,324700
2020-11-24,316.41,321.32999,313.85001,320.12,410700
2020-11-23,318.95001,319.28,310.9425,313.42001,338845
2020-11-20,323.73001,325.95001,317.81,318.26001,297000
2020-11-19,316.25,325.53,313.64001,324.12,338500
2020-11-18,317.29999,319.76999,315.60999,317.98001,240958
2020-11-17,321.88,324.19,318.48001,319.79001,380200
2020-11-16,328.17001,328.79001,320.95499,322.67001,334836
2020-11-13,326.35999,329.23001,324.56,327.85999,354123
2020-11-12,328.51999,332.57999,322.87,323.64001,255000
2020-11-11,325.23999,334.04999,325.23999,328.95999,300700
2020-11-10,321.98999,329.23001,318.13,319.42999,632600
2020-11-09,346.13,348.98001,328.13,328.47,468902
2020-11-06,330.14001,337.67001,323.45001,336.79999,269600
2020-11-05,330.14999,339.89999,324.60001,328.35001,539300
2020-11-04,330.22,335.37,323.32001,329.25,678200
2020-11-03,313.66,320.73999,312.04999,315.91,358400
2020-11-02,304.44501,314.60001,304.44501,311.23001,445652
2020-10-30,306.35001,309.28,301.255,304.70999,322081
2020-10-29,308.35999,313.95999,306.60999,310.85001,442800
2020-10-28,319.70999,322.17001,307.20999,308.03,396600
2020-10-27,324.67001,327.74341,321.56,322.01001,242191
2020-10-26,323.67001,328.35999,315.78,321.0,330645
2020-10-23,329.23001,331.79001,324.56,330.10999,276439
2020-10-22,327.38,329.20999,323.17999,326.78,370300
2020-10-21,332.01001,336.42999,326.89999,327.85999,390700
2020-10-20,337.91,337.91,331.70999,331.95999,678300
2020-10-19,348.70001,353.035,334.79001,336.25,565562
2020-10-16,353.54999,357.92999,348.72,349.72,521700
2020-10-15,348.31,352.70001,344.94,351.70001,295500
2020-10-14,354.13,355.35001,346.69,351.39999,236818
2020-10-13,348.23001,355.19,345.16,351.20001,274533
2020-10-12,340.56,351.48999,340.56,347.85999,388216
2020-10-09,336.0,339.17001,334.09,336.62,274270
2020-10-08,331.97,334.38,328.82001,333.41,271627
2020-10-07,319.51999,330.95999,319.51999,330.39999,394600
2020-10-06,322.70001,324.85999,314.89999,316.47,700400
2020-10-05,322.45999,326.19501,321.57999,323.87,388324
2020-10-02,330.19,331.45999,318.94,321.73999,277464
2020-10-01,330.4635,336.35001,329.29001,334.82001,385713
2020-09-30,318.51001,328.79001,317.35001,327.23001,682200
2020-09-29,318.22,321.87,317.35999,319.51001,216873
2020-09-28,318.35999,320.23999,315.54001,318.79999,326520
2020-09-25,303.70999,312.82001,301.38,312.10999,267438
2020-09-24,300.28,307.88,298.76001,304.42999,224239
2020-09-23,313.82999,313.82999,301.0,302.64999,225771
2020-09-22,310.85999,316.04001,307.79001,315.17999,213903
2020-09-21,300.91,309.47,298.35001,309.45999,344533
2020-09-18,309.23999,311.39001,300.0,304.91,541860
2020-09-17,308.82999,313.29999,305.01001,308.79999,392580
2020-09-16,331.44,331.44,317.48001,317.89001,297729
2020-09-15,323.78,330.02951,323.78,328.39001,194370
2020-09-14,318.69,323.48499,317.62,321.70001,203743
2020-09-11,318.48001,320.75,309.90451,313.88,273476
2020-09-10,323.67999,327.97501,315.45001,317.42001,323483
2020-09-09,311.95001,322.30499,310.41,319.76001,398848
2020-09-08,308.14001,319.0,308.14001,308.57999,443487
2020-09-04,329.38,333.23001,313.73001,321.22,485509
2020-09-03,344.54999,346.88,328.23999,332.20001,420232
2020-09-02,354.87,354.87,343.67999,350.51001,303571
2020-09-01,339.23001,345.39499,338.22,343.88,286123
2020-08-31,336.64999,340.03,334.64001,339.01999,271809
2020-08-28,332.35999,336.72,332.26001,336.72,186732
2020-08-27,334.51001,334.89001,327.72,332.5,194633
2020-08-26,324.41,333.23001,324.29501,331.38,251514
2020-08-25,325.75,328.97,324.16501,326.5,198912
2020-08-24,327.41,330.32001,322.66,325.25,325394
2020-08-21,327.92001,327.92001,322.38,324.39999,364191
2020-08-20,319.14001,328.92001,318.78,328.32001,260099
2020-08-19,321.51001,322.85999,316.22,319.67001,174180
2020-08-18,319.56,322.405,317.54001,320.23001,227685
2020-08-17,315.14999,319.67499,315.14999,317.53,190031
2020-08-14,314.23999,317.07999,311.06,313.19,146518
2020-08-13,309.47,319.42999,309.47,314.63,267066
2020-08-12,302.28,310.10001,302.28,308.39999,183558
2020-08-11,307.87,307.87,300.48001,302.12,241016
2020-08-10,311.62,311.62,301.56,308.78,300405
2020-08-07,313.85001,318.0,308.75,312.38,256618
2020-08-06,313.04999,319.82999,311.10001,315.25,441708
2020-08-05,312.06,319.82999,309.875,312.17001,343100
2020-08-04,313.76001,314.94,307.16,308.54001,424021
2020-08-03,311.62,316.51999,310.59,315.22,289922
2020-07-31,312.56,312.56,304.81,310.59,181028
2020-07-30,302.16,311.47,300.14001,309.66,301664
2020-07-29,301.51999,308.32999,300.88,306.04999,222042
2020-07-28,299.87,303.26999,296.78,297.94,196328
2020-07-27,294.97,300.62,294.97,300.10999,201495
2020-07-24,297.14999,298.03,291.54999,293.45001,557846
2020-07-23,307.13,309.34,298.56,300.06,288857
2020-07-22,307.62,310.0,304.70999,307.09,194738
2020-07-21,309.88,310.04999,303.76001,305.76001,308968
2020-07-20,301.48001,309.57001,299.88,309.10001,219877
2020-07-17,297.10001,301.45001,293.57001,301.12,169960
2020-07-16,299.72,299.72,291.44501,295.47,106973
2020-07-15,301.26999,304.48999,297.26001,301.04001,298200
2020-07-14,291.19,301.26999,289.10001,301.0,163065
2020-07-13,303.67001,306.22,293.73001,295.57001,112501
2020-07-10,303.25,305.10999,298.84,301.38,60837
2020-07-09,302.57001,307.60001,301.20999,304.69,108244
2020-07-08,301.69,303.09,297.62,301.89999,68772
2020-07-07,301.42001,306.08499,299.16,299.32001,84815
2020-07-06,300.19,307.10999,299.39999,301.67001,100483
2020-07-02,296.25,299.71249,295.85001,298.04001,85047
2020-07-01,291.12,295.57001,287.32999,294.32001,401098
2020-06-30,282.69,293.23999,279.98999,291.73001,473900
2020-06-29,283.79001,286.20319,277.125,282.13,267695
2020-06-26,287.51999,289.14001,280.26001,283.07999,1122900
2020-06-25,284.63,287.37,282.64001,287.29001,83778
2020-06-24,286.70999,290.965,281.85001,285.26999,141675
2020-06-23,290.48999,294.28,289.10001,289.34,122276
2020-06-22,282.62,289.35999,282.20999,289.32999,139053
2020-06-19,292.0,295.10999,281.35999,281.59,273338
2020-06-18,286.10999,291.28,285.04999,289.22,92422
2020-06-17,284.51001,289.0,283.75,285.60999,122565
2020-06-16,281.48001,286.75,278.32001,282.2316,201314
2020-06-15,265.67999,278.72501,265.67999,274.85001,161094
2020-06-12,277.73999,280.95999,266.85001,270.04999,172165
2020-06-11,282.20999,286.16,271.35501,271.98999,145020
2020-06-10,288.98001,291.0,285.94,285.97,185039
2020-06-09,290.75,293.06,284.591,285.42001,153709
2020-06-08,286.37,292.32001,283.44,291.12,103624
2020-06-05,282.92999,289.54999,280.89001,289.10001,450300
2020-06-04,284.63,286.95999,279.0,282.16,349000
2020-06-03,289.20001,290.98999,282.76999,286.89999,408300
2020-06-02,286.56,288.14001,281.01999,288.14001,454900
2020-06-01,281.85001,289.23001,280.44,286.70001,536700
2020-05-29,274.66,283.63,273.92999,283.0,776100
2020-05-28,268.89001,281.04001,268.70999,275.10001,615500
2020-05-27,267.64999,269.34,259.04001,269.31,468100
2020-05-26,274.39001,275.0,268.70999,268.97,526600
2020-05-22,265.87,271.23999,264.87,269.87,276500
2020-05-21,271.35001,272.57001,266.17999,266.28,476500
2020-05-20,267.07999,274.60999,265.03,272.20999,442100
2020-05-19,264.98999,268.73999,262.41,262.41,406900
2020-05-18,258.59,264.56,256.54001,263.51001,399400
2020-05-15,249.3,254.69,247.53,253.92999,451100
2020-05-14,249.25,252.25,244.53,252.14999,541100
2020-05-13,259.57001,263.48001,249.3,252.11,397700
2020-05-12,268.20001,268.20001,259.60001,259.79001,538000
2020-05-11,259.98999,267.98001,259.20001,265.85001,500400
2020-05-08,262.92999,264.39001,259.06,263.01999,568600
2020-05-07,260.26999,266.32001,255.64,260.76001,874500
2020-05-06,263.92001,269.57001,260.17999,268.07001,595300
2020-05-05,258.0,267.26001,258.0,262.23001,763500
2020-05-04,254.58,260.25,254.55,258.79999,447900
2020-05-01,257.44,260.0,252.77,255.64,580900
2020-04-30,263.53,268.09,261.39001,261.82999,842600
2020-04-29,260.62,266.53,258.13,265.84,648600
2020-04-28,266.39999,266.95999,254.42,257.35001,485100
2020-04-27,264.17999,265.60999,260.48001,262.87,395300
2020-04-24,264.32001,264.92999,256.89001,259.45001,472100
2020-04-23,261.76001,264.98999,257.87,258.95001,317000
2020-04-22,260.39999,264.85999,256.39999,263.26999,508900
2020-04-21,263.45001,263.88,252.72,253.28,567400
2020-04-20,262.44,268.44,258.60999,266.72,429600
2020-04-17,261.5,264.79001,256.32001,263.89999,846100
2020-04-16,255.94,259.20999,253.37,257.82001,556000
2020-04-15,251.05,256.60999,249.38,253.98,498900
2020-04-14,247.38,256.72,247.38,254.8,556300
2020-04-13,234.88,243.59,234.21001,242.92999,367400
2020-04-09,243.17,244.23,234.59,237.92,821200
2020-04-08,241.42999,246.74001,238.05,244.37,425700
2020-04-07,247.25,252.0,234.49001,239.64999,698900
2020-04-06,229.21001,244.2,227.75999,242.46001,661000
2020-04-03,215.34,219.64999,211.89999,218.3,576400
2020-04-02,209.5,218.0,207.78999,216.2,673600
2020-04-01,223.14,226.92999,209.72,211.25,920000
2020-03-31,234.50999,237.57001,229.11,232.47,945700
2020-03-30,226.31,237.36,222.0,235.13,645300
2020-03-27,226.53,233.63,221.57001,223.02,752100
2020-03-26,214.41,232.39,212.50999,230.37,728600
2020-03-25,214.81,221.84,208.37,212.31,1030000
2020-03-24,218.75,223.83,210.48,217.42999,1315100
2020-03-23,212.97,223.87,204.28,208.35001,892200
2020-03-20,229.17,229.27,209.32001,213.11,1309600
2020-03-19,220.50999,229.02,211.12,221.09,910700
2020-03-18,215.39999,226.42999,210.39999,221.67,1103700
2020-03-17,211.89,237.39999,203.71001,234.28999,1238000
2020-03-16,226.63,226.63,205.61,206.35001,1232900
2020-03-13,215.0,235.5,214.69,235.42,1393700
2020-03-12,201.50999,219.21001,200.07001,204.46001,1312300
2020-03-11,222.19,225.17999,214.61,217.73,726200
2020-03-10,231.16,232.71001,219.60001,229.12,1003300
2020-03-09,222.53,231.50999,216.7,222.41,1058600
2020-03-06,239.59,241.77,230.5,237.78,1034100
2020-03-05,251.03,254.86,246.62,248.06,821900
2020-03-04,254.22,259.5,249.53,259.5,733200
2020-03-03,256.98001,261.87,246.66,249.07001,811200
2020-03-02,242.08,259.07999,241.50999,258.81,1386600
2020-02-28,234.02,246.17,234.02,242.19,1674500
2020-02-27,241.86,261.09,234.96001,244.14999,1534800
2020-02-26,268.17001,274.64999,266.35999,270.19,659300
2020-02-25,278.89999,281.63,265.76999,266.44,681500
2020-02-24,279.04999,280.91,274.44,276.73999,953900
2020-02-21,293.01001,293.89999,284.54999,287.10999,584200
2020-02-20,295.89001,296.75,288.06,294.01999,525400
2020-02-19,292.94,299.06,290.31,296.14001,524700
2020-02-18,292.60001,292.60001,287.63,290.89999,700600
2020-02-14,292.94,292.94,290.42001,291.98001,911900
2020-02-13,291.75,293.44,291.06,291.67999,600300
2020-02-12,289.54999,292.89001,288.42999,292.45999,449200
2020-02-11,287.5,289.16,284.79999,288.29001,435300
2020-02-10,283.22,287.73001,281.29999,286.51999,471400
2020-02-07,285.44,287.56,282.98001,284.82999,417000
2020-02-06,284.73001,287.76999,283.63,285.88,392400
2020-02-05,292.39001,293.42999,280.63,283.95001,672300
2020-02-04,285.0,289.76001,282.66,289.22,462300
2020-02-03,279.66,282.73999,276.76999,281.32999,640300
2020-01-31,279.67001,279.79001,272.84,274.32999,482400
2020-01-30,276.01999,280.34,275.28,280.14001,298300
2020-01-29,279.67001,280.97,276.03,277.72,341200
2020-01-28,273.35001,279.16,271.0,278.35999,383800
2020-01-27,270.48001,273.45999,268.16,270.70001,425100
2020-01-24,278.31,280.22,275.34,277.34,460000
2020-01-23,274.37,278.70999,273.57999,277.70999,493900
2020-01-22,274.97,277.29999,274.32999,274.73001,530300
2020-01-21,269.89999,275.88,268.67999,273.82001,645800
2020-01-17,269.20001,270.60001,266.45001,270.28,531700
2020-01-16,266.04999,266.91,264.69,266.81,713100
2020-01-15,263.01999,265.42999,263.01999,264.28,426900
2020-01-14,264.57001,264.57001,261.57001,262.87,506100
