datetime,open,high,low,close,volume
2021-01-29,301.29999,301.29999,292.17001,294.26999,700876
2021-01-28,296.5,306.01001,292.26001,300.51001,1767000
2021-01-27,303.67001,308.76999,288.01001,290.17001,3046200
2021-01-26,317.60001,318.29999,309.85001,312.51999,1221700
2021-01-25,313.47,315.97461,311.64999,315.37,839984
2021-01-22,320.51001,321.29999,313.95999,314.09,969000
2021-01-21,320.95001,325.34,319.12,321.70001,993700
2021-01-20,323.34,323.5,317.51001,321.51999,1158200
2021-01-19,330.0,330.87,323.10501,323.69,913779
2021-01-15,322.51999,327.20999,319.38,326.42001,1166600
2021-01-14,331.89999,333.0,321.70999,322.51999,1320700
2021-01-13,334.47,335.59,329.26999,330.42999,911600
2021-01-12,337.29999,340.35999,333.95999,334.78,906500
2021-01-11,335.45001,340.98001,335.45001,338.76999,922969
2021-01-08,338.19,340.67001,332.70999,337.07999,1384100
2021-01-07,329.01001,338.54999,328.45999,337.38,1418300
2021-01-06,309.0,330.23001,308.0,328.32001,1860100
2021-01-05,317.62,320.10999,313.67999,315.10001,996400
2021-01-04,321.10999,324.23001,311.38309,318.57999,1143770
2020-12-31,315.14999,322.19,314.34,321.09,749300
2020-12-30,314.0,316.37,313.88,314.04999,574600
2020-12-29,315.39999,319.06,313.60999,314.32999,766000
2020-12-28,310.63,315.39001,309.45999,312.89001,708717
2020-12-24,307.89499,309.57001,307.89499,308.67001,246768
2020-12-23,306.42999,311.67001,306.42999,308.35001,777200
2020-12-22,305.89001,307.35999,302.56,303.29999,1036800
2020-12-21,303.34,306.64001,298.60001,306.38,944248
2020-12-18,314.20001,315.32001,306.39999,308.57001,1080163
2020-12-17,310.0,315.34,310.0,314.35001,898968
2020-12-16,312.45999,312.89001,306.84,310.23999,1003200
2020-12-15,312.215,314.66,310.51999,313.41,869070
2020-12-14,314.14001,316.22,309.595,310.10001,851719
2020-12-11,311.82999,315.87,310.17001,311.37,718179
2020-12-10,317.66,319.04999,313.48001,313.75,1224500
2020-12-09,322.75,324.07001,316.25,318.44,1016500
2020-12-08,316.41501,322.98999,315.89999,322.64999,472540
2020-12-07,321.51999,323.95001,317.09,319.23999,672081
2020-12-04,321.35999,326.76001,321.14999,323.26501,772197
2020-12-03,318.17001,325.53,318.10001,323.03,1255000
2020-12-02,313.12,321.64001,313.07001,318.45001,1131700
2020-12-01,317.0,326.85001,313.31,313.89999,1364200
2020-11-30,311.79001,315.29999,309.34,311.51999,1541876
2020-11-27,308.69,313.54001,308.23999,312.79999,533300
2020-11-25,315.07001,315.07001,306.66,309.04999,1180800
2020-11-24,310.57001,317.88,310.0,313.94,1302800
2020-11-23,307.70001,313.73999,307.70001,310.66,1169561
2020-11-20,311.42999,312.12,304.67001,305.62,2311500
2020-11-19,320.62,320.79999,311.67001,311.85001,1610700
2020-11-18,331.35001,333.48999,322.13,322.38,669020
2020-11-17,328.73001,332.79999,326.13,329.84,1038500
2020-11-16,335.92001,338.20001,330.04348999999996,333.14999,1329144
2020-11-13,331.04001,334.69,327.91159,332.95999,1001050
2020-11-12,322.82001,331.26999,320.98999,329.92001,1504300
2020-11-11,330.19,332.75,323.12,323.37,1517700
2020-11-10,323.04999,330.26001,314.42999,328.56,1975600
2020-11-09,334.98001,337.67999,321.82999,322.41,1596224
2020-11-06,317.92999,318.16,312.23999,313.32001,1606400
2020-11-05,328.72,334.10001,317.75,319.60001,2333200
2020-11-04,312.79999,332.39999,311.75,327.85999,3987700
2020-11-03,282.67001,295.59,281.89999,293.45999,1790100
2020-11-02,278.19,279.67999,270.44,278.25,2168533
2020-10-30,273.92001,275.03,269.01001,272.79999,1567700
2020-10-29,284.47,285.35001,272.34,273.26001,1737100
2020-10-28,287.92001,297.69,285.23001,285.79999,1551700
2020-10-27,297.80499,300.45499,293.01001,298.41,1313739
2020-10-26,307.60999,308.25,297.70999,299.75,1187926
2020-10-23,305.32999,311.73001,305.32999,310.73001,1054131
2020-10-22,297.01999,306.29999,296.45999,305.17001,1176600
2020-10-21,290.5,297.29001,290.34,296.16,898300
2020-10-20,293.17999,296.45999,290.95001,291.19,822700
2020-10-19,296.0,298.39001,290.20981,292.20999,846765
2020-10-16,295.10001,300.37,292.84,296.87,768900
2020-10-15,287.48001,296.91,287.17001,294.89999,785100
2020-10-14,295.98999,297.77499,289.60999,292.32999,868106
2020-10-13,295.63,299.22,295.01501,297.44,629060
2020-10-12,295.42999,300.91501,294.42999,298.57001,913797
2020-10-09,294.31,298.45001,293.82999,294.35001,689824
2020-10-08,293.10999,294.0,288.75,293.42001,824473
2020-10-07,285.23001,293.94,285.23001,293.12,969800
2020-10-06,286.14999,290.64001,282.5,283.64001,1086400
2020-10-05,276.98001,285.0,276.67999,284.79001,930982
2020-10-02,264.44,280.48001,264.44,275.0,1456281
2020-10-01,269.345,270.76501,266.31,270.17001,737780
2020-09-30,259.51999,271.14999,258.75,268.59,1312800
2020-09-29,258.06,261.63,256.56,259.79001,719504
2020-09-28,258.82999,261.79999,255.78,257.06,870080
2020-09-25,247.25999,256.10001,246.2,255.13,1007184
2020-09-24,245.34,249.25,244.28,248.895,1159801
2020-09-23,248.17,251.0,245.03999,245.74001,1339697
2020-09-22,256.88501,258.62,246.39999,247.44,1782299
2020-09-21,256.75,257.88,250.39999,257.54999,1271359
2020-09-18,263.17999,266.29999,260.56,264.10999,604773
2020-09-17,262.01999,264.48001,259.41,262.91,649296
2020-09-16,261.45001,265.69,258.51999,263.98001,823382
2020-09-15,266.12,267.345,258.86499,259.95999,1013902
2020-09-14,259.22,269.17001,259.10999,265.54999,1173536
2020-09-11,260.64999,265.42999,254.48,258.01999,1072604
2020-09-10,268.01999,270.03,260.59,260.59,981641
2020-09-09,267.98999,269.32999,264.56,267.48001,892125
2020-09-08,275.26999,275.26999,266.41,267.35999,1045955
2020-09-04,278.61499,279.26001,270.5,276.14001,700775
2020-09-03,281.58499,284.155,274.19,277.01001,792864
2020-09-02,274.98001,281.10999,273.54001,279.95999,1116504
2020-09-01,281.57999,281.57999,272.82999,273.09,1446558
2020-08-31,277.07001,284.345,276.36499,281.44,1047777
2020-08-28,274.04001,279.005,271.85501,277.22,530010
2020-08-27,270.89999,278.64001,269.28,274.59,1027133
2020-08-26,276.715,276.715,266.80099,270.17999,1017075
2020-08-25,280.51001,280.51001,275.16,276.48001,744884
2020-08-24,286.28,286.7648,278.39001,279.16,594043
2020-08-21,282.38,286.26999,281.87,284.57001,756358
2020-08-20,282.0,283.745,280.54999,281.89001,547168
2020-08-19,282.75,286.298,282.73999,283.42001,508547
2020-08-18,284.59,285.64999,281.85001,282.32001,670200
2020-08-17,283.5,285.75,282.17999,283.14999,531032
2020-08-14,281.64999,285.26999,279.10999,283.16,444323
2020-08-13,282.10251,282.37,278.41501,282.32999,568688
2020-08-12,284.08261,286.17999,280.45001,283.10999,645600
2020-08-11,283.19,288.0,279.09,280.29999,1185799
2020-08-10,277.31,280.14999,276.23999,278.70001,587961
2020-08-07,271.745,278.17999,271.32999,276.45999,834742
2020-08-06,276.845,277.63501,269.09,271.54001,893370
2020-08-05,271.94501,276.01001,270.20999,275.435,970422
2020-08-04,269.435,272.85999,267.72,271.07999,795232
2020-08-03,275.28,277.38501,269.35999,270.79999,846394
2020-07-31,276.89999,277.42001,270.44,273.82001,774980
2020-07-30,276.88,279.67001,272.45001,277.29999,941225
2020-07-29,267.745,285.23001,267.64499,281.57001,1680603
2020-07-28,263.31,267.685,263.26999,265.23999,1064112
2020-07-27,269.79001,269.79001,263.29999,264.0,1102320
2020-07-24,270.82999,273.70001,269.60001,270.51001,985588
2020-07-23,267.85001,270.89001,266.37,269.82001,836564
2020-07-22,266.59,268.25,261.05399,268.17001,824322
2020-07-21,260.54001,269.04999,259.91,265.88,1328769
2020-07-20,266.10001,267.37,258.89001,259.0,1039575
2020-07-17,266.12,268.29001,264.92001,266.35001,463589
2020-07-16,266.89999,269.22,263.67999,264.13,238770
2020-07-15,262.75,268.38501,259.89999,267.14001,138705
2020-07-14,256.57999,263.88,256.09,263.17001,249066
2020-07-13,256.69501,262.39999,256.29999,257.56,168805
2020-07-10,256.57999,257.0,253.75,255.0,192079
2020-07-09,262.95999,264.005,254.55,255.0,190636
2020-07-08,265.90991,266.92999,260.42999,262.39999,195983
2020-07-07,267.45999,268.88,264.45001,264.98999,261248
2020-07-06,271.23001,271.63,267.10999,268.92999,237963
2020-07-02,271.82999,273.92999,266.97,267.0,204427
2020-07-01,267.19,270.10001,264.53,268.67999,1075343
2020-06-30,259.75,264.60001,256.73999,262.98001,1195600
2020-06-29,258.14999,262.29001,257.35999,259.26999,1270196
2020-06-26,259.85001,264.64999,254.42999,255.64999,1997400
2020-06-25,258.22,261.35999,253.50999,260.91,471864
2020-06-24,265.01001,266.0,254.92999,257.25,408711
2020-06-23,268.58499,270.60501,265.19,269.0,246744
2020-06-22,264.965,266.53,261.57999,265.35999,270924
2020-06-19,270.37,272.64999,266.34,266.44,403497
2020-06-18,264.76999,265.91,260.38,265.76999,252113
2020-06-17,268.065,269.53,264.1745,265.54001,264077
2020-06-16,272.79001,273.065,264.60999,267.32001,340822
2020-06-15,257.14999,264.76001,250.875,262.34,494405
2020-06-12,272.82999,274.20999,259.29999,265.54999,369605
