datetime,open,high,low,close,volume
2021-01-29,14.82,15.44,14.155,14.45,5384810
2021-01-28,15.0,15.41,14.63,14.94,8284400
2021-01-27,15.02,15.98,14.55,14.6,12438700
2021-01-26,16.17,16.61,15.29,15.3,8330200
2021-01-25,16.18,16.18,15.31,15.73,9155463
2021-01-22,16.1,16.44,15.74,16.38,8270400
2021-01-21,17.29,17.5,16.13,16.64,10325200
2021-01-20,18.0,18.2,17.18,17.47,7106400
2021-01-19,18.02,18.11,17.565,17.82,7088102
2021-01-15,18.03,18.03,17.12,17.27,8912900
2021-01-14,18.38,19.32,18.26,18.35,11184900
2021-01-13,18.5,18.53,17.69,17.8,7300700
2021-01-12,17.07,18.55,16.91,18.53,11532100
2021-01-11,15.95,16.75,15.8,16.66,5929019
2021-01-08,17.36,17.45,16.3,16.58,7750600
2021-01-07,17.0,17.5,16.73,17.11,8433500
2021-01-06,16.4,17.08,15.69,16.84,13573800
2021-01-05,14.86,16.73,14.86,16.18,15091800
2021-01-04,14.65,14.95,14.38,14.77,9609944
2020-12-31,14.4,14.53,14.06,14.19,7427800
2020-12-30,14.14,14.77,14.13,14.57,5936000
2020-12-29,14.3,14.5,13.97,14.15,6203700
2020-12-28,14.52,14.815,14.152,14.21,5494386
2020-12-24,14.79,14.8,14.255,14.43,3401916
2020-12-23,14.33,15.17,14.31,14.78,8407400
2020-12-22,14.84,14.88,14.08,14.12,7002600
2020-12-21,14.25,15.19,14.2,14.85,6943801
2020-12-18,15.7,15.92,15.185,15.34,5832588
2020-12-17,16.0,16.14,15.562,15.75,5873375
2020-12-16,15.95,16.25,15.54,15.8,6998900
2020-12-15,15.53,16.09,15.06,15.89,7410664
2020-12-14,16.6819,16.8,15.265,15.31,10583441
2020-12-11,16.31,16.5599,15.75,16.1,8244893
2020-12-10,14.97,16.86,14.91,16.5,15970200
2020-12-09,15.07,15.43,14.59,15.02,12415400
2020-12-08,14.38,15.26,14.3102,14.755,9594329
2020-12-07,14.8484,15.04,14.39,14.61,9763839
2020-12-04,14.02,15.23,14.02,15.18,12663404
2020-12-03,13.24,13.96,12.97,13.74,8368200
2020-12-02,12.33,13.56,12.2,13.11,10092600
2020-12-01,13.4,13.53,12.36,12.37,12469800
2020-11-30,13.6723,13.755,12.85,12.89,11205295
2020-11-27,14.1265,14.39,13.7601,13.92,4982484
2020-11-25,13.8,14.41,13.65,14.12,10725200
2020-11-24,13.56,14.35,13.39,14.04,18511800
2020-11-23,11.67,12.89,11.64,12.86,13446879
2020-11-20,11.37,11.5,11.16,11.44,7961900
2020-11-19,11.0,11.41,10.89,11.35,10321600
2020-11-18,11.6097,11.895,11.03,11.04,10804255
2020-11-17,10.76,11.46,10.72,11.44,11756800
2020-11-16,11.0,11.16,10.7125,11.14,11046317
2020-11-13,9.8695,10.37,9.8,10.31,8758756
2020-11-12,9.73,10.21,9.65,9.7,13376800
2020-11-11,10.27,10.38,9.7,9.95,12618800
2020-11-10,10.03,10.2,9.57,9.99,18281200
2020-11-09,9.73,10.52,9.595,9.75,26437044
2020-11-06,8.87,9.09,8.5,8.54,12181700
2020-11-05,9.19,9.59,8.95,8.97,15967600
2020-11-04,8.75,9.3,8.43,8.99,19228000
2020-11-03,9.1,9.21,8.63,8.73,10416600
2020-11-02,8.415,8.96,7.98,8.885,12978637
2020-10-30,8.21,8.3,7.96,8.3,11474600
2020-10-29,7.67,8.22,7.45,8.19,12667100
2020-10-28,7.96,8.15,7.7,7.79,13764900
2020-10-27,8.56,8.57,8.32,8.34,7487030
2020-10-26,9.07,9.105,8.35,8.56,13881294
2020-10-23,9.54,9.635,9.1299,9.28,8032480
2020-10-22,9.1,9.48,9.02,9.44,26391600
2020-10-21,9.41,9.5,9.08,9.1,11752000
2020-10-20,9.22,9.86,9.18,9.61,13011900
2020-10-19,9.45,9.58,9.015,9.06,10552417
2020-10-16,9.64,9.81,9.34,9.37,10037800
2020-10-15,9.1,9.78,8.96,9.76,16482600
2020-10-14,9.28,9.95,9.19,9.21,15355662
2020-10-13,9.22,9.3,8.9501,9.14,9594723
2020-10-12,9.56,9.6,9.12,9.31,12271915
2020-10-09,10.28,10.41,9.61,9.665,11486727
2020-10-08,9.73,10.15,9.51,10.14,9479820
2020-10-07,9.68,9.68,9.37,9.57,8828300
2020-10-06,10.03,10.27,9.33,9.42,13362300
