datetime,open,high,low,close,volume
2021-01-29,126.1,127.0,125.315,125.85,937851
2021-01-28,127.53,127.98,124.98,126.85,2249400
2021-01-27,126.78,128.0,122.53,125.57,3334200
2021-01-26,133.42999,133.75999,129.75,130.02,1602500
2021-01-25,132.56,133.13,130.39999,132.82001,1490958
2021-01-22,132.32001,132.67,131.57001,132.24001,1554500
2021-01-21,134.34,135.83,132.95,133.10001,1040100
2021-01-20,133.8,134.36,133.0,133.95,840300
2021-01-19,133.33,133.60001,131.33,132.35001,1076678
2021-01-15,133.16,133.57001,130.92,131.74001,1372000
2021-01-14,135.0,135.25999,133.66,133.84,803500
2021-01-13,134.72,135.06,133.74001,134.46001,810400
2021-01-12,135.75,136.21001,134.46001,134.94,742500
2021-01-11,133.27,135.895,132.7,135.67999,776485
2021-01-08,136.5,137.17999,133.92,135.36,967800
2021-01-07,135.0,136.45,134.0,135.91,913700
2021-01-06,131.09,134.81,131.09,133.99001,1110400
2021-01-05,128.84,131.39999,128.35001,130.74001,1355900
2021-01-04,130.92,132.03,127.78,128.52,1006928
2020-12-31,129.86,130.98,129.36,130.77,886900
2020-12-30,129.28999,130.39,128.94,129.84,732600
2020-12-29,130.28999,130.3,128.02,128.44,867400
2020-12-28,130.14,130.81,129.42,129.84,622429
2020-12-24,129.00999,129.38,128.27,129.17,370641
2020-12-23,129.69,130.22,128.67,128.75999,969800
2020-12-22,129.49001,129.49001,128.22,128.87,858000
2020-12-21,128.45,129.88,127.265,129.36,1678426
2020-12-18,132.00999,132.425,129.85001,130.69,817250
2020-12-17,131.92,132.985,131.55499,132.16,824579
2020-12-16,131.37,131.62,129.58,130.86,1068800
2020-12-15,131.2,131.89999,130.08501,131.53,975099
2020-12-14,132.12,132.96001,130.075,130.3,1031330
2020-12-11,130.10001,131.645,129.92999,130.97,1062873
2020-12-10,132.87,133.64999,131.25999,131.41,1262300
2020-12-09,134.0,135.67999,133.17999,133.62,1405200
2020-12-08,132.33,133.435,131.67999,133.23,1172463
2020-12-07,133.10001,133.91,131.815,132.42999,1574111
2020-12-04,132.48,134.52,132.48,132.92,1196541
2020-12-03,130.75,132.23,130.63,131.7,1348900
2020-12-02,131.53999,131.78,130.19,131.09,1459000
2020-12-01,132.64999,133.55,131.47,131.61,1882000
2020-11-30,131.14,132.125,130.02,130.81,1520236
2020-11-27,131.72,132.45,131.08,131.95,526900
2020-11-25,130.50999,131.14999,129.87,130.83,869600
2020-11-24,129.42,131.49001,128.53999,131.25,1288500
2020-11-23,128.35001,129.60001,127.53,128.07001,1065244
2020-11-20,127.36,128.42999,127.12,127.39,1534800
2020-11-19,125.01,127.63,124.81,127.2,916500
2020-11-18,127.3645,127.41,125.545,125.79,1228797
2020-11-17,125.05,128.42,125.0,127.06,1528200
2020-11-16,121.46,126.3,121.35,126.28,1616967
2020-11-13,121.76,123.72,121.03,123.45,1064874
2020-11-12,123.45,123.89,119.64,120.21,1611600
2020-11-11,123.19,125.4,122.79,124.28,2141300
2020-11-10,121.0,122.92,120.51,121.85,2018200
2020-11-09,125.5,128.53999,121.42,121.59,1915030
2020-11-06,119.67,120.62,119.12,120.34,832000
2020-11-05,118.39,120.4,117.91,119.46,1698100
2020-11-04,116.62,117.84,114.82,115.92,2206600
2020-11-03,116.67,118.85,116.41,116.5,1410500
2020-11-02,114.31,115.47,113.55,115.07,1399829
2020-10-30,112.67,112.9,111.01,112.84,1109200
2020-10-29,111.46,114.54,110.66,113.17,1385000
2020-10-28,113.19,113.77,111.16,111.51,1157700
2020-10-27,116.31,117.3,114.51,115.05,1052669
2020-10-26,118.04,118.33,114.59,116.45,1084773
2020-10-23,119.49,119.76,117.89,119.75,1277960
2020-10-22,115.12,119.35,114.74,118.51,1647400
2020-10-21,114.86,119.08,113.71,114.94,2168200
2020-10-20,114.62,116.18,113.51,114.6,1379400
2020-10-19,115.13,115.84,112.57,113.1,1491985
2020-10-16,115.0,115.97,114.82,115.16,2972600
2020-10-15,112.21,114.42,111.63,114.36,1362200
2020-10-14,113.64,114.65,112.77,113.52,869116
2020-10-13,114.35,114.35,112.695,112.97,1166318
2020-10-12,114.2,116.1,113.74,114.76,1811948
2020-10-09,114.565,115.255,113.12,113.51,1008400
2020-10-08,113.17,114.55,113.17,113.5,568751
2020-10-07,111.23,113.56,111.23,113.03,859000
2020-10-06,111.29,112.76,110.04,110.14,1175700
2020-10-05,110.26,112.63,110.26,111.53,1322788
2020-10-02,108.32,110.7,107.08,109.36,864212
2020-10-01,108.95,110.0,108.945,109.79,810905
2020-09-30,109.04,109.79,107.59,108.27,1848600
2020-09-29,108.55,109.26,107.62,108.63,1197865
2020-09-28,107.53,108.94,107.0,108.18,1057954
2020-09-25,103.76,106.13,103.205,105.65,974251
2020-09-24,102.78,105.6,102.45,104.13,1155932
2020-09-23,104.6585,105.25,102.8,103.3,1157007
2020-09-22,103.64,104.85,101.71,104.61,1241465
2020-09-21,107.12,107.14,102.91,103.43,1349710
2020-09-18,110.29,110.74,108.23,108.87,1178343
2020-09-17,108.4,110.44,107.84,110.04,1603252
2020-09-16,109.9965,110.26,108.88,109.1,1066791
2020-09-15,107.32,109.305,107.3,108.33,774554
2020-09-14,105.26,107.03,105.26,106.74,913551
2020-09-11,105.22,106.13,103.87,104.29,1061140
2020-09-10,107.37,107.97,104.05,104.56,1054288
2020-09-09,106.265,107.79,105.88,106.75,2192354
2020-09-08,106.88,107.56,104.95,105.1,1376454
