datetime,open,high,low,close,volume
2021-01-29,90.22,91.33,89.74,90.4112,3165511
2021-01-28,89.57,91.42,89.01,90.27,6665500
2021-01-27,91.0,91.0,88.21,88.67,12150000
2021-01-26,93.35,93.68,92.14,92.38,6419000
2021-01-25,95.53,95.76,92.74,93.4,5373544
2021-01-22,94.68,95.23,93.82,94.43,3754700
2021-01-21,95.47,95.7,94.21,94.6,4488800
2021-01-20,93.96,95.87,93.57,95.12,5703200
2021-01-19,90.915,93.36,90.83,93.15,5711938
2021-01-15,89.99,90.75,88.57,90.69,8461400
2021-01-14,90.16,91.24,89.65,89.99,5466000
2021-01-13,89.64,90.34,88.44,89.77,4223700
2021-01-12,91.0,91.19,87.96,89.25,5400700
2021-01-11,91.3,91.85,90.555,90.91,5990430
2021-01-08,90.07,91.37,89.53,91.3,4408800
2021-01-07,88.86,90.75,88.27,89.67,6142200
2021-01-06,89.06,89.9,87.89,88.0,7420700
2021-01-05,90.32,90.75,89.1,90.69,4543300
2021-01-04,92.695,92.91,89.2235,89.9,7182844
2020-12-31,91.74,92.99,91.53,92.85,4310500
2020-12-30,91.75,92.6,91.43,91.58,2688300
2020-12-29,91.63,92.11,90.85,91.37,3741400
2020-12-28,91.76,92.26,90.77,91.43,4378330
2020-12-24,90.45,91.2,90.29,90.96,2269797
2020-12-23,89.95,90.49,88.8,90.21,4728300
2020-12-22,89.44,89.61,88.3,89.42,5084000
2020-12-21,89.48,90.05,87.18,88.81,7303993
2020-12-18,88.945,90.78,88.29,90.37,7753667
2020-12-17,88.8514,89.35,86.979,88.45,5672091
2020-12-16,87.26,88.29,86.84,88.22,6968500
2020-12-15,85.88,86.96,85.59,86.93,4961046
2020-12-14,84.27,86.2601,84.075,85.94,7391535
2020-12-11,83.11,84.04,82.88,83.67,5086278
2020-12-10,82.28,83.93,81.68,83.11,8501500
2020-12-09,83.5,83.68,81.87,82.58,11116000
2020-12-08,82.48,83.635,81.99,83.63,5872704
2020-12-07,81.4,82.95,81.18,82.27,6731026
2020-12-04,78.72,80.93,78.635,80.9,5504051
2020-12-03,79.31,79.81,78.55,78.79,4857800
2020-12-02,79.72,80.01,78.74,79.15,4778100
2020-12-01,79.94,79.99,78.63,79.93,5794200
2020-11-30,78.32,79.68,77.78,79.48,15235004
2020-11-27,77.58,78.21,76.66,78.14,2978425
2020-11-25,75.93,77.14,75.65,76.51,4822900
2020-11-24,75.93,76.05,74.91,75.23,7252300
2020-11-23,76.92,77.26,75.11,75.92,6953471
2020-11-20,75.7,77.71,75.5,76.81,6730400
2020-11-19,73.96,76.7,73.74,75.93,8749800
2020-11-18,76.95,77.07,75.26,75.5,9283400
2020-11-17,77.52,78.8,77.01,77.11,6209700
2020-11-16,76.72,77.5,75.57,77.44,7766045
2020-11-13,77.45,77.7,76.62,77.54,4706153
2020-11-12,77.12,78.4,76.53,76.71,4881200
2020-11-11,76.35,76.69,75.71,76.55,5510200
2020-11-10,74.8,76.24,73.21,75.12,8657700
2020-11-09,75.0,78.23,71.19,75.41,13716606
2020-11-06,79.87,80.14,77.27,78.81,7575700
2020-11-05,80.74,81.68,79.89,80.14,6578900
2020-11-04,78.93,80.02,77.67,79.37,8631800
2020-11-03,76.58,77.68,75.76,76.26,6551100
2020-11-02,76.55,77.77,75.7,76.4,7306645
2020-10-30,77.45,78.28,74.37,75.73,11977700
