datetime,open,high,low,close,volume
2021-01-29,163.935,166.78999,162.71001,165.34,333631
2021-01-28,164.11,169.14,162.71001,166.02,555500
2021-01-27,166.81,167.99001,162.81,163.87,845800
2021-01-26,167.0,169.37,166.39999,168.11,776300
2021-01-25,164.23,167.399,163.005,166.61,834898
2021-01-22,164.71001,165.64,163.09,164.73,911300
2021-01-21,164.39,166.3,162.82001,165.46001,521300
2021-01-20,161.64,167.2,160.94,165.92,926700
2021-01-19,164.81,165.3139,161.35001,162.41,740980
2021-01-15,160.13,164.31,159.67999,164.0,847200
2021-01-14,160.39999,162.28,158.60001,160.49001,869500
2021-01-13,157.71001,160.24001,157.39999,159.19,867000
2021-01-12,156.58,157.92999,155.64,157.38,838600
2021-01-11,158.0,158.73,156.38,157.38,578730
2021-01-08,156.89999,158.69,156.38,158.44,784200
2021-01-07,158.32001,158.86,155.89999,157.06,834800
2021-01-06,156.16,159.83,155.39,159.23,1185400
2021-01-05,155.7,156.60001,154.84,155.07001,1236500
2021-01-04,160.07001,161.7,155.0,155.52,1122782
2020-12-31,158.48,160.66,156.75999,160.42999,430400
2020-12-30,156.45,158.8,156.36,158.05,577100
2020-12-29,161.0,161.64999,157.14,157.21001,550000
2020-12-28,158.0,160.33,157.46001,160.33,948934
2020-12-24,157.39,158.11,156.10001,157.74001,246100
2020-12-23,159.58,160.89,156.50999,156.72,564100
2020-12-22,158.31,158.62,156.21001,158.56,823600
2020-12-21,155.0,158.25999,155.0,157.96001,858462
2020-12-18,163.42,163.42,157.00999,158.42,1334387
2020-12-17,163.33,163.33,160.50999,163.28,720484
2020-12-16,162.0,163.25,159.71001,161.50999,1109900
2020-12-15,161.33,161.98,158.23,161.98,608814
2020-12-14,163.24001,164.84,159.58501,159.67,812063
2020-12-11,161.0,162.82001,160.8,162.36,887426
2020-12-10,165.88,167.81,162.32001,162.52,1071000
2020-12-09,169.16,170.53999,164.75999,166.45,1415100
2020-12-08,171.83,172.25999,169.28999,169.39999,895444
2020-12-07,172.45,174.16,172.24001,172.67999,500509
2020-12-04,172.3,174.19,170.75,173.88,644955
2020-12-03,169.00999,171.99001,168.71001,171.13,1204500
2020-12-02,168.50999,172.99001,167.83,169.28,967900
2020-12-01,169.28,169.72,167.05,167.45,907200
2020-11-30,166.69,168.57001,164.27499,166.59,1989474
2020-11-27,170.92,170.92,167.2,167.87,324500
2020-11-25,172.38,172.64,169.71001,171.05,660600
2020-11-24,173.83,175.37,172.36,173.31,907700
2020-11-23,172.35001,174.03999,170.56,171.05,1083855
2020-11-20,171.02,172.64,169.77,171.89999,984700
2020-11-19,168.64,170.57001,164.83,170.3,961200
2020-11-18,174.42,175.50999,169.56,169.60001,655546
2020-11-17,171.46001,175.45,170.00999,174.12,664600
2020-11-16,176.28,176.78999,170.58,173.35001,947211
2020-11-13,166.46001,169.52,166.46001,169.41,768973
2020-11-12,168.19,168.59,164.41,166.5,980900
2020-11-11,171.2,171.2,167.21001,168.82001,1526900
2020-11-10,165.28999,174.49001,164.55,171.78999,2680500
2020-11-09,158.98,184.49001,158.98,164.69,3047814
2020-11-06,148.09,150.41,146.95,147.95,956100
2020-11-05,148.78999,150.7,147.27,148.24001,951200
2020-11-04,150.58,150.95,146.92999,148.33,1178200
2020-11-03,147.03,153.28999,146.75,151.14999,1330700
2020-11-02,140.10001,145.35001,137.895,145.34,1130559
2020-10-30,135.28,140.09,135.28,139.13,1330500
2020-10-29,132.71001,137.82001,132.06,136.13,1638800
2020-10-28,137.5,137.78,131.38,132.71001,2059900
2020-10-27,143.035,143.97,139.89,139.97,800197
2020-10-26,145.0,145.295,142.02,143.38,761328
