datetime,open,high,low,close,volume
2021-01-29,159.28999,160.44,156.03999,159.19,447562
2021-01-28,157.03999,162.62,156.81,159.78999,827700
2021-01-27,158.19,158.89999,155.39999,156.72,962900
2021-01-26,160.25,160.82001,158.64,159.31,1056400
2021-01-25,160.88,163.56,159.895,161.21001,834060
2021-01-22,160.44,161.72,159.02,160.91,674100
2021-01-21,163.10001,163.99001,159.89,160.89999,785300
2021-01-20,159.22,163.87,158.58,163.39999,1051000
2021-01-19,160.83,160.92,157.7,159.27,766120
2021-01-15,157.56,160.3,157.0,159.72,946600
2021-01-14,159.52,159.67999,157.27,158.0,712400
2021-01-13,156.60001,161.2,156.23,159.69,898200
2021-01-12,156.78,159.11,154.42999,156.23,1128800
2021-01-11,156.36,157.55,154.25999,156.64,794737
2021-01-08,152.09,157.37,151.5,156.98,1367400
2021-01-07,153.89,154.59,151.78999,152.13,851500
2021-01-06,151.78,153.73,150.56,152.36,1206200
2021-01-05,150.5,151.50999,148.89999,151.09,867600
2021-01-04,153.53,153.785,148.62,150.24001,1328263
2020-12-31,150.59,153.60001,150.21001,153.47,521900
2020-12-30,150.89999,151.7,150.25999,150.63,361800
2020-12-29,150.78999,151.88,149.94,150.73,685100
2020-12-28,149.59,151.00999,148.985,149.64999,528916
2020-12-24,147.81,149.14,147.46001,149.14,293590
2020-12-23,148.95,150.66,147.35001,147.41,731500
2020-12-22,149.34,149.34,147.41,148.06,823700
2020-12-21,148.95,149.39,147.03,149.11,1039191
2020-12-18,151.88,152.56,149.72,150.17,613874
2020-12-17,151.28999,153.2,150.7,151.89,692839
2020-12-16,153.83,154.75999,150.25999,150.37,821500
2020-12-15,149.23,153.35001,148.81,152.99001,1290522
2020-12-14,150.12,151.33,148.46001,148.55,738549
2020-12-11,147.67999,148.82001,146.74001,148.25,580014
2020-12-10,148.64999,148.64999,146.53999,148.07001,888000
2020-12-09,150.09,150.09,147.78999,148.47,919300
2020-12-08,149.905,150.245,148.715,149.36,527357
2020-12-07,148.84,151.14999,148.57001,150.32001,959153
2020-12-04,152.86,152.875,147.89999,148.89,1124787
2020-12-03,153.98,155.46001,151.92,152.48,707700
2020-12-02,154.73,155.36,152.71001,154.83,794100
2020-12-01,154.58,156.41,154.03999,154.3,797200
2020-11-30,154.0,154.81,152.14,153.38,894997
2020-11-27,152.81,154.19,151.71001,153.73,504000
2020-11-25,153.98,154.97,151.11,153.13,1112800
2020-11-24,156.53,156.88,152.88,153.2,987600
2020-11-23,157.77,158.14,154.75999,155.22,617782
2020-11-20,155.78,160.11,155.78,157.71001,992800
2020-11-19,156.88,157.2,154.53999,156.64999,913000
2020-11-18,160.95,160.95,155.97,156.19,604721
