datetime,open,high,low,close,volume
2021-01-29,112.35,112.35,108.83,108.99,993037
2021-01-28,113.53,116.56,112.25,112.31,2429400
2021-01-27,113.54,116.23,112.83,113.57,2444700
2021-01-26,114.15,115.51,113.01,114.7,2140000
2021-01-25,114.78,117.98,113.45,113.74,2218954
2021-01-22,114.13,115.35,112.37,114.93,1619300
2021-01-21,113.09,116.02,112.28,114.5,2599200
2021-01-20,112.16,112.65,110.79,112.23,1929400
2021-01-19,115.0,115.0,111.16,111.62,2630748
2021-01-15,113.64,115.75,111.59,114.0,3123200
2021-01-14,113.35,115.22,113.02,113.92,1966000
2021-01-13,114.42,115.07,113.13,113.22,2986700
2021-01-12,110.39,115.49,110.3,114.71,4574100
2021-01-11,107.17,111.2,106.5718,110.78,3380585
2021-01-08,108.0,109.45,106.16,107.57,3539200
2021-01-07,106.25,108.43,105.91,107.71,3703800
2021-01-06,100.0,106.04,100.0,105.91,4697400
2021-01-05,100.63,101.68,100.13,101.0,2393300
2021-01-04,99.62,101.12,98.6601,100.49,3382837
2020-12-31,101.47,101.47,99.25,99.79,2230600
2020-12-30,100.96,101.91,100.96,101.38,1637700
2020-12-29,103.04,103.54,100.44,100.76,2199300
2020-12-28,103.0,103.54,101.18,102.58,2570956
2020-12-24,102.0948,103.0,101.85,102.55,1184934
2020-12-23,104.43,105.29,102.31,102.34,2313700
2020-12-22,103.54,105.28,103.13,104.13,3579700
2020-12-21,100.73,103.33,100.51,103.3,2908370
2020-12-18,102.25,102.72,101.515,101.83,2702121
2020-12-17,104.41,104.4586,102.23,102.33,2640521
2020-12-16,103.51,104.15,102.59,103.5,3135900
2020-12-15,101.8,103.0,101.21,102.98,2917309
2020-12-14,101.02,101.79,99.65,101.28,3874697
2020-12-11,102.62,103.03,100.2049,100.59,3633142
2020-12-10,101.75,103.41,99.6,103.03,4396900
2020-12-09,103.07,105.15,102.6,104.76,4780800
2020-12-08,102.36,103.512,102.02,103.01,2705983
2020-12-07,105.16,105.45,101.45,102.73,5455943
2020-12-04,106.7,106.7,104.85,105.51,3177993
2020-12-03,106.94,107.43,105.71,106.54,4562900
2020-12-02,108.03,109.47,107.2,107.47,3388500
2020-12-01,108.78,109.49,107.15,108.86,5330700
