datetime,open,high,low,close,volume
2021-01-29,255.47,264.34,254.925,261.60251,825555
2021-01-28,252.67,258.98999,251.83,256.20999,1584000
2021-01-27,256.25,257.67001,250.5,250.89,1323100
2021-01-26,260.0,260.23001,255.47,258.35001,1188600
2021-01-25,258.5,261.23999,257.34,260.23999,822354
2021-01-22,261.57999,262.35999,258.69,258.75,1589700
2021-01-21,262.29001,264.0,260.17001,261.89999,1274100
2021-01-20,260.16,263.57999,259.0,263.29999,1188600
2021-01-19,263.98001,265.23001,259.29999,260.76999,1221627
2021-01-15,257.85999,262.07001,257.57999,261.73999,1461900
2021-01-14,262.60999,262.98999,257.42001,257.76999,1369500
2021-01-13,262.44,266.19,262.0,263.01001,1091800
2021-01-12,261.73999,267.37,259.60001,263.07999,2171000
2021-01-11,255.63,257.79501,255.0,257.10999,867926
2021-01-08,254.56,256.67001,253.63,255.06,1457200
2021-01-07,254.46001,255.87,251.21001,253.5,1227300
2021-01-06,250.28999,254.62,250.0,253.64,1473100
2021-01-05,251.25,252.7,247.42,251.03,1180900
2021-01-04,251.0,251.71001,246.75,250.7,1001003
2020-12-31,247.23,250.78,246.75999,250.22,697600
2020-12-30,248.61,249.34,246.59,246.67999,667300
2020-12-29,249.41,250.75,247.28,248.35001,817000
2020-12-28,248.8,249.86501,247.2901,248.14999,638344
2020-12-24,244.91,249.25,244.91,247.99001,494603
2020-12-23,247.08,247.23,244.17999,244.25,919500
2020-12-22,247.41,248.48,245.23,245.89999,941100
2020-12-21,249.36,250.39999,245.27,247.86,914299
2020-12-18,248.57001,253.23,247.095,252.22,995455
2020-12-17,246.33,249.63,246.17,248.7,1014501
2020-12-16,244.95,247.07001,242.25,245.28999,1210700
2020-12-15,240.83501,245.5899,239.8405,244.12,992989
2020-12-14,243.46001,246.74001,239.88,240.0,1220974
2020-12-11,241.0761,242.94,240.05,242.67999,821491
2020-12-10,240.42999,243.31,240.03,242.33,1351200
2020-12-09,240.03999,240.78,237.60001,239.96001,1315800
2020-12-08,235.5,240.36,234.61011000000002,240.25,1020981
2020-12-07,242.42999,243.58,235.86,236.45,1267848
2020-12-04,239.88,242.795,238.39,242.78999,2172211
2020-12-03,241.25999,241.33,237.49001,238.50999,2347900
2020-12-02,238.64999,246.5,238.42999,241.87,2235300
2020-12-01,236.12,238.73,235.58,238.64999,1681600
2020-11-30,230.08,234.89,229.97,234.84,4021539
2020-11-27,228.3,229.5,226.14999,228.96001,849100
2020-11-25,230.48,230.99001,226.77,227.47,1628100
2020-11-24,229.0,229.75999,226.87,229.28999,2314400
2020-11-23,231.78,233.405,227.69,228.48,1403707
2020-11-20,232.62,234.73,231.06,231.87,1255900
2020-11-19,234.25,235.49001,231.88,232.89999,1439500
2020-11-18,242.25999,242.25999,233.31,233.45,1670150
2020-11-17,241.75,245.22,240.47,242.41,1128900
2020-11-16,246.41,246.5,241.755,242.57001,1539932
2020-11-13,241.99001,244.22,240.5,242.84,1513062
2020-11-12,242.89999,243.69,239.13,240.21001,1305900
2020-11-11,243.61,243.92,240.81,243.16,1558500
2020-11-10,241.03999,243.39,239.62,240.3,2166100
2020-11-09,246.82001,247.83,239.89,240.31,1907192
2020-11-06,235.19,241.63,234.72,236.62,1333700
2020-11-05,240.0,244.47,232.44,234.64999,2171800
2020-11-04,240.57001,245.21001,236.66,236.78999,1482500
2020-11-03,236.48,239.69,234.94,237.72,1131300
2020-11-02,233.61,237.14999,232.03999,234.78999,971039
2020-10-30,232.36,233.96001,227.82001,231.13,1413100
2020-10-29,235.84,236.75,230.87,232.47,1076400
2020-10-28,240.10001,241.36,235.36,235.89,1059100
2020-10-27,243.03999,245.8,242.4906,244.24001,846012
2020-10-26,239.28999,242.88,238.57001,242.0,930101
2020-10-23,241.105,242.61,239.2289,240.38,780090
2020-10-22,235.62,241.42,235.48,241.09,1096100
2020-10-21,238.22,239.0,233.03999,236.39999,1174500
2020-10-20,237.92,238.49001,236.0,236.25999,830500
2020-10-19,237.52,240.75,236.48,237.38,1067830
2020-10-16,235.81,239.17,234.64,236.99001,1055100
2020-10-15,232.17,236.48,231.5,235.00999,1144000
2020-10-14,236.935,238.86,233.105,233.82001,718460
2020-10-13,237.53999,239.60001,235.39999,236.59,728752
2020-10-12,238.08,240.5,236.71001,238.36,819255
2020-10-09,237.00999,238.125,234.46001,237.33,1297713
2020-10-08,235.95,237.38,234.46001,236.19,883575
2020-10-07,236.27,237.73,234.05,235.7,1036400
