datetime,open,high,low,close,volume
2021-01-29,73.47,73.63,71.75,71.85,196227
2021-01-28,74.0,75.15,73.41,74.13,1049000
2021-01-27,72.52,74.05,72.14,73.35,1738000
2021-01-26,71.91,73.36,71.76,73.19,851100
2021-01-25,72.7,73.14,71.71,71.97,847151
2021-01-22,72.91,73.59,72.01,72.84,896300
2021-01-21,73.18,73.44,72.39,73.19,708200
2021-01-20,73.99,74.03,72.41,73.34,1171500
2021-01-19,74.23,74.69,73.54,74.23,806699
2021-01-15,72.99,74.08,72.27,73.9,970800
2021-01-14,76.34,76.49,73.34,73.46,943400
2021-01-13,75.77,75.93,74.92,75.64,884700
2021-01-12,77.05,77.11,75.34,76.06,604000
2021-01-11,78.43,78.81,76.96,77.24,660544
2021-01-08,78.17,78.57,77.53,78.43,773400
2021-01-07,78.14,78.63,76.72,77.56,970600
2021-01-06,77.42,77.99,76.96,77.55,1016100
2021-01-05,77.73,78.16,76.47,77.9,896800
2021-01-04,79.82,79.82,77.33,78.03,970426
2020-12-31,78.51,79.62,77.72,79.43,594000
2020-12-30,79.33,79.78,78.53,78.68,446000
2020-12-29,79.01,79.18,78.22,78.94,520700
2020-12-28,78.74,78.96,77.57,78.35,625200
2020-12-24,77.42,78.09,76.72,78.03,235800
2020-12-23,77.94,78.53,77.26,77.58,587900
2020-12-22,78.63,78.86,77.13,77.76,1314200
2020-12-21,78.14,78.86,77.04,78.72,941277
2020-12-18,78.97,79.6,77.69,79.37,1010090
2020-12-17,77.905,79.3,77.905,78.89,926344
2020-12-16,76.55,77.83,76.26,77.79,1140700
2020-12-15,75.907,77.375,75.5161,76.58,507559
2020-12-14,76.42,76.76,75.48,75.53,647106
2020-12-11,76.26,76.55,75.52,76.38,480334
2020-12-10,76.91,77.42,75.92,76.15,985300
2020-12-09,78.96,79.53,76.57,76.75,1108100
2020-12-08,79.41,80.48,77.16,78.92,1505338
2020-12-07,80.02,80.92,79.8,80.39,1410109
2020-12-04,78.88,79.79,78.72,79.77,753005
2020-12-03,79.23,79.79,78.19,78.6,1028400
2020-12-02,81.54,81.99,79.22,79.88,964200
2020-12-01,80.7,81.68,80.0,81.6,857300
2020-11-30,81.52,81.85,80.46,80.66,2625308
2020-11-27,81.16,81.38,80.49,81.1,308600
2020-11-25,81.73,82.24,81.14,81.15,595400
2020-11-24,80.84,82.14,80.67,81.82,710100
2020-11-23,80.2,80.505,79.51,80.1,570064
2020-11-20,80.16,80.87,79.26,79.76,719000
2020-11-19,79.51,80.83,78.69,80.14,961300
2020-11-18,81.18,81.45,79.15,79.15,396103
2020-11-17,80.71,81.8,79.87,81.23,437200
2020-11-16,80.25,81.28,79.15,81.2,545252
2020-11-13,78.74,79.6388,78.18,79.57,322543
2020-11-12,78.32,79.24,77.44,77.83,344600
2020-11-11,79.04,79.46,77.81,78.52,498900
2020-11-10,76.9,79.16,76.9,78.65,760300
2020-11-09,78.76,80.32,76.22,76.98,1047495
2020-11-06,75.23,76.08,75.19,75.27,772400
2020-11-05,75.06,75.44,73.56,75.11,725400
2020-11-04,73.52,76.0,73.5,73.81,864600
2020-11-03,71.95,73.43,71.92,72.94,633900
2020-11-02,70.52,71.96,70.24,70.86,807464
2020-10-30,69.28,70.43,68.9,69.71,1199800
2020-10-29,69.37,70.13,68.72,69.62,779700
2020-10-28,71.51,71.77,69.59,69.63,853900
2020-10-27,72.78,73.24,72.1166,72.29,498598
2020-10-26,73.77,73.9,72.2,72.76,677104
2020-10-23,75.74,76.0,74.18,74.38,478154
2020-10-22,75.06,75.59,74.69,75.18,709000
2020-10-21,74.28,75.18,74.28,74.74,713400
2020-10-20,74.9,75.5,74.24,74.47,631300
2020-10-19,75.96,76.495,74.22,74.34,827654
2020-10-16,76.51,77.25,75.71,75.95,831600
2020-10-15,76.66,76.95,76.01,76.26,761600
2020-10-14,78.205,78.52,77.21,77.47,422954
2020-10-13,79.0,79.0,77.73,78.09,529168
2020-10-12,78.28,79.32,78.14,78.98,860146
2020-10-09,78.3794,78.66,78.06,78.39,573445
2020-10-08,77.44,78.1,77.015,77.97,419339
2020-10-07,76.66,77.73,76.15,77.15,654600
2020-10-06,76.46,77.13,76.07,76.16,834100
2020-10-05,75.92,76.55,75.26,76.4,512244
2020-10-02,74.97,76.17,74.925,75.65,858947
2020-10-01,76.44,76.73,74.93,75.47,662867
2020-09-30,75.85,76.01,74.78,75.32,1099700
2020-09-29,75.6,76.31,75.11,75.23,643505
2020-09-28,75.37,76.33,75.17,75.63,1109961
2020-09-25,74.568,74.7,73.82,74.47,1077532
2020-09-24,75.63,75.74,74.34,74.79,535066
2020-09-23,75.925,76.79,75.26,75.27,673018
2020-09-22,76.2,77.0541,75.62,76.13,543466
2020-09-21,75.63,75.94,74.0328,75.78,543983
2020-09-18,77.0,77.35,75.39,76.34,602507
2020-09-17,77.53,77.53,76.61,77.2,814147
2020-09-16,78.95,79.455,77.67,77.93,570076
2020-09-15,80.01,80.35,78.775,78.98,869439
2020-09-14,79.51,80.11,79.19,79.45,458272
2020-09-11,78.86,80.28,78.66,79.28,478628
2020-09-10,81.19,81.57,79.35,79.57,519514
2020-09-09,79.0,82.305,79.0,81.11,721267
2020-09-08,80.58,81.29,78.39,78.96,929502
2020-09-04,79.2585,80.67,78.68,80.09,720357
2020-09-03,79.97,81.0,78.6401,79.28,1066945
2020-09-02,74.705,83.4,74.48,79.88,2082276
2020-09-01,73.08,73.12,71.2,72.61,716066
2020-08-31,73.86,74.06,73.14,73.14,577995
2020-08-28,72.85,73.61,72.152,73.6,347147
2020-08-27,72.91,73.32,72.725,72.9,247276
2020-08-26,72.53,72.97,71.85,72.78,382225
2020-08-25,72.68,72.68,72.17,72.46,303630
2020-08-24,72.54,72.84,72.1,72.83,258934
2020-08-21,72.56,72.7,71.01,72.08,607720
2020-08-20,72.63,72.63,72.14,72.3,311482
2020-08-19,72.408,73.5,72.355,72.74,412413
2020-08-18,72.21,72.69,71.27,72.51,380724
2020-08-17,71.305,72.2,71.305,72.0,351497
2020-08-14,71.33,71.66,70.86,71.14,238379
2020-08-13,71.12,71.98,71.12,71.49,378910
2020-08-12,69.99,72.09,69.99,71.22,521580
2020-08-11,69.95,70.42,69.27,69.64,448644
2020-08-10,68.9,69.53,68.72,69.4,375385
2020-08-07,67.56,69.31,67.51,68.68,534269
2020-08-06,67.335,67.63,66.5175,67.62,543535
2020-08-05,68.38,69.07,67.15,67.54,528867
2020-08-04,68.47,68.9,67.885,68.38,616933
2020-08-03,69.19,69.595,68.31,69.04,374699
2020-07-31,69.255,69.44,68.201,69.345,549742
2020-07-30,69.21,69.66,68.65,69.22,335144
2020-07-29,68.74,69.75,68.38,69.22,544143
2020-07-28,69.04,69.31,68.27,68.36,408960
2020-07-27,67.8,68.91,67.65,68.9,452174
2020-07-24,68.4404,68.98,67.66,68.01,407928
2020-07-23,67.9999,69.31,67.83,68.46,527264
2020-07-22,66.92,67.68,66.92,67.53,398842
2020-07-21,67.1,67.93,66.99,67.09,519806
2020-07-20,67.37,67.49,66.085,66.22,293042
2020-07-17,66.87,67.61,66.74,67.48,221725
2020-07-16,65.8986,67.11,65.65,66.67,142297
2020-07-15,67.28,67.28,65.8,66.24,127931
2020-07-14,64.19,66.2,64.16,66.16,99347
2020-07-13,64.86,65.5528,64.315,64.68,186647
2020-07-10,63.72,64.82,63.17,64.8,140234
2020-07-09,63.985,64.3,62.79,63.28,137235
2020-07-08,64.25,64.71,63.69,64.09,148410
2020-07-07,64.175,64.85,63.88,64.11,222523
2020-07-06,65.165,65.165,64.31,64.67,103094
2020-07-02,65.03,65.41,64.38,64.45,134334
2020-07-01,63.75,65.0,63.66,64.52,901364
2020-06-30,63.32,64.25,62.97,63.66,1080500
2020-06-29,61.43,63.24,60.81,63.24,1174943
2020-06-26,63.59,63.95,60.81,61.0,2150100
2020-06-25,63.65,63.72,62.28,63.32,176926
2020-06-24,64.775,64.775,63.72,63.77,223454
2020-06-23,66.175,66.3575,64.96,65.12,220791
2020-06-22,65.025,65.995,64.51,65.71,199001
2020-06-19,67.5,67.89,64.9,65.3,362960
2020-06-18,67.17,67.62,66.43,66.78,207661
2020-06-17,66.24,68.03,66.24,67.12,201761
