datetime,open,high,low,close,volume
2021-01-29,20.36,20.81,20.01,20.1,1734636
2021-01-28,20.69,20.79,20.09,20.6,5261100
2021-01-27,20.36,21.15,19.66,20.41,7279200
2021-01-26,21.38,21.71,20.54,20.61,7515700
2021-01-25,21.91,21.91,20.71,21.05,8068005
2021-01-22,22.18,22.38,21.68,22.17,7016000
2021-01-21,22.43,23.88,22.18,22.55,10725400
2021-01-20,23.06,23.14,22.54,22.89,7008500
2021-01-19,23.01,23.1,22.6,22.87,5861744
2021-01-15,23.16,23.38,22.37,22.87,6391600
2021-01-14,23.09,24.04,23.04,23.71,7846000
2021-01-13,23.0,23.23,22.64,23.0,4843400
2021-01-12,22.83,23.5,22.67,23.04,5394600
2021-01-11,21.8,22.72,21.5751,22.655,3194725
2021-01-08,22.79,22.91,22.26,22.47,5297800
2021-01-07,22.21,22.73,22.21,22.67,5536700
2021-01-06,21.73,22.46,21.48,22.16,8205100
2021-01-05,21.36,22.05,21.24,21.26,7773900
2021-01-04,21.22,21.485,20.815,21.02,4387831
2020-12-31,21.17,21.17,20.76,20.85,2799300
2020-12-30,20.74,21.33,20.73,21.21,3582200
2020-12-29,21.1,21.22,20.61,20.75,3775200
2020-12-28,21.19,21.19,20.75,20.88,3162851
2020-12-24,21.17,21.24,20.85,21.01,1314357
2020-12-23,21.38,21.59,21.04,21.13,3898600
2020-12-22,21.22,21.62,21.11,21.19,5431400
2020-12-21,20.3,21.42,20.29,21.25,5053845
2020-12-18,21.33,21.68,20.93,21.18,4789311
2020-12-17,21.67,21.84,21.135,21.51,3745823
2020-12-16,21.85,21.85,21.19,21.5,5950600
2020-12-15,21.76,22.19,21.48,22.015,4743123
2020-12-14,22.95,23.0,21.54,21.68,8082301
2020-12-11,22.6,23.05,22.425,22.68,5190094
2020-12-10,22.33,23.49,22.25,23.12,5463300
2020-12-09,22.65,23.29,22.4,22.73,7427000
2020-12-08,21.52,22.48,21.51,22.42,5868547
2020-12-07,21.56,22.07,21.36,22.02,6559860
2020-12-04,20.83,21.79,20.74,21.79,9551764
2020-12-03,19.87,20.62,19.69,20.42,6883700
2020-12-02,19.04,20.01,18.91,19.67,6717500
2020-12-01,19.39,19.52,19.15,19.23,6500100
2020-11-30,19.52,19.705,18.7,18.72,11800524
2020-11-27,19.73,19.85,19.6,19.78,2415200
2020-11-25,19.81,19.9,19.49,19.78,8643700
2020-11-24,20.0,20.42,19.7,20.26,8996500
2020-11-23,18.49,19.39,18.33,19.26,8670214
2020-11-20,18.16,18.27,17.98,18.21,7444500
2020-11-19,18.39,18.58,18.01,18.31,9324300
2020-11-18,19.32,19.32,18.57,18.58,7490323
2020-11-17,18.44,19.4,18.32,19.26,11196400
2020-11-16,18.67,19.09,18.175,18.79,8260646
2020-11-13,17.425,17.94,17.38,17.88,3876488
