datetime,open,high,low,close,volume
2021-01-29,87.815,88.32,87.2601,87.8,736058
2021-01-28,86.09,88.7,85.99,88.26,1604700
2021-01-27,87.54,87.65,85.15,85.33,2096800
2021-01-26,89.92,90.86,88.75,88.8,1875600
2021-01-25,90.76,90.92,88.35,89.86,1434769
2021-01-22,91.13,91.29,89.85,90.74,1293700
2021-01-21,91.73,92.58,90.94,91.3,1495400
2021-01-20,90.22,93.0,90.14,92.26,1501400
2021-01-19,90.85,91.39,90.04,90.42,1534008
2021-01-15,89.75,90.46,89.22,90.42,2023200
2021-01-14,91.43,91.54,89.86,89.93,2216000
2021-01-13,90.72,91.83,89.91,91.09,1374300
2021-01-12,90.21,90.82,89.79,90.24,1517400
2021-01-11,90.24,90.99,90.2,90.56,1186011
2021-01-08,90.94,91.18,89.71,90.57,1391200
2021-01-07,91.93,92.1,90.29,90.68,1448400
2021-01-06,91.01,92.96,90.71,91.67,1780500
2021-01-05,89.75,90.99,89.64,90.62,1451200
2021-01-04,91.73,92.25,88.71,89.76,3339673
2020-12-31,93.1,93.33,91.58,93.18,1043800
2020-12-30,93.01,93.63,92.81,92.86,794200
2020-12-29,92.04,93.48,91.93,92.24,1030300
2020-12-28,92.79,92.998,91.08,91.37,897245
2020-12-24,92.09,92.4073,91.67,92.34,515498
2020-12-23,92.38,92.88,91.38,91.61,1104800
2020-12-22,92.47,93.28,92.1,92.49,1305500
2020-12-21,90.92,92.949,90.16,92.73,1543263
2020-12-18,92.5,92.69,91.02,92.08,1138374
2020-12-17,90.91,92.605,90.91,92.04,1051791
2020-12-16,92.1,92.29,90.23,90.43,1702200
2020-12-15,90.92,93.29,90.67,92.04,1232103
2020-12-14,93.02,93.79,90.13,90.3,2423309
2020-12-11,92.68,93.04,91.43,92.58,1195208
2020-12-10,93.17,94.13,92.58,93.26,1735500
2020-12-09,95.94,96.16,92.83,93.36,1733400
2020-12-08,95.09,96.885,94.73,95.9,947346
2020-12-07,94.63,96.045,94.5,95.5,1296238
2020-12-04,92.73,94.61,92.73,94.2,1543508
2020-12-03,93.75,94.38,92.39,92.64,1502100
2020-12-02,96.56,97.25,93.42,94.0,1693500
2020-12-01,97.25,97.96,95.95,96.82,2789300
2020-11-30,96.58,97.26,95.35,96.01,1833180
2020-11-27,95.91,96.46,95.11,96.36,658700
2020-11-25,96.52,96.8,95.78,96.3,1326100
2020-11-24,95.62,96.29,95.51,96.11,1820700
2020-11-23,97.2,98.2,95.17,95.44,1097165
2020-11-20,98.01,98.88,96.98,97.25,2933600
2020-11-19,96.06,98.61,95.51,97.91,1827100
2020-11-18,97.705,98.3452,96.47,96.56,1839459
2020-11-17,96.19,97.55,95.89,97.14,1519500
2020-11-16,95.73,96.8,94.69,96.76,1283358
2020-11-13,94.61,95.34,93.98,94.61,1301343
2020-11-12,95.24,95.84,93.73,94.2,1687300
2020-11-11,95.52,95.87,94.53,95.81,1512800
2020-11-10,92.9,95.07,91.98,94.98,2147900
2020-11-09,100.35,102.76,92.83,92.98,3457102
2020-11-06,97.67,98.87,96.85,97.46,1728500
2020-11-05,96.74,97.8,95.01,97.16,1745000
2020-11-04,94.0,97.03,93.36,94.11,2176000
2020-11-03,91.26,93.95,91.09,93.75,1654400
2020-11-02,90.19,91.66,89.08,90.2,2016153
2020-10-30,89.04,89.94,87.98,89.0,1188500
2020-10-29,88.54,89.97,88.23,89.22,1563200
2020-10-28,89.71,90.54,88.67,88.73,2148600
2020-10-27,91.57,92.33,91.06,91.09,814742
2020-10-26,91.74,92.37,90.63,91.56,1088686
2020-10-23,91.72,92.79,91.03,92.71,843960
2020-10-22,92.11,92.73,90.66,91.13,2006600
2020-10-21,91.81,93.49,91.66,92.78,1297500
2020-10-20,91.94,93.36,91.38,91.39,1403000
2020-10-19,91.59,92.02,90.71,91.18,991237
2020-10-16,91.41,91.99,90.97,91.42,1135900
2020-10-15,88.97,91.19,88.76,90.81,1075500
2020-10-14,90.505,90.92,89.95,90.05,721412
2020-10-13,89.41,90.77,89.31,90.29,785156
2020-10-12,90.93,91.0,89.64,89.68,1432911
2020-10-09,89.47,90.865,89.23,90.27,1110653
2020-10-08,88.8944,89.4,87.68,89.0,1431365
2020-10-07,85.75,86.87,85.52,86.55,1366400
2020-10-06,85.57,86.19,83.99,84.31,1809700
2020-10-05,83.82,86.4,83.58,85.37,1741387
2020-10-02,81.43,83.2,81.43,82.66,914508
2020-10-01,83.54,84.29,82.48,82.6,1205705
2020-09-30,82.77,84.0,82.2,83.12,1570100
2020-09-29,82.22,82.91,81.75,82.36,610284
2020-09-28,82.24,82.795,81.295,82.24,842493
2020-09-25,80.07,81.74,79.24,81.45,799953
2020-09-24,79.6,81.39,78.58,80.11,1555497
2020-09-23,81.56,81.9,79.61,79.85,1634096
2020-09-22,81.43,82.02,81.0,81.58,1234164
2020-09-21,81.5001,81.88,79.89,81.02,839654
2020-09-18,83.97,84.35,82.62,82.88,831972
2020-09-17,83.765,84.38,82.95,84.1,887737
2020-09-16,84.575,85.68,83.9745,84.67,1088757
2020-09-15,83.745,85.08,83.745,84.43,859800
2020-09-14,82.3577,83.59,82.25,83.28,638093
2020-09-11,81.68,81.9502,81.02,81.68,1113509
2020-09-10,81.695,82.29,80.58,81.0,832932
2020-09-09,81.26,82.92,81.0458,81.55,1114725
2020-09-08,81.57,81.65,79.785,80.54,1127516
2020-09-04,83.789,83.789,80.86,82.44,1193464
2020-09-03,84.44,84.73,82.065,83.21,1399331
2020-09-02,81.99,84.65,81.51,84.53,1911775
2020-09-01,81.01,81.98,80.09,81.97,1328526
2020-08-31,80.2157,80.78,80.09,80.32,900585
2020-08-28,79.315,80.54,78.68,80.27,1147490
2020-08-27,79.0,79.845,78.95,79.34,993596
2020-08-26,77.85,79.145,77.085,78.92,1332766
2020-08-25,77.39,77.52,76.8251,77.51,820291
2020-08-24,76.99,77.49,76.94,77.27,712692
2020-08-21,75.65,76.95,75.37,76.62,1194666
2020-08-20,75.2,76.47,75.01,75.76,732975
2020-08-19,76.995,77.29,75.63,75.89,791924
2020-08-18,76.78,76.8,75.805,76.33,942374
2020-08-17,75.83,76.24,75.41,76.21,1513891
2020-08-14,75.11,75.93,75.04,75.48,684032
2020-08-13,74.16,75.44,74.02,75.23,833804
2020-08-12,74.39,74.72,73.9,74.39,713799
2020-08-11,75.76,76.06,73.59,73.94,1309102
2020-08-10,75.47,75.94,75.25,75.33,1384803
2020-08-07,74.65,76.0,74.55,75.53,1634892
2020-08-06,75.21,75.56,73.55,74.5,2303904
2020-08-05,75.5,75.97,74.83,75.04,1603515
2020-08-04,74.045,75.39,73.65,75.13,1488737
2020-08-03,74.15,75.02,73.37,74.18,1419476
2020-07-31,73.45,73.67,72.53,73.62,1375794
2020-07-30,73.275,73.74,72.56,73.45,1389462
2020-07-29,74.33,74.69,73.62,73.75,1402435
2020-07-28,74.22,74.99,73.4832,74.08,1121292
2020-07-27,73.54,75.525,73.19,74.57,2085841
2020-07-24,72.81,73.78,72.785,73.15,1329643
2020-07-23,73.32,74.13,72.785,73.0,1571885
2020-07-22,73.2,73.57,72.75,73.18,1465305
2020-07-21,73.14,73.4586,71.72,72.7,1706927
2020-07-20,70.0,73.675,70.0,72.74,3378593
2020-07-17,69.8418,70.53,69.56,70.31,1135119
2020-07-16,70.01,70.04,68.435,69.47,418590
2020-07-15,74.39,74.77,68.77,69.5,302961
2020-07-14,71.76,73.75,71.205,73.67,96566
2020-07-13,72.94,72.94,71.49,71.63,307432
2020-07-10,71.79,72.575,71.26,72.37,110110
2020-07-09,72.055,72.055,70.78,71.75,188738
2020-07-08,72.58,73.1935,71.46,72.15,146900
2020-07-07,72.45,73.1941,71.79,72.69,341461
2020-07-06,72.41,72.51,71.2,72.46,351649
2020-07-02,70.85,72.02,70.73,71.84,351482
2020-07-01,69.48,70.97,69.18,70.68,1974097
2020-06-30,68.35,69.83,68.22,69.49,1666600
2020-06-29,68.07,69.07,67.54,68.39,974893
2020-06-26,69.29,69.85,67.23,67.34,2967000
2020-06-25,69.19,69.27,67.1,69.24,236395
2020-06-24,70.41,70.55,68.85,69.0,299686
2020-06-23,71.75,71.75,70.56,70.59,253116
2020-06-22,70.46,71.12,69.8201,71.1,227635
2020-06-19,71.675,71.8,70.52,70.7,581099
2020-06-18,69.455,70.78,69.455,70.47,318722
2020-06-17,70.75,70.97,69.3,69.6,365327
2020-06-16,70.56,71.86,69.94,70.19,620399
2020-06-15,67.25,68.71,66.25,68.21,656441
2020-06-12,69.2,70.16,67.03,68.31,516516
2020-06-11,71.88,71.88,67.115,67.16,630632
2020-06-10,72.39,73.43,72.05,72.78,292159
2020-06-09,73.43,73.715,72.03,72.43,251482
2020-06-08,72.88,74.1,72.34,74.08,389478
2020-06-05,75.86,76.44,73.74,73.93,2928800
2020-06-04,73.54,75.91,73.54,75.4,2850500
2020-06-03,72.41,74.29,72.14,73.95,1862600
2020-06-02,71.03,72.0,70.87,71.98,2153800
2020-06-01,70.93,71.4,70.74,71.17,1470000
2020-05-29,70.48,71.5,69.96,71.26,3565300
2020-05-28,69.3,70.68,69.1,70.55,2204400
2020-05-27,67.59,68.71,66.96,68.6,1961300
2020-05-26,65.44,66.82,65.34,66.54,1998700
2020-05-22,64.17,64.72,63.61,64.51,902800
2020-05-21,64.21,64.77,63.55,64.04,1419900
2020-05-20,64.93,65.68,64.06,64.19,1194900
2020-05-19,64.35,66.08,64.05,64.28,2220300
2020-05-18,63.74,65.0,63.41,64.35,2276900
2020-05-15,61.52,62.29,60.85,62.23,1788500
