datetime,open,high,low,close,volume
2021-01-29,143.60001,143.875,141.75999,141.78,183015
2021-01-28,145.34,146.99001,143.49001,144.83,674600
2021-01-27,150.17,150.58,143.59,143.63,1352100
2021-01-26,151.39999,152.42,149.85001,151.78999,549900
2021-01-25,148.92,150.71001,148.23,150.67,689109
2021-01-22,150.47,151.00999,148.78999,148.94,852100
2021-01-21,152.3,153.61,150.75999,151.10001,505200
2021-01-20,152.53,152.63,150.55,152.49001,413100
2021-01-19,152.47,152.91,151.06798999999998,151.56,375713
2021-01-15,153.03999,154.09,150.86,151.57001,691600
2021-01-14,154.41,155.02,153.37,153.57001,458700
2021-01-13,155.09,156.07001,153.36,154.22,689500
2021-01-12,154.37,155.50999,154.14999,154.75999,512300
2021-01-11,154.87,155.72,154.10001,155.00999,398022
2021-01-08,156.02,158.10001,154.69,156.21001,578500
2021-01-07,155.88,158.36,155.11,155.62,978300
2021-01-06,153.0,156.09,151.41,155.78,762400
2021-01-05,150.75999,152.48,149.42,151.72,723500
2021-01-04,153.45,154.41,149.50999,151.50999,634904
2020-12-31,152.42999,153.39999,151.23,153.2,275000
2020-12-30,152.14,152.50999,151.5,152.11,319200
2020-12-29,153.21001,153.62,150.75999,151.37,524600
2020-12-28,151.24001,152.50999,150.31,152.06,448353
2020-12-24,148.3988,150.02,147.99001,150.00999,121620
2020-12-23,148.81,148.98,147.39999,147.41,454300
2020-12-22,149.60001,149.92,148.21001,148.48,587800
2020-12-21,151.69,152.74001,148.55,149.36,432544
2020-12-18,150.84,154.22,150.23,153.91,765032
2020-12-17,148.0009,150.92,148.0009,150.91,551244
2020-12-16,147.72,148.35001,145.88,146.81,654700
2020-12-15,146.2,148.07001,145.85001,147.39,426579
2020-12-14,147.33,148.97,145.60001,146.10001,710162
2020-12-11,145.83501,147.72,145.785,147.60001,540974
2020-12-10,147.27,148.53999,145.34,146.22,923300
2020-12-09,147.75,148.56,146.52,148.31,554900
2020-12-08,145.55499,147.74001,145.505,147.23,334926
2020-12-07,148.72,149.67,145.10001,146.14999,778123
2020-12-04,148.44501,149.23,147.58,149.21001,252023
2020-12-03,146.61,148.99001,146.61,148.00999,346000
2020-12-02,148.39999,149.28,146.64,147.23,539900
2020-12-01,148.5,149.33,146.17999,148.45,590300
2020-11-30,147.78999,148.02,144.75,146.88,727158
2020-11-27,146.96001,147.48,145.08,147.39999,188100
2020-11-25,147.73,147.73,145.08,146.27,378900
2020-11-24,148.46001,148.52,146.13,146.94,416900
2020-11-23,145.17,147.8,144.575,147.58,325007
2020-11-20,146.87,146.87,144.7,144.92,431400
2020-11-19,145.05,146.81,143.44,146.60001,426600
2020-11-18,147.5,147.5,145.61501,145.75999,278921
2020-11-17,147.96001,148.55,146.75,147.28,294400
2020-11-16,147.3,148.64999,146.38,148.50999,458638
2020-11-13,147.19,147.52,145.32001,146.64999,193651
2020-11-12,148.53999,148.56,144.66,145.55,391100
2020-11-11,147.42999,149.87,147.24001,148.83,285500
2020-11-10,146.86,147.72,144.71001,146.25,523800
2020-11-09,151.2,153.34,146.53,146.88,556564
2020-11-06,144.61,147.08,143.83,146.59,337800
2020-11-05,147.24001,147.99001,143.96001,144.67999,509600
2020-11-04,145.16,147.28999,144.42999,144.84,451000
2020-11-03,142.13,145.96001,141.42,143.66,463000
2020-11-02,138.34,141.52,138.34,140.77,606581
2020-10-30,136.61,141.92999,136.13,137.60001,1020200
