datetime,open,high,low,close,volume
2021-01-29,36.09,36.69,35.2,35.2,10639153
2021-01-28,35.93,36.57,35.6,36.34,16495200
2021-01-27,36.25,36.38,35.66,35.82,15132900
2021-01-26,36.75,36.89,36.49,36.64,5869600
2021-01-25,36.89,37.135,36.435,36.78,5575474
2021-01-22,37.53,37.59,37.0,37.03,7405200
2021-01-21,36.7,37.74,36.5,37.52,12188100
2021-01-20,36.28,36.82,36.07,36.66,7616800
2021-01-19,36.89,36.89,35.935,36.27,7938694
2021-01-15,36.16,36.57,35.88,36.33,15109400
2021-01-14,36.1,36.46,35.9,36.16,10212100
2021-01-13,35.25,36.18,35.2,36.06,9941200
2021-01-12,36.3,36.37,34.58,35.33,19636300
2021-01-11,36.38,36.54,36.17,36.44,7120194
2021-01-08,36.58,37.04,36.52,36.75,7288700
2021-01-07,36.76,36.81,36.35,36.56,7267400
2021-01-06,35.97,36.93,35.87,36.76,13235900
2021-01-05,35.39,36.47,35.13,36.24,14812000
2021-01-04,36.08,36.1,35.03,35.27,11318062
2020-12-31,35.6,36.01,35.37,35.95,6214500
2020-12-30,35.5,35.73,35.38,35.55,6814000
2020-12-29,35.2,35.73,35.08,35.5,8786300
2020-12-28,34.76,35.065,34.7,34.92,4800386
2020-12-24,34.49,34.63,34.22,34.59,2870436
2020-12-23,34.51,34.91,34.36,34.37,7381100
2020-12-22,34.79,34.94,34.19,34.36,9424000
2020-12-21,34.93,35.0,34.16,34.82,9768659
2020-12-18,35.59,36.13,35.305,35.44,12540246
2020-12-17,35.19,35.41,35.02,35.4,8831271
2020-12-16,34.76,35.65,34.58,35.13,13985100
2020-12-15,33.8,34.965,33.78,34.67,10959843
2020-12-14,33.93,34.26,33.42,33.45,7772227
2020-12-11,33.75,34.14,33.4327,33.6,10820958
2020-12-10,34.05,34.27,33.95,34.0,11025200
2020-12-09,34.03,34.34,33.72,34.13,14858300
2020-12-08,34.105,34.16,33.68,33.97,12274713
2020-12-07,34.36,34.49,33.905,34.25,18364120
2020-12-04,33.745,34.42,33.57,34.41,16607664
2020-12-03,34.15,34.21,33.7,33.81,21068600
2020-12-02,33.6,34.27,33.26,34.15,19582900
2020-12-01,33.5,33.95,33.37,33.65,14410600
2020-11-30,33.61,33.62,33.01,33.15,12212714
2020-11-27,33.9,33.9,33.44,33.6,6363600
2020-11-25,33.87,33.99,33.5,33.55,9813400
2020-11-24,33.69,34.08,33.61,33.79,18848000
2020-11-23,33.7,33.885,32.99,33.33,18224952
2020-11-20,34.08,34.32,33.64,33.7,15401400
2020-11-19,34.33,34.5,33.96,34.21,14815100
2020-11-18,35.2,35.2,33.86,34.25,21639400
2020-11-17,35.49,35.5,33.98,35.03,34675800
2020-11-16,38.67,38.77,37.7,38.03,7758711
2020-11-13,36.72,38.14,36.72,37.98,17289176
2020-11-12,37.17,37.39,36.53,36.74,15709500
2020-11-11,38.15,38.35,37.18,37.4,9712900
2020-11-10,38.25,38.53,37.92,38.2,10274200
2020-11-09,38.485,39.5,38.16,38.21,20894367
2020-11-06,35.31,35.87,35.09,35.7,11142400
2020-11-05,36.0,36.09,35.1,35.21,11131700
2020-11-04,35.5,35.75,34.24,35.29,14830800
2020-11-03,35.06,35.64,34.8,35.15,8784200
2020-11-02,34.66,34.91,34.34,34.55,13906063
2020-10-30,33.31,34.66,33.31,34.27,20324500
2020-10-29,33.98,34.25,33.14,33.5,27743300
2020-10-28,35.75,35.99,33.9,34.07,17957200
2020-10-27,36.755,36.98,35.995,36.0502,10812187
2020-10-26,36.69,37.255,36.28,36.86,9093250
2020-10-23,37.035,37.405,36.71,37.17,9493136
2020-10-22,37.19,37.54,36.74,36.86,15047900
2020-10-21,37.51,37.72,37.12,37.15,11644000
2020-10-20,37.98,38.12,37.54,37.54,8140400
2020-10-19,38.51,38.64,37.71,37.77,11196515
2020-10-16,39.0,39.18,38.42,38.44,18559000
2020-10-15,40.12,40.67,38.5,39.0,15111200
2020-10-14,40.88,40.905,40.195,40.61,9957459
2020-10-13,41.71,41.92,40.7,40.92,6350278
2020-10-12,41.44,42.13,41.22,41.97,7300983
2020-10-09,41.04,41.25,40.7,41.15,5233501
2020-10-08,40.225,40.57,40.19,40.48,3498275
2020-10-07,39.58,40.44,39.58,40.18,5785100
2020-10-06,39.8,40.4,39.25,39.33,7833500
2020-10-05,38.75,39.34,38.66,39.24,3457146
2020-10-02,37.762,38.66,37.762,38.475,5408491
2020-10-01,38.55,38.94,38.185,38.43,5182571
2020-09-30,37.83,38.71,37.73,38.21,7711800
2020-09-29,38.18,38.25,37.54,37.76,4937494
2020-09-28,38.07,38.45,37.9825,38.0,5827717
2020-09-25,36.97,37.65,36.8,37.34,6827631
2020-09-24,37.432,37.54,36.86,37.14,8730136
2020-09-23,38.7298,38.76,37.6421,37.71,6597407
2020-09-22,38.68,38.68,37.9,38.59,5456519
2020-09-21,37.825,38.55,37.52,38.55,8977447
