datetime,open,high,low,close,volume
2021-01-29,42.41,43.5399,42.1,42.27,1239668
2021-01-28,44.79,45.05,42.04,42.41,3088700
2021-01-27,43.85,46.48,43.53,44.9,7918600
2021-01-26,44.05,44.7,43.44,43.96,3178400
2021-01-25,42.57,43.59,42.21,43.51,2142851
2021-01-22,43.33,43.45,42.41,42.8,2198500
2021-01-21,40.91,43.9,40.9,43.6,4585700
2021-01-20,40.01,40.92,39.55,40.88,2263400
2021-01-19,38.96,39.54,38.38,39.3,2374121
2021-01-15,39.12,39.35,38.02,38.6,4635100
2021-01-14,40.44,40.6,39.28,39.6,2819700
2021-01-13,41.07,41.4,39.95,40.15,2246400
2021-01-12,40.73,41.84,40.45,41.17,3152600
2021-01-11,39.68,40.41,39.5,40.18,1276154
2021-01-08,40.98,41.14,39.86,40.29,2059400
2021-01-07,40.79,41.38,40.39,41.1,2259000
2021-01-06,39.0,40.42,39.0,40.17,2736400
2021-01-05,37.87,39.23,37.87,38.96,1693600
2021-01-04,38.99,39.14,37.76,38.06,1704495
2020-12-31,39.31,39.31,38.59,38.64,1211900
2020-12-30,38.64,39.27,38.55,39.19,1475700
2020-12-29,39.49,39.55,38.36,38.55,1078400
2020-12-28,39.32,39.74,39.2,39.24,983024
2020-12-24,39.6,39.6,38.64,38.96,567100
2020-12-23,39.5,40.32,39.28,39.62,1620700
2020-12-22,38.56,39.24,38.22,39.11,2268500
2020-12-21,37.94,38.54,37.46,38.54,1830624
2020-12-18,38.9638,39.005,38.18,38.61,2870267
2020-12-17,38.54,39.01,38.26,39.0,1880419
2020-12-16,38.04,38.49,37.65,38.41,2050900
2020-12-15,36.855,37.72,36.69,37.7,1743132
2020-12-14,37.15,37.3285,36.26,36.34,3268828
2020-12-11,37.9,38.01,36.5,36.53,3112730
2020-12-10,39.56,39.56,38.21,38.28,2513000
2020-12-09,39.46,39.95,39.36,39.86,2718600
2020-12-08,39.38,40.13,39.11,39.35,3120663
2020-12-07,39.79,40.05,38.86,39.22,2007587
2020-12-04,38.88,39.915,38.88,39.87,1648081
2020-12-03,38.75,38.97,38.39,38.69,1551800
2020-12-02,38.42,38.84,38.31,38.61,1588000
2020-12-01,39.63,39.68,38.69,38.71,2478900
2020-11-30,39.29,39.5,38.46,38.85,3537944
2020-11-27,39.12,39.5,38.9,39.5,862800
