datetime,open,high,low,close,volume
2021-01-29,90.505,93.54,90.07,91.19,607808
2021-01-28,89.94,94.06,89.49,91.92,1576500
2021-01-27,92.0,92.07,88.45,89.72,1582900
2021-01-26,92.03,93.11,91.23,92.72,944000
2021-01-25,90.7,91.95,89.5,91.28,892066
2021-01-22,91.09,91.6,90.15,91.3,809100
2021-01-21,93.01,93.81,90.77,91.98,1472700
2021-01-20,92.85,94.87,92.52,93.56,947400
2021-01-19,95.54,95.54,92.86,93.29,1053305
2021-01-15,94.21,95.44,92.67,95.15,1026600
2021-01-14,92.97,95.0,92.0,94.55,1209900
2021-01-13,91.55,92.93,91.35,92.09,1302100
2021-01-12,90.18,91.68,89.2,91.46,1075500
2021-01-11,89.05,90.28,88.78,89.59,1367879
2021-01-08,90.05,90.88,89.14,90.04,1123300
2021-01-07,91.45,91.45,89.38,90.25,1179600
2021-01-06,90.66,92.77,89.76,91.42,1960000
2021-01-05,91.32,92.82,89.99,90.09,1200500
2021-01-04,95.3,95.96,90.75,90.82,1079363
2020-12-31,93.38,94.7,92.33,94.53,562900
2020-12-30,92.94,94.49,92.81,93.87,707900
2020-12-29,95.58,96.45,93.01,93.29,820500
2020-12-28,93.96,95.48,93.38,95.14,729917
2020-12-24,93.2,94.01,91.47,93.93,367300
2020-12-23,93.74,94.59,92.15,92.6,1014000
2020-12-22,94.77,94.77,92.33,92.89,1448900
2020-12-21,94.73,94.84,92.7,94.07,1270790
2020-12-18,100.79,101.0406,95.115,96.12,1729389
2020-12-17,102.8,102.8,99.75,100.42,1085343
2020-12-16,103.88,105.45,99.77,100.7,1327800
2020-12-15,99.67,101.04,97.41,101.04,1212743
2020-12-14,100.0,101.49,98.11,98.5,1131312
2020-12-11,100.99,101.95,99.165,100.02,382713
2020-12-10,99.55,102.14,99.07,101.9,1493300
2020-12-09,101.77,102.2,99.43,100.48,1358600
2020-12-08,102.0,103.07,101.05,101.48,901821
2020-12-07,105.18,105.18,102.73,102.95,769583
2020-12-04,104.35,105.98,103.855,105.32,694891
2020-12-03,101.25,103.83,101.05,103.33,882600
2020-12-02,99.95,101.7,99.1,101.05,1240400
2020-12-01,99.98,100.73,99.28,99.83,1196200
2020-11-30,101.73,102.33,98.05,98.16,1979410
2020-11-27,102.77,103.15,101.06,102.43,427700
2020-11-25,103.42,103.68,100.92,102.35,1635400
2020-11-24,102.31,105.93,102.31,104.43,1741900
2020-11-23,99.43,101.605,99.16,100.39,1789128
2020-11-20,98.13,98.61,96.43,98.38,1514400
2020-11-19,95.2,97.96,94.12,97.42,1445800
