datetime,open,high,low,close,volume
2021-01-29,59.95,60.2,57.84,57.92,14597753
2021-01-28,60.15,61.06,59.63,60.34,19927000
2021-01-27,59.9,60.0,58.53,59.4,24633800
2021-01-26,61.2,61.24,60.09,60.91,18741900
2021-01-25,60.67,60.77,59.17,60.56,25089326
2021-01-22,60.94,61.83,60.19,61.33,24737000
2021-01-21,63.21,63.34,61.74,61.87,19394600
2021-01-20,63.75,63.82,62.84,63.25,17440200
2021-01-19,65.2,65.25,62.91,63.69,27022421
2021-01-15,67.37,67.65,64.09,64.23,38295300
2021-01-14,67.52,69.43,67.17,69.01,29078000
2021-01-13,67.0,67.22,65.99,66.86,18536200
2021-01-12,67.49,67.74,66.24,66.67,20155600
2021-01-11,64.58,66.62,64.33,66.44,20095774
2021-01-08,66.21,66.21,64.34,65.37,20739300
2021-01-07,67.07,68.1,66.01,66.02,24149300
2021-01-06,64.49,66.6,63.95,65.25,38075600
2021-01-05,60.35,62.0,60.02,61.7,20197300
2021-01-04,61.59,61.7083,59.73,60.14,20382854
2020-12-31,60.67,61.85,60.53,61.66,12498000
2020-12-30,60.91,61.27,60.67,60.86,10768200
2020-12-29,61.15,61.4,60.55,60.91,10795400
2020-12-28,60.62,61.93,60.49,61.13,13536865
2020-12-24,60.94,61.08,59.88,60.56,6378831
2020-12-23,60.0,61.31,59.79,60.78,16570700
2020-12-22,61.1,61.14,59.16,59.26,17851600
2020-12-21,60.35,61.82,59.81,61.23,30331543
2020-12-18,60.18,60.2865,58.72,59.06,19618502
2020-12-17,60.05,60.2864,59.5699,60.04,13704863
2020-12-16,60.07,60.14,59.36,59.75,14983300
2020-12-15,58.73,59.859,58.57,59.68,13337736
2020-12-14,60.0,60.255,58.73,58.74,18398681
2020-12-11,59.7185,59.81,58.18,58.93,19039343
2020-12-10,58.04,60.79,58.01,60.5,25852400
2020-12-09,59.16,59.55,58.3,58.95,27266900
2020-12-08,57.46,58.4,57.36,58.35,13658029
2020-12-07,58.15,58.61,57.28,58.13,19977344
2020-12-04,57.57,58.82,57.31,58.62,21060681
2020-12-03,57.38,57.45,56.2,56.58,18767400
2020-12-02,55.36,57.42,55.25,57.2,26790500
2020-12-01,56.55,56.74,55.4,55.47,23497900
2020-11-30,56.14,56.54,54.995,55.07,23331851
2020-11-27,57.0,57.24,56.12,56.67,14267100
2020-11-25,56.27,57.16,55.33,57.06,28243500
2020-11-24,54.48,57.14,54.48,57.06,32864400
2020-11-23,52.51,53.63,52.29,53.3,25946227
2020-11-20,51.83,52.11,51.19,51.65,15471100
2020-11-19,51.6,52.32,50.95,52.14,20230300
2020-11-18,51.09,52.65,51.01,51.05,25778200
2020-11-17,49.84,50.93,49.48,50.73,18960900
2020-11-16,50.41,51.02,49.855,50.4,26296198
2020-11-13,48.68,49.065,48.4,48.66,16061818
2020-11-12,47.97,48.41,47.71,48.28,28457400
2020-11-11,47.9,49.29,47.68,48.93,29709400
2020-11-10,48.31,48.75,47.45,47.65,33252600
2020-11-09,46.87,48.78,46.26,47.64,56886374
2020-11-06,43.51,43.61,42.5,42.71,17694000
2020-11-05,42.34,43.58,42.18,43.07,24934500
2020-11-04,42.53,43.41,41.9,42.08,25939900
2020-11-03,43.3,44.02,43.06,43.53,29949000
2020-11-02,41.86,42.67,41.2,42.21,23640855
2020-10-30,41.03,41.54,40.49,41.42,26962800
2020-10-29,41.01,42.15,40.72,41.66,21716637
