datetime,open,high,low,close,volume
2021-01-29,34.63,35.31,34.6,34.71,1642198
2021-01-28,34.97,35.66,34.35,34.7,5154500
2021-01-27,35.18,36.6,35.18,35.77,5167300
2021-01-26,34.92,35.56,34.87,35.49,3964200
2021-01-25,34.38,35.64,34.26,34.96,3878521
2021-01-22,34.09,34.67,34.04,34.38,4255900
2021-01-21,33.81,34.12,33.45,34.06,4214800
2021-01-20,33.65,33.86,33.06,33.76,3904100
2021-01-19,33.93,34.0195,33.59,33.63,4251430
2021-01-15,33.93,34.26,33.79,33.86,4461400
2021-01-14,33.55,34.11,33.28,34.05,4062600
2021-01-13,32.86,33.65,32.81,33.38,5346500
2021-01-12,33.1,33.33,32.55,32.91,6290800
2021-01-11,34.14,34.27,33.0399,33.1,6962281
2021-01-08,33.89,34.13,33.4,34.07,6455300
2021-01-07,35.69,35.7,33.76,33.78,8893200
2021-01-06,35.52,36.1,35.48,35.73,4165400
2021-01-05,35.28,35.77,35.25,35.56,4993600
2021-01-04,36.4,36.48,35.7601,35.99,4186388
2020-12-31,36.2,36.29,35.72,36.26,2317000
2020-12-30,36.4,36.6,36.02,36.13,1744200
2020-12-29,36.75,36.98,36.41,36.42,1778900
2020-12-28,36.69,36.85,36.44,36.62,2048708
2020-12-24,36.28,36.43,36.15,36.38,807700
2020-12-23,36.16,36.53,36.06,36.41,2235000
2020-12-22,36.03,36.38,35.89,35.99,2790000
2020-12-21,35.79,36.145,35.49,35.97,2377748
2020-12-18,36.31,36.31,35.6425,36.12,3138298
2020-12-17,35.92,36.255,35.75,36.18,2280199
2020-12-16,35.69,35.96,35.5,35.58,2431700
2020-12-15,35.81,35.84,35.42,35.67,1996836
2020-12-14,35.62,35.99,35.36,35.63,2439746
2020-12-11,35.35,35.43,35.055,35.34,2368730
2020-12-10,35.77,35.85,35.31,35.37,2321900
2020-12-09,35.68,35.84,35.37,35.71,2754400
2020-12-08,35.38,35.72,35.21,35.69,2258112
2020-12-07,35.55,35.945,34.93,35.37,3123926
2020-12-04,35.405,35.65,35.15,35.5,5451777
