datetime,open,high,low,close,volume
2021-01-29,37.8935,38.64,37.77,38.15,3061230
2021-01-28,36.81,38.45,36.421,38.2,8108500
2021-01-27,36.6,36.78,34.21,36.23,8134800
2021-01-26,38.89,39.05,37.3,37.32,4944200
2021-01-25,38.97,39.0569,37.2,38.89,8687012
2021-01-22,39.2,40.11,39.1,39.51,2585000
2021-01-21,40.4,40.4,39.21,39.74,4646500
2021-01-20,40.41,40.41,39.69,40.04,4654700
2021-01-19,40.7,40.98,40.2,40.37,3383135
2021-01-15,40.6,40.6,39.571,40.38,4499800
2021-01-14,41.4,41.59,40.73,40.8,3748300
2021-01-13,41.42,41.89,40.83,41.38,3947200
2021-01-12,41.56,41.94,41.05,41.74,4436100
2021-01-11,39.88,41.8428,39.85,41.57,3624730
2021-01-08,41.2,41.35,40.0,40.69,6964100
2021-01-07,40.41,41.19,40.0,41.09,7771900
2021-01-06,38.32,40.26,38.32,40.05,6209800
2021-01-05,37.0,38.18,36.8,37.94,3701100
2021-01-04,38.35,38.38,36.98,37.03,4256964
2020-12-31,37.62,37.81,36.92,37.72,2096000
2020-12-30,37.31,37.8,37.25,37.73,3051000
2020-12-29,38.0,38.18,36.68,37.17,3748700
2020-12-28,38.11,39.43,37.75,37.76,3018889
2020-12-24,37.95,38.24,37.85,37.89,1484717
2020-12-23,38.12,38.4,37.8,38.16,2367600
2020-12-22,38.29,38.52,37.86,38.03,3303800
2020-12-21,38.0,38.72,37.9308,38.52,2458727
2020-12-18,38.4613,38.83,37.61,38.75,4765736
2020-12-17,38.382,38.865,38.265,38.7,3078873
2020-12-16,37.73,38.02,37.34,38.0,3989300
2020-12-15,37.0,37.905,36.52,37.68,3772217
2020-12-14,37.5,37.55,36.52,36.62,4592067
2020-12-11,37.13,37.39,36.76,37.17,2216229
2020-12-10,37.67,38.47,37.267,37.54,4094400
2020-12-09,37.41,37.99,37.39,37.84,4133800
2020-12-08,36.8,37.57,36.72,37.3,2979376
2020-12-07,37.55,37.7,36.71,36.84,3673824
2020-12-04,37.24,37.97,37.06,37.71,3753142
2020-12-03,37.19,37.77,36.6,36.69,5410500
2020-12-02,37.19,37.28,36.56,36.83,5576600
2020-12-01,38.64,38.94,37.55,37.6,6595200
2020-11-30,37.75,38.48,37.41,38.07,20834792
2020-11-27,38.69,38.84,37.46,37.81,5923500
2020-11-25,39.06,39.24,38.52,38.61,4255600
2020-11-24,38.94,39.565,38.43,39.37,6586400
2020-11-23,39.0,39.14,38.4,38.77,6232002
2020-11-20,38.93,39.1,38.21,38.54,4338700
2020-11-19,39.0,39.28,38.51,39.13,8247700
2020-11-18,40.27,40.65,39.37,39.39,4047232
2020-11-17,41.45,41.48,39.86,40.36,6880400
2020-11-16,39.24,40.51,38.48,40.5,5696923
2020-11-13,38.14,38.61,38.14,38.29,4620661
2020-11-12,38.0,38.935,37.785,37.96,8192500
2020-11-11,38.49,38.73,37.89,38.06,4632300
2020-11-10,39.03,39.35,37.58,37.81,5588400
2020-11-09,40.74,41.3,38.68,38.8,7185726
2020-11-06,38.53,39.03,38.145,38.95,3442500
2020-11-05,37.51,38.3,37.38,38.2,5777300
2020-11-04,35.63,37.4,35.5,36.78,9038600
2020-11-03,35.45,37.01,35.43,36.95,6731800
2020-11-02,34.0,35.13,33.87,35.1,5997258
2020-10-30,33.97,34.88,33.0,33.39,6741100
2020-10-29,33.5,34.78,32.93,34.08,10708404
2020-10-28,32.93,33.76,32.76,33.3,6485900
2020-10-27,33.77,33.94,33.11,33.61,3656131
2020-10-26,34.45,34.45,33.27,33.71,5196810
2020-10-23,34.04,34.96,33.86,34.94,6568128
2020-10-22,33.15,34.13,33.15,33.89,3887200
2020-10-21,33.06,33.44,32.9,33.35,2909800
2020-10-20,32.45,33.8,32.35,33.23,3827800
2020-10-19,32.8,33.0,32.07,32.32,5162829
2020-10-16,32.92,33.27,32.42,32.76,3723000
2020-10-15,32.09,32.66,32.01,32.6,2691600
