datetime,open,high,low,close,volume
2021-01-29,157.21001,158.4175,155.14999,158.10001,1237913
2021-01-28,157.45,160.92,156.87,158.13,2522300
2021-01-27,162.77,163.0,159.11,159.88,1864600
2021-01-26,160.56,164.3,159.62,163.45,1882300
2021-01-25,160.05,162.31,159.50999,160.89,1667878
2021-01-22,158.89999,159.67,157.96001,158.92,1367100
2021-01-21,158.14999,159.78999,157.11,159.34,1491600
2021-01-20,159.56,161.46001,158.27,159.06,1670800
2021-01-19,158.87,160.0,157.02,159.39,2824653
2021-01-15,154.78,157.96001,154.03,157.25,2425500
2021-01-14,154.09,156.12,152.42,154.75999,3882400
2021-01-13,150.41,152.95,150.35001,152.69,1456800
2021-01-12,152.41,152.99001,149.14,150.46001,2303500
2021-01-11,153.75999,154.74001,151.96001,153.06,1580184
2021-01-08,153.82001,155.13,153.35001,154.06,2432600
2021-01-07,151.05,153.25999,150.75999,152.45,2562600
2021-01-06,154.61,154.66,151.34,151.42999,2708700
2021-01-05,155.21001,157.03999,154.89999,155.61,2380600
2021-01-04,158.35001,159.06,154.37,155.0,2061028
2020-12-31,155.8,159.36,155.2,159.19,1579900
2020-12-30,155.99001,157.19,155.69,156.39,1310100
2020-12-29,157.0,157.98,155.17999,155.81,1771500
2020-12-28,154.34,156.32001,153.42999,156.25,1612989
2020-12-24,152.58,154.28999,152.58,154.0,576735
2020-12-23,154.21001,155.38,152.41,152.46001,1976200
2020-12-22,152.71001,154.28999,152.0,153.49001,2248400
2020-12-21,152.45,153.60001,151.21001,153.25999,2017110
2020-12-18,155.78999,155.8,152.09,153.81,3025172
2020-12-17,154.14999,157.52991,154.14999,155.75,4110894
2020-12-16,155.88,157.25,153.52,154.12,4285700
2020-12-15,155.455,156.00999,154.36,155.41,2633372
2020-12-14,157.91,158.89999,154.92,155.19,2640962
2020-12-11,157.21001,158.89999,156.14,157.67999,2352431
2020-12-10,158.38,159.55,156.5,157.22,2147600
2020-12-09,160.53999,160.94,156.88,158.39,3028600
2020-12-08,162.89999,163.75,161.02499,161.33,1768419
2020-12-07,162.83,165.0,161.35001,162.45,1917960
2020-12-04,167.78,167.9483,163.03,163.5,2220325
2020-12-03,166.2,168.58,166.2,167.44,1859900
2020-12-02,170.03999,170.56,166.32001,166.84,1494000
2020-12-01,168.0,170.89999,167.75,170.8,2891900
2020-11-30,167.0,167.75,164.00999,167.57001,2770813
2020-11-27,165.31,167.17,164.73,167.17,879700
2020-11-25,164.58,166.5,163.50999,164.96001,1932400
2020-11-24,167.8,168.27,164.00999,164.25,2122900
2020-11-23,167.5,167.89,165.09,166.36,1935596
2020-11-20,168.11,168.84,166.25,166.97,1569800
2020-11-19,170.33,170.34,167.17,168.09,2219400
2020-11-18,166.28999,172.13,165.95,170.64999,3103900
2020-11-17,165.10001,166.89,164.5,166.34,2371700
2020-11-16,169.27,169.42,164.5,165.42,2052722
2020-11-13,167.67999,168.34,165.64,168.00999,1195662
2020-11-12,164.32001,167.13,164.00999,166.95,1883700
2020-11-11,161.74001,167.28999,160.97,164.64,1254000
2020-11-10,161.78,162.07001,157.67,160.42,2372500
2020-11-09,167.17,169.42,161.45,161.78,2174087
2020-11-06,163.41,165.28,162.11,164.07001,877200
2020-11-05,163.72,164.45,161.61,162.92,1213400
2020-11-04,159.63,165.45,159.56,162.13,1683800
2020-11-03,160.78999,162.39999,159.14,160.35001,1275000
2020-11-02,157.45,160.73,156.92999,159.48,1231213
2020-10-30,156.64,157.59,154.08,156.2,1256000
2020-10-29,158.30499,159.61,156.23,157.67999,1073929
2020-10-28,158.5,160.08,156.5,156.85001,1709000
2020-10-27,160.22009,162.35001,160.16,160.69,1407612
2020-10-26,157.7,160.42999,156.67,159.92,1475893
2020-10-23,156.46001,158.94,155.05,158.44,1402902
2020-10-22,162.64,163.34,154.61,156.25,3331500
2020-10-21,162.92,165.45,162.75,163.78999,1431400
2020-10-20,164.67,165.64,162.25999,164.46001,2080900
2020-10-19,168.25,168.75,163.75,164.32001,2628286
2020-10-16,167.03999,168.45,166.36,166.89999,1171700
2020-10-15,164.16,168.5,163.45,168.14,1045700
2020-10-14,167.49001,167.49001,164.505,165.03,864585
2020-10-13,167.00999,167.955,165.9409,166.75,1051295
2020-10-12,168.23,168.5,166.52,168.23,970161
2020-10-09,166.98,167.63,164.88,167.36,813864
2020-10-08,166.14999,169.31,165.34,165.78999,874322
2020-10-07,166.2,166.5,164.17999,164.92,1514400
2020-10-06,168.75,168.75,164.44,165.09,2009200
2020-10-05,168.62,169.0,165.28,168.66,1194891
2020-10-02,166.75,169.3,166.10001,168.64999,955918
2020-10-01,166.63,168.3,165.03999,167.85001,1147222
2020-09-30,164.8,167.0,164.35001,166.5,2341600
2020-09-29,163.21001,164.495,162.38451,164.17999,916518
