datetime,open,high,low,close,volume
2021-01-29,132.62,133.06,130.7025,131.11,777852
2021-01-28,129.78999,135.07001,129.55,132.95,1549400
2021-01-27,132.0,133.96001,127.56,128.42999,2085200
2021-01-26,135.77,135.97,133.53,133.83,960700
2021-01-25,138.81,139.39,134.31,135.89999,1229596
2021-01-22,139.08,140.39999,137.03999,137.42,1402500
2021-01-21,140.95,141.25,138.2,138.62,1196400
2021-01-20,138.28999,142.11,138.28999,140.10001,1432900
2021-01-19,135.83,137.97,134.85001,137.62,947628
2021-01-15,134.41,136.14999,132.92999,134.64,1126800
2021-01-14,134.38,136.02,133.82001,135.39999,1490800
2021-01-13,134.06,135.17,132.16,134.12,1155300
2021-01-12,135.05,135.05,132.63,133.72,1338200
2021-01-11,133.89,136.31,132.83098999999999,134.69,2332802
2021-01-08,136.95,138.53999,134.10001,136.19,2049400
2021-01-07,132.14,137.49001,131.74001,137.05,1639700
2021-01-06,132.34,133.41,129.91,130.64,2299200
2021-01-05,136.74001,137.33,135.0,136.14,1634100
2021-01-04,136.89,138.31,133.50999,135.75999,2343460
2020-12-31,135.42,136.84,135.3,136.42999,773700
2020-12-30,134.71001,136.06,134.07001,135.25,944500
2020-12-29,135.13,135.75,133.28999,133.98,996400
2020-12-28,135.85001,135.92999,133.53,134.75999,863242
2020-12-24,133.49001,134.62,132.63,134.0,377200
2020-12-23,134.86,135.99001,132.72,133.06,1171200
2020-12-22,132.21001,134.91,131.42999,134.37,1491800
2020-12-21,130.89999,131.89999,128.10001,131.73,1315032
2020-12-18,127.38,132.25999,126.58,132.08,2002337
2020-12-17,126.31,127.37,125.14,127.3,1152043
2020-12-16,123.86,125.97,123.79,125.4,1633600
2020-12-15,122.5,124.22,122.08,122.82,1535702
2020-12-14,118.41,122.02,118.41,121.31,1311857
2020-12-11,117.23,118.83,116.6624,118.43,761880
2020-12-10,114.69,117.95,113.8,117.45,1078300
2020-12-09,121.78,121.78,114.83,115.49,1482800
2020-12-08,119.33,119.41,117.3,118.42,792571
2020-12-07,118.89,120.16,118.515,119.02,1025350
2020-12-04,116.7,119.21,116.7,118.33,953540
2020-12-03,115.72,118.58,115.3,116.68,1422100
2020-12-02,114.95,116.79,113.84,116.43,1174100
2020-12-01,116.88,117.07,114.59,115.65,2127600
2020-11-30,117.22,117.22,114.69,116.3,2304137
2020-11-27,113.67,116.89,113.67,116.58,927400
2020-11-25,112.07,113.27,111.41,113.04,1238700
2020-11-24,111.3,111.54,109.2,110.74,1626200
2020-11-23,113.5,113.98,109.65,111.25,1081672
2020-11-20,113.05,114.88,112.59,112.79,1418500
2020-11-19,111.67,113.12,110.44,112.6,2073700
2020-11-18,113.25,113.44,110.84,111.03,1214087
2020-11-17,115.0,115.16,113.27,113.48,1207100
2020-11-16,115.0,116.35,113.9738,114.86,1159945
2020-11-13,115.62,116.53,114.74,115.785,687964
2020-11-12,117.14,118.14,114.04,114.56,1554300
2020-11-11,114.63,117.82,114.63,116.68,1431800
2020-11-10,115.94,116.38,111.4,112.39,2097200
2020-11-09,126.46,127.5,118.44,118.57,2405691
2020-11-06,125.04,126.27,122.25,125.5,1457600
2020-11-05,123.79,124.68,122.36,124.07,2016100
2020-11-04,117.67,121.4,115.8,120.99,2250600
2020-11-03,111.55,114.16,111.09,113.59,1477300
2020-11-02,109.95,112.29,109.535,110.51,1645586
2020-10-30,108.65,110.74,108.13,109.37,2316600
2020-10-29,107.64,111.51,107.58,110.21,1357000
2020-10-28,108.05,109.39,105.93,107.64,2006300
2020-10-27,110.96,112.14,109.68,109.86,700211
2020-10-26,110.31,112.22,108.11,109.88,964756
2020-10-23,109.95,112.1,109.06,112.03,837892
2020-10-22,111.67,112.06,108.75,109.32,1589400
2020-10-21,112.61,113.96,111.21,111.23,1444700
2020-10-20,115.35,116.0,112.0,112.61,2304600
2020-10-19,115.51,117.09,112.95,113.56,1611778
2020-10-16,116.87,117.5,114.56,115.69,1169000
2020-10-15,115.0,116.55,114.0,115.96,1458200
2020-10-14,117.0,118.22,115.81,116.96,1231199
2020-10-13,116.6,117.87,115.29,116.78,888025
2020-10-12,114.26,116.37,113.0568,115.56,1445633
2020-10-09,110.0,112.285,109.85,111.9,666166
2020-10-08,109.5191,109.55,107.9359,109.33,441482
2020-10-07,106.53,108.99,105.79,108.44,1139300
2020-10-06,107.0,108.0,105.19,105.52,1137200
2020-10-05,106.11,107.64,106.04,107.46,962731
2020-10-02,106.38,107.44,104.48,105.29,1039005
2020-10-01,107.85,109.31,107.735,108.63,1492427
2020-09-30,105.35,107.95,105.3,106.63,1813400
2020-09-29,105.82,106.94,105.65,105.78,937030
2020-09-28,105.05,105.325,103.83,105.25,1383384
2020-09-25,102.0,104.13,100.88,103.71,1614567
2020-09-24,98.47,103.1,98.47,102.131,1229083
2020-09-23,102.1531,102.83,99.23,99.72,771168
2020-09-22,103.39,103.39,100.52,102.83,1007098
2020-09-21,98.6241,102.13,97.45,102.1,1721584
2020-09-18,101.86,101.96,98.65,99.77,1931181
2020-09-17,99.62,101.46,99.08,101.16,1773812
2020-09-16,105.88,106.21,102.44,102.58,808303
2020-09-15,104.45,105.88,104.44,105.23,900828
2020-09-14,102.52,104.03,102.05,103.25,1120957
2020-09-11,102.91,103.81,100.27,101.54,911226
2020-09-10,104.52,105.81,101.54,102.23,1002341
2020-09-09,102.49,105.11,101.2,104.34,1180141
2020-09-08,100.0,103.71,98.1572,100.45,1820937
2020-09-04,108.16,108.53,102.0,105.88,1921633
2020-09-03,114.42,114.57,107.105,108.08,2203724
2020-09-02,114.47,117.59,113.59,117.08,1558570
2020-09-01,111.41,114.03,110.89,113.98,1267893
2020-08-31,110.51,112.0,110.215,110.89,1075727
2020-08-28,110.5,111.36,109.87,110.86,823195
2020-08-27,113.26,113.47,109.08,109.38,1775087
2020-08-26,111.82,113.97,111.56,112.66,1042500
2020-08-25,111.37,111.9837,110.723,111.25,958464
2020-08-24,112.0,113.04,110.59,111.28,793709
2020-08-21,110.735,111.2,109.31,110.58,1109269
2020-08-20,108.0,111.63,107.97,111.27,947456
2020-08-19,109.23,109.585,107.4,108.54,883204
2020-08-18,109.57,110.46,108.42,109.14,819401
2020-08-17,108.43,109.905,108.11,109.54,823664
2020-08-14,109.2,109.65,107.53,107.98,601457
2020-08-13,107.63,109.695,107.27,108.65,830858
2020-08-12,105.37,108.14,104.8,107.28,964608
2020-08-11,106.55,107.0,104.68,105.189,1247756
2020-08-10,108.3465,108.3465,105.6401,107.19,1644727
2020-08-07,110.41,110.8,107.38,108.52,1136662
2020-08-06,109.26,110.695,108.655,110.53,841576
2020-08-05,109.81,110.93,109.17,109.65,978837
2020-08-04,111.53,112.0,108.45,109.09,1722169
2020-08-03,109.75,112.32,109.7,111.798,1523694
2020-07-31,108.29,109.26,106.08,109.25,1327332
2020-07-30,104.78,108.04,104.45,107.65,1266979
2020-07-29,104.8,107.0,104.8,105.96,2043476
2020-07-28,105.44,105.985,103.885,104.08,923720
2020-07-27,103.62,105.41,103.32,105.26,1228929
2020-07-24,101.08,103.36,100.63,102.59,1836202
2020-07-23,103.39,105.89,102.35,102.97,1410248
2020-07-22,104.28,105.14,102.8,103.66,1160142
2020-07-21,106.54,106.54,102.64,103.6,1890295
2020-07-20,100.67,104.34,99.91,103.81,1950383
2020-07-17,98.68,100.68,98.25,100.23,1046184
2020-07-16,98.65,99.099,97.27,98.68,182772
2020-07-15,99.7,100.0,97.92,99.11,1710500
2020-07-14,97.11,99.22,95.2381,99.13,115501
2020-07-13,101.72,102.08,98.055,98.25,244452
2020-07-10,101.565,101.78,99.48,100.99,185547
2020-07-09,100.72,101.63,99.08,101.53,116937
