datetime,open,high,low,close,volume
2021-01-29,86.53,87.5,84.51,85.04,734196
2021-01-28,87.54,88.78,86.71,86.91,1821900
2021-01-27,87.88,90.24,87.54,87.78,2064000
2021-01-26,86.88,88.07,86.02,88.0,1440900
2021-01-25,85.49,88.49,85.11,87.12,1579470
2021-01-22,85.48,85.99,84.53,84.92,1446100
2021-01-21,84.8,85.41,84.22,85.06,977600
2021-01-20,85.02,85.25,83.93,84.74,1457900
2021-01-19,84.38,86.04,84.38,85.16,1294797
2021-01-15,84.38,85.83,83.98,85.24,1961600
2021-01-14,84.61,85.07,84.09,84.51,1034800
2021-01-13,84.16,84.91,83.61,84.48,1657800
2021-01-12,84.83,85.0,83.61,83.87,1611300
2021-01-11,85.64,86.31,84.57,84.92,849675
2021-01-08,84.65,85.48,83.81,85.4,1722600
2021-01-07,85.17,85.81,84.12,84.9,1632300
2021-01-06,85.53,86.61,85.25,85.95,1439500
2021-01-05,86.5,86.96,85.27,85.82,1646300
2021-01-04,87.02,87.785,85.59,86.6,1302162
2020-12-31,86.93,87.26,86.2,87.23,1651400
2020-12-30,87.0,87.49,86.68,86.71,701200
2020-12-29,87.71,88.45,86.84,87.08,657400
2020-12-28,87.55,87.85,86.8426,87.48,622579
2020-12-24,86.78,87.29,86.39,86.86,281900
2020-12-23,86.7,87.39,86.67,86.94,681900
2020-12-22,86.2,86.91,85.79,86.56,1122800
2020-12-21,87.22,87.71,86.0,86.54,1215191
2020-12-18,87.19,88.28,86.725,88.1,799453
2020-12-17,87.11,87.71,86.81,87.19,706677
2020-12-16,86.39,87.64,86.27,86.67,923400
2020-12-15,86.06,87.19,85.96,86.16,808004
2020-12-14,85.98,86.84,85.76,86.06,1004534
2020-12-11,85.54,86.25,85.25,85.85,930988
2020-12-10,86.69,87.2,85.05,85.33,1222600
2020-12-09,87.13,87.5,86.05,86.44,1158000
2020-12-08,86.76,87.41,86.0,87.08,1029776
2020-12-07,86.25,87.4729,86.18,86.76,1084988
2020-12-04,86.44,87.27,85.83,86.34,727595
2020-12-03,85.95,86.91,85.58,86.59,1148400
2020-12-02,87.77,87.94,85.08,86.26,1311100
2020-12-01,88.37,88.46,86.61,87.84,2374600
2020-11-30,86.21,87.84,85.56,87.77,2308789
2020-11-27,85.93,86.33,85.12,86.27,747900
2020-11-25,84.31,86.1,84.16,85.58,1442500
2020-11-24,85.43,85.92,83.43,83.65,2600600
2020-11-23,85.62,86.35,84.77,85.27,993260
2020-11-20,86.48,87.18,85.62,85.96,1178400
2020-11-19,85.91,87.32,85.83,86.2,1110800
2020-11-18,87.49,87.63,85.99,85.99,692422
2020-11-17,87.47,88.28,87.0,87.21,1356300
2020-11-16,87.21,88.03,86.06,87.97,1132443
2020-11-13,87.645,87.905,86.48,87.3674,1307362
2020-11-12,88.09,88.83,86.63,87.5,2687900
2020-11-11,87.3,88.2,86.91,87.41,3891400
2020-11-10,84.57,86.98,84.24,86.32,2350400
2020-11-09,91.66,91.86,84.78,84.83,2821233
2020-11-06,90.04,91.38,89.97,90.5,1038700
2020-11-05,91.08,91.6,89.24,90.03,1499500
2020-11-04,90.05,90.97,89.53,89.77,1382600
2020-11-03,88.56,89.93,88.23,89.0,1595100
2020-11-02,89.86,90.64,87.15,87.9,2474603
2020-10-30,87.18,88.96,86.62,88.39,1961500
2020-10-29,84.0,87.9,82.52,87.06,2947100
2020-10-28,91.21,91.81,88.2,88.24,1969600
2020-10-27,91.99,93.22,91.81,92.2,1021603
2020-10-26,91.26,92.01,90.77,91.91,751035
2020-10-23,91.18,91.96,90.98,91.92,744521
2020-10-22,92.02,92.18,90.94,90.99,943800
2020-10-21,92.37,93.53,92.16,92.19,1183900
2020-10-20,93.22,93.89,92.18,92.24,923100
2020-10-19,93.6,94.63,91.99,92.34,1160448
2020-10-16,95.11,95.42,92.96,93.19,3391200
2020-10-15,93.93,95.74,93.56,95.1,1398900
2020-10-14,95.605,96.31,94.41,94.5,943269
2020-10-13,93.35,95.91,92.79,95.19,1391988
2020-10-12,92.7,94.3,92.14,93.27,1152865
