datetime,open,high,low,close,volume
2021-01-29,88.98,89.41,84.93,85.295,600442
2021-01-28,92.95,93.53,88.91,88.99,1789600
2021-01-27,91.66,95.4,89.06,91.52,3167100
2021-01-26,99.17,100.46,96.6,97.5,2519200
2021-01-25,97.83,99.98,97.83,99.32,1315733
2021-01-22,96.55,98.37,96.51,97.8,801500
2021-01-21,98.44,99.9,97.94,97.95,1226700
2021-01-20,97.5,100.5,96.58,98.8,2013900
2021-01-19,96.06,97.99,95.56,96.44,1608635
2021-01-15,97.34,97.9,94.69,95.21,1505700
2021-01-14,96.61,97.71,95.84,97.37,772900
2021-01-13,97.86,98.03,95.48,95.71,954000
2021-01-12,96.36,98.18,95.25,97.9,936800
2021-01-11,97.18,97.2,94.46,96.53,991770
2021-01-08,96.27,98.65,96.11,97.36,1249700
2021-01-07,95.49,96.33,94.44,96.16,1064500
2021-01-06,92.15,95.4,92.15,95.24,1509400
2021-01-05,91.93,93.58,90.58,91.5,1439800
2021-01-04,93.65,93.97,91.8,92.37,1076736
2020-12-31,93.24,93.91,92.76,93.87,665200
2020-12-30,93.82,94.4,92.77,93.04,623600
2020-12-29,94.88,95.46,93.3,93.72,1162000
2020-12-28,94.43,95.56,94.26,94.67,559591
2020-12-24,94.72,95.0,93.92,94.66,405800
2020-12-23,94.19,95.2,93.26,93.79,925500
2020-12-22,94.13,94.99,93.12,94.39,1028300
2020-12-21,91.95,94.42,91.22,93.48,861555
2020-12-18,91.98,92.94,91.23,92.57,865017
2020-12-17,91.94,92.84,91.4,92.33,839783
2020-12-16,90.65,91.87,90.45,91.44,798100
2020-12-15,92.02,92.86,90.21,90.23,1234887
2020-12-14,94.08,94.31,91.34,91.78,1056151
2020-12-11,92.45,93.66,92.21,93.08,629223
2020-12-10,93.99,94.93,92.38,92.72,1105500
2020-12-09,94.31,95.14,93.95,95.08,1135700
2020-12-08,93.93,94.66,92.96,94.3,569855
2020-12-07,92.85,93.26,92.56,93.22,655977
2020-12-04,92.66,93.35,92.01,92.94,639345
2020-12-03,92.11,93.53,92.11,92.53,805800
2020-12-02,93.56,93.82,91.25,92.3,951600
2020-12-01,94.02,95.4,93.56,93.83,1716100
2020-11-30,93.04,94.04,92.66,93.97,1831921
2020-11-27,92.84,93.25,91.8,92.72,682600
