datetime,open,high,low,close,volume
2021-01-29,218.345,220.47,214.27499,214.47,445412
2021-01-28,215.17,222.78,213.41,218.78999,1541000
2021-01-27,212.34,215.64999,209.55,212.56,2234800
2021-01-26,220.11,221.55,215.16,215.75999,1436900
2021-01-25,221.97,222.23,217.16,220.09,1666272
2021-01-22,225.52,227.42,223.23,223.42,1422900
2021-01-21,229.11,230.89999,226.08,226.19,2095000
2021-01-20,221.28999,229.12,219.03,228.42,2021900
2021-01-19,222.14999,223.94,218.92,220.8,1759052
2021-01-15,220.06,220.06,216.42999,218.89999,1462500
2021-01-14,224.53999,225.77,220.07001,220.78,1175700
2021-01-13,225.8,226.78,223.37,223.81,1417600
2021-01-12,219.58,227.25,218.92,225.22,2124400
2021-01-11,219.25999,222.83,218.34108999999998,219.92,1148094
2021-01-08,220.0,223.11,219.03999,220.8,2346000
2021-01-07,213.0,220.50999,210.25,220.5,2812200
2021-01-06,194.33,210.3,190.88,209.42999,3488700
2021-01-05,205.53,207.39999,203.07001,203.42999,1768400
2021-01-04,209.14,210.0,200.53999,205.72,2301526
2020-12-31,204.05,208.61,203.42,208.17999,1233400
2020-12-30,203.91,205.57001,203.55,204.05,1194800
2020-12-29,203.92999,206.28,203.64,204.05,1168700
2020-12-28,200.32001,204.25,199.75,202.16,1244217
2020-12-24,198.89999,199.55499,197.33,198.83,473207
2020-12-23,196.58,200.53999,196.5,198.98,1825200
2020-12-22,196.03999,197.0,193.89999,194.97,1402900
2020-12-21,193.09,198.02,191.53,197.38,1306061
2020-12-18,202.224,202.224,194.44,196.83,3431986
2020-12-17,203.62,205.2408,201.17,202.52,2247004
2020-12-16,204.92,205.17999,201.7,202.39999,1583600
2020-12-15,206.17,206.83,202.25999,205.44,1252633
2020-12-14,211.75999,211.75999,202.61,203.14999,1924097
2020-12-11,211.69,212.5899,208.265,209.28,1075780
2020-12-10,214.62,217.52,211.28,212.64999,1500500
2020-12-09,218.8,220.38,215.5,217.0,1375700
2020-12-08,216.69501,219.77,215.85001,218.67,1007883
2020-12-07,216.27,219.03,213.5,218.59,1365263
2020-12-04,213.89999,219.95,213.41,217.55,1192723
2020-12-03,211.0,215.22,211.0,213.39,1394800
2020-12-02,207.50999,213.42999,207.02,212.00999,1368300
