datetime,open,high,low,close,volume
2021-01-29,78.4075,80.2,78.275,78.45,3343118
2021-01-28,78.04,79.83,78.03,79.15,8036700
2021-01-27,78.55,78.99,77.84,78.03,6289700
2021-01-26,78.87,79.09,77.93,78.75,5788400
2021-01-25,78.21,79.1,78.15,78.61,7451150
2021-01-22,78.78,78.92,77.9,78.19,4816300
2021-01-21,80.18,80.43,78.76,79.28,5772000
2021-01-20,79.5,80.45,78.9,80.2,6897200
2021-01-19,82.55,82.55,80.74,80.85,3812695
2021-01-15,81.94,82.44,81.69,81.88,6359600
2021-01-14,82.77,82.78,81.62,81.94,3732500
2021-01-13,82.25,82.93,82.25,82.49,4069400
2021-01-12,81.88,82.75,81.85,82.26,4359800
2021-01-11,82.35,83.06,82.1,82.14,3805903
2021-01-08,82.09,82.61,81.82,82.35,5569300
2021-01-07,81.91,82.55,81.14,81.8,5061000
2021-01-06,84.16,84.79,81.87,82.25,9053900
2021-01-05,84.33,84.82,83.37,84.52,2559300
2021-01-04,84.78,85.555,83.53,84.33,3160049
2020-12-31,84.96,85.6,84.53,85.51,1893100
2020-12-30,85.18,85.34,84.55,84.73,2157400
2020-12-29,85.83,86.21,84.92,85.03,2389800
2020-12-28,85.28,85.68,84.98,85.41,1201584
2020-12-24,84.57,85.1,84.5,85.04,820866
2020-12-23,84.59,84.96,84.2,84.43,2690400
2020-12-22,85.2,85.42,84.27,84.4,2341500
2020-12-21,85.05,85.49,84.37,85.31,2427485
2020-12-18,85.8509,86.2,84.96,85.93,2051924
2020-12-17,85.5,86.05,85.34,85.66,2509939
2020-12-16,85.14,85.76,84.64,85.04,2862000
2020-12-15,84.43,85.06,84.21,84.77,1849583
2020-12-14,85.08,85.45,84.14,84.19,2537877
2020-12-11,84.38,85.0828,84.15,84.67,1891697
2020-12-10,84.89,85.35,84.39,84.59,2856500
2020-12-09,85.16,85.34,84.39,84.75,2582900
2020-12-08,84.58,85.44,84.19,85.17,2202487
2020-12-07,84.8,85.86,84.75,85.39,2286621
2020-12-04,85.15,85.68,84.42,85.03,2425560
2020-12-03,85.52,85.73,84.41,85.19,3842100
2020-12-02,86.07,86.38,85.25,85.74,2740100
2020-12-01,85.76,86.34,85.38,86.26,3372300
2020-11-30,84.99,85.66,84.2,85.64,3743099
2020-11-27,84.95,85.06,84.3,84.9,2188300
2020-11-25,85.14,85.47,84.44,84.75,3135700
2020-11-24,84.95,85.65,84.12,84.71,4223200
2020-11-23,85.23,85.23,83.9733,84.54,3045928
2020-11-20,85.52,86.41,85.12,85.16,3719000
2020-11-19,84.99,85.64,84.7,85.38,4400800
2020-11-18,85.5,85.94,84.6,84.6,3087258
2020-11-17,85.39,86.06,85.28,85.35,3406800
2020-11-16,85.38,85.94,85.21,85.93,3070246
2020-11-13,84.87,85.41,84.69,85.35,2931125
2020-11-12,85.0,85.12,84.21,84.73,3705200
2020-11-11,84.0,85.25,83.44,84.93,3895700
2020-11-10,81.89,83.76,81.39,83.35,4494500
2020-11-09,83.8,84.569,81.54,81.78,5951150
2020-11-06,83.08,83.55,82.45,83.03,3481300
2020-11-05,84.75,84.75,82.98,83.01,3914000
2020-11-04,83.35,85.64,83.09,83.86,5653400
2020-11-03,80.88,83.42,80.83,83.11,5327800
2020-11-02,80.18,81.02,79.51,80.16,4048915
2020-10-30,79.94,81.09,77.68,78.89,7362900
2020-10-29,76.54,77.44,75.56,76.67,3939600
2020-10-28,77.42,78.18,76.7,76.86,4767300
2020-10-27,79.01,79.64,78.79,78.85,2421256
2020-10-26,78.86,79.22,78.12,78.69,3850909
2020-10-23,79.62,80.0,79.32,79.35,1836094
2020-10-22,79.38,79.68,78.68,79.29,2516400
2020-10-21,79.52,80.74,79.52,80.2,3586200
2020-10-20,80.07,80.76,79.71,79.83,2960900
2020-10-19,80.45,80.9,79.01,79.21,2854755
2020-10-16,80.12,80.59,80.03,80.31,2963600
2020-10-15,79.42,80.14,79.28,79.71,3375800
2020-10-14,80.42,80.63,79.43,79.86,1701254
2020-10-13,80.33,80.99,79.85,80.24,1773222
2020-10-12,79.69,80.955,79.62,80.63,2649893
2020-10-09,78.95,80.1262,78.915,79.77,1889597
2020-10-08,78.2,78.84,78.09,78.76,1565949
2020-10-07,77.83,78.39,77.69,78.13,1928300
2020-10-06,78.55,78.63,77.2,77.54,2640900
2020-10-05,77.5,78.49,77.43,78.42,2697438
2020-10-02,76.522,77.96,76.46,77.41,3133936
2020-10-01,77.51,77.73,76.74,77.06,2969733
2020-09-30,76.58,77.45,76.41,77.15,3962100
2020-09-29,76.82,76.82,75.85,76.22,1630704
2020-09-28,76.73,77.51,76.42,76.61,2553520
2020-09-25,75.36,76.11,75.33,75.96,2257401
2020-09-24,75.28,76.27,74.96,75.74,2019061
2020-09-23,76.08,76.22,75.03,75.12,2287916
2020-09-22,75.44,76.57,75.22,76.07,2194104
2020-09-21,75.41,75.93,74.35,75.19,2397378
2020-09-18,76.19,76.94,75.29,75.82,3076887
2020-09-17,76.541,77.205,76.17,76.71,1848556
2020-09-16,77.3,77.755,76.87,76.91,1727056
2020-09-15,77.38,77.71,76.915,76.93,1797303
2020-09-14,76.992,77.69,76.95,77.14,1965904
2020-09-11,76.39,77.25,76.39,76.75,2084991
2020-09-10,77.565,77.78,76.26,76.41,2627774
2020-09-09,76.73,78.365,76.69,77.56,2502318
2020-09-08,77.23,77.32,75.565,75.67,3620289
2020-09-04,77.61,78.4009,76.34,77.21,3008835
2020-09-03,79.48,80.095,77.085,77.66,3908667
2020-09-02,78.09,79.785,78.02,79.465,2940541
2020-09-01,79.07,79.17,77.8,78.1,2538380
2020-08-31,79.19,79.49,78.92,79.21,2487905
2020-08-28,78.95,79.51,78.44,79.38,2493703
2020-08-27,78.83,79.48,78.81,79.07,1838417
2020-08-26,78.0676,79.165,78.0158,78.66,2512055
2020-08-25,79.22,79.305,78.47,78.59,1806261
2020-08-24,78.79,79.195,78.6399,79.13,1916717
2020-08-21,78.36,78.835,77.88,78.7,2268053
2020-08-20,77.82,78.31,77.56,78.26,1671350
2020-08-19,77.775,78.195,77.68,77.95,1905341
2020-08-18,77.275,78.185,76.95,77.65,3663294
2020-08-17,77.03,77.77,76.83,77.22,1939165
2020-08-14,76.97,77.36,76.66,77.02,1813850
2020-08-13,77.185,77.185,76.52,76.99,2421862
2020-08-12,76.36,77.78,76.27,77.24,3446497
2020-08-11,76.64,76.95,75.81,75.95,2967522
2020-08-10,76.41,76.9,76.26,76.67,2043236
2020-08-07,75.86,76.27,75.6,76.24,2275805
2020-08-06,75.86,76.096,75.6,75.86,2771280
2020-08-05,76.795,77.09,75.95,76.18,2370654
2020-08-04,76.51,76.875,76.03,76.76,3113216
2020-08-03,76.83,77.27,76.5,76.59,2562772
2020-07-31,76.83,77.45,75.8105,77.23,3153024
2020-07-30,75.84,77.18,75.72,76.92,4248108
2020-07-29,75.54,76.475,75.53,76.21,2556894
2020-07-28,74.9103,75.99,74.76,75.73,3336629
2020-07-27,74.06,74.73,74.0,74.64,2728543
2020-07-24,74.71,75.239,73.97,74.34,2303325
2020-07-23,74.735,75.165,74.1613,74.24,3085062
2020-07-22,73.45,74.21,72.6129,74.14,2841603
2020-07-21,74.38,74.84,73.97,74.04,2215958
2020-07-20,74.99,75.18,73.895,74.2,1815537
2020-07-17,74.86,75.29,74.4,75.19,1410388
2020-07-16,74.71,75.11,74.2,74.98,462580
2020-07-15,75.0,75.49,74.38,74.7,301706
2020-07-14,73.315,74.92,73.28,74.81,267624
2020-07-13,73.76,74.13,73.25,73.42,246632
2020-07-10,73.29,73.96,72.69,73.69,408976
2020-07-09,74.24,74.62,73.23,73.32,285321
2020-07-08,74.06,74.57,73.74,74.48,416554
2020-07-07,73.175,74.22,73.175,73.97,658697
2020-07-06,73.66,73.8788,72.89,73.45,530586
2020-07-02,73.65,73.87,73.07,73.29,368081
2020-07-01,73.26,73.58,72.97,73.03,2961617
2020-06-30,72.59,73.51,72.27,73.26,3556100
2020-06-29,71.89,72.5,71.89,72.43,2962265
2020-06-26,72.66,72.92,71.21,71.52,5402400
2020-06-25,72.17,72.73,71.26,72.62,718365
