datetime,open,high,low,close,volume
2021-01-29,210.77499,215.25,210.77,213.24001,857778
2021-01-28,222.56,226.14999,209.45,209.57001,2937200
2021-01-27,215.00999,231.11,214.0,222.17999,4055900
2021-01-26,210.25999,213.53999,208.00999,212.99001,2432700
2021-01-25,203.60001,224.37,202.86,211.96001,3879724
2021-01-22,198.73,202.78999,198.32001,202.35001,1635900
2021-01-21,197.07001,198.28999,196.23,197.21001,1220300
2021-01-20,196.03,197.95,194.92999,196.92999,1777200
2021-01-19,198.89999,199.2,195.00999,196.50999,1611867
2021-01-15,195.41,199.28,194.74001,197.52,1739800
2021-01-14,193.67,195.62,191.83,195.55,1298700
2021-01-13,194.96001,195.58,193.50999,193.74001,1035600
2021-01-12,194.41,195.50999,193.94,194.24001,1390500
2021-01-11,198.64999,199.14999,192.91,193.73,1306298
2021-01-08,196.06,197.85001,194.33,197.84,1413900
2021-01-07,196.13,196.91,194.08,196.42999,2118100
2021-01-06,198.06,201.47,196.55,197.41,1766500
2021-01-05,200.57001,201.87,197.91,200.00999,1201200
2021-01-04,201.89999,203.0,199.16,200.44,1069494
2020-12-31,201.61,202.05,199.89999,201.92,947800
2020-12-30,201.99001,202.46001,200.96001,201.03999,787300
2020-12-29,202.5,203.47,201.49001,201.75999,709100
2020-12-28,203.73,203.92,201.35001,202.25,881244
2020-12-24,202.19,203.8,202.17999,203.8,318314
2020-12-23,201.3,203.5,201.02,202.33,677200
2020-12-22,202.62,203.17999,200.22,201.39,927400
2020-12-21,204.07001,204.67,200.42999,202.45,1096389
2020-12-18,202.845,203.59,201.3801,203.11,797446
2020-12-17,203.53999,204.3439,200.81,202.34,803867
2020-12-16,203.03999,204.73,202.42,203.44,885700
2020-12-15,203.965,205.37,202.16,203.06,1190122
2020-12-14,204.21001,204.62,200.8904,202.38,1633154
2020-12-11,200.60001,202.98,200.19099,201.73,908282
2020-12-10,200.75,202.72,199.89999,200.60001,829900
2020-12-09,203.47,203.47,199.45,200.50999,1207200
2020-12-08,200.61501,205.89,199.75999,202.88,1372149
2020-12-07,200.39,202.2,198.64999,200.61,1196521
2020-12-04,200.95,201.67,198.67999,199.99001,1918500
2020-12-03,200.48,203.37,199.78,201.23,1997600
2020-12-02,202.78999,204.0,199.53,201.71001,1447500
2020-12-01,202.37,203.3,200.60001,203.21001,1536400
2020-11-30,202.32001,203.35001,199.97,202.96001,2206197
2020-11-27,201.39999,203.35001,201.25,203.09,699200
2020-11-25,201.63,202.57001,200.0,200.75,1298600
2020-11-24,202.31,203.14,199.42999,199.53999,1617700
2020-11-23,202.12,203.23,201.09,202.31,1563295
2020-11-20,202.84,204.78999,202.72,203.05,1537700
2020-11-19,203.69,206.64999,201.0,202.47,1556700
2020-11-18,208.77,210.25,204.89999,204.98,1909400
2020-11-17,207.0,209.49001,205.66,209.10001,1433200
2020-11-16,203.0,207.88,202.00191,207.67,1515224
2020-11-13,207.55479,208.875,206.255,207.39999,1405980
2020-11-12,204.62,207.62,203.00999,207.53,1821100
2020-11-11,199.27,203.5,197.67,202.59,1809800
2020-11-10,197.0,202.2,192.89999,198.12,2426900
2020-11-09,203.44,209.0,193.25999,194.91,4940750
2020-11-06,212.46001,218.14,212.46001,218.08,1078200
2020-11-05,215.52,216.17999,212.98,212.98,1079500
2020-11-04,214.0,218.19,212.7,212.94,1554500
2020-11-03,215.99001,217.5,210.69,212.25,1901700
2020-11-02,215.0,221.84,212.24001,216.03,4026008
2020-10-30,207.59,211.53999,204.88,207.25,2251400
2020-10-29,210.33,212.22,207.55,208.73,1045807
2020-10-28,213.28999,215.24001,209.53999,209.88,1118400
2020-10-27,214.75,217.63,214.07001,214.17999,1141774
2020-10-26,210.81,214.36,209.72,212.73,1092794
2020-10-23,209.41499,211.59,209.17999,211.13,636714
2020-10-22,209.07001,211.49001,206.05,209.75999,1272200
2020-10-21,210.00999,213.14,210.0,211.35001,1121500
2020-10-20,214.39999,214.63,210.21001,210.61,763500
2020-10-19,215.45,216.5918,212.38,212.5,1074278
2020-10-16,216.0,218.42,214.69,214.99001,1373500
2020-10-15,218.00999,220.96001,217.03,218.37,859600
2020-10-14,221.72,222.0,217.88,218.99001,750285
2020-10-13,217.66,223.36,217.30499,221.17,1083648
2020-10-12,215.63,218.00999,214.8,215.42,720454
2020-10-09,213.53,216.32001,213.42999,214.81,751775
2020-10-08,215.515,215.6871,211.96001,212.86,713794
2020-10-07,211.06,217.5,211.0,215.13,2038300
2020-10-06,209.19,212.10001,208.64999,211.14999,996200
2020-10-05,209.02,210.05,207.825,209.11,1035749
2020-10-02,212.0,216.0,208.28999,209.22,1158494
2020-10-01,209.74001,212.35001,207.52,211.67999,1018940
2020-09-30,210.16,211.36,208.03,210.17,1389200
2020-09-29,212.295,214.2,210.13,210.41,860349
2020-09-28,212.59,214.25,210.47,211.97,838985
2020-09-25,214.41,214.73,211.06,211.35001,766862
2020-09-24,211.92999,214.58501,210.87,213.69,917631
2020-09-23,213.2619,213.50999,210.08,212.22501,986714
