datetime,open,high,low,close,volume
2021-01-29,50.3278,51.2,49.795,49.99,9754636
2021-01-28,50.0,52.29,49.78,51.6,29151300
2021-01-27,49.47,50.23,48.32,48.42,24655400
2021-01-26,49.15,50.21,48.88,50.09,23559200
2021-01-25,48.5,49.13,48.32,48.97,16328454
2021-01-22,48.84,48.94,48.26,48.68,13959900
2021-01-21,48.5,49.27,48.24,49.13,22602300
2021-01-20,48.99,49.17,48.66,48.88,15814200
2021-01-19,48.67,49.09,48.3121,48.845,18946298
2021-01-15,49.21,49.26,48.15,48.69,25973100
2021-01-14,50.16,50.27,49.44,49.58,18805500
2021-01-13,49.62,50.38,49.52,50.16,16226600
2021-01-12,51.29,51.55,49.61,50.01,20999000
2021-01-11,51.735,51.74,50.7279,51.52,18795694
2021-01-08,50.36,51.66,50.31,51.54,22139500
2021-01-07,50.2,50.98,50.1,50.66,20225800
2021-01-06,49.12,50.77,49.1,50.56,22552100
2021-01-05,50.16,50.3,49.2,49.98,17854200
2021-01-04,52.28,52.4,49.615,50.51,22302131
2020-12-31,51.36,52.48,51.24,52.4,11651200
2020-12-30,51.69,51.93,51.19,51.21,9951400
2020-12-29,51.16,51.73,51.04,51.55,11241400
2020-12-28,50.78,51.36,50.53,51.11,11676932
2020-12-24,50.15,50.44,50.0857,50.38,3875051
2020-12-23,50.15,50.27,49.65,50.04,12934200
2020-12-22,50.0,50.31,49.8,50.02,13739800
2020-12-21,50.52,50.65,49.49,50.37,19672374
2020-12-18,51.38,51.38,50.4,50.9,15823321
2020-12-17,51.51,51.88,51.08,51.36,9751013
2020-12-16,51.68,52.07,51.01,51.43,13129200
2020-12-15,51.38,52.095,51.3,51.52,13991552
2020-12-14,50.5674,51.27,50.5674,50.99,14005769
2020-12-11,50.5674,51.105,50.19,50.93,13990752
2020-12-10,51.28,51.28,50.25,50.48,17302100
2020-12-09,51.62,52.36,51.15,51.26,17327400
2020-12-08,51.3355,51.79,51.22,51.41,10090803
2020-12-07,51.58,52.02,51.24,51.93,12195893
2020-12-04,51.73,51.91,51.494,51.71,7802816
2020-12-03,50.77,51.72,50.68,51.59,14676500
2020-12-02,50.93,51.34,50.81,51.05,14437600
2020-12-01,50.75,51.27,50.11,51.02,14369600
2020-11-30,51.13,51.48,49.89,50.24,34359794
2020-11-27,51.33,52.21,51.31,51.75,5231354
2020-11-25,52.17,52.2,50.78,51.8,19321600
2020-11-24,50.0,52.49,49.92,52.34,31743600
2020-11-23,49.09,49.975,48.79,49.81,14677517
2020-11-20,49.28,49.68,49.1,49.17,19830000
2020-11-19,49.21,49.74,49.0,49.48,13483700
2020-11-18,49.6,50.38,49.04,49.14,18279200
2020-11-17,49.19,49.99,48.98,49.78,19426000
2020-11-16,49.4,49.75,49.25,49.54,19426603
2020-11-13,47.8,49.245,47.73,49.0,14063578
2020-11-12,47.63,48.09,47.25,47.98,20020400
2020-11-11,47.78,47.97,47.12,47.67,11840000
2020-11-10,46.17,47.96,45.95,47.77,21101200
2020-11-09,47.6,48.23,46.72,47.18,34509736
2020-11-06,44.57,44.7,43.95,44.53,14129100
2020-11-05,44.58,44.81,44.21,44.35,18894100
2020-11-04,44.27,44.61,43.4,43.7,23062600
2020-11-03,41.95,42.98,41.75,42.62,20760800
2020-11-02,42.75,42.93,40.965,41.4,22502995
2020-10-30,42.47,43.05,41.75,42.24,22001800
2020-10-29,42.08,43.675,41.89,43.05,15711556
2020-10-28,42.91,43.08,41.91,41.98,20251800
2020-10-27,43.6,43.84,43.36,43.44,8491634
2020-10-26,44.71,44.82,43.55,43.77,14770092
2020-10-23,45.4706,45.55,44.6,45.07,8204963
2020-10-22,44.5,45.24,44.36,45.11,15956600
2020-10-21,44.0,44.9,43.97,44.52,13195800
2020-10-20,44.63,44.66,44.13,44.27,13137400
2020-10-19,45.56,45.76,44.2,44.33,17520400
2020-10-16,45.23,45.89,44.9,45.56,13360900
2020-10-15,45.03,45.15,44.53,45.11,12904800
2020-10-14,45.8,46.005,44.99,45.27,10125661
2020-10-13,46.1,46.31,45.38,45.89,11188099
2020-10-12,45.3,46.26,44.922,45.99,19520077
2020-10-09,45.3801,45.63,44.68,44.82,18648393
2020-10-08,45.0895,45.39,44.83,45.31,9557473
2020-10-07,45.03,45.11,44.26,44.96,17826500
2020-10-06,45.28,45.52,44.37,44.51,17910600
2020-10-05,45.3,45.93,45.02,45.81,12599396
2020-10-02,45.79,45.97,45.11,45.13,13651805
2020-10-01,46.566,46.77,46.17,46.44,9992973
2020-09-30,46.54,46.72,45.75,46.26,27896600
2020-09-29,46.79,46.87,46.17,46.19,9355160
2020-09-28,46.89,47.0625,46.24,46.76,15822042
2020-09-25,45.35,46.33,45.22,46.16,9631100
2020-09-24,45.19,46.08,44.905,45.7,11684290
2020-09-23,46.2,46.38,45.245,45.36,15696019
2020-09-22,45.0,46.475,44.85,46.17,25225658
2020-09-21,44.811,45.3,43.41,44.69,22993243
2020-09-18,45.48,45.85,44.29,45.26,23995127
2020-09-17,45.94,46.425,45.02,45.62,13503490
2020-09-16,46.9906,47.5,46.7,46.8,15515008
2020-09-15,45.16,46.74,45.05,46.45,16158700
2020-09-14,45.02,45.49,44.71,45.27,8610006
2020-09-11,44.0467,44.74,43.97,44.67,14668349
2020-09-10,44.49,45.01,43.865,44.02,12620728
2020-09-09,43.825,44.99,43.71,44.59,10803801
2020-09-08,43.81,44.2,43.12,43.815,16841880
2020-09-04,44.91,44.97,43.9,44.42,14023183
2020-09-03,45.61,45.94,44.09,44.44,14599859
2020-09-02,45.05,45.93,45.01,45.17,13822436
2020-09-01,44.45,45.09,44.24,45.06,13860714
2020-08-31,44.26,45.13,44.25,44.81,19185646
2020-08-28,44.33,44.57,43.93,44.57,9050444
2020-08-27,44.53,44.795,44.25,44.54,11901432
2020-08-26,43.02,44.36,42.91,44.2,11867911
2020-08-25,43.71,43.73,43.18,43.41,7092264
2020-08-24,42.86,43.82,42.85,43.8,12211697
2020-08-21,43.04,43.23,42.72,43.07,9152648
2020-08-20,43.0,43.435,42.9,43.28,8782775
2020-08-19,43.66,43.759,43.16,43.32,7630754
2020-08-18,43.71,43.735,43.28,43.54,6721619
2020-08-17,43.87,43.95,43.3,43.54,9328918
2020-08-14,43.62,44.18,43.2,43.78,11656065
2020-08-13,43.1,43.425,42.995,43.39,11132815
2020-08-12,43.01,43.725,42.97,43.33,7819084
2020-08-11,43.25,44.0,42.92,43.0,13100730
2020-08-10,42.56,43.215,42.56,43.02,11048691
2020-08-07,42.59,42.92,42.47,42.82,7869237
2020-08-06,42.04,42.89,42.02,42.88,11759970
2020-08-05,43.29,43.47,42.245,42.29,13018458
2020-08-04,42.62,43.235,42.54,43.205,9408376
2020-08-03,42.69,43.135,42.41,42.88,9384769
2020-07-31,43.54,43.64,41.96,42.8,18236131
2020-07-30,44.48,45.2,43.12,43.69,16042592
2020-07-29,43.34,44.11,43.32,43.93,23401809
2020-07-28,42.86,43.565,42.8,43.21,15840729
2020-07-27,43.2,43.64,43.15,43.6,15019339
2020-07-24,43.43,43.9,42.705,43.35,18937981
2020-07-23,42.76,42.96,42.335,42.49,16449090
2020-07-22,42.5222,42.76,42.41,42.56,11005830
2020-07-21,42.14,42.77,42.06,42.58,19274804
2020-07-20,41.99,42.105,41.76,41.95,10769682
2020-07-17,42.48,42.48,41.9,42.18,8620595
2020-07-16,41.71,42.18,41.66,42.15,1767850
2020-07-15,41.11,42.08,41.05,41.96,21068800
2020-07-14,39.92,41.195,39.8309,41.125,1713513
2020-07-13,40.47,41.0982,40.19,40.56,2148838
2020-07-10,39.23,40.54,39.14,40.51,1348472
2020-07-09,39.7,39.72,39.025,39.3,1347643
2020-07-08,40.16,40.24,39.52,39.72,1086883
2020-07-07,40.025,40.35,40.0,40.08,2294872
2020-07-06,39.78,40.37,39.66,40.34,2699080
2020-07-02,40.1,40.279,39.165,39.26,2738901
2020-07-01,39.61,40.16,39.4,39.7,18269783
2020-06-30,38.5,39.13,38.12,38.98,22169400
2020-06-29,38.87,39.03,38.39,38.94,20573845
2020-06-26,38.3,38.74,38.03,38.65,50945600
2020-06-25,38.37,38.735,37.77,38.58,3902210
2020-06-24,39.2516,39.44,38.13,38.58,4484024
2020-06-23,38.95,39.65,38.69,39.2,5593563
