datetime,open,high,low,close,volume
2021-01-29,180.3,182.02,177.92,180.41,677526
2021-01-28,180.50999,185.25,179.82001,182.47,1514200
2021-01-27,182.47,183.52,177.73,178.78999,2261300
2021-01-26,184.61,185.34,183.02,183.75,1248000
2021-01-25,183.69,185.12,182.22,184.37,1350742
2021-01-22,185.50999,185.95,183.89,184.03999,1135600
2021-01-21,189.45,189.45,186.07001,186.2,1424300
2021-01-20,192.28,192.74001,188.86,189.83,1217500
2021-01-19,193.22,194.33,191.03011,192.2,1528190
2021-01-15,192.66,193.67999,191.14,191.82001,1368800
2021-01-14,198.24001,198.92999,193.73,194.14,1329400
2021-01-13,202.47,205.05,197.67,197.95,1973800
2021-01-12,199.28999,202.10001,198.57001,201.49001,1631700
2021-01-11,198.52,200.25999,197.0125,198.94,1399217
2021-01-08,196.98,200.86,196.98,199.67999,1867400
2021-01-07,197.24001,199.3,195.00999,198.81,2788800
2021-01-06,181.61,194.81,181.16,193.38,4452300
2021-01-05,179.62,179.75,177.50999,179.12,1683200
2021-01-04,183.10001,183.17,177.7,179.3,1319967
2020-12-31,178.56,182.22,178.11,182.05,1400100
2020-12-30,179.85001,180.17999,177.77,178.0,813400
2020-12-29,181.14,181.48,178.69,178.86,872100
2020-12-28,179.14999,181.07001,178.71001,180.39,930764
2020-12-24,177.78999,178.85001,177.14999,178.48,446396
2020-12-23,181.45,183.31,180.2,180.34,1289800
2020-12-22,181.84,182.99001,180.61,181.0,1001900
2020-12-21,181.57001,182.88,179.66,181.77,1831183
2020-12-18,185.21001,186.95,181.89,183.8,1580263
2020-12-17,183.08,185.25999,182.28999,184.92,1375271
2020-12-16,181.44,183.23,181.0,181.72,1223600
2020-12-15,178.53999,181.39999,177.8,181.39999,1005643
2020-12-14,181.71001,182.28,177.53999,177.55,1207609
2020-12-11,181.11,184.34,179.8,180.181,1284099
2020-12-10,181.44,183.77,181.17,182.48,1831100
2020-12-09,184.3,184.5,180.94,182.38,1407000
2020-12-08,182.11,184.28999,179.465,183.39,1294588
2020-12-07,180.53,183.66,180.09,183.17999,1128701
2020-12-04,182.34,185.11,181.72,183.91,1146606
2020-12-03,181.33,182.86,179.37,181.71001,1449800
2020-12-02,178.92,182.95,178.88,181.88,1673800
2020-12-01,177.03,180.33,175.91,179.16,2626800
2020-11-30,173.55,175.14,172.95,175.03,1609416
2020-11-27,174.53999,176.13,173.69,174.77,921000
2020-11-25,173.17999,174.89999,170.67999,174.78999,1827900
2020-11-24,170.25999,174.14,169.91,173.17999,2072800
2020-11-23,168.72,171.03,168.00999,168.78,1752702
2020-11-20,166.45,168.34,164.98,167.47,1282800
2020-11-19,165.32001,166.67999,163.52,165.92999,972800
2020-11-18,168.35001,169.61,165.64999,165.67,1003606
2020-11-17,166.64,168.48,165.45,168.07001,1372400
2020-11-16,168.53,169.34,166.12,168.77,1606955
2020-11-13,161.95,167.075,161.70711,165.96001,1317312
2020-11-12,164.35001,165.2,159.46001,161.00999,1500100
2020-11-11,169.37,170.27,165.17,165.81,1952100
2020-11-10,162.03,168.87,161.11,168.71001,3366000
2020-11-09,160.84,166.39,160.24001,162.41,4198359
2020-11-06,151.81,151.83,149.3,150.59,1566100
2020-11-05,152.05,152.61,150.0,150.45,2023500
2020-11-04,154.37,156.28,150.32001,150.5,2486000
2020-11-03,154.81,156.21001,153.22,153.48,1770500
2020-11-02,153.0,154.78,150.84,152.28,2044497
2020-10-30,149.14999,150.87,147.8,150.72,1947900
2020-10-29,149.24001,152.58,146.89,149.99001,2348100
2020-10-28,155.17999,156.0,147.53,149.56,3235500
2020-10-27,160.24001,161.44,159.35001,159.42,1138890
2020-10-26,162.13,162.564,157.89999,160.16,1342060
2020-10-23,164.69,165.17999,162.25999,163.85001,797490
2020-10-22,164.98,165.07001,162.87,163.48,1440600
2020-10-21,163.16,164.87,162.23,164.59,2142100
2020-10-20,163.89999,165.00999,162.89999,163.12,1956300
2020-10-19,168.8,168.8,163.25999,163.34,1117545
2020-10-16,167.58,169.5,165.69,167.99001,1006400
2020-10-15,164.92999,167.25999,164.45,167.09,1339700
2020-10-14,167.89,168.9294,166.41,166.56,774268
2020-10-13,169.71001,170.91,167.0,167.5,934176
2020-10-12,169.17999,171.08,169.17999,170.0,852042
2020-10-09,171.95,172.06,168.7,169.39999,877712
2020-10-08,169.56,172.39999,169.3943,170.96001,2090454
2020-10-07,168.48,170.03999,167.58,169.5,2043700
2020-10-06,168.36,170.39,166.99001,168.33,1754700
2020-10-05,168.28999,169.87,166.35001,166.94,1422554
2020-10-02,168.77,170.185,168.02,168.48,781926
2020-10-01,168.10001,170.97,167.645,170.25999,1097132
2020-09-30,166.60001,168.91,165.94,167.31,1322800
2020-09-29,169.0,169.8,164.13,166.12,1418997
2020-09-28,167.94,170.10001,167.58,168.92999,1349605
2020-09-25,163.64,166.99001,163.245,166.75999,992698
2020-09-24,162.14,165.27,161.66499,163.92999,1093963
2020-09-23,163.34,167.22501,162.03999,162.31,1227386
2020-09-22,167.17,168.89,164.42,166.60001,872772
2020-09-21,166.78,168.83,164.83,167.8,1464821
2020-09-18,172.49001,172.49001,168.42,169.13,1604914
2020-09-17,168.0,171.00999,168.0,170.63,1312416
2020-09-16,169.0,170.88,168.35001,170.2,1465094
2020-09-15,167.03,168.67999,166.3,168.14999,1153441
2020-09-14,164.60001,167.0,163.86,166.09,798846
2020-09-11,163.78999,164.52,162.03999,163.21001,1126602
2020-09-10,166.58,168.41,163.69501,163.98,1842108
2020-09-09,166.64,169.56,166.39999,168.00999,1055222
2020-09-08,168.09,169.8,166.33,167.00999,1348089
2020-09-04,172.97,173.36,166.7,169.78999,1761356
2020-09-03,173.64,176.235,170.98,171.96001,1589506
2020-09-02,172.69,175.64999,171.16,172.73,2026345
