datetime,open,high,low,close,volume
2021-01-29,241.82001,241.82001,232.7314,233.33,374824
2021-01-28,240.94,247.53999,240.00999,242.2,895705
2021-01-27,242.77,244.46001,237.67,239.10001,1480300
2021-01-26,247.28999,248.37,245.56,246.82001,870000
2021-01-25,246.23,250.155,244.75999,246.53999,893578
2021-01-22,247.08,248.32001,242.45,247.0,1097500
2021-01-21,237.59,254.13,236.11,248.03,2659100
2021-01-20,239.46001,239.46001,235.0,236.53,1172500
2021-01-19,240.28,241.44,236.935,238.36,1095355
2021-01-15,239.31,239.31,233.28,237.24001,1823100
2021-01-14,241.57001,244.0,241.10001,241.33,781700
2021-01-13,242.08,243.14999,239.78999,240.87,1032600
2021-01-12,236.75,242.69,236.53999,242.03,1037600
2021-01-11,232.73,238.39,231.64,236.67999,851331
2021-01-08,240.16,241.25,231.3,234.31,1455800
2021-01-07,235.89,239.75999,234.14999,239.21001,1351000
2021-01-06,223.84,236.25,223.75,233.59,1366000
2021-01-05,220.60001,223.92999,220.60001,221.63,1297400
2021-01-04,227.67999,229.14909,219.75,221.37,948684
2020-12-31,224.91,227.28999,223.85001,227.10001,480400
2020-12-30,223.88,225.88,223.48,224.99001,390600
2020-12-29,224.41,225.28,220.77,222.69,563400
2020-12-28,227.91,228.67999,223.96001,224.14,401855
2020-12-24,225.28999,226.7,224.03999,226.53,197300
2020-12-23,223.23,225.73,222.03999,224.22,561200
2020-12-22,224.47,225.5,222.64999,223.53999,944500
2020-12-21,220.23,226.015,219.60001,224.72,596852
2020-12-18,224.02,225.14999,221.48,224.09,737200
2020-12-17,224.32001,225.28,221.44,223.36,606209
2020-12-16,223.92999,224.39999,221.42999,222.82001,840300
2020-12-15,216.49001,225.5,216.49001,224.09,960418
2020-12-14,220.67999,221.74001,216.41,216.41,989450
2020-12-11,218.23,220.33,217.39999,218.66,732582
2020-12-10,223.03999,223.5,219.22,219.55,1166200
2020-12-09,221.32001,224.86,219.8,224.19,1425600
2020-12-08,219.33,222.66,219.1301,221.03999,873153
2020-12-07,220.0,220.62,216.53999,219.09,1626589
2020-12-04,220.09,222.46518999999998,219.17,219.77,1331448
2020-12-03,227.50999,228.38,219.3,220.34,1923100
2020-12-02,229.38,231.0,227.08,227.17999,1067500
2020-12-01,234.64999,235.85001,229.75,230.36,1229600
2020-11-30,228.72,232.2,226.25,231.17,2298336
2020-11-27,231.5,232.2,228.53999,229.03,538300
2020-11-25,235.16,235.16,229.78,230.39,896400
2020-11-24,236.53999,237.46001,233.41,234.66,1374200
2020-11-23,232.86,236.41,232.405,235.22,1021472
2020-11-20,232.05,232.95,228.60001,230.64999,1087400
2020-11-19,229.78,233.71001,227.64999,233.14,872600
2020-11-18,231.735,235.78,231.25999,233.46001,854528
2020-11-17,230.92999,232.0,227.35001,231.08,952400
2020-11-16,240.0,240.0,228.58,231.86,1298852
2020-11-13,235.50999,236.87,233.92999,236.53999,710344
2020-11-12,233.71001,235.02,230.23,233.14,974200
2020-11-11,234.89,235.64999,230.5,234.89999,973300
2020-11-10,229.28999,235.34,228.55,233.86,908900
2020-11-09,240.0,244.67,228.95,228.97,1390024
2020-11-06,230.14999,232.74001,228.57001,229.05,724400
2020-11-05,226.16,232.60001,225.67999,229.57001,757700
2020-11-04,229.86,230.75999,221.13,222.8,1154800
2020-11-03,230.39999,233.02,229.13,232.03,1077900
2020-11-02,223.07001,228.18581,222.39999,227.67999,1267976
2020-10-30,216.05,219.98,214.32001,219.89,1092400
2020-10-29,214.03,219.49001,212.8,217.44,1057200
2020-10-28,214.8,218.91,213.2,213.59,1327900
2020-10-27,230.425,231.35001,219.61,219.61,1547487
2020-10-26,223.17999,223.8,218.06,220.67999,895635
2020-10-23,225.75,227.47,223.97501,226.28,889300
2020-10-22,222.75,225.75999,222.48,223.59,862500
2020-10-21,223.16,226.63,221.94,222.25,835300
2020-10-20,222.87,224.78,221.52,222.27,850400
2020-10-19,223.35001,224.87,220.35001,221.14999,666073
2020-10-16,224.39,227.14999,222.10001,222.8,1227800
2020-10-15,219.25999,223.42,218.31,222.45,737000
2020-10-14,220.92999,224.17,220.92999,221.77,706089
2020-10-13,221.09,221.75,217.21001,220.3,514917
2020-10-12,224.46001,224.50281,220.89,221.75,678604
2020-10-09,221.37,225.84,221.37,223.23,804063
2020-10-08,222.0,222.245,218.63,220.99001,593299
