datetime,open,high,low,close,volume
2021-01-29,60.27,61.12,59.245,59.41,1275090
2021-01-28,59.1,61.39,58.79,60.77,4471900
2021-01-27,59.29,59.5,57.8,58.42,5622300
2021-01-26,61.4,61.67,59.83,60.1,2989000
2021-01-25,61.37,62.16,60.7,60.93,3447736
2021-01-22,62.52,62.68,61.48,61.51,3895700
2021-01-21,61.78,63.67,61.53,62.75,5082800
2021-01-20,62.81,63.08,61.54,62.42,3410100
2021-01-19,64.6,64.84,62.65,62.79,2649474
2021-01-15,64.12,64.83,63.51,63.99,4128200
2021-01-14,66.64,67.21,64.9,65.03,3039200
2021-01-13,67.38,67.67,66.23,66.51,2744200
2021-01-12,68.68,69.82,68.12,68.14,1859500
2021-01-11,66.85,68.94,66.85,68.68,2458972
2021-01-08,69.87,70.26,67.56,68.21,3676000
2021-01-07,67.74,69.96,67.74,69.75,4312400
2021-01-06,62.61,67.85,62.27,67.66,11281100
2021-01-05,62.0,62.79,60.98,61.07,3602700
2021-01-04,60.61,62.13,59.91,62.09,5844553
2020-12-31,59.01,60.08,58.83,60.03,1861400
2020-12-30,58.97,59.36,58.76,58.92,1742200
2020-12-29,59.32,60.45,58.99,59.03,2023100
2020-12-28,58.32,59.06,57.91,58.83,3450940
2020-12-24,58.67,58.91,57.86,58.02,1509700
2020-12-23,58.7,59.21,58.42,58.68,2860800
2020-12-22,58.78,58.88,57.56,58.07,4705600
2020-12-21,59.75,60.06,58.41,58.69,7948395
2020-12-18,61.73,61.86,60.14,61.18,4974895
2020-12-17,61.24,62.4,61.235,62.11,3895581
2020-12-16,60.7,61.75,60.0,61.03,3824100
2020-12-15,60.17,60.38,59.54,60.38,4159719
2020-12-14,61.4,61.41,59.55,59.73,3258474
2020-12-11,61.29,61.51,59.9701,60.74,3043798
2020-12-10,63.21,63.23,61.27,61.31,3510400
2020-12-09,65.17,65.35,62.95,63.45,3636000
2020-12-08,64.06,65.55,63.87,64.995,2274468
2020-12-07,64.27,64.94,63.8,64.57,2104997
2020-12-04,63.73,64.61,63.52,64.61,2004376
2020-12-03,63.3,64.3,62.93,63.68,2825200
2020-12-02,62.83,64.46,62.79,63.84,1652800
2020-12-01,62.52,64.31,62.48,62.87,4467200
2020-11-30,63.28,63.28,61.42,61.65,3595385
2020-11-27,62.11,63.35,62.11,63.17,2310300
2020-11-25,63.66,63.88,61.9,62.19,3697400
2020-11-24,64.32,65.14,63.25,63.39,3020100
2020-11-23,63.25,64.22,63.13,63.92,2850143
2020-11-20,63.38,63.67,62.23,62.96,2921800
2020-11-19,65.53,65.58,63.33,63.61,3373600
2020-11-18,68.19,68.19,65.93,65.96,1928400
2020-11-17,67.2,67.75,66.27,67.28,3037800
2020-11-16,69.85,69.85,67.45,67.67,3089686
2020-11-13,69.09,69.66,68.655,69.05,2045036
2020-11-12,69.04,70.07,68.26,68.83,2581000
2020-11-11,72.0,72.24,69.39,69.4,4132300
2020-11-10,69.76,72.31,67.85,71.12,6561000
2020-11-09,69.85,71.09,68.68,68.82,3989277
2020-11-06,68.0,68.3,66.5,67.93,3666000
2020-11-05,64.81,68.18,64.31,67.88,6192800
2020-11-04,64.0,65.84,63.41,63.99,9042200
2020-11-03,63.35,65.45,62.89,64.64,4660400
2020-11-02,60.02,62.54,59.84,62.38,6439112
2020-10-30,58.21,59.58,58.19,59.1,4364700
2020-10-29,60.96,61.145,58.33,58.33,3685289
2020-10-28,62.76,63.31,61.03,61.16,3321900
2020-10-27,63.48,64.96,61.02,64.14,3623790
2020-10-26,66.67,67.01,65.63,66.39,2705712
2020-10-23,67.31,68.64,67.06,67.43,1960428
2020-10-22,66.02,67.31,66.02,66.94,1703300
2020-10-21,65.37,66.55,65.21,65.98,2135200
