datetime,open,high,low,close,volume
2021-01-29,21.45,21.665,20.9,20.97,1364499
2021-01-28,21.0,21.84,20.92,21.58,4579500
2021-01-27,21.62,21.83,20.64,20.86,5307100
2021-01-26,21.73,22.06,21.54,21.95,3550800
2021-01-25,21.34,21.86,21.25,21.67,3476961
2021-01-22,21.56,21.59,21.28,21.44,2867100
2021-01-21,21.52,21.77,21.28,21.69,3683100
2021-01-20,21.47,21.73,21.28,21.48,3790900
2021-01-19,21.6,21.7899,21.38,21.69,3986312
2021-01-15,21.3,21.52,21.0,21.46,5412900
2021-01-14,20.82,20.94,20.58,20.85,3707000
2021-01-13,20.62,20.94,20.55,20.82,3229100
2021-01-12,20.75,20.98,20.52,20.7,4201900
2021-01-11,20.62,20.87,20.57,20.79,3357018
2021-01-08,20.94,20.96,20.52,20.71,7833500
2021-01-07,21.96,22.02,20.87,20.88,6661000
2021-01-06,21.92,22.19,21.82,21.95,4349300
2021-01-05,21.41,21.64,21.2,21.57,3793500
2021-01-04,21.67,21.74,21.175,21.34,3738983
2020-12-31,21.4,21.69,21.25,21.64,1927600
2020-12-30,21.24,21.55,21.17,21.42,1767000
2020-12-29,21.55,21.67,21.19,21.3,3866400
2020-12-28,21.68,21.78,21.41,21.41,2797022
2020-12-24,21.46,21.585,21.21,21.58,1140470
2020-12-23,21.02,21.62,21.02,21.5,4264400
2020-12-22,21.05,21.13,20.72,20.82,4981400
2020-12-21,21.61,21.66,20.965,21.05,5495715
2020-12-18,21.915,22.03,21.7,21.86,4116423
2020-12-17,21.965,22.27,21.86,21.88,2882681
2020-12-16,22.27,22.31,21.73,21.87,4051900
2020-12-15,21.76,22.29,21.615,22.25,3922814
2020-12-14,22.0,22.05,21.6,21.64,5369346
2020-12-11,21.81,21.97,21.6,21.75,3855573
2020-12-10,22.14,22.32,21.66,21.8,6702200
2020-12-09,22.61,22.7,22.0,22.23,15465200
2020-12-08,23.08,23.085,22.45,22.5,3725942
2020-12-07,22.76,23.56,22.61,23.14,4871128
2020-12-04,22.85,23.2,22.74,22.85,3080125
2020-12-03,22.89,23.15,22.75,22.79,5975700
2020-12-02,22.74,22.96,22.4,22.93,5911600
2020-12-01,23.38,23.61,22.83,22.83,7136900
2020-11-30,24.03,24.13,23.08,23.19,7787515
2020-11-27,24.59,24.7,24.04,24.07,2954200
2020-11-25,24.42,24.7,24.28,24.51,3382700
2020-11-24,24.29,24.5,23.89,24.36,7894200
2020-11-23,23.56,24.0,23.54,23.98,5733650
2020-11-20,23.35,23.62,23.28,23.46,3871500
2020-11-19,23.61,23.78,23.15,23.43,6246600
2020-11-18,25.105,25.14,23.74,23.75,5234001
2020-11-17,24.72,25.39,24.62,25.17,8909300
2020-11-16,24.62,25.11,24.595,25.09,8734914
2020-11-13,23.63,24.265,23.63,24.25,4291494
2020-11-12,23.87,23.87,23.11,23.44,3982400
2020-11-11,24.12,24.58,23.97,24.07,5034700
2020-11-10,23.9,24.14,23.76,24.1,4763500
2020-11-09,24.0,24.4,23.48,23.73,8034557
2020-11-06,22.71,22.91,22.45,22.86,4481400
2020-11-05,21.85,23.17,21.85,22.67,6296000
2020-11-04,21.76,22.2,21.49,21.56,4028800
2020-11-03,21.79,22.18,21.67,21.79,3983200
2020-11-02,21.42,21.56,21.06,21.47,5016328
2020-10-30,21.49,21.55,21.0,21.13,4946600
2020-10-29,21.21,21.67,20.89,21.48,4505000
2020-10-28,21.78,22.27,21.25,21.3,4814800
2020-10-27,22.2,22.46,22.1,22.33,4811526
2020-10-26,21.85,22.19,21.76,22.13,4180925
2020-10-23,22.32,22.49,22.01,22.22,3247880
2020-10-22,21.55,22.14,21.44,22.07,3892600
2020-10-21,21.25,21.82,21.21,21.53,5462800
2020-10-20,20.92,21.97,20.81,21.34,5746400
2020-10-19,20.73,21.01,20.725,20.8,3151041
2020-10-16,20.94,21.12,20.65,20.85,2424100
2020-10-15,20.59,20.99,20.59,20.92,2190000
2020-10-14,20.88,21.055,20.61,20.78,2177262
2020-10-13,21.34,21.58,20.77,20.81,5171314
2020-10-12,21.4,21.815,21.22,21.61,5167575
2020-10-09,21.45,21.535,21.21,21.37,4928717
2020-10-08,20.7464,21.36,20.69,21.32,4059870
2020-10-07,20.7,20.92,20.47,20.65,3957600
2020-10-06,20.29,20.81,20.09,20.57,5262500
2020-10-05,20.02,20.235,19.71,20.19,3133040
2020-10-02,19.17,19.98,19.1,19.93,5260311
2020-10-01,19.37,19.47,19.195,19.39,2901269
2020-09-30,19.14,19.49,19.06,19.35,5277100
2020-09-29,19.1099,19.26,18.78,19.0,2369419
2020-09-28,19.17,19.295,18.99,19.02,3055930
2020-09-25,18.73,19.005,18.665,18.98,3133860
2020-09-24,18.82,19.135,18.6,18.9,3863244
2020-09-23,18.89,19.13,18.84,18.86,4908462
2020-09-22,18.8721,19.1,18.785,18.91,2430690
2020-09-21,18.73,19.25,18.67,18.9,6012090
2020-09-18,19.23,19.29,18.84,18.93,7475187
2020-09-17,19.585,19.585,19.135,19.28,3870181
2020-09-16,19.01,19.76,19.01,19.73,6252766
2020-09-15,19.61,19.63,18.865,19.01,4309894
2020-09-14,19.61,19.8567,19.42,19.54,3160142
2020-09-11,19.45,19.56,19.26,19.45,2318284
2020-09-10,19.41,19.77,19.4,19.45,3067044
2020-09-09,19.49,19.725,19.385,19.52,5762330
2020-09-08,20.03,20.03,19.31,19.38,3440572
2020-09-04,20.26,20.29,19.6018,19.87,3266234
2020-09-03,20.535,20.75,19.96,20.15,3183915
2020-09-02,19.93,20.545,19.875,20.45,2858462
2020-09-01,19.91,20.04,19.74,20.0,2541448
2020-08-31,19.96,20.13,19.88,20.07,2748478
2020-08-28,19.8041,19.975,19.615,19.96,2127805
2020-08-27,19.65,19.92,19.61,19.75,2840539
2020-08-26,19.89,19.89,19.55,19.64,2969336
2020-08-25,20.285,20.35,19.895,20.01,2872978
2020-08-24,19.86,20.26,19.81,20.22,3546059
2020-08-21,19.89,20.08,19.7,19.78,3754351
2020-08-20,20.14,20.18,19.81,19.82,4097466
2020-08-19,20.22,20.47,20.11,20.26,3002020
2020-08-18,20.675,20.745,20.11,20.24,5742075
2020-08-17,20.7,20.835,20.46,20.66,4976960
2020-08-14,20.6,20.645,20.275,20.55,3403923
2020-08-13,20.305,20.87,20.26,20.75,4666346
2020-08-12,20.83,20.95,20.39,20.39,5069735
2020-08-11,21.19,21.415,20.5983,20.61,4615444
2020-08-10,20.56,21.04,20.5,20.99,3930945
2020-08-07,20.11,20.7,20.11,20.42,6462440
2020-08-06,19.05,20.505,19.05,20.27,11165185
2020-08-05,19.76,19.83,18.9,19.015,6522238
2020-08-04,19.29,19.92,19.27,19.485,7779179
2020-08-03,18.99,19.55,18.765,19.33,4964268
2020-07-31,19.14,19.295,18.405,19.0,9854135
2020-07-30,19.22,19.22,18.775,19.14,6590995
2020-07-29,19.39,19.47,19.11,19.43,3944210
2020-07-28,19.08,19.57,19.01,19.34,3538309
2020-07-27,19.685,19.74,18.86,19.07,5520180
2020-07-24,20.28,20.35,19.62,19.74,3397399
2020-07-23,20.01,20.585,19.88,20.21,4813767
2020-07-22,19.29,20.115,19.21,20.02,6290301
2020-07-21,19.29,19.42,19.06,19.4,5493774
2020-07-20,19.85,19.98,19.055,19.17,4188923
2020-07-17,19.37,19.94,19.3,19.87,3846596
2020-07-16,19.32,19.47,19.05,19.29,959080
2020-07-15,19.55,19.855,19.28,19.31,463888
2020-07-14,19.23,19.58,19.18,19.27,1064971
2020-07-13,19.35,19.5,19.13,19.2,757504
2020-07-10,19.0,19.345,18.955,19.26,499858
