datetime,open,high,low,close,volume
2021-01-29,106.35,107.49,103.51,104.465,1749263
2021-01-28,104.5,108.41,103.04,106.84,4667500
2021-01-27,103.19,108.22,100.88,102.69,7615700
2021-01-26,102.99,103.0,99.82,99.93,4236100
2021-01-25,104.0,104.44,100.68,102.53,3469695
2021-01-22,107.11,107.41,103.83,105.34,5438200
2021-01-21,110.36,110.99,106.85,108.54,6253800
2021-01-20,113.07,114.18,111.02,111.38,3931300
2021-01-19,114.25,114.83,112.56,112.86,3399603
2021-01-15,112.23,113.69,111.25,112.53,3396100
2021-01-14,113.03,115.48,112.27,114.4,2841600
2021-01-13,110.55,113.14,110.55,112.08,3015900
2021-01-12,110.26,111.7,108.73,110.76,3119900
2021-01-11,108.23,109.95,107.0,109.31,3134205
2021-01-08,111.0,111.78,108.64,110.56,3001100
2021-01-07,108.65,111.54,108.0,110.73,4795700
2021-01-06,103.0,107.65,102.56,107.38,4394000
2021-01-05,97.79,100.58,97.79,100.14,2166300
2021-01-04,99.73,99.99,96.98,97.84,3184268
2020-12-31,98.0,99.16,97.06,98.85,1290800
2020-12-30,96.5,97.98,95.97,97.88,1405200
2020-12-29,97.56,97.77,95.47,96.18,1902700
2020-12-28,97.82,99.12,97.44,97.55,2012733
2020-12-24,96.96,97.42,95.79,97.3,1066182
2020-12-23,95.98,97.83,95.75,96.82,1769400
2020-12-22,95.44,96.14,94.97,94.99,2970400
2020-12-21,93.6,96.62,92.21,95.29,4555561
2020-12-18,93.67,93.67,91.05,91.56,2166553
2020-12-17,93.81,94.3199,93.05,94.08,1414153
2020-12-16,93.21,94.03,91.72,93.59,2234000
2020-12-15,91.38,92.69,89.72,92.69,1762827
2020-12-14,93.46,93.95,90.26,90.42,3565563
2020-12-11,93.06,93.62,91.07,92.17,2627108
2020-12-10,93.33,95.29,92.1,94.67,2940000
2020-12-09,92.93,95.36,92.76,94.92,4599900
2020-12-08,92.92,93.22,91.6,92.65,1849815
2020-12-07,93.0,93.2,91.01,92.97,2401298
2020-12-04,91.65,93.15,90.8756,92.25,1501403
2020-12-03,91.3,92.28,90.48,91.28,2123400
2020-12-02,88.4,91.92,88.22,91.39,2853000
2020-12-01,88.0,90.87,87.82,89.7,2753100
2020-11-30,89.66,89.9499,85.16,85.64,3625388
2020-11-27,89.18,89.58,87.58,87.76,2139500
2020-11-25,90.03,90.25,87.66,89.9,3295400
2020-11-24,89.54,92.08,88.76,91.36,3236500
2020-11-23,85.16,87.76,84.68,87.28,2099536
2020-11-20,84.43,85.07,83.03,83.58,3454300
2020-11-19,84.74,85.38,83.67,84.99,4612800
2020-11-18,88.03,89.38,85.54,85.6,2062206
2020-11-17,87.1,88.61,85.49,87.76,1829300
2020-11-16,89.99,90.61,87.62,88.61,1984187
2020-11-13,84.414,87.26,84.41,86.66,1799518
2020-11-12,83.27,84.58,82.53,83.58,2128800
2020-11-11,87.09,87.46,83.72,84.67,2709200
2020-11-10,87.26,88.61,85.77,86.68,2638500
2020-11-09,84.78,90.3,84.78,86.95,5597380
2020-11-06,79.07,79.79,77.11,77.77,2559600
2020-11-05,76.45,79.21,76.2,78.7,2293900
2020-11-04,75.99,77.79,73.05,75.55,3189300
2020-11-03,77.28,78.83,76.83,77.57,2655800
2020-11-02,74.65,76.22,74.0101,75.68,2535560
2020-10-30,72.64,73.2,71.27,73.08,2102000
2020-10-29,71.48,73.62,70.78,73.12,2551900
2020-10-28,71.79,73.6,71.52,72.07,3697000
2020-10-27,74.55,74.96,73.7,74.08,2229609
2020-10-26,76.63,76.765,74.19,74.95,4928556
2020-10-23,80.75,81.0,76.82,78.0,7279734
2020-10-22,74.71,77.47,74.57,76.75,10446000
2020-10-21,76.91,77.2,73.67,73.72,5700200
2020-10-20,77.9,79.09,77.15,77.27,2515700
2020-10-19,79.77,79.89,77.09,77.12,2009797
2020-10-16,79.16,79.88,78.51,79.22,3590300
2020-10-15,77.58,78.7,76.83,78.55,2878800
2020-10-14,79.79,80.1685,78.56,78.67,1228145
2020-10-13,79.235,80.67,78.89,79.51,1729846
2020-10-12,79.81,81.07,79.31,80.41,2029110
2020-10-09,81.12,81.66,79.23,79.85,1445729
2020-10-08,78.555,80.39,77.57,80.29,1686013
2020-10-07,76.87,78.79,76.87,78.24,2747800
2020-10-06,79.0,79.98,75.23,75.63,2874200
2020-10-05,76.26,78.21,75.69,78.04,2987163
2020-10-02,71.455,75.68,71.03,74.97,2352347
2020-10-01,72.44,75.31,71.31,72.93,2477983
2020-09-30,70.99,73.54,70.73,71.86,2757600
2020-09-29,70.96,71.64,69.7699,70.45,1827245
2020-09-28,71.15,72.38,69.97,71.33,1667585
2020-09-25,67.0807,69.83,67.0807,69.36,1686706
2020-09-24,67.69,69.37,66.4602,68.1,2934218
2020-09-23,70.47,71.29,68.0,68.14,3754705
2020-09-22,71.33,72.25,68.55,69.95,2552893
2020-09-21,72.96,73.46,70.84,71.65,3583528
2020-09-18,75.53,76.8,75.02,75.78,1952945
2020-09-17,74.805,77.49,74.38,75.98,2541960
2020-09-16,73.41,76.86,72.21,76.18,3268580
2020-09-15,74.89,74.89,72.675,73.27,2313769
2020-09-14,71.84,75.085,71.72,74.63,3280186
2020-09-11,69.735,71.25,68.99,71.04,1920111
2020-09-10,71.16,72.54,69.3,69.4,2431643
2020-09-09,71.07,71.07,69.79,70.6,2289154
2020-09-08,72.36,72.465,70.31,70.39,3043399
2020-09-04,72.15,74.47,71.53,73.99,4578566
2020-09-03,69.93,71.87,69.1,69.92,1893731
2020-09-02,68.6,69.75,68.24,69.35,1270553
2020-09-01,67.94,69.45,67.495,68.56,1223521
2020-08-31,71.12,71.12,68.95,69.03,2586255
2020-08-28,69.95,71.21,69.5225,71.13,3083115
2020-08-27,66.31,69.94,66.14,69.61,3636416
2020-08-26,66.72,67.12,65.74,66.29,1468846
2020-08-25,68.28,69.06,66.385,66.91,1468313
2020-08-24,64.34,67.44,63.925,67.37,2399679
2020-08-21,64.6,64.785,63.39,63.79,1411123
2020-08-20,64.51,64.82,63.81,64.23,2315117
2020-08-19,65.76,66.85,65.07,65.7,2158530
2020-08-18,66.92,67.13,65.32,65.48,2524198
2020-08-17,69.44,69.44,66.77,66.81,2550857
2020-08-14,67.18,69.96,66.36,69.49,2718915
2020-08-13,67.2,68.58,66.8,67.64,2531012
2020-08-12,71.0552,71.9,67.02,68.13,2181964
2020-08-11,69.37,71.86,69.37,69.67,2907202
2020-08-10,65.83,67.93,65.83,67.43,2496253
2020-08-07,63.1,66.04,62.26,65.755,2329844
2020-08-06,64.42,65.3,63.31,63.55,2387522
2020-08-05,63.7981,64.88,63.45,64.67,1616194
2020-08-04,63.38,63.63,62.65,63.26,1597777
2020-08-03,63.98,64.51,63.25,63.49,1531466
2020-07-31,64.73,64.73,62.745,63.81,1544676
2020-07-30,64.4538,65.21,63.44,64.85,1594248
2020-07-29,64.15,66.41,63.675,66.37,1598948
2020-07-28,65.74,65.74,63.96,64.11,2542191
2020-07-27,64.53,65.98,63.06,65.74,2993595
2020-07-24,65.3,65.78,64.79,65.04,1899142
2020-07-23,63.65,66.03,63.355,65.4,4127099
2020-07-22,62.86,64.955,60.5,64.08,10347488
2020-07-21,61.6,63.06,61.2,62.87,3813532
2020-07-20,61.39,61.99,60.47,60.83,2786284
2020-07-17,63.36,63.39,61.66,62.0,1412988
2020-07-16,62.77,64.54,62.4101,63.37,353219
2020-07-15,62.39,63.81,61.58,63.67,233766
2020-07-14,61.07,61.96,60.07,60.67,303306
2020-07-13,61.42,63.11,59.8,61.54,466571
2020-07-10,58.21,60.84,57.88,60.8,235566
2020-07-09,61.23,61.23,57.32,58.35,416295
2020-07-08,59.71,61.45,59.21,61.37,323577
2020-07-07,61.7701,61.7701,59.74,59.9,366266
2020-07-06,63.16,63.51,61.593,62.66,408565
2020-07-02,62.52,63.25,60.72,61.17,432317
2020-07-01,62.85,64.25,60.17,60.7,3202708
2020-06-30,62.08,63.37,61.65,62.59,4061400
2020-06-29,61.84,62.98,60.76,62.38,3428353
2020-06-26,65.54,65.54,60.84,61.16,8712800
2020-06-25,64.81,67.3899,64.04,67.09,1011061
2020-06-24,68.36,68.36,64.99,65.51,831001
2020-06-23,69.65,70.14,68.83,69.59,598499
2020-06-22,68.66,70.11,67.9,68.31,1035690
2020-06-19,71.6,71.6,67.31,68.07,1306360
2020-06-18,70.35,71.67,69.42,69.98,944415
2020-06-17,73.9499,73.9499,71.26,71.5,754951
2020-06-16,75.0,75.36,70.44,73.66,1601085
2020-06-15,66.87,72.2,66.15,71.21,1216382
2020-06-12,70.21,70.7,67.1,70.63,1224976
2020-06-11,66.74,70.15,66.02,66.13,1562819
2020-06-10,77.64,78.255,71.8,71.8,2077941
2020-06-09,77.13,79.33,76.46,78.49,888876
2020-06-08,81.0,82.15,78.94,79.99,1909749
2020-06-05,84.87,85.22,78.3,79.02,7549500
2020-06-04,73.97,77.16,72.72,77.15,4369200
2020-06-03,72.97,75.17,72.36,74.34,5698000
2020-06-02,70.21,72.48,69.34,70.9,5559600
2020-06-01,68.59,70.28,67.88,68.99,4604000
2020-05-29,67.0,69.0,65.82,68.04,9177100
2020-05-28,71.92,72.04,67.88,68.54,6160400
2020-05-27,70.27,71.37,67.82,70.88,5951500
2020-05-26,64.25,66.75,64.03,65.8,5171900
2020-05-22,60.82,61.36,59.62,60.21,3645800
2020-05-21,61.39,62.04,60.34,60.92,2788200
2020-05-20,61.75,62.85,60.91,61.48,4952200
2020-05-19,62.52,63.01,60.17,60.25,4657500
2020-05-18,62.41,63.98,61.52,63.4,4733500
2020-05-15,58.13,59.45,57.25,58.03,3359600
2020-05-14,52.6,59.16,51.91,59.16,8392800
2020-05-13,57.02,57.39,53.63,53.97,5644400
2020-05-12,60.0,61.22,58.03,58.1,5475900
2020-05-11,61.01,61.01,58.53,59.5,4423100
2020-05-08,61.92,62.47,61.1,62.2,3004600
2020-05-07,59.6,62.53,59.6,60.82,4215000
2020-05-06,61.52,61.88,58.3,58.49,4269000
2020-05-05,64.38,64.93,60.57,60.96,8940200
2020-05-04,59.5,62.38,58.27,61.59,8373700
2020-05-01,62.17,62.17,60.16,61.58,6249100
2020-04-30,67.16,68.27,64.71,64.76,8419600
2020-04-29,69.62,71.47,67.04,69.75,13347000
