datetime,open,high,low,close,volume
2021-01-29,44.84,45.37,44.64,44.71,9299758
2021-01-28,45.91,46.27,45.3,45.34,21142400
2021-01-27,45.24,46.46,45.08,45.7,29595900
2021-01-26,44.89,45.35,44.77,45.26,13060400
2021-01-25,45.04,45.17,44.71,45.03,16581260
2021-01-22,44.75,44.89,44.23,44.77,14638800
2021-01-21,45.2,45.24,44.72,45.11,17488400
2021-01-20,45.33,45.5,45.14,45.34,16492300
2021-01-19,45.33,45.62,44.77,45.19,28868848
2021-01-15,44.96,45.65,44.88,45.43,30267900
2021-01-14,44.87,45.6,44.85,45.15,22295800
2021-01-13,45.29,45.97,45.18,45.36,19357500
2021-01-12,45.3,45.93,44.96,45.79,20138800
2021-01-11,45.15,45.95,45.07,45.36,25062260
2021-01-08,44.48,45.41,44.25,45.06,20934800
2021-01-07,44.2,45.11,44.17,44.96,18207500
2021-01-06,44.13,44.87,43.89,44.4,21816000
2021-01-05,43.68,44.07,43.38,43.98,17755800
2021-01-04,44.31,44.37,43.35,43.96,22696103
2020-12-31,44.38,44.84,44.16,44.75,15102200
2020-12-30,44.74,45.06,44.44,44.48,11039500
2020-12-29,44.97,45.25,44.53,44.64,11826600
2020-12-28,44.93,45.339,44.72,44.92,13458432
2020-12-24,44.45,44.59,44.23,44.54,5720500
2020-12-23,44.65,44.8,44.35,44.38,12031600
2020-12-22,44.44,45.07,44.44,44.69,16024000
2020-12-21,44.47,44.955,44.065,44.88,19865295
2020-12-18,44.81,45.57,44.81,45.44,20001344
2020-12-17,44.92,44.93,44.605,44.84,10509473
2020-12-16,44.7,45.14,44.53,44.72,16189500
2020-12-15,44.39,44.795,44.135,44.74,13893993
2020-12-14,44.27,44.905,44.15,44.24,16112333
2020-12-11,43.94,44.33,43.72,44.33,11559029
2020-12-10,44.54,44.61,44.11,44.32,17730900
2020-12-09,44.47,44.83,44.36,44.69,22636700
2020-12-08,44.2055,44.525,43.93,44.37,11089067
2020-12-07,44.2868,44.49,43.91,44.35,14086826
2020-12-04,43.985,44.51,43.95,44.39,13300758
2020-12-03,43.78,44.14,43.6,44.11,27707100
2020-12-02,43.39,43.96,43.35,43.89,17417400
2020-12-01,43.01,44.07,43.01,43.54,23942500
2020-11-30,42.44,43.05,42.41,43.02,34741648
2020-11-27,42.89,42.98,42.64,42.7,9324174
2020-11-25,42.78,42.8,42.21,42.5,22613400
2020-11-24,42.14,42.71,41.9,42.61,22830000
2020-11-23,41.03,41.8,41.02,41.64,19656683
2020-11-20,41.05,41.39,40.92,40.97,19776300
2020-11-19,41.0,41.37,40.77,41.17,22166500
2020-11-18,41.9,42.24,41.26,41.32,21318600
2020-11-17,41.92,42.35,41.62,41.88,23134300
2020-11-16,41.74,42.59,41.35,42.54,34572647
2020-11-13,41.1215,41.52,40.56,41.4,43832847
2020-11-12,38.98,39.39,38.4,38.67,29368300
2020-11-11,39.01,39.45,38.44,39.33,27323600
2020-11-10,38.21,39.03,38.17,38.72,31509000
2020-11-09,39.92,40.23,38.12,38.2,42649538
2020-11-06,37.56,37.6,37.08,37.53,19470600
2020-11-05,37.02,37.3,36.91,37.23,23143500
2020-11-04,37.03,37.3,36.5,36.57,30112600
2020-11-03,36.36,37.33,36.3,36.68,27313900
2020-11-02,36.19,36.35,35.67,35.9,22912810
2020-10-30,35.6,35.93,35.49,35.9,29151200
2020-10-29,35.5,36.065,35.28,35.69,30501115
2020-10-28,36.32,36.51,35.68,35.71,34537100
2020-10-27,37.35,37.5,36.59,36.87,34360891
2020-10-26,38.4,38.43,37.15,37.67,29146548
2020-10-23,38.89,38.97,38.65,38.83,13557380
2020-10-22,38.85,38.96,38.38,38.82,20391700
2020-10-21,39.31,39.57,38.98,39.06,16999900
2020-10-20,39.44,39.51,39.03,39.2,16551800
2020-10-19,40.15,40.38,39.16,39.3,18993839
2020-10-16,39.88,40.3,39.55,40.16,21292500
2020-10-15,39.47,40.0,39.35,39.97,15451400
2020-10-14,39.84,40.42,39.76,39.88,13584944
2020-10-13,40.54,40.61,39.71,39.8,19458784
2020-10-12,39.93,40.52,39.63,40.36,22757245
2020-10-09,40.12,40.23,39.72,39.85,13705857
2020-10-08,39.81,40.18,39.69,39.79,16474824
2020-10-07,38.98,39.58,38.78,39.4,20588000
2020-10-06,38.5,39.35,38.4,38.57,28404700
2020-10-05,38.48,38.79,38.285,38.57,26929054
2020-10-02,38.046,38.55,37.97,38.265,21287168
2020-10-01,39.04,39.3099,38.565,38.81,17123624
2020-09-30,39.09,39.7,39.02,39.39,27102400
2020-09-29,38.93,39.37,38.84,39.06,7767835
2020-09-28,39.195,39.29,38.79,39.13,24275701
2020-09-25,37.7,38.54,37.62,38.47,1420271
2020-09-24,38.0,38.15,37.6,37.85,0
2020-09-23,39.21,39.38,38.18,38.28,0
2020-09-22,39.12,39.46,38.88,39.32,0
2020-09-21,39.31,39.34,38.69,39.04,15691026
2020-09-18,40.14,40.3,39.58,39.81,13825774
2020-09-17,39.63,40.4,39.51,40.37,7388443
2020-09-16,40.77,41.17,40.4,40.42,12842649
2020-09-15,40.55,40.839,40.38,40.6,9284531
2020-09-14,40.26,40.64,40.06,40.37,8855396
2020-09-11,39.72,40.05,39.52,39.88,8865643
2020-09-10,40.21,40.63,39.43,39.57,10963166
2020-09-09,40.1,40.47,39.73,40.13,11621947
2020-09-08,40.12,40.61,39.97,40.0,14369871
2020-09-04,41.2,41.43,40.44,40.82,16287817
2020-09-03,41.505,41.62,40.68,40.95,23356629
2020-09-02,42.09,42.67,42.05,42.41,13915224
2020-09-01,41.99,42.06,41.5,42.03,11108441
2020-08-31,42.12,42.34,41.95,42.22,8221276
2020-08-28,42.23,42.3,42.0,42.2,9701423
2020-08-27,42.4,42.46,42.02,42.29,10549723
2020-08-26,41.67,42.28,41.48,42.25,8795879
2020-08-25,42.24,42.26,41.78,41.96,7962678
2020-08-24,42.08,42.46,42.0,42.18,10643914
2020-08-21,42.03,42.28,41.81,42.25,6624875
2020-08-20,41.87,42.42,41.76,42.31,8989827
2020-08-19,42.08,42.34,41.78,41.87,8985650
2020-08-18,42.13,42.29,41.81,41.97,12989525
