datetime,open,high,low,close,volume
2021-01-29,114.01,116.38,113.28,113.9125,525459
2021-01-28,111.08,115.99,110.56,114.89,1072300
2021-01-27,110.31,111.5,107.71,109.55,957800
2021-01-26,116.05,116.78,112.54,113.35,913200
2021-01-25,117.17,117.895,114.25,115.73,780240
2021-01-22,117.88,118.51,116.08,116.82,914800
2021-01-21,119.7,119.97,117.54,118.28,709600
2021-01-20,119.88,120.18,118.16,119.67,861200
2021-01-19,117.3,119.97,116.54,119.83,1025705
2021-01-15,115.01,115.74,113.77,115.5,808100
2021-01-14,115.14,116.043,113.64,115.24,694200
2021-01-13,115.86,117.29,114.73,114.75,870000
2021-01-12,115.44,117.61,115.02,115.69,814100
2021-01-11,112.5,115.81,111.44,115.4,828770
2021-01-08,109.36,112.77,109.36,112.49,1215400
2021-01-07,106.82,108.8,106.52,108.57,1824500
2021-01-06,103.79,107.285,103.79,106.24,1480300
2021-01-05,103.22,105.33,103.0,104.83,858100
2021-01-04,104.84,104.9799,103.07,103.73,1246742
2020-12-31,103.52,104.42,102.06,104.07,859800
2020-12-30,103.14,104.05,102.59,103.19,553100
2020-12-29,103.37,103.645,101.18,102.71,549200
2020-12-28,106.14,106.55,102.78,102.88,559857
2020-12-24,104.89,106.22,104.66,105.31,277800
2020-12-23,105.05,105.405,103.34,104.86,618900
2020-12-22,104.1,105.585,103.84,104.89,523100
2020-12-21,103.36,103.7,99.51,103.67,859742
2020-12-18,104.44,105.51,103.07,105.0,1507843
2020-12-17,100.13,103.93,99.46,103.62,1031943
2020-12-16,100.44,101.15,99.7,100.13,939900
2020-12-15,98.99,100.413,98.05,100.06,957834
2020-12-14,96.0,98.45,95.785,97.93,1800861
2020-12-11,94.59,95.625,93.52,95.22,824809
2020-12-10,95.14,96.29,94.19,95.18,2249500
2020-12-09,94.22,95.16,91.87,92.31,1166300
2020-12-08,93.01,95.29,93.01,94.25,995452
2020-12-07,95.31,96.75,92.02,93.43,1112083
2020-12-04,93.48,95.46,93.27,95.46,807601
2020-12-03,93.0,93.8,91.97,93.47,1855600
2020-12-02,95.66,96.11,92.96,93.21,1834600
2020-12-01,96.35,96.81,94.61,95.77,1959300
2020-11-30,98.0,99.0,96.0,96.14,1974513
2020-11-27,95.17,97.45,94.75,97.4,686500
2020-11-25,94.88,95.465,93.11,94.65,1402800
2020-11-24,100.09,100.61,94.56,94.66,2636200
2020-11-23,104.19,104.85,99.8,99.8,2246776
2020-11-20,104.19,104.85,102.71,103.33,1474600
2020-11-19,103.76,104.8,103.01,104.16,934500
2020-11-18,104.88,105.245,103.05,103.11,1390135
2020-11-17,104.88,105.083,103.71,104.97,849500
2020-11-16,107.6,107.6,104.11,105.36,1256743
2020-11-13,103.86,105.5,103.33,104.59,1050525
2020-11-12,101.48,103.74,100.65,103.44,1071300
2020-11-11,101.16,102.61,100.435,101.73,1149700
2020-11-10,101.83,102.29,98.617,99.94,1338000
2020-11-09,120.48,120.48,99.7,101.91,2131680
2020-11-06,102.4,104.22,102.27,103.31,647700
2020-11-05,102.42,103.87,101.505,102.48,1005600
2020-11-04,97.71,103.64,96.6,101.51,1423100
2020-11-03,91.17,96.37,91.17,95.51,1163100
2020-11-02,88.78,90.13,87.16,88.53,851728
2020-10-30,89.03,89.61,86.43,87.77,780100
2020-10-29,89.22,89.91,87.12,89.4,666527
2020-10-28,90.1,90.59,88.7,88.93,669300
2020-10-27,92.06,92.87,91.44,91.49,391825
2020-10-26,93.15,94.04,90.78,91.31,743474
2020-10-23,94.02,94.11,92.23,94.02,430286
2020-10-22,92.43,94.7,91.81,93.4,665200
2020-10-21,93.54,94.99,92.33,92.41,750300
2020-10-20,91.23,94.25,91.23,93.16,1260700
