datetime,open,high,low,close,volume
2021-01-29,78.98,79.61,77.735,77.88,1226721
2021-01-28,76.96,79.37,76.66,78.9,2992800
2021-01-27,78.35,78.73,75.9,76.15,3936600
2021-01-26,80.58,80.58,79.46,79.55,2051900
2021-01-25,80.0,80.43,78.26,80.03,1505582
2021-01-22,80.07,80.94,79.5,80.56,1449600
2021-01-21,82.0,82.07,80.69,80.88,2209200
2021-01-20,80.9,82.11,80.16,81.91,2479400
2021-01-19,80.39,80.985,79.19,79.76,2667933
2021-01-15,79.63,80.59,79.19,80.24,2174400
2021-01-14,79.34,80.22,79.07,80.05,2360500
2021-01-13,80.7,80.7,79.32,79.61,2030300
2021-01-12,80.19,80.5,78.61,79.64,2238300
2021-01-11,81.25,82.1,79.92,80.14,2034669
2021-01-08,81.12,82.06,80.96,81.95,2704700
2021-01-07,80.74,81.84,80.51,80.95,2853100
2021-01-06,79.32,81.14,79.22,80.15,2981200
2021-01-05,79.51,80.13,79.19,79.65,1856700
2021-01-04,82.0,82.27,78.7,79.42,2305716
2020-12-31,81.37,82.23,80.77,81.95,1500700
2020-12-30,80.88,81.41,80.63,81.07,1090600
2020-12-29,82.02,82.09,80.21,80.5,1035500
2020-12-28,81.5403,82.24,81.35,81.37,1192198
2020-12-24,81.2,81.35,80.6,81.07,1036965
2020-12-23,81.35,81.89,80.98,80.99,1674200
2020-12-22,80.18,81.65,80.14,81.02,2405700
2020-12-21,79.85,80.54,78.56,80.47,2369111
2020-12-18,82.1,82.1,80.52,81.15,2962146
2020-12-17,81.135,82.73,81.0,81.75,4016574
2020-12-16,80.64,80.64,78.84,79.32,2543100
2020-12-15,79.59,80.53,79.08,80.53,2202016
2020-12-14,79.0,79.49,78.61,79.19,2495758
2020-12-11,78.5623,79.91,78.19,78.45,2819665
2020-12-10,79.01,79.01,77.94,78.38,2069900
2020-12-09,80.32,80.76,78.81,79.01,3585500
2020-12-08,79.06,80.58,78.74,79.86,2388335
2020-12-07,79.95,80.74,79.71,80.53,2218388
2020-12-04,79.15,81.11,78.87,81.05,2466267
2020-12-03,78.07,79.13,77.75,78.76,2108200
2020-12-02,78.66,78.66,77.98,78.12,2250900
2020-12-01,78.11,79.04,77.95,78.66,3653600
