datetime,open,high,low,close,volume
2021-01-29,136.0,137.97,134.81,136.02,757747
2021-01-28,141.5,144.44,136.32001,136.39999,3776800
2021-01-27,139.24001,145.19,138.72,144.47,3148500
2021-01-26,132.32001,139.19,131.35001,139.10001,1773700
2021-01-25,127.98,131.75999,127.001,131.63,2915494
2021-01-22,127.06,127.45,124.88,126.75,1236500
2021-01-21,134.17,134.17,126.94,127.35,2288200
2021-01-20,136.12,136.5,132.49001,132.58,1740500
2021-01-19,132.49001,137.00999,130.56,135.36,3263308
2021-01-15,130.88,132.96001,130.53999,132.0,1003700
2021-01-14,132.50999,132.92,130.87,131.99001,1190700
2021-01-13,133.16,133.2,130.39,131.48,1030700
2021-01-12,128.53999,133.66,128.53999,133.14,1354100
2021-01-11,130.52,131.86,129.2,129.64999,883815
2021-01-08,129.39,131.11,128.22,130.85001,1039500
2021-01-07,126.31,128.88,126.03,128.44,892700
2021-01-06,127.7,128.10001,125.5,125.77,1329400
2021-01-05,128.0,128.33,126.78,127.63,780300
2021-01-04,130.75,130.88,126.27,128.33,1123654
2020-12-31,128.67,130.32001,127.93,130.10001,598200
2020-12-30,130.33,130.45,128.19,128.28999,2225100
2020-12-29,133.94,134.8,129.83,130.11,702000
2020-12-28,132.82001,134.0,132.39,133.02,1360360
2020-12-24,132.39999,132.75999,131.14,132.57001,426503
2020-12-23,133.58,134.09,131.77,131.77,999600
2020-12-22,131.82001,133.27,129.94,132.72,3073700
2020-12-21,130.67,132.17598999999998,129.02,131.11,1358323
2020-12-18,131.39999,134.85001,129.86,132.46001,1931779
2020-12-17,130.59,131.34,128.72501,130.71001,1346467
2020-12-16,127.76,129.89,127.1,129.28,1192600
2020-12-15,129.44,130.11,126.76,127.5,1054247
2020-12-14,130.58,131.82001,127.9,128.42999,1607118
2020-12-11,131.67999,132.89,127.75,130.7,1671205
2020-12-10,130.73,133.03999,130.13,132.67,1661600
2020-12-09,131.41,132.23,129.7,131.82001,1386700
2020-12-08,129.75999,131.88,129.33,130.905,1070472
2020-12-07,130.56,131.56,129.83,131.37,1049287
2020-12-04,128.47,130.66,127.9,130.56,1033149
2020-12-03,126.59,129.14999,125.02,127.87,1218800
2020-12-02,125.01,127.55,124.19,127.31,1455100
2020-12-01,124.31,126.18,123.7,125.59,1928400
2020-11-30,123.34,124.11,121.16,123.92,2452792
2020-11-27,121.73,123.91,120.6,122.44,578095
2020-11-25,123.64,124.0,121.0,121.41,1264100
2020-11-24,120.41,125.42,119.94,122.09,2346900
2020-11-23,120.23,121.35,119.23,120.16,1354280
2020-11-20,120.75,122.56,120.17,120.48,2513600
2020-11-19,118.24,121.22,117.26,120.77,1572300
2020-11-18,119.292,121.325,118.45,118.93,1559541
2020-11-17,118.79,121.27,118.31,119.68,1597200
2020-11-16,117.8,118.8,116.38,118.48,1678548
2020-11-13,115.87,118.44,115.3,118.25,1123824
2020-11-12,115.58,116.9,114.69,115.38,1172100
2020-11-11,115.27,116.42,114.42,114.9,1499600
2020-11-10,113.84,115.78,111.26,114.14,2303500
2020-11-09,118.41,119.58,114.55,114.65,2835924
2020-11-06,119.33,119.51,117.18,118.89,1019400
2020-11-05,119.04,120.88,118.32,119.42,1346100
2020-11-04,118.9,119.47,116.45,116.87,1692400
2020-11-03,115.07,116.79,114.03,115.97,1362500
2020-11-02,113.62,114.78,111.6,114.43,1562231
2020-10-30,113.78,114.98,111.87,113.27,1761700
2020-10-29,115.01,116.13,113.7,113.92,1580400
2020-10-28,117.86,118.39,114.68,114.82,1832700
2020-10-27,124.66,125.96,119.25,119.45,2153217
2020-10-26,121.83,124.29,120.71,123.82,1784465
2020-10-23,124.6,125.39,120.7825,122.72,3713118
2020-10-22,135.39,136.10001,125.75,126.65,4540700
2020-10-21,136.67999,137.94,135.86,136.36,1216100
2020-10-20,136.14,139.41,135.98,136.72,1200300
2020-10-19,139.11,140.17,134.36,134.84,1138655
2020-10-16,139.16,139.73,137.67,138.25999,1134500
2020-10-15,140.14999,140.50999,138.24001,138.91,869400
2020-10-14,142.47,143.99001,139.5,140.81,1032717
2020-10-13,145.0,146.03,141.89999,144.07001,1251149
2020-10-12,141.0,146.93719,140.71021000000002,145.25,1655003
2020-10-09,137.02,139.4758,136.10001,139.42999,715428
2020-10-08,134.78999,135.77,133.675,135.57001,552766
2020-10-07,134.05,134.85001,132.21001,133.50999,1208200
2020-10-06,134.98,137.42999,132.86,133.34,1106400
2020-10-05,135.49001,136.17,134.2,135.63,955584
2020-10-02,137.42,138.345,134.60001,134.91,653378
2020-10-01,137.66499,139.88,137.66499,139.21001,660986
2020-09-30,137.22,139.14,136.06,137.71001,933300
2020-09-29,137.92,139.05,136.89999,136.95,554141
2020-09-28,137.7,139.0,136.71001,138.32001,751465
2020-09-25,133.7,136.73,133.39,136.17999,505626
2020-09-24,132.13,135.17,132.07001,133.85001,435439
2020-09-23,136.69,137.48,132.86,133.22,654168
2020-09-22,135.64999,137.81,133.89999,137.23,673441
2020-09-21,132.74001,134.84,132.45,134.22,1035292
2020-09-18,134.14,135.85001,132.3,134.07001,1579383
2020-09-17,132.50999,134.85001,131.41,134.0,1119621
2020-09-16,137.14999,138.63,134.96001,135.14,931012
2020-09-15,135.78,137.57001,135.39,135.85001,1133465
2020-09-14,134.02,136.22,133.33,135.48,971663
2020-09-11,135.71001,136.91251,131.14999,132.37,1397610
2020-09-10,140.28999,142.45,134.19,134.89,1797813
2020-09-09,140.39999,142.24001,137.37,141.50999,1117553
2020-09-08,133.89,140.8,133.11,138.64999,2365421
2020-09-04,140.11,141.03999,135.13,137.09,1360462
2020-09-03,147.12,147.1283,138.47,140.69,1556190
2020-09-02,145.88,148.47,144.395,147.8,1061402
2020-09-01,145.45,148.47,144.5,145.14999,1285505
2020-08-31,143.59,145.48,142.67,145.14,828918
2020-08-28,143.48,146.49001,143.48,144.03,802650
2020-08-27,144.14999,144.39,140.96001,142.35001,808065
2020-08-26,142.92,144.92,142.39999,144.31,712288
2020-08-25,142.96001,144.39999,142.3907,142.89,729472
2020-08-24,144.00999,144.49001,141.27,142.8,762556
2020-08-21,140.3,143.73,140.27161,143.17,924471
2020-08-20,140.2,141.99001,139.67,141.55,720889
2020-08-19,139.89999,141.98,139.075,140.42,672786
2020-08-18,139.05,141.12,138.37,140.39,838866
2020-08-17,137.10001,138.74001,136.91,138.08,655336
2020-08-14,137.32001,138.46001,135.96001,136.34,573702
2020-08-13,137.0,138.48,136.42,137.36,815587
2020-08-12,135.71001,137.89,135.45,136.49001,720887
2020-08-11,138.13,138.3828,135.36,135.75999,1275190
2020-08-10,141.0,141.0,136.015,137.50999,1144901
2020-08-07,141.03,143.3134,140.32001,141.10001,931754
