datetime,open,high,low,close,volume
2021-01-29,80.39,81.46,78.54,78.95,21777915
2021-01-28,78.24,81.41,78.01,81.12,35653748
2021-01-27,78.34,79.9,76.88,77.9,38641900
2021-01-26,81.66,82.21,79.55,79.83,26749300
2021-01-25,80.42,81.81,80.42,81.35,22887580
2021-01-22,80.0,81.27,79.55,81.09,16853000
2021-01-21,83.04,83.31,80.77,80.98,19681800
2021-01-20,84.91,85.49,83.3,84.29,14360000
2021-01-19,83.2,84.56,82.01,84.46,13628177
2021-01-15,81.92,82.57,80.48,82.34,13375300
2021-01-14,82.12,83.23,81.58,82.61,13972900
2021-01-13,84.56,85.55,81.76,83.49,15215300
2021-01-12,83.56,87.27,83.47,86.36,16401600
2021-01-11,80.17,85.47,80.05,83.98,14901364
2021-01-08,80.46,82.92,80.46,81.79,14651300
2021-01-07,77.97,80.94,77.97,80.88,19332500
2021-01-06,74.45,78.08,74.41,77.75,21013800
2021-01-05,69.98,74.19,69.98,73.78,13269700
2021-01-04,71.68,72.32,70.14,70.32,11578788
2020-12-31,70.33,71.55,70.0,71.11,9595400
2020-12-30,69.34,70.4,69.27,70.3,4682600
2020-12-29,68.75,69.62,68.65,69.31,5159500
2020-12-28,69.93,70.05,68.64,68.65,4662640
2020-12-24,69.4,69.63,68.88,69.55,2409700
2020-12-23,70.42,71.04,69.16,69.18,7201800
2020-12-22,70.58,71.08,70.09,70.42,6129500
2020-12-21,69.99,70.94,69.3,70.45,6287214
2020-12-18,71.25,71.48,69.92,71.31,12638066
2020-12-17,68.34,69.6,68.34,69.48,3622149
2020-12-16,67.85,68.83,67.57,68.38,4283700
2020-12-15,66.52,68.04,66.04,68.03,4225320
2020-12-14,67.17,67.22,65.75,65.76,4784116
2020-12-11,65.9201,66.53,65.28,66.405,2431902
2020-12-10,66.96,67.1,66.34,66.57,3239400
2020-12-09,67.15,67.75,66.56,67.57,3697100
2020-12-08,65.31,67.17,65.21,66.8,3309950
2020-12-07,65.59,66.24,65.07,65.43,3928339
2020-12-04,64.71,66.165,64.6,66.02,3916556
2020-12-03,63.95,64.93,63.8,64.19,4191000
2020-12-02,63.48,64.29,63.25,63.96,5959500
2020-12-01,64.84,65.23,63.33,63.53,4505200
2020-11-30,64.14,64.37,63.02,63.44,4922025
2020-11-27,64.79,65.39,64.22,64.54,1544100
2020-11-25,65.52,65.52,64.36,64.89,3323600
2020-11-24,64.6,66.33,64.29,65.84,5753800
2020-11-23,63.02,64.0,62.98,63.59,3807201
2020-11-20,61.9,62.75,61.73,62.55,2721700
2020-11-19,61.9,62.48,61.25,62.05,2265600
2020-11-18,63.5,64.3,62.14,62.15,2877213
2020-11-17,62.72,63.55,61.81,63.16,3101400
2020-11-16,63.0,63.43,62.1,63.42,3803397
