datetime,open,high,low,close,volume
2021-01-29,292.95001,292.95001,285.73999,286.09,670609
2021-01-28,287.28,297.28,282.73999,292.95999,1504200
2021-01-27,289.79001,290.64001,278.95001,280.73001,1768600
2021-01-26,300.94,302.16,295.39999,296.01001,1364200
2021-01-25,303.14001,305.5,296.38,298.20001,1451937
2021-01-22,302.89001,306.95999,301.31,305.17001,1429900
2021-01-21,302.0,306.14999,300.0,305.5,1931000
2021-01-20,296.87,302.19,296.01001,300.94,1327500
2021-01-19,298.25,299.76501,294.39999,294.98999,1509915
2021-01-15,300.16,301.13,293.01001,295.39999,1765800
2021-01-14,302.89999,306.35001,301.95001,302.85001,1370800
2021-01-13,301.63,304.0,300.60999,301.22,1201100
2021-01-12,296.12,303.56,293.89999,302.09,1951900
2021-01-11,289.48001,295.17999,289.0014,294.92001,1304027
2021-01-08,297.54999,300.48001,290.39001,293.91,1779400
2021-01-07,293.76001,300.56,293.48999,299.73001,2226200
2021-01-06,275.0,292.84,274.64999,290.35999,2777900
2021-01-05,267.64999,274.76001,267.45001,274.28,1829200
2021-01-04,271.81,273.75,263.85001,267.64001,2700972
2020-12-31,266.76001,269.19,265.45001,269.04999,787900
2020-12-30,266.0,268.35999,265.5,266.14999,792800
2020-12-29,269.17001,269.54001,262.85001,265.34,892800
2020-12-28,273.42999,273.56,267.39999,267.5,685486
2020-12-24,268.4198,269.56,267.315,269.20999,316966
2020-12-23,270.67999,271.38,267.82999,267.94,938600
2020-12-22,267.57999,270.57999,265.23001,269.26001,1531700
2020-12-21,265.92001,272.0,265.57999,267.75,2083117
2020-12-18,264.79001,271.45001,264.56,270.34,1851233
2020-12-17,263.03,264.64001,261.625,264.54001,1256563
2020-12-16,261.84,262.38,259.64001,261.12,1210700
2020-12-15,256.57999,264.10999,255.98,262.10999,1735266
2020-12-14,258.0,258.75,252.50999,252.72,943533
2020-12-11,252.78,255.99001,250.87,255.78999,992929
2020-12-10,253.59,254.24001,250.62,253.45,1158900
2020-12-09,252.5,255.5,251.60001,254.83,1373800
2020-12-08,252.72,254.84,251.28999,252.60001,1092395
2020-12-07,253.13,253.5,250.5425,252.00999,1527795
2020-12-04,254.0,255.69,252.78999,253.42999,1388134
2020-12-03,258.48999,259.81,251.92999,252.67999,2079900
2020-12-02,255.13,260.44,254.39,259.0,2773200
2020-12-01,263.22,265.35001,255.12,255.13,2086400
2020-11-30,262.94,264.22919,258.10831,261.62,2076723
2020-11-27,258.62,262.20001,258.14999,261.95001,1072200
2020-11-25,263.01001,265.87,254.50999,256.42999,3025700
2020-11-24,263.64999,264.17001,260.01001,261.51001,2322700
2020-11-23,260.70001,262.76001,260.16,261.10999,2099656
2020-11-20,256.64001,259.66,255.5,258.56,1614900
2020-11-19,257.29001,259.53,255.0,255.59,1699700
2020-11-18,258.505,260.60001,257.25,257.34,1298786
2020-11-17,256.5,259.72,253.5,258.20999,1411100
2020-11-16,255.0,260.34,253.61,259.10001,1735978
2020-11-13,250.175,252.59038999999999,249.13,251.75999,785394
2020-11-12,250.85001,252.2,246.87,248.00999,1275700
2020-11-11,253.96001,254.27,245.96001,249.35001,1658500
2020-11-10,249.49001,256.89999,249.49001,253.97,1852800
2020-11-09,260.59,265.87,248.35001,248.87,2219468
2020-11-06,246.58,250.37,246.11,247.64,1481600
2020-11-05,237.82001,247.09,237.33,246.02,2031800
2020-11-04,237.39999,240.0,233.2,233.3,1992600
2020-11-03,235.61,241.62,234.42,239.96001,1570700
2020-11-02,228.49001,232.24001,227.5,231.7,1409509
2020-10-30,227.63,228.59,222.61,225.91,1306200
2020-10-29,222.07001,229.81,221.73,228.02,1189300
2020-10-28,225.0,227.5,222.50999,223.37,1375200
2020-10-27,234.59,234.59,228.0054,228.71001,1356250
2020-10-26,237.10001,237.49001,231.745,234.25,859534
2020-10-23,237.92999,240.0,237.5601,239.61,620991
2020-10-22,236.06,238.0,234.88,236.88,1154800
2020-10-21,239.52,241.92,236.06,236.39999,1505800
2020-10-20,239.8,242.03999,237.75999,238.87,968100
2020-10-19,240.25,242.89999,237.11,238.17,879334
2020-10-16,240.0,243.39999,239.71001,240.06,1652600
2020-10-15,234.66,239.35001,234.37,238.24001,1225200
2020-10-14,237.09,240.66,237.09,238.49001,871929
2020-10-13,236.14,237.58,234.50999,237.21001,888081
2020-10-12,237.14,237.61,235.07249,236.52,1153717
2020-10-09,235.0,237.00999,233.58,234.85001,843728
2020-10-08,231.25,234.81,230.795,234.28,971894
2020-10-07,229.27,232.53,228.11,230.57001,1029200
2020-10-06,227.27,230.64,226.00999,226.12,1385800
2020-10-05,227.25999,231.12,224.85001,226.96001,2052083
2020-10-02,215.25,226.52,215.02,224.8,1136801
2020-10-01,222.73,223.78,218.57001,219.05,1141187
2020-09-30,221.38,226.06,220.24001,221.63,1883900
2020-09-29,221.41,222.39,218.14999,220.17999,785829
2020-09-28,222.06,224.35651000000001,221.5,221.89999,1143240
2020-09-25,215.96001,220.86,214.83,219.35001,1050383
2020-09-24,213.95,219.33,211.38,216.61,834459
2020-09-23,217.25,220.67,214.38,214.52,1339760
2020-09-22,214.97,219.06,214.53999,217.56,1187867
2020-09-21,216.05098999999998,217.45,210.175,214.21001,1622082
2020-09-18,219.62,225.38,219.45,221.86501,1905359
2020-09-17,213.83,221.60001,212.0105,219.95,1692488
2020-09-16,216.91499,218.92,214.86,215.42999,1153955
2020-09-15,219.69,220.96001,215.19,215.77,1566024
2020-09-14,218.48,219.07001,216.7,218.24001,1046564
2020-09-11,214.32001,218.507,213.00999,215.99001,1739361
2020-09-10,216.13,218.23,213.62,215.11,1598961
2020-09-09,211.31,217.28999,210.925,215.73,1382373
2020-09-08,209.75,213.24001,207.99001,210.42999,1500229
2020-09-04,212.685,214.0,208.19859,211.28,1482530
2020-09-03,217.85001,218.73,209.13,210.8,1753321
2020-09-02,217.64999,219.71001,215.67999,217.17,1616934
2020-09-01,209.07001,217.72,208.57001,217.7,1656989
2020-08-31,209.89,211.42999,207.77,210.03999,1387747
2020-08-28,210.64,210.8,208.745,209.89999,1108888
2020-08-27,210.99001,212.45219,208.82001,209.88,1704871
2020-08-26,206.08,212.25,205.0,211.03,1870982
2020-08-25,205.89,209.39999,205.35001,205.59,2557201
2020-08-24,199.49001,206.44,199.49001,205.39999,2980312
2020-08-21,196.81,202.90131,196.0,199.5,5925434
2020-08-20,190.05499,192.035,189.38,191.09,1377776
2020-08-19,192.12,194.59,191.94,191.99001,1368224
