datetime,open,high,low,close,volume
2021-01-29,85.05,85.275,82.73,83.18,996070
2021-01-28,83.69,86.17,83.01,85.85,3565405
2021-01-27,84.73,84.73,81.82,82.18,4598400
2021-01-26,89.52,89.56,86.61,86.82,2235300
2021-01-25,90.57,91.0,86.935,89.06,4003089
2021-01-22,93.56,94.35,91.14,92.27,2975700
2021-01-21,98.0,99.03,93.0,94.24,6009900
2021-01-20,100.77,100.96,98.6,99.89,4126300
2021-01-19,98.92,100.21,98.14,99.07,3318196
2021-01-15,96.73,97.99,95.11,97.76,2848800
2021-01-14,97.32,98.88,96.56,98.43,2024800
2021-01-13,95.46,98.45,95.27,96.99,3122300
2021-01-12,95.67,96.13,94.17,95.33,3011500
2021-01-11,95.53,96.18,94.505,95.23,2479962
2021-01-08,97.81,97.86,95.05,97.11,1865100
2021-01-07,96.76,98.62,96.51,97.55,3550600
2021-01-06,92.5,95.91,92.35,95.46,3101300
2021-01-05,89.27,91.24,89.25,90.73,2477100
2021-01-04,91.99,91.99,88.1,89.61,3533506
2020-12-31,89.13,90.66,88.73,90.53,1224900
2020-12-30,88.17,89.85,88.01,89.3,1166200
2020-12-29,88.62,88.7,86.79,88.02,1044600
2020-12-28,88.85,90.08,88.25,88.29,1177391
2020-12-24,88.7,88.765,87.54,88.29,633894
2020-12-23,87.29,88.92,87.15,88.37,1569500
2020-12-22,86.99,87.65,86.22,86.84,2057900
2020-12-21,86.27,88.1275,85.21,87.03,2927743
2020-12-18,86.69,88.09,84.95,85.99,2374265
2020-12-17,86.575,87.59,85.89,87.48,1850819
2020-12-16,85.26,86.53,83.92,86.35,2335300
2020-12-15,83.7,85.42,81.93,85.37,1690679
2020-12-14,84.83,85.08,82.05,82.63,3254317
2020-12-11,82.74,84.01,81.935,83.46,3476154
2020-12-10,81.99,84.41,81.04,84.16,3327000
2020-12-09,82.88,83.4,82.12,83.19,2173600
2020-12-08,81.25,82.7,81.2,81.93,1542716
2020-12-07,82.21,82.915,81.32,82.45,1775052
2020-12-04,81.88,82.785,81.0287,82.69,1732062
2020-12-03,81.7,82.63,80.06,80.84,2609900
2020-12-02,79.33,82.5,79.27,81.69,2439200
2020-12-01,78.33,81.0,78.21,80.15,2957200
2020-11-30,77.86,79.13,76.0,76.17,3135204
2020-11-27,78.7,79.24,78.36,78.87,1037700
2020-11-25,80.3,80.55,78.7,79.29,3247100
2020-11-24,79.99,81.74,79.85,81.6,3118100
2020-11-23,76.28,78.49,75.88,78.12,1738401
2020-11-20,76.32,76.47,74.78,74.8,1737900
2020-11-19,74.94,77.1,74.0,76.76,2325700
2020-11-18,77.22,79.18,76.03,76.08,3075211
2020-11-17,76.52,77.44,74.45,77.1,3487900
2020-11-16,79.0,79.515,76.93,77.77,2180464
2020-11-13,73.57,76.9877,73.57,76.61,1444887
2020-11-12,73.0,74.19,72.67,73.39,2804800
2020-11-11,76.14,76.53,72.57,74.25,3033800
2020-11-10,76.49,78.6,75.85,76.34,3321300
2020-11-09,75.0,78.79,74.64,76.19,5126546
2020-11-06,68.93,69.08,67.38,67.91,1813100
2020-11-05,68.66,69.81,68.34,68.5,2886200
2020-11-04,67.43,69.79,65.32,67.87,3086500
2020-11-03,68.69,69.94,68.24,69.36,2601500
2020-11-02,65.86,67.57,65.46,67.21,3407356
2020-10-30,63.43,65.11,62.64,65.01,3631700
2020-10-29,61.89,64.35,61.6,64.01,2214000
2020-10-28,63.04,64.22,62.27,62.53,3307600
2020-10-27,65.375,66.4096,65.06,65.25,3413672
2020-10-26,66.57,67.0,64.9,65.88,4230466
2020-10-23,67.1,68.66,66.41,68.0,4040794
2020-10-22,65.36,67.12,63.86,66.16,6868700
2020-10-21,62.87,63.04,60.42,60.6,4481600
2020-10-20,64.29,64.64,62.79,63.0,2369400
2020-10-19,65.5,65.87,63.29,63.56,1973560
2020-10-16,65.0,66.24,64.52,65.48,2332800
2020-10-15,63.43,64.83,62.31,64.59,2225600
2020-10-14,64.57,65.45,64.03,64.34,1463549
2020-10-13,64.28,64.91,63.39,64.12,1574581
2020-10-12,65.0,65.29,64.13,64.63,1828849
2020-10-09,66.16,66.32,64.3873,64.9,1646386
2020-10-08,64.48,65.95,63.5,65.4,2601521
2020-10-07,62.29,64.08,62.29,63.72,2733600
2020-10-06,63.91,64.37,60.42,61.1,3260000
2020-10-05,62.1,63.6,61.13,63.17,2779770
2020-10-02,57.54,61.095,56.94,60.92,3021435
2020-10-01,57.8,58.93,57.275,58.91,2159784
2020-09-30,56.1,58.63,56.1,57.78,4271200
2020-09-29,56.1,57.03,55.25,55.64,1582881
2020-09-28,55.79,57.28,55.47,56.46,3476018
2020-09-25,52.655,54.51,52.61,54.11,1380119
2020-09-24,53.03,54.19,51.74,53.13,1392060
2020-09-23,54.65,56.03,53.15,53.22,1809080
2020-09-22,54.91,55.32,52.79,54.54,3749574
2020-09-21,56.44,57.09,54.62,55.0,3164371
2020-09-18,59.49,60.2,58.55,59.03,2146863
2020-09-17,58.21,60.1,57.91,59.67,2814345
2020-09-16,57.205,60.45,56.735,59.22,2815395
2020-09-15,58.48,59.54,56.86,57.06,3146800
2020-09-14,55.57,58.64,55.48,57.99,2967658
2020-09-11,54.06,55.0327,54.01,54.74,2071783
2020-09-10,55.38,56.935,53.89,54.06,1721803
2020-09-09,55.55,55.58,54.22,55.04,1685017
2020-09-08,56.11,57.17,54.96,55.1,3177574
2020-09-04,56.66,59.23,56.21,57.15,4934682
2020-09-03,53.7,55.99,53.7,55.42,4735911
2020-09-02,52.73,53.92,52.56,53.68,1476224
2020-09-01,52.49,53.6,52.11,52.99,1425656
2020-08-31,54.24,54.24,53.06,53.09,2802000
2020-08-28,53.98,54.39,53.24,54.25,1741493
2020-08-27,51.65,54.24,51.36,53.72,3558102
2020-08-26,52.21,52.605,51.26,51.53,1679558
2020-08-25,53.0,53.4069,51.48,52.21,1957892
2020-08-24,49.98,52.47,49.84,52.39,2039070
2020-08-21,49.85,50.26,48.9201,49.57,1911436
2020-08-20,50.0,50.57,49.75,49.94,1661400
2020-08-19,50.59,51.44,49.87,50.78,1691739
2020-08-18,52.66,52.99,50.8,50.92,2921820
2020-08-17,54.3,54.32,52.58,52.59,1865096
2020-08-14,52.8732,54.87,52.62,54.3,1315503
2020-08-13,53.78,54.755,53.21,53.43,1672265
2020-08-12,56.93,56.94,53.58,54.4987,2893577
2020-08-11,55.675,57.67,55.56,55.7,3506805
2020-08-10,51.52,54.37,51.52,53.76,3435933
2020-08-07,49.7419,51.43,48.98,51.41,2652646
2020-08-06,50.1,50.8,49.43,50.12,1780202
2020-08-05,49.32,50.54,49.24,50.46,3217308
2020-08-04,49.29,49.71,48.61,48.74,3043537
2020-08-03,49.59,50.34,49.0,49.52,3209658
2020-07-31,50.53,50.53,48.36,49.44,2004882
2020-07-30,50.3,50.46,49.29,50.41,2092143
2020-07-29,50.32,51.86,49.72,51.83,2265784
2020-07-28,51.075,51.89,50.05,50.11,2527708
2020-07-27,50.13,52.24,49.4794,51.76,3319149
2020-07-24,51.86,52.01,50.68,50.82,3397682
2020-07-23,50.7,52.98,49.81,51.58,6186690
2020-07-22,48.25,51.095,48.1973,50.7,3851587
2020-07-21,48.15,49.41,47.86,49.0,4135275
2020-07-20,48.505,48.82,47.42,47.47,2516004
2020-07-17,50.62,50.62,48.75,48.99,1434202
2020-07-16,49.5288,51.35,49.39,50.3,336535
2020-07-15,48.665,50.69,48.62,50.34,269288
2020-07-14,47.66,48.22,46.82,47.52,218742
2020-07-13,49.09,49.8,47.28,48.18,275944
2020-07-10,46.36,48.45,46.03,48.35,185410
2020-07-09,48.339,48.38,45.4,46.48,300423
2020-07-08,48.35,49.03,47.41,48.68,336928
2020-07-07,49.98,50.18,47.86,48.17,579143
2020-07-06,50.58,51.4,49.86,50.61,409494
2020-07-02,49.99,51.07,48.68,48.87,336944
2020-07-01,50.29,51.5,48.12,48.22,2990344
2020-06-30,49.22,50.47,48.71,50.09,7392400
2020-06-29,49.36,50.16,48.3,49.32,8200296
2020-06-26,50.75,51.0,47.35,48.67,7918500
2020-06-25,50.29,52.09,49.63,52.08,1064197
2020-06-24,53.73,53.73,50.21,50.77,1052915
2020-06-23,55.21,55.62,54.21,54.86,749398
2020-06-22,54.335,55.03,53.08,54.02,803331
2020-06-19,55.28,55.3,52.57,53.7,1508078
2020-06-18,53.72,55.69,53.36,53.83,872512
2020-06-17,56.46,57.05,54.93,55.08,1089909
2020-06-16,57.73,57.96,54.33,55.98,1019811
2020-06-15,49.865,55.7,49.64,54.57,1144096
2020-06-12,52.92,53.37,49.97,52.98,1142855
2020-06-11,51.89,52.96,48.905,49.41,1601330
2020-06-10,58.23,58.79,54.96,54.98,1530541
2020-06-09,58.505,60.02,57.55,58.86,1260528
2020-06-08,64.305,64.4,60.855,61.29,1345108
2020-06-05,64.09,66.77,60.25,60.62,9503200
2020-06-04,55.77,58.66,54.93,58.26,6713600
2020-06-03,55.06,57.26,54.95,57.14,7986000
2020-06-02,51.0,52.56,50.79,52.39,5863100
2020-06-01,47.79,49.86,47.46,49.84,5263500
2020-05-29,48.14,49.95,47.35,47.51,8224200
2020-05-28,50.32,52.19,48.85,49.47,10462500
2020-05-27,47.27,49.62,46.95,49.6,8441000
2020-05-26,42.92,45.01,42.47,44.08,7294700
2020-05-22,40.81,41.15,39.76,40.47,2434000
2020-05-21,40.9,41.56,40.23,40.75,3222600
2020-05-20,40.37,41.39,40.21,41.01,4392400
2020-05-19,40.73,41.42,39.35,39.75,4664500
