datetime,open,high,low,close,volume
2021-01-29,124.76,132.10001,124.01,129.14999,1814500
2021-01-28,125.67,127.39,123.6,123.72,964300
2021-01-27,125.3,127.39,124.5,125.12,2268000
2021-01-26,125.08,126.26,123.68,125.99,965600
2021-01-25,124.35,125.76,123.09,124.97,892757
2021-01-22,124.99,125.7,123.59,124.46,1394400
2021-01-21,127.34,127.71,124.68,125.18,1070300
2021-01-20,126.09,127.64,125.22,127.36,1114100
2021-01-19,124.48,127.16,123.08,125.99,1029545
2021-01-15,124.67,125.32,123.33,124.39,3038500
2021-01-14,126.27,126.56,124.77,124.97,1239300
2021-01-13,125.86,127.69,125.36,125.45,1043800
2021-01-12,124.02,126.38,123.61,126.22,1568500
2021-01-11,122.68,124.97,121.98,123.63,1121436
2021-01-08,123.64,124.48,120.28,122.97,1699600
2021-01-07,125.76,126.21,123.43,123.94,2033000
2021-01-06,121.14,127.3,121.11,125.71,1721600
2021-01-05,121.47,122.68,120.98,121.74,1698400
2021-01-04,120.0,121.26,118.6062,121.12,942213
2020-12-31,118.03,119.33,117.26,119.17,886700
2020-12-30,119.1,120.16,117.83,118.33,614400
2020-12-29,118.97,118.99,117.07,118.4,970900
2020-12-28,121.32,121.41,118.2,118.5,760028
2020-12-24,121.03,121.64,119.64,120.23,535300
2020-12-23,121.87,122.1,120.39,120.83,860100
2020-12-22,120.86,121.88,120.56,121.2,1030400
2020-12-21,119.56,120.88,118.9161,120.84,1613320
2020-12-18,120.7,121.2,119.14,120.33,1010570
2020-12-17,119.65,122.12,119.37,120.7,1437602
2020-12-16,126.83,126.9,120.73,120.98,1801400
2020-12-15,123.655,124.97,123.06,124.49,789519
2020-12-14,123.59,125.3,122.95,123.16,1033500
2020-12-11,125.12,125.66,121.4615,122.06,1027265
2020-12-10,123.86,126.75,123.86,125.47,1142500
2020-12-09,124.27,125.69,124.02,124.17,1018400
2020-12-08,122.9,124.4926,122.9,124.11,945690
2020-12-07,123.0,123.9502,122.5,122.9,635765
2020-12-04,122.955,123.79,122.41,123.25,582098
2020-12-03,124.21,124.85,121.85,122.82,1262300
2020-12-02,125.63,126.4,124.07,124.38,1005700
2020-12-01,125.24,126.38,124.45,125.68,1074100
2020-11-30,124.88,125.99,123.25,123.98,1292494
2020-11-27,123.94,125.06,123.81,124.8,405300
2020-11-25,126.11,126.21,124.26,124.33,703900
2020-11-24,126.12,126.94,124.57,126.0,954400
2020-11-23,122.43,125.61,122.43,125.61,945526
2020-11-20,122.43,125.47,122.43,124.81,2407600
2020-11-19,122.2,123.28,121.49,122.81,851700
