datetime,open,high,low,close,volume
2021-01-29,76.02,76.55,75.172,76.09,1862478
2021-01-28,74.7,77.59,73.63,76.8,3433900
2021-01-27,76.77,78.75,74.2,74.66,3848600
2021-01-26,80.52,83.25,76.77,77.79,4989800
2021-01-25,78.61,80.91,78.3,78.97,4923620
2021-01-22,76.0,78.05,75.3,77.71,3681200
2021-01-21,76.3,78.16,75.4,76.57,3851000
2021-01-20,71.75,76.16,71.42,75.11,4668400
2021-01-19,70.5,71.7925,69.87,71.31,3939427
2021-01-15,69.14,70.28,69.04,69.36,2370900
2021-01-14,69.35,69.35,68.38,69.03,3462500
2021-01-13,69.59,71.45,68.55,68.72,2945300
2021-01-12,68.21,68.59,67.04,68.43,3625100
2021-01-11,66.6,68.89,65.9,68.06,2330572
2021-01-08,69.45,69.71,66.55,66.96,3091700
2021-01-07,66.07,68.92,66.07,68.69,3435100
2021-01-06,65.38,66.49,64.32,65.85,4355900
2021-01-05,67.01,67.44,66.19,66.41,2583000
2021-01-04,69.24,69.495,65.9,67.34,3332635
2020-12-31,70.0,70.0,68.8,68.92,2195300
2020-12-30,70.01,71.27,69.99,70.12,1506500
2020-12-29,70.77,71.03,69.68,69.99,2592700
2020-12-28,72.0,72.01,70.21,70.4,1958500
2020-12-24,70.75,72.21,70.14,71.85,1932360
2020-12-23,72.5,72.55,70.5,70.75,2705000
2020-12-22,72.5,73.1,71.8,72.32,1836200
2020-12-21,72.21,73.25,71.12,72.51,2387243
2020-12-18,73.65,73.76,72.7838,73.26,2478503
2020-12-17,72.145,74.68,72.145,73.47,4181645
2020-12-16,71.43,71.59,70.17,71.18,1999500
2020-12-15,70.76,71.71,70.6348,70.95,1771063
2020-12-14,70.9,71.68,70.34,70.4,2513920
2020-12-11,69.845,71.23,69.51,69.91,1629760
2020-12-10,69.28,70.64,68.9,69.97,2226200
2020-12-09,72.36,72.36,69.14,69.91,4876400
2020-12-08,73.12,73.13,70.43,70.83,2811438
2020-12-07,71.39,73.89,70.65,73.8,2724414
2020-12-04,71.7167,72.13,70.44,71.26,2157345
2020-12-03,69.38,72.65,69.28,72.34,2752700
2020-12-02,71.84,72.05,69.04,69.27,3828800
2020-12-01,74.63,75.3,71.88,72.09,2872800
2020-11-30,76.02,76.25,73.155,74.5,5656855
2020-11-27,75.89,77.24,75.57,75.98,1215100
2020-11-25,75.27,76.53,74.26,76.06,2363100
2020-11-24,77.84,78.25,74.0,74.29,3863100
2020-11-23,75.56,77.57,75.165,77.28,1894732
2020-11-20,75.07,75.99,74.4,75.0,2056000
2020-11-19,74.56,76.49,74.18,75.1,3459800
2020-11-18,73.7,75.5,73.24,74.54,2741100
2020-11-17,73.85,75.39,73.02,73.47,2783000
2020-11-16,73.66,74.38,71.95,74.13,2204853
2020-11-13,72.37,74.14,71.59,73.27,1890468
2020-11-12,72.54,73.49,70.74,71.42,2790200
2020-11-11,72.22,72.89,70.43,72.85,4283600
2020-11-10,66.99,71.81,66.36,70.88,7651100
2020-11-09,71.9,72.34,64.82,64.95,7217506
2020-11-06,72.79,72.94,69.71,70.61,2303000
2020-11-05,75.14,75.6,72.72,72.91,3104800
2020-11-04,71.25,75.54,70.75,74.75,4198600
2020-11-03,70.24,70.57,68.72,69.46,2508400
2020-11-02,68.66,69.5,67.9794,69.18,2453838
2020-10-30,67.71,68.59,66.13,66.81,3353300
2020-10-29,68.9,69.55,67.71,68.04,1859587
2020-10-28,67.88,70.25,67.38,68.88,2522100
2020-10-27,71.0,71.22,68.65,69.09,1995118
2020-10-26,72.46,72.75,69.75,70.84,3281921
2020-10-23,71.2,73.2,70.95,73.08,1688989
2020-10-22,73.38,73.38,70.28,70.59,3949900
2020-10-21,76.31,76.54,72.82,73.11,2817400
2020-10-20,75.97,77.39,75.64,76.52,2071000
2020-10-19,77.52,78.3,75.2318,75.79,1669789
2020-10-16,79.5,81.21,76.96,77.09,3597600
2020-10-15,77.03,78.94,76.76,78.82,2165900
2020-10-14,78.33,78.6,77.34,78.3,1441793
2020-10-13,77.89,78.615,76.74,77.85,1685394
2020-10-12,78.61,78.8052,77.4146,78.35,1738007
2020-10-09,78.505,78.96,77.53,78.08,1621640
2020-10-08,76.625,77.92,76.6223,77.71,1465673
2020-10-07,76.12,76.86,75.26,75.76,2110100
2020-10-06,75.91,76.67,74.65,75.11,2440700
2020-10-05,78.5,78.78,74.65,75.7,4122232
2020-10-02,75.56,78.37,75.55,77.89,2141180
2020-10-01,76.71,77.63,75.79,77.54,3076201
2020-09-30,74.46,76.6,74.11,75.63,3855700
2020-09-29,74.49,74.8,73.665,74.01,1835595
2020-09-28,73.0,74.68,72.0,74.49,3116378
2020-09-25,71.64,72.69,70.81,71.8,3023135
2020-09-24,70.585,73.02,70.27,72.0,3045332
2020-09-23,75.4045,75.52,70.92,71.16,3347084
2020-09-22,72.499,75.88,71.79,75.51,4941911
2020-09-21,71.88,72.36,69.78,72.11,1872461
2020-09-18,73.31,74.21,71.76,72.66,2412168
2020-09-17,72.96,73.83,72.09,73.31,2218824
2020-09-16,72.7,75.31,72.5,74.44,3870964
2020-09-15,72.3799,73.62,71.6,71.765,2374366
2020-09-14,72.2,72.94,71.52,72.72,3306736
2020-09-11,70.49,71.71,69.99,71.37,2199871
2020-09-10,70.19,71.48,69.44,69.7,2774693
2020-09-09,68.97,70.79,68.17,70.07,2771389
2020-09-08,67.03,69.35,66.53,68.02,3422733
2020-09-04,71.175,71.68,67.41,68.235,4189773
2020-09-03,72.65,72.98,69.6002,70.57,3612420
2020-09-02,74.04,74.04,71.83,72.88,2017741
2020-09-01,71.38,73.38,70.92,73.38,2166867
2020-08-31,72.01,72.63,70.835,71.36,3180528
2020-08-28,73.01,73.78,71.49,71.82,3193365
2020-08-27,74.82,75.2911,72.44,72.49,3548003
2020-08-26,75.89,75.95,74.06,74.07,2719253
2020-08-25,76.57,76.61,74.53,75.46,2040994
2020-08-24,76.97,77.45,75.71,76.16,2901119
2020-08-21,74.0,76.97,73.79,76.97,4913145
2020-08-20,74.0,75.54,72.86,74.59,3108650
2020-08-19,73.34,74.31,72.73,73.99,2453318
2020-08-18,74.05,74.34,73.11,73.54,2827954
2020-08-17,72.1,74.0,71.76,73.33,3092791
2020-08-14,70.8009,71.79,70.265,71.4,1552967
2020-08-13,70.75,71.955,69.95,71.47,2549483
2020-08-12,69.6,71.28,68.92,71.26,3559386
2020-08-11,70.245,70.3,68.43,69.04,5992145
2020-08-10,68.44,71.83,68.23,69.7,4171867
2020-08-07,67.61,68.41,67.19,68.38,2013034
2020-08-06,68.05,68.3798,67.48,67.62,1503404
2020-08-05,67.45,68.19,67.01,68.08,1719816
2020-08-04,68.01,68.54,66.92,67.35,1750970
2020-08-03,66.65,68.46,66.58,68.34,3087286
2020-07-31,66.07,66.28,64.64,66.17,4036581
2020-07-30,66.64,66.64,65.5,66.02,2765325
2020-07-29,64.48,67.08,64.48,66.64,3114233
2020-07-28,66.57,70.29,64.18,64.58,7785645
2020-07-27,64.48,66.67,64.245,66.53,3357101
2020-07-24,63.74,64.19,62.26,63.74,2761823
2020-07-23,66.335,66.66,62.55,63.87,5237338
2020-07-22,62.57,65.09,62.46,64.79,2631638
2020-07-21,63.3,63.3,61.67,62.71,2773953
2020-07-20,63.46,63.7241,62.2155,63.48,2393731
2020-07-17,63.208,64.37,62.7429,63.49,2607123
2020-07-16,60.0265,62.64,59.701,62.55,912108
2020-07-15,60.89,61.04,58.78,60.06,245345
2020-07-14,56.77,59.27,56.68,59.12,207374
2020-07-13,59.23,59.67,56.78,56.9,432205
2020-07-10,58.26,59.145,57.87,58.67,184102
2020-07-09,59.08,59.43,57.57,58.04,380892
2020-07-08,57.18,59.36,57.095,58.85,358176
2020-07-07,55.67,57.14,55.66,56.56,467566
2020-07-06,55.09,56.1267,54.89,55.92,223206
2020-07-02,55.1,55.25,53.84,54.07,254689
2020-07-01,55.56,55.59,53.5,53.86,3297463
