datetime,open,high,low,close,volume
2021-01-29,227.67999,238.605,226.00999,234.55499,2659353
2021-01-28,225.60001,232.0,225.241,228.57001,2575624
2021-01-27,230.39999,230.39999,217.83,222.2,4669900
2021-01-26,238.86,238.86,233.98,233.98,1643200
2021-01-25,237.91,239.3,233.57001,238.14999,2123780
2021-01-22,234.35001,239.45,233.85001,238.03999,2710500
2021-01-21,236.75,238.53,232.71001,233.10001,2379800
2021-01-20,235.87,237.53999,234.61,237.05,2051200
2021-01-19,239.16,239.64999,235.45,236.11,2255895
2021-01-15,236.7,238.98,234.94,236.75,2599500
2021-01-14,240.32001,241.37,236.33,236.7,2068700
2021-01-13,239.97,241.31,235.71001,239.84,3257700
2021-01-12,244.57001,245.25,239.25999,240.69,2216000
2021-01-11,243.00999,244.22,241.84,244.12,1541386
2021-01-08,241.03999,244.96001,240.5,243.49001,2297400
2021-01-07,238.45,243.05,237.89,239.71001,3695200
2021-01-06,223.88,237.64,222.46001,236.35001,3965400
2021-01-05,222.73,229.37,222.73,228.77,3711900
2021-01-04,224.99001,225.66,219.67999,223.23,3183048
2020-12-31,220.83,222.35001,219.67,222.14,1835500
2020-12-30,223.8,224.85001,220.28999,220.67999,1427200
2020-12-29,225.39,225.64999,222.66,222.86,1733600
2020-12-28,223.28,225.35001,221.46001,222.75,2094712
2020-12-24,220.75,223.57001,220.57001,221.49001,611000
2020-12-23,223.46001,224.92,220.47,220.57001,1753300
2020-12-22,225.31,226.07001,222.64,222.92999,1824100
2020-12-21,223.47,226.58,220.31,226.16,2161084
2020-12-18,224.78999,227.41,222.10001,226.11,2155406
2020-12-17,222.83,225.10001,222.44,224.45,1108676
2020-12-16,222.84,223.59,220.55,221.89999,1781900
2020-12-15,222.14999,224.7204,220.83,223.10001,1389697
2020-12-14,223.72,225.61,220.91,221.10001,1887099
2020-12-11,223.63,225.99001,221.42999,223.88,1168621
2020-12-10,223.00999,226.3,221.94,223.21001,3264500
2020-12-09,223.52,224.31,221.02,222.84,2500200
2020-12-08,225.53999,226.82001,223.25,223.45,1664862
2020-12-07,225.41,228.0,225.03,226.14999,1777663
2020-12-04,222.16,224.69,219.82001,224.48,2262391
2020-12-03,224.62,226.21001,222.45,223.34,3198000
2020-12-02,225.10001,226.02,223.24001,224.8,2126500
2020-12-01,226.00999,228.0,223.0,225.0,3879600
2020-11-30,219.50999,224.81,219.00999,224.63,2976270
2020-11-27,218.2,218.55,215.00999,216.78,1407200
2020-11-25,214.64,217.38,212.42,217.22,3205900
2020-11-24,222.35001,222.39999,216.71001,218.25999,3940900
2020-11-23,227.0,227.81,218.77,221.08,2794556
2020-11-20,225.67,227.53999,224.12,225.75999,2353100
2020-11-19,224.13,227.21001,221.22,225.83,2770500
2020-11-18,229.73,230.37,223.12,224.7,2873800
2020-11-17,228.63,232.07001,227.77,229.35001,2400100
2020-11-16,236.34,236.34,228.82001,229.64999,2147015
2020-11-13,235.09,236.28,233.89999,234.69,2092097
2020-11-12,233.00999,235.49001,231.55,232.99001,2316000
2020-11-11,227.97,234.89,226.14,233.14,3898000
2020-11-10,233.17,234.25,224.81,225.88,6233200
2020-11-09,245.7,248.32001,233.46001,233.78,3884079
2020-11-06,242.48,247.75,239.77,245.46001,2343300
2020-11-05,247.03999,247.03999,239.74001,240.34,3389300
2020-11-04,239.46001,245.49001,238.60001,240.52,3032700
2020-11-03,235.12,236.67999,232.84,234.75999,1659300
2020-11-02,232.38,235.23,229.84,232.44,2471134
2020-10-30,229.0,230.86,225.39999,229.53999,2598300
2020-10-29,232.46001,233.37,228.35001,230.03999,1619804
2020-10-28,237.0,238.67,231.13,232.10001,2844700
2020-10-27,235.92999,240.50999,235.92999,239.84,2474452
2020-10-26,231.42,235.12,231.21001,234.91,2348629
2020-10-23,234.845,236.41,231.4359,232.67,1794064
2020-10-22,226.78,235.60001,225.78,233.98,2743200
2020-10-21,228.75999,229.75,226.21001,226.55,3761500
2020-10-20,224.00999,229.0,223.56,227.03,2326500
2020-10-19,228.25,228.71001,222.25,223.83,2181654
2020-10-16,226.39,229.45,226.0,227.45,2635100
2020-10-15,223.05,225.78999,220.67999,225.42,1724600
2020-10-14,225.69501,227.19501,224.21001,226.53999,1296554
2020-10-13,224.50999,225.95,224.41499,225.62,1164234
2020-10-12,226.78,227.48,225.11,225.75,1836466
2020-10-09,221.50999,226.17,221.17,226.17,1256672
2020-10-08,222.59,222.72,219.95,220.71001,1849131
2020-10-07,219.52,223.28,219.36,222.03,1746700
2020-10-06,218.85001,220.81,217.11,218.24001,1979400
2020-10-05,214.53999,218.63,214.53999,218.35001,1153622
2020-10-02,212.0,215.23,211.425,212.58,1109411
2020-10-01,217.00999,218.67999,213.81,214.7,1667859
2020-09-30,211.75999,216.63,211.14,215.33,3239200
2020-09-29,210.16,212.24001,209.47,211.00999,1240929
2020-09-28,208.41,211.33,207.78999,209.78999,2057972
2020-09-25,202.78999,207.50999,201.44,207.28,1995440
2020-09-24,205.21001,206.51401,202.37,203.77,2133788
2020-09-23,207.78,208.72,205.2,205.2,1396756
2020-09-22,205.34,207.59,203.89,207.17999,1339763
2020-09-21,203.95,205.81,201.5619,205.8,2747281
2020-09-18,207.56,208.45,204.74001,206.2,1883479
2020-09-17,205.05,207.25,204.02,207.09,1959986
2020-09-16,208.11,210.28999,206.88,207.17,1450109
2020-09-15,207.88,209.685,207.82159,208.66,1262236
