datetime,open,high,low,close,volume
2021-01-29,35.0,37.17,34.73,35.65,7742192
2021-01-28,33.48,34.97,33.44,34.92,15132200
2021-01-27,35.0,38.0,33.0,33.47,24748700
2021-01-26,34.46,35.54,34.14,35.4,6194400
2021-01-25,32.69,34.9,32.34,34.16,5666378
2021-01-22,32.09,33.05,31.76,32.89,3040800
2021-01-21,32.51,32.94,32.15,32.41,4370800
2021-01-20,31.64,32.38,31.64,32.3,4131200
2021-01-19,31.81,32.21,31.44,31.85,3898615
2021-01-15,32.19,32.98,32.0,32.35,5044600
2021-01-14,32.03,33.18,31.44,32.51,7559000
2021-01-13,30.07,31.84,30.0,31.75,5668300
2021-01-12,30.75,30.92,30.34,30.57,4833000
2021-01-11,29.94,30.74,29.53,30.59,4668771
2021-01-08,29.84,30.23,29.04,30.16,4372800
2021-01-07,29.45,30.37,29.25,29.83,5007200
2021-01-06,27.35,29.64,27.35,29.5,5369700
2021-01-05,26.4,27.22,26.28,27.02,3128900
2021-01-04,26.49,26.77,25.815,26.39,3151043
2020-12-31,26.06,26.4,25.62,26.19,2037800
2020-12-30,26.12,26.23,25.82,25.98,1616100
2020-12-29,25.96,26.09,25.59,25.96,1286100
2020-12-28,25.26,25.89,24.97,25.82,1695088
2020-12-24,24.9,25.23,24.59,25.14,593836
2020-12-23,23.97,24.98,23.93,24.85,1719000
2020-12-22,24.2,24.31,23.67,23.86,1545100
2020-12-21,24.04,24.37,23.745,24.02,2574478
2020-12-18,24.44,25.17,24.27,24.52,3203112
2020-12-17,25.43,25.43,24.795,25.305,2483561
2020-12-16,25.44,25.58,25.03,25.32,2585900
2020-12-15,25.4,25.4,24.63,25.35,1034282
2020-12-14,25.88,25.89,25.11,25.21,1692560
2020-12-11,25.21,25.53,25.1201,25.48,1383733
2020-12-10,25.06,25.63,24.75,25.48,2250200
2020-12-09,24.99,25.33,24.74,25.18,1987400
2020-12-08,25.13,25.56,24.67,24.83,2204701
2020-12-07,25.09,25.43,24.86,25.42,2638317
2020-12-04,25.21,25.59,25.07,25.23,3596240
2020-12-03,25.63,25.98,24.98,25.12,2984600
2020-12-02,26.05,26.07,24.33,25.24,3038800
2020-12-01,24.47,25.19,24.27,24.66,3254900
2020-11-30,24.37,24.52,23.915,24.02,2675377
2020-11-27,24.2,24.77,24.2,24.55,1473371
2020-11-25,24.21,24.52,23.97,24.41,3137900
2020-11-24,24.15,24.58,24.02,24.47,1934600
2020-11-23,23.18,23.9,23.04,23.79,2535372
2020-11-20,22.43,23.0,22.31,22.89,2732400
2020-11-19,21.83,22.69,21.78,22.53,2474900
2020-11-18,22.01,22.58,21.865,22.03,3187857
2020-11-17,21.47,22.28,21.12,22.0,2830000
2020-11-16,21.43,22.085,21.41,21.82,2199844
2020-11-13,19.92,21.27,19.9,20.9,2610368
2020-11-12,20.32,20.5,19.52,19.69,1792200
2020-11-11,20.68,20.81,20.25,20.32,2343300
2020-11-10,19.96,20.8,19.88,20.73,4109300
2020-11-09,19.88,21.0,19.76,20.11,3016500
2020-11-06,19.56,19.75,18.49,18.88,3443500
2020-11-05,18.9,19.68,18.84,19.36,2367800
2020-11-04,19.04,19.04,18.44,18.68,2154400
2020-11-03,19.41,19.81,19.09,19.2,2193500
2020-11-02,18.48,19.29,18.115,19.13,2525021
2020-10-30,17.8,18.33,17.8,18.32,2155800
2020-10-29,17.36,17.95,17.34,17.82,1699200
2020-10-28,17.87,18.15,17.42,17.44,2305200
2020-10-27,18.41,18.55,18.23,18.23,1422146
2020-10-26,18.87,18.99,18.36,18.56,1727698
2020-10-23,19.31,19.42,18.755,19.11,1313176
2020-10-22,18.86,19.35,18.83,19.08,2336000
2020-10-21,18.25,18.9,18.12,18.84,2862600
2020-10-20,18.52,18.56,18.2,18.32,2358900
2020-10-19,19.09,19.18,18.175,18.27,1999632
2020-10-16,18.98,19.1,18.54,18.98,2454600
2020-10-15,18.69,18.98,18.48,18.92,2138500
2020-10-14,19.34,19.57,18.77,18.78,1804269
2020-10-13,19.97,20.17,19.26,19.345,1346221
2020-10-12,19.86,20.14,19.705,20.05,1729504
2020-10-09,20.53,20.74,19.96,19.96,1490443
2020-10-08,20.04,20.485,19.99,20.47,1566175
