datetime,open,high,low,close,volume
2021-01-29,143.61838999999998,147.375,143.10001,145.00999,708944
2021-01-28,147.12,149.09,144.7,144.87,3027600
2021-01-27,145.36,149.69,144.0,149.17,2866100
2021-01-26,142.28999,146.0,141.86,145.85001,1167100
2021-01-25,141.03999,143.745,140.61,142.63,1647136
2021-01-22,140.67,142.03999,140.14999,140.46001,1109700
2021-01-21,140.00999,141.53999,139.14,141.22,1459500
2021-01-20,137.99001,141.42,137.14,140.72,1814000
2021-01-19,139.2,139.25999,137.08,137.99001,1584990
2021-01-15,133.10001,136.64999,132.7,136.48,1762200
2021-01-14,132.94,134.21001,131.63,133.45,1442200
2021-01-13,131.75,133.60001,131.75,133.14999,1272800
2021-01-12,130.99001,131.92,130.05,131.50999,1748700
2021-01-11,133.17999,133.37,129.57001,131.27,1813316
2021-01-08,133.50999,134.89999,132.00999,133.60001,2341500
2021-01-07,131.89999,134.16,131.60001,133.61,2187100
2021-01-06,132.13,132.82001,130.06,132.11,1823800
2021-01-05,135.42999,136.28,132.88,132.96001,1614000
2021-01-04,139.99001,139.99001,135.09,135.28999,1721961
2020-12-31,138.19,139.72,137.0,139.50999,1019000
2020-12-30,138.21001,139.78,137.72,138.35001,1032800
2020-12-29,139.0,139.57001,137.72,138.0,1009200
2020-12-28,137.72,138.88,137.37,138.61,973434
2020-12-24,136.87,138.14999,136.53,137.42999,445052
2020-12-23,139.23,139.96001,136.78999,136.78999,1959300
2020-12-22,134.34,138.60001,134.19,138.53999,2023300
2020-12-21,131.98,134.74001,131.28,134.64999,1940710
2020-12-18,135.64999,135.64999,132.19,133.98,1865154
2020-12-17,130.35001,134.88,130.32001,133.92999,1884614
2020-12-16,129.24001,130.78,128.03999,129.58,1494600
2020-12-15,128.11,129.185,126.88,128.8,1875995
2020-12-14,129.16,131.06,128.0,128.09,1673154
2020-12-11,129.39999,130.88,128.0,130.25999,1576204
2020-12-10,130.0,131.17,128.67999,129.66,2774900
2020-12-09,133.45,133.61,129.72,129.75,2577500
2020-12-08,135.99001,136.39,133.08,133.37,1103554
2020-12-07,135.23,137.56,134.78999,135.23,1411322
2020-12-04,133.64999,135.8,132.71001,135.47,1383189
2020-12-03,133.64999,135.35001,133.02,133.64999,1672800
2020-12-02,134.75,135.22,132.08,132.16,1680000
2020-12-01,135.84,137.75,134.78999,135.13,2106100
2020-11-30,137.0,137.07001,134.27,134.75,1841895
2020-11-27,136.28,136.82001,135.21001,136.73,487100
2020-11-25,133.95,135.94,132.71001,135.75,3046600
2020-11-24,139.75,140.44,131.91,132.60001,3999800
2020-11-23,142.64999,143.97,139.73,139.97,1142434
2020-11-20,143.0,144.32001,142.00999,142.7,1457800
2020-11-19,141.97,143.45,140.41,143.0,1229600
2020-11-18,142.46001,145.07201,141.66,142.39999,1518825
2020-11-17,141.86,143.28,140.39,142.42,1131600
2020-11-16,145.0,145.14999,140.41,142.0,1701937
2020-11-13,142.50999,144.98,141.38,144.64999,1144406
2020-11-12,141.39999,142.61,140.14999,141.39999,1263300
2020-11-11,138.19,141.69,137.27,140.99001,2579100
2020-11-10,138.56,138.95,134.42,135.82001,2867600
2020-11-09,149.87,150.83,138.0,138.22,3211271
2020-11-06,148.34,148.34,146.42999,146.67999,2211100
2020-11-05,150.53,151.39999,147.41,147.50999,1873600
2020-11-04,146.5,151.23,146.16,148.00999,2445200
2020-11-03,147.48,147.91,145.34,145.89,1404600
2020-11-02,146.25999,148.28999,145.0,145.95,1136075
2020-10-30,147.58,147.58,140.91,144.3,1855300
2020-10-29,149.87,150.33,147.56,148.72,1118100
2020-10-28,148.73,151.16,148.16,149.88,993800
2020-10-27,152.88,153.56,150.66,150.8,605442
2020-10-26,151.75999,152.73,150.46001,152.67,735148
2020-10-23,152.8186,152.8186,150.32001,152.60001,591478
2020-10-22,154.78999,155.0,151.96001,152.3,1223600
2020-10-21,154.62,156.39,153.73,154.87,1025100
2020-10-20,155.77,156.64,154.52,155.60001,705900
2020-10-19,158.16,158.7,154.53,155.17999,964990
2020-10-16,156.53999,158.99001,155.89,157.7,1336500
2020-10-15,155.59,158.66,155.0,156.67,1038600
2020-10-14,157.99001,158.21001,155.38499,156.35001,836985
2020-10-13,158.47501,159.48,157.435,158.05,874694
2020-10-12,158.27,159.58,156.92999,159.06,1038437
2020-10-09,157.73,158.7,156.85001,158.34,803221
2020-10-08,153.96001,157.78999,153.48,156.84,772203
2020-10-07,153.58,154.2,152.19,152.58,1438100
2020-10-06,151.98,153.48,150.17999,153.03,1222200
2020-10-05,149.07001,152.42,147.14,151.98,1244529
2020-10-02,145.395,149.77,145.395,149.35001,911284
2020-10-01,147.16,148.22,145.21001,147.255,1032271
2020-09-30,148.14,148.78999,145.44,146.75999,1656400
2020-09-29,146.21001,148.17,145.7789,147.49001,552116
2020-09-28,144.17999,146.14,143.84,145.94,1298963
2020-09-25,140.82001,142.06,139.83,142.02,0
2020-09-24,139.78999,143.09,139.56,141.25,9997
2020-09-23,142.25,143.2,138.78999,139.19,0
2020-09-22,141.11,144.94,141.11,143.41,0
2020-09-21,144.33,144.50999,141.35001,141.86,515489
2020-09-18,146.3,147.05,144.14,144.88,520654
2020-09-17,150.33501,150.33501,145.53999,146.73,398218
2020-09-16,147.14999,152.98,147.14999,150.42999,608110
2020-09-15,145.39,148.41,145.25999,147.28,503736
2020-09-14,144.84,146.32001,143.22,144.28,416993
2020-09-11,145.59,147.41,145.16,145.60001,373454
2020-09-10,147.36,148.53,145.48,145.59,421377
2020-09-09,145.35001,149.74001,145.35001,147.58,775249
2020-09-08,144.99001,145.39,140.53999,144.31,744157
2020-09-04,148.35001,148.99001,142.03,145.17999,1286013
2020-09-03,155.25999,155.25999,146.66,148.16,761693
2020-09-02,152.36,155.22,151.33,155.0,934032
2020-09-01,155.0,155.13499,152.2,153.56,306833
2020-08-31,154.58,156.92999,154.58,155.64999,387997
2020-08-28,153.98,154.31,151.64,154.28999,398178
2020-08-27,154.995,155.5,153.45,153.7,324712
2020-08-26,154.09,154.09,152.34,153.96001,389124
2020-08-25,153.89999,155.81,152.67,154.74001,641178
2020-08-24,154.25,154.74001,150.30499,152.85001,843354
2020-08-21,155.5,155.5,152.81,154.56,334583
2020-08-20,151.28,156.0,151.13,155.14999,442506
2020-08-19,156.69,156.8,151.42999,151.98,386301
2020-08-18,156.73,157.19,154.99001,156.46001,464599
2020-08-17,153.33,156.99001,153.32001,156.52,427268
2020-08-14,152.69,155.11,152.52,153.32001,378721
2020-08-13,154.61,155.02,152.09,152.14,281151
2020-08-12,152.17999,154.87,151.53999,154.44,480953
2020-08-11,158.39,158.39,151.49001,151.63,571534
2020-08-10,158.7,159.11,155.63,158.31,493458
2020-08-07,156.255,159.05,156.22,158.61,265784
2020-08-06,159.49001,160.0,156.84,157.0,403210
2020-08-05,161.42999,161.42999,158.72,159.61,351439
2020-08-04,159.5,161.49001,159.11729,161.03999,670426
2020-08-03,159.99001,161.53999,159.59,160.66,665169
2020-07-31,161.19,165.49001,158.72,160.53999,1741843
2020-07-30,156.285,159.39,156.116,158.75,1005673
2020-07-29,154.0,157.37,154.0,157.2,656387
2020-07-28,151.17999,154.42,150.91,153.97,1149529
2020-07-27,146.0,151.11,145.64,151.00999,723473
2020-07-24,145.85001,147.08,145.24001,146.99001,622952
2020-07-23,145.49001,146.91,144.46001,145.78999,592123
2020-07-22,143.00999,145.14999,142.75,144.87,674148
2020-07-21,146.14,146.33,142.39999,143.3,245022
2020-07-20,143.39999,145.96001,143.39999,144.24001,141143
2020-07-17,140.71001,144.91,140.0,143.75,150830
2020-07-16,144.64,144.97,140.33,140.46001,955
2020-07-15,148.77,148.77,142.98,144.17,5025
2020-07-14,143.59,147.27,143.25,146.78,0
2020-07-13,147.64,147.64,142.14,142.69,0
2020-07-10,147.49001,148.39999,146.92,147.39,0
2020-07-09,147.14999,147.97,144.92,147.03,0
2020-07-08,148.67,149.48,145.69,147.11,10746
2020-07-07,146.41,148.39999,146.38,147.49001,13759
2020-07-06,150.2,150.35001,147.25,147.81,3916
2020-07-02,149.61,149.72,147.81,148.59,104
2020-07-01,142.77,148.7,142.35001,147.39,1156953
2020-06-30,140.02,142.50999,139.14999,142.11,1562458
2020-06-26,143.02,146.07001,142.64,143.14999,1131490
2020-06-25,140.07001,143.17,139.59,143.0,1230224
2020-06-24,140.42,141.42999,136.55,139.94,375605
2020-06-23,143.57001,143.57001,140.69,141.89999,283995
2020-06-22,139.50999,145.14,139.16,142.13,418254
2020-06-19,145.00999,145.00999,138.77,139.81,591529
2020-06-18,144.98,146.105,141.73,143.17999,490928
2020-06-17,143.27,146.86,143.1869,145.5,813354
2020-06-16,142.36,143.78999,139.25,142.55,490732
2020-06-15,133.131,139.75999,133.131,139.52,430334
2020-06-12,136.17999,136.78999,134.14999,136.00999,423457
2020-06-11,136.82001,137.25,132.81,133.95,1082292
2020-06-10,141.3999,143.49001,138.17,138.28,493986
2020-06-09,141.09,142.82001,139.82111,141.47,428467
2020-06-08,141.99001,142.13,139.61,141.61,422262
2020-06-05,139.41,141.95,136.42,141.28,2733700
2020-06-04,138.61,140.55,134.02,136.96001,2804400
2020-06-03,140.66,141.86,138.94,139.49001,1630600
2020-06-02,143.92999,143.92999,138.91,140.0,2369100
2020-06-01,143.95,144.94,142.37,142.44,2024200
2020-05-29,143.13,144.66,141.14,143.56,2341800
2020-05-28,140.56,146.21001,139.39,146.05,1652500
2020-05-27,140.0,140.0,134.78999,139.32001,2158500
2020-05-26,139.42,139.87,136.48,138.34,1969400
2020-05-22,130.84,135.86,130.53999,135.81,1518100
2020-05-21,131.84,132.00999,129.82001,130.75,1886700
2020-05-20,133.02,133.37,129.81,132.75,1979200
2020-05-19,131.34,132.60001,130.25,131.41,2040800
2020-05-18,134.39,135.98,130.12,131.42999,3194700
2020-05-15,132.41,132.67,129.2,130.77,3107400
2020-05-14,132.0,134.44,130.10001,132.72,2624100
2020-05-13,132.7,136.82001,131.25,133.42,2474700
2020-05-12,143.82001,144.2,132.55,132.92999,3860300
2020-05-11,143.63,146.22,143.34,144.36,2087800
2020-05-08,153.0,153.17999,143.0,145.06,2077100
2020-05-07,150.28999,151.0,147.2,149.03,1655600
2020-05-06,149.19,151.72,148.0,149.7,1107200
2020-05-05,145.7,149.11,144.5,148.0,999100
2020-05-04,146.44,147.12,143.19,145.77,1389700
2020-05-01,146.47,149.21001,145.5,145.92,1316900
2020-04-30,146.49001,150.60001,146.02,149.49001,3019700
2020-04-29,155.83,156.60001,148.27,148.61,1901400
2020-04-28,156.41,158.36,153.53999,154.14999,1656900
2020-04-27,151.92999,155.06,149.85001,154.23,1746300
2020-04-24,149.08,150.42,147.60001,150.03,1448200
2020-04-23,148.97,151.64999,148.24001,148.53,1927400
2020-04-22,146.96001,150.50999,146.50999,149.17999,2087200
2020-04-21,142.10001,146.16,140.89,144.7,2560700
2020-04-20,147.48,148.0,143.19,143.72,2077900
2020-04-17,144.89999,149.74001,142.69,149.2,1799400
2020-04-16,141.47,142.88,139.3,141.95,4086300
2020-04-15,142.64999,144.09,138.85001,140.89999,4310800
2020-04-14,143.96001,147.82001,143.53,144.88,3636300
2020-04-13,146.85001,146.98,140.19,140.71001,2361200
2020-04-09,146.97,152.59,146.63,148.28999,3032600
2020-04-08,140.75,147.11,139.03,145.81,2104300
2020-04-07,142.85001,144.06,139.23,140.5,2359500
2020-04-06,141.14999,142.39999,138.96001,139.5,2425800
2020-04-03,133.96001,137.57001,132.19,136.49001,2819800
2020-04-02,132.3,136.28,131.06,135.00999,2551500
2020-04-01,132.85001,135.16,127.12,134.48,2542100
2020-03-31,139.17,139.53,130.02,138.91,3774200
2020-03-30,134.58,140.98,134.31,139.81,3774600
2020-03-27,130.33,135.94,129.64,132.85001,3703000
2020-03-26,121.81,134.86,121.21,134.13,3885100
2020-03-25,116.98,128.99001,116.98,121.43,3729600
2020-03-24,111.55,118.21,107.63,116.72,4666500
2020-03-23,120.48,120.48,105.0,107.9,3915400
2020-03-20,125.95,129.63,119.01,121.2,4732000
2020-03-19,137.2,137.35001,121.39,125.27,4429300
2020-03-18,131.81,139.67,128.33,137.34,7986500
2020-03-17,131.67999,139.75,128.94,138.24001,8061000
2020-03-16,132.42,139.62,127.51,128.31,6914100
2020-03-13,133.37,143.61,127.63,143.34,6545900
2020-03-12,127.99,130.72,124.62,128.37,9406200
2020-03-11,131.0,138.2,129.09,137.0,34673400
2020-03-10,124.36,135.71001,123.41,134.45,9935000
2020-03-09,120.49,123.96,119.0,120.67,2708400
2020-03-06,126.22,129.13,124.06,128.24001,3622100
2020-03-05,132.62,134.31,128.05,129.87,2408700
2020-03-04,131.69,135.03,130.55,134.98,2950400
2020-03-03,130.73,133.22,127.16,129.59,4144400
2020-03-02,120.9,130.77,120.61,130.49001,6312700
2020-02-28,121.13,121.13,115.4,120.11,5045700
2020-02-27,129.22,129.36,122.98,123.19,2844900
2020-02-26,133.5,133.95,130.32001,130.38,2665400
2020-02-25,136.38,137.17999,132.92,133.53999,5027100
2020-02-24,136.98,137.23,134.67,135.27,3314000
2020-02-21,136.53,138.46001,136.03,138.13,3346800
2020-02-20,133.38,136.36,132.88,136.3,3939700
2020-02-19,133.03999,133.73,132.05,132.41,2250500
2020-02-18,131.53999,133.23,131.17,133.2,3167800
2020-02-14,125.91,131.83,125.2,131.5,3785900
2020-02-13,126.49,127.7,126.43,126.53,1610100
2020-02-12,125.36,127.89,125.29,127.05,1829700
2020-02-11,126.44,127.64,125.31,125.52,1869900
2020-02-10,123.79,126.11,123.1,126.08,1854200
2020-02-07,124.19,124.29,122.85,123.28,922800
2020-02-06,123.95,124.34,123.27,124.02,1127800
2020-02-05,125.12,125.15,123.46,123.86,1748300
2020-02-04,123.64,125.48,123.33,124.99,1222500
2020-02-03,123.37,124.51,122.72,123.14,1396000
2020-01-31,125.61,126.14,122.4,122.99,1923000
2020-01-30,127.21,128.3,125.52,125.74,1594700
2020-01-29,130.22,130.44,127.5,127.63,1895900
2020-01-28,129.13,130.31,129.13,129.82001,1678100
2020-01-27,127.52,129.47,127.52,129.02,1527000
2020-01-24,127.44,129.16,126.97,128.25999,1916300
2020-01-23,126.12,127.52,126.05,127.11,1258900
2020-01-22,126.1,127.17,125.81,126.28,1648000
2020-01-21,124.43,125.81,123.8,125.73,1286400
2020-01-17,123.82,124.78,123.15,124.44,1355000
2020-01-16,122.85,123.99,122.1,123.67,2232100
2020-01-15,120.96,121.92,120.62,120.99,1443700
2020-01-14,121.97,122.7,119.98,120.75,2408200
2020-01-13,120.61,122.2,119.76,121.97,2072100
2020-01-10,119.06,120.67,118.45,120.37,2048800
2020-01-09,118.3,119.67,118.07,118.72,980000
2020-01-08,117.84,118.95,117.24,118.71,2553900
2020-01-07,118.38,118.53,116.76,117.69,1006400
2020-01-06,119.47,119.65,118.05,118.86,1151000
2020-01-03,117.23,120.18,117.08,119.94,869400
2020-01-02,120.01,120.36,117.46,118.0,1071900
2019-12-31,118.41,119.78,118.05,119.74,1129600
2019-12-30,117.93,118.35,117.14,118.31,694400
2019-12-27,118.5,118.8,117.31,118.18,580300
2019-12-26,116.96,118.11,116.96,118.11,745100
2019-12-24,116.97,117.46,116.26,116.74,486700
2019-12-23,118.28,118.77,116.33,116.62,1099500
2019-12-20,120.65,120.92,117.53,118.02,2730600
2019-12-19,116.1,119.09,115.74,119.0,2011200
2019-12-18,113.81,116.64,113.77,116.42,1655000
2019-12-17,115.69,116.05,113.58,113.81,1300500
2019-12-16,114.0,115.86,113.25,115.49,1587100
2019-12-13,114.45,115.18,112.32,113.71,2847200
2019-12-12,116.21,117.0,114.55,114.67,2054900
2019-12-11,117.94,118.05,115.62,117.02,1751600
2019-12-10,118.74,118.92,117.46,117.59,1576800
2019-12-09,118.37,119.27,118.05,118.72,1228600
2019-12-06,118.15,119.38,117.92,118.37,1411300
2019-12-05,119.2,119.61,116.73,117.52,2132400
2019-12-04,117.6,119.38,117.55,119.1,1129700
2019-12-03,119.32,119.72,117.71,118.1,1619400
2019-12-02,120.92,120.99,118.91,119.26,1774400
2019-11-29,121.0,121.56,120.65,120.95,497700
2019-11-27,120.67,121.37,120.39,121.2,1320800
2019-11-26,118.11,120.82,117.88,120.62,2669600
2019-11-25,120.33,121.11,117.81,118.3,1759700
2019-11-22,120.07,120.34,119.04,119.6,1885400
2019-11-21,120.8,121.05,118.87,119.84,1511700
2019-11-20,121.95,122.2,120.29,121.34,1932200
2019-11-19,121.09,122.1,120.2,121.99,1582100
2019-11-18,118.98,120.67,118.98,120.47,1621000
2019-11-15,117.61,118.92,117.03,118.87,1674200
2019-11-14,116.29,117.22,115.95,117.12,1741700
2019-11-13,116.52,116.82,115.75,116.13,1971500
2019-11-12,116.81,118.42,116.01,116.1,3393600
2019-11-11,116.56,117.52,116.24,116.66,2027600
2019-11-08,117.05,118.43,116.18,116.57,2595700
2019-11-07,122.34,122.69,118.02,118.68,2692500
2019-11-06,123.72,124.33,122.25,122.7,1541200
2019-11-05,123.72,124.0,122.2,123.33,1624800
2019-11-04,126.76,126.92,123.8,124.07,1670900
2019-11-01,127.4,127.77,125.47,126.8,1499500
2019-10-31,129.2,129.41,126.43,127.04,2384300
2019-10-30,129.03999,130.13,123.25,129.41,7840700
2019-10-29,132.42,134.25,126.51,130.59,3003200
2019-10-28,132.94,132.94,131.73,132.28,973100
2019-10-25,134.19,134.19,132.53999,132.82001,1009600
2019-10-24,136.00999,136.00999,133.94,134.35001,681700
2019-10-23,135.22,136.32001,134.21001,135.74001,1052500
2019-10-22,134.53999,135.11,133.88,134.81,836300
2019-10-21,132.89,134.41,132.39,134.33,860100
2019-10-18,131.77,133.08,130.75,132.98,813100
2019-10-17,130.57001,132.32001,130.49001,131.77,972500
2019-10-16,129.83,130.62,128.59,130.60001,860400
2019-10-15,129.99001,130.2,128.87,129.78999,774500
2019-10-14,129.69,130.66,129.39,129.85001,754400
2019-10-11,131.0,131.10001,129.23,129.31,941900
2019-10-10,130.2,130.77,129.34,130.64999,877300
2019-10-09,129.60001,131.14999,129.36,130.66,1404800
2019-10-08,128.56,130.32001,127.63,129.0,1461500
2019-10-07,129.67,130.08,127.88,128.25999,1688400
2019-10-04,129.89,130.37,129.25,130.27,1261600
2019-10-03,127.82,130.67,127.82,129.64999,1783500
2019-10-02,129.39,129.87,126.16,127.66,1779800
2019-10-01,129.61,129.86,128.53,129.06,1222500
2019-09-30,128.87,130.10001,128.55,129.81,983000
2019-09-27,128.72,129.5,128.25,128.85001,1696800
2019-09-26,128.10001,129.05,127.78,128.53,1439700
2019-09-25,127.68,128.03,126.83,127.67,1183200
2019-09-24,126.97,128.03999,126.53,127.56,1824800
2019-09-23,124.72,126.83,124.72,126.31,1892600
2019-09-20,124.32,125.56,124.03,125.03,2217900
2019-09-19,125.03,127.01,123.78,123.83,2924800
2019-09-18,128.64,129.0,123.98,125.3,1599700
