datetime,open,high,low,close,volume
2021-01-29,102.25,103.39,101.67,101.71,770867
2021-01-28,101.67,103.92,101.29,102.87,2033700
2021-01-27,104.98,105.07,99.62,101.56,2897200
2021-01-26,106.26,106.78,104.94,105.7,1545200
2021-01-25,107.64,108.17,105.75,106.37,1605819
2021-01-22,107.64,108.21,106.13,107.88,1160300
2021-01-21,108.63,109.44,107.63,107.79,1431100
2021-01-20,108.23,108.45,106.32,107.54,1940200
2021-01-19,108.59,109.595,107.12,108.05,1745453
2021-01-15,109.31,109.7,107.79,108.34,1881900
2021-01-14,112.67,112.96,109.65,109.97,1996000
2021-01-13,113.79,114.08,112.31,112.47,1229500
2021-01-12,112.38,114.42,112.05,114.18,1482200
2021-01-11,112.5,113.1,111.17,112.43,2144633
2021-01-08,114.72,115.45,112.19,112.97,1927200
2021-01-07,112.99,115.0,111.89,114.75,2508400
2021-01-06,106.9,113.25,106.79,112.97,3096700
2021-01-05,106.31,107.75,106.14,107.13,1620300
2021-01-04,107.63,108.34,105.31,106.94,1664836
2020-12-31,107.94,108.3,106.9,108.04,1121300
2020-12-30,109.15,109.81,107.47,107.8,1145900
2020-12-29,108.78,109.62,107.6,109.1,1681200
2020-12-28,109.51,109.685,107.64,107.93,1274720
2020-12-24,107.88,109.04,107.49,109.03,645103
2020-12-23,109.43,109.43,107.52,107.62,1535200
2020-12-22,111.37,111.37,108.13,108.98,1882100
2020-12-21,111.28,112.48,110.35,111.52,2110314
2020-12-18,113.11,113.54,111.53,111.84,1874496
2020-12-17,113.27,114.17,112.4339,113.01,1667818
2020-12-16,109.39,113.48,109.39,112.85,3202200
2020-12-15,108.32,110.6,107.92,110.05,2441559
2020-12-14,107.88,108.25,106.305,107.68,2760542
2020-12-11,107.0983,108.21,106.03,106.54,1697375
2020-12-10,110.66,110.75,107.79,108.29,2434600
2020-12-09,110.41,111.89,109.78,110.86,1898000
2020-12-08,111.26,111.865,109.06,109.44,1624508
2020-12-07,112.33,112.65,111.2,111.95,2024643
2020-12-04,111.57,113.48,110.77,112.55,1610476
2020-12-03,110.89,114.32,110.7,112.12,2252900
2020-12-02,111.67,112.65,110.94,111.63,1502300
2020-12-01,110.05,112.42,109.22,112.39,2039500
2020-11-30,109.35,109.82,107.89,109.24,2186246
2020-11-27,111.1,111.41,109.14,109.9,1146852
2020-11-25,111.06,112.93,109.9,111.73,3665600
2020-11-24,107.38,112.78,104.98,111.35,9476600
2020-11-23,95.72,98.06,95.23,97.61,2787650
2020-11-20,94.29,96.92,94.02,94.97,1680800
2020-11-19,93.49,94.8,92.5,94.55,1605100
2020-11-18,94.29,95.52,93.6,93.64,1444173
2020-11-17,94.55,95.15,93.48,93.82,1529000
2020-11-16,95.81,95.98,94.95,95.61,1707533
2020-11-13,93.42,95.05,93.39,94.95,1084959
2020-11-12,94.71,94.71,92.59,93.19,1869500
2020-11-11,95.99,96.13,94.15,94.32,1496000
2020-11-10,94.74,96.07,93.92,94.97,1780700
2020-11-09,97.96,101.25,95.86,95.87,2405565
2020-11-06,95.74,95.99,93.59,95.53,1538800
2020-11-05,96.13,96.34,93.95,95.1,1453700
2020-11-04,94.23,96.79,92.85,95.25,1610000
2020-11-03,92.1,94.94,91.75,93.65,1894100
2020-11-02,91.53,91.57,89.79,91.12,1228751
2020-10-30,90.98,91.51,89.14,90.32,1429300
2020-10-29,90.32,92.57,90.15,91.91,1525100
2020-10-28,91.81,92.88,90.52,90.58,1598400
2020-10-27,92.59,94.05,92.59,92.81,969170
2020-10-26,94.9,94.91,92.03,92.53,1362614
2020-10-23,94.55,96.05,93.81,95.46,1794228
2020-10-22,94.7,95.18,93.58,93.84,1632100
2020-10-21,95.7,95.93,94.64,94.84,1169200
2020-10-20,95.7,96.89,95.13,95.41,1755500
2020-10-19,96.06,96.56,94.75,95.0,1300588
2020-10-16,96.41,97.12,95.15,95.56,1866900
2020-10-15,94.56,96.92,94.01,96.54,1486500
2020-10-14,96.61,97.0,94.48,95.11,1165473
2020-10-13,95.48,97.68,95.28,96.63,1746103
2020-10-12,94.28,96.91,93.765,95.56,2475261
2020-10-09,92.07,94.73,91.82,93.64,1794109
2020-10-08,91.0,91.81,90.4307,91.53,1392732
2020-10-07,89.84,90.93,89.45,90.55,1747100
2020-10-06,90.61,92.45,88.12,88.68,1904200
2020-10-05,91.22,91.6942,89.45,89.98,1925580
2020-10-02,90.56,91.92,90.17,90.77,1533091
2020-10-01,91.64,93.38,91.6,91.87,1960060
2020-09-30,90.28,92.32,90.26,91.34,1915700
2020-09-29,90.92,91.2,89.81,89.87,958496
2020-09-28,90.25,91.3845,89.75,90.94,1684564
2020-09-25,87.14,89.91,87.14,89.42,1888316
2020-09-24,86.83,89.07,86.6686,88.44,1694718
2020-09-23,86.98,88.11,86.565,86.73,1678168
2020-09-22,86.22,87.04,85.71,86.82,1103263
2020-09-21,87.08,87.67,84.41,85.97,1648287
2020-09-18,89.15,89.15,87.49,88.01,1873092
2020-09-17,88.08,89.01,87.73,88.58,1419698
2020-09-16,89.1,90.08,88.31,89.26,1471873
2020-09-15,88.99,89.8076,88.29,88.69,1081030
2020-09-14,90.83,90.8589,87.89,88.94,1890297
2020-09-11,90.49,90.8,89.85,90.04,1676436
2020-09-10,91.52,91.98,89.745,90.26,1832048
2020-09-09,89.65,92.515,89.36,91.77,1946331
2020-09-08,90.58,90.95,88.585,89.87,2709545
2020-09-04,92.96,92.99,90.05,91.23,2229733
2020-09-03,95.23,95.46,92.43,92.94,1870552
2020-09-02,94.06,94.97,93.76,94.69,1620402
2020-09-01,96.09,96.22,93.52,93.68,2800288
2020-08-31,94.5,96.61,93.92,96.18,2251388
2020-08-28,97.29,97.29,93.65,94.71,4411733
2020-08-27,99.52,101.85,96.54,96.71,8483162
2020-08-26,102.59,104.6373,102.2801,104.31,2602658
2020-08-25,102.6,102.85,100.835,102.58,1464906
2020-08-24,101.01,102.56,99.74,102.29,1761352
2020-08-21,98.7,100.4889,98.23,100.3,1270895
2020-08-20,99.27,99.6438,98.6926,98.91,1030644
2020-08-19,100.05,100.52,99.04,99.76,1608884
2020-08-18,101.335,101.48,97.81,99.24,1503779
2020-08-17,99.66,101.8826,99.64,100.89,1510495
2020-08-14,97.21,99.64,96.7401,98.83,1731102
2020-08-13,98.57,98.835,96.86,97.3,1755457
2020-08-12,96.82,99.4,95.87,99.21,1450220
2020-08-11,97.88,98.5151,95.9132,96.49,1136651
2020-08-10,96.49,97.93,96.25,97.75,1658368
2020-08-07,96.17,97.03,95.64,96.49,1195801
2020-08-06,95.75,95.9251,94.86,95.6,979365
2020-08-05,96.3192,97.105,95.44,95.78,922436
2020-08-04,94.72,96.24,94.72,95.93,1631056
2020-08-03,94.01,94.63,92.74,94.52,1404294
2020-07-31,93.71,93.71,92.23,93.35,1537577
2020-07-30,94.16,95.11,93.79,93.95,1534772
2020-07-29,95.87,96.59,94.75,95.02,1392729
2020-07-28,95.31,95.9,94.54,95.64,1246204
2020-07-27,95.9839,95.9839,94.085,95.41,1127701
2020-07-24,96.41,97.25,95.34,95.63,1096931
2020-07-23,96.98,97.27,95.93,96.31,1543081
2020-07-22,95.52,97.28,95.051,97.1,1144653
2020-07-21,97.23,98.31,95.67,96.07,1633878
2020-07-20,97.18,98.88,95.47,97.1,1974237
2020-07-17,96.7738,96.91,95.41,95.45,768860
2020-07-16,97.25,99.0,96.12,96.59,415047
2020-07-15,94.97,95.99,94.59,95.71,1997000
2020-07-14,91.6,94.51,91.49,94.45,200309
2020-07-13,92.49,94.11,91.76,92.3,317069
2020-07-10,90.9538,91.93,90.48,91.87,169673
2020-07-09,91.3,92.0,89.66,91.33,244917
2020-07-08,90.2,90.48,89.68,90.27,214766
2020-07-07,89.7004,91.041,88.96,90.5,319164
2020-07-06,94.989,95.24,89.27,89.77,323082
2020-07-02,94.34,94.34,92.9,93.64,364255
2020-07-01,92.18,93.84,92.04,93.39,2399000
2020-06-30,92.82,93.53,90.65,92.68,3581900
2020-06-29,92.93,94.81,91.43,93.67,1880192
2020-06-26,93.48,96.2,92.11,92.62,4310400
2020-06-25,90.0,93.23,88.7025,93.21,751236
2020-06-24,89.38,90.33,87.58,90.16,879521
2020-06-23,90.76,90.95,89.18,89.74,438148
2020-06-22,88.27,90.36,87.88,90.3,375813
2020-06-19,91.125,91.94,88.5053,88.795,435062
2020-06-18,88.91,90.93,88.6,90.74,689154
2020-06-17,91.57,91.82,88.99,89.08,502232
2020-06-16,91.0,91.76,89.47,91.09,522919
2020-06-15,86.01,89.75,85.51,89.17,505146
2020-06-12,89.825,90.25,86.13,87.77,677810
2020-06-11,90.47,90.94,88.85,89.07,733809
2020-06-10,92.66,93.0,91.04,91.46,585244
2020-06-09,93.74,93.96,92.265,92.57,712189
2020-06-08,92.73,94.04,91.81,93.74,825365
2020-06-05,94.8,95.25,92.34,92.9,3719800
2020-06-04,94.26,95.96,92.24,93.26,2674800
2020-06-03,97.73,98.08,94.54,94.57,2375600
2020-06-02,96.75,99.61,96.75,96.98,3926000
2020-06-01,97.41,98.0,95.58,96.25,3060400
2020-05-29,97.02,99.31,96.06,97.87,3934700
2020-05-28,96.86,99.82,95.05,97.64,13547000
2020-05-27,87.0,88.17,85.88,87.53,4501500
2020-05-26,84.15,85.43,83.58,85.2,3583900
2020-05-22,81.41,82.41,79.78,81.7,2403600
2020-05-21,79.16,81.26,78.83,81.22,1643000
2020-05-20,80.6,81.63,79.51,79.61,2380800
2020-05-19,78.73,81.2,78.71,79.99,2072900
2020-05-18,77.41,78.89,76.88,78.59,2976300
2020-05-15,75.28,76.21,74.65,75.07,1974900
2020-05-14,75.33,75.56,72.12,75.53,2216500
2020-05-13,76.09,76.42,73.55,74.46,1840100
2020-05-12,77.82,78.86,75.97,76.33,1895700
2020-05-11,78.0,78.58,76.63,77.91,2205600
2020-05-08,77.97,79.17,77.8,78.05,1884800
2020-05-07,75.96,78.53,75.96,76.69,2598700
2020-05-06,77.01,78.15,75.31,75.66,1943400
2020-05-05,77.94,78.9,76.15,76.55,1712300
2020-05-04,76.94,77.96,76.33,77.82,1529700
2020-05-01,78.5,79.39,77.0,77.39,1665400
2020-04-30,80.23,80.58,78.32,79.67,2299900
2020-04-29,81.87,82.0,79.68,80.86,1540000
2020-04-28,81.71,82.89,79.83,80.79,1984900
2020-04-27,75.29,81.7,75.11,80.27,3092100
2020-04-24,75.65,75.8,74.28,74.54,2541900
2020-04-23,76.22,76.49,74.06,74.93,4372700
2020-04-22,79.05,79.11,77.11,77.25,1466700
2020-04-21,77.98,78.73,76.47,77.74,2556300
2020-04-20,80.24,80.85,79.0,79.19,1832200
2020-04-17,81.82,81.97,79.26,81.73,2609500
2020-04-16,77.68,82.19,77.68,80.43,2057000
2020-04-15,78.52,78.61,76.58,78.09,1726100
2020-04-14,77.13,80.43,77.02,79.88,2313600
2020-04-13,77.22,77.43,75.01,76.17,2374300
2020-04-09,79.64,80.72,76.97,77.56,2498300
