datetime,open,high,low,close,volume
2021-01-29,117.08,118.42,116.07,116.37,315792
2021-01-28,120.08,122.45,117.44,118.0,1981840
2021-01-27,122.58,123.2,118.61,118.94,1397000
2021-01-26,126.43,126.5,123.45,124.25,744500
2021-01-25,124.94,126.89,123.9837,125.07,847527
2021-01-22,124.29,125.84,123.43,125.32,615200
2021-01-21,125.91,126.11,124.45,124.98,526600
2021-01-20,125.93,126.4,124.86,126.01,747800
2021-01-19,126.37,127.44,125.33,125.51,818042
2021-01-15,126.01,126.05,123.51,125.38,598800
2021-01-14,127.72,128.36,126.41,126.94,791600
2021-01-13,129.19,129.56,127.12,127.12,1156200
2021-01-12,128.88,129.92999,128.23,129.60001,862400
2021-01-11,128.11,129.62,128.11,128.78,329686
2021-01-08,129.52,130.41,127.55,129.45,549500
2021-01-07,128.03,129.72,126.15,129.45,618800
2021-01-06,125.83,128.8,125.15,127.56,760000
2021-01-05,123.59,125.21,123.12,124.06,572300
2021-01-04,126.22,126.75,122.65,123.34,722391
2020-12-31,124.4,126.44,123.72,126.25,549000
2020-12-30,123.55,125.28,123.55,124.43,458100
2020-12-29,124.67,125.62,122.45,123.51,626800
2020-12-28,125.87,126.2,124.21,124.28,458790
2020-12-24,123.16,124.07,122.717,124.02,168917
2020-12-23,124.26,125.36,123.63,123.64,1218800
2020-12-22,123.98,124.71,123.09,123.44,654000
2020-12-21,121.1,124.63,121.04,123.87,580334
2020-12-18,124.02,125.42,122.56,123.79,747823
2020-12-17,121.65,123.93,120.5,123.71,740110
2020-12-16,122.38,122.51,120.73,120.87,503200
2020-12-15,120.18,122.28,120.18,121.85,319441
2020-12-14,122.7,122.8999,119.985,120.13,488978
2020-12-11,120.421,121.9,120.421,121.38,336810
2020-12-10,123.06,123.1,120.12,121.37,658500
2020-12-09,122.23,123.54,121.61,123.24,604400
2020-12-08,121.67,122.83,121.1,121.96,430389
2020-12-07,123.27,123.3,121.52,122.24,488151
2020-12-04,121.73,123.65,121.73,123.61,548433
2020-12-03,122.58,123.38,120.93,121.14,691500
2020-12-02,122.16,123.4,121.56,122.29,981000
2020-12-01,123.61,124.9,122.53,122.64,741800
