datetime,open,high,low,close,volume
2021-01-29,372.38,376.81,370.29999,370.29999,214191
2021-01-28,378.23999,378.23999,366.5,371.60001,749169
2021-01-27,376.87,381.0,371.04001,376.91,635700
2021-01-26,378.5,380.98999,374.0,378.84,581500
2021-01-25,381.23999,384.0,376.64999,378.48999,418826
2021-01-22,381.57001,381.57001,375.85999,380.37,341400
2021-01-21,379.0,382.73999,376.0,381.12,500600
2021-01-20,373.5,379.23001,371.0,379.0,412200
2021-01-19,377.89999,379.61499,372.57999,372.64999,510426
2021-01-15,374.79999,377.23001,371.34,375.23001,494800
2021-01-14,385.42999,385.42999,373.64001,373.79999,655300
2021-01-13,385.0,387.89001,381.82001,381.85999,439500
2021-01-12,391.91,394.31,384.20001,385.5,561900
2021-01-11,389.51001,397.39999,387.95001,390.54001,610611
2021-01-08,382.28,388.94,381.19,388.82999,491500
2021-01-07,378.10999,387.29001,378.10999,383.19,528900
2021-01-06,378.01001,385.70001,377.42001,384.87,629700
2021-01-05,378.0,382.22,377.81,381.34,547100
2021-01-04,383.0,383.29501,377.01999,379.5,623001
2020-12-31,384.60001,385.39999,379.62,383.45999,425700
2020-12-30,385.70001,389.88,383.62,384.62,491900
2020-12-29,399.04001,400.0,382.42999,384.35999,928800
2020-12-28,400.10999,403.62,396.535,400.17999,514305
2020-12-24,402.64001,404.37,395.66,396.73001,155782
2020-12-23,398.0,404.57001,396.17999,403.75,566400
2020-12-22,396.37,398.72,392.70999,398.72,438500
2020-12-21,392.67999,398.47,389.39999,397.17999,506168
2020-12-18,394.64001,398.10999,392.5,396.41,551613
2020-12-17,386.0,395.69,384.465,395.06,741960
2020-12-16,386.39999,387.76001,381.70001,382.51999,515000
2020-12-15,383.29999,389.04999,383.27499,384.69,426987
2020-12-14,382.0,387.57999,381.51001,383.23001,496517
2020-12-11,385.76501,386.87,382.035,383.37,295916
2020-12-10,382.87,386.69,379.42001,386.04999,423800
2020-12-09,387.32999,390.0,384.10999,384.97,391100
2020-12-08,385.19,389.04999,383.98999,386.67999,287854
2020-12-07,383.38,392.04001,382.42001,384.54999,546244
2020-12-04,384.39999,385.87,382.55499,382.98999,297666
2020-12-03,387.95001,391.48001,383.07999,383.38,393600
2020-12-02,393.0,394.31,386.76999,387.82999,442100
2020-12-01,391.0,393.26999,386.89999,391.75,605600
2020-11-30,388.57999,393.07999,386.10001,392.57001,845995
2020-11-27,387.0,392.48999,385.01999,390.47,283100
2020-11-25,384.78,385.41,380.91,383.44,367900
2020-11-24,387.35999,387.35999,379.51999,383.13,662200
2020-11-23,391.0,393.98999,385.17999,387.20999,483877
2020-11-20,386.87,390.89999,384.5,389.56,395600
2020-11-19,384.31,387.67999,383.01001,385.04001,392600
2020-11-18,385.66,387.29999,382.31,382.45999,382000
2020-11-17,385.45999,391.31,384.41,384.47,381400
2020-11-16,384.29001,392.64999,383.01001,384.82001,651073
2020-11-13,390.75,393.79001,387.70499,389.57001,286060
2020-11-12,394.63,401.0,386.85001,390.54999,608000
2020-11-11,383.76001,396.14001,383.04001,394.67001,644100
2020-11-10,375.0,386.92001,370.26001,381.67001,811200
2020-11-09,387.20999,389.495,369.22,376.54999,1336076
2020-11-06,394.01001,402.32999,390.51001,399.85001,477600
2020-11-05,393.84,398.25,390.88,396.22,616300
2020-11-04,386.72,394.47,384.0,392.51999,473500
2020-11-03,379.62,386.35001,377.12,383.23999,467200
2020-11-02,377.79001,380.35001,370.565,376.03,558315
2020-10-30,385.0,386.76001,373.42999,378.32001,689700
2020-10-29,386.10999,392.75,382.19,386.88,401553
2020-10-28,394.85001,394.85001,383.64001,384.0,713700
2020-10-27,396.98999,398.70999,392.54001,396.95001,379747
2020-10-26,393.0,396.73999,389.54999,394.51001,453474
2020-10-23,391.47711,394.54001,386.32999,394.10001,401970
2020-10-22,390.0,393.45999,387.17999,391.73999,442200
2020-10-21,393.67001,393.70999,388.81,389.95001,522600
2020-10-20,394.57001,397.81,391.76999,394.41,487100
2020-10-19,400.73001,400.73001,393.54999,394.89001,380462
2020-10-16,401.72,403.67001,396.39999,399.45001,530600
2020-10-15,402.60999,405.63,400.20999,401.84,664500
2020-10-14,408.25,411.40289,402.59,403.20001,796541
2020-10-13,392.85999,407.88,392.7298,407.73001,1179804
2020-10-12,392.0,395.94,388.01999,392.57999,1194955
2020-10-09,403.07001,404.5,386.64001,390.95999,2329497
2020-10-08,405.0,410.92001,394.89999,400.92999,3660168
2020-10-07,429.79999000000004,433.45000999999996,425.76999000000006,431.04999000000004,943800
2020-10-06,426.54999000000004,433.51999000000006,425.37,427.53,645200
2020-10-05,433.66,435.57999,423.98999000000003,424.94,1001218
2020-10-02,425.8313,435.14000999999996,424.505,433.87,357398
2020-10-01,427.10999000000004,430.91,424.755,426.94,479550
2020-09-30,425.0,428.0,421.76999000000006,425.28,464800
2020-09-29,421.48000999999994,428.34,420.64499000000006,423.45999000000006,335154
2020-09-28,416.44,423.10999000000004,414.88,421.54000999999994,380727
2020-09-25,412.04999,418.28,410.51001,418.07999,267126
2020-09-24,413.23001,417.54999,410.0,413.19,410438
2020-09-23,414.405,421.01999000000006,409.97,413.54001,511193
2020-09-22,404.79001,414.91501,400.89999,413.70001,492579
2020-09-21,395.07001,405.95999,392.12,405.01001,580255
2020-09-18,392.73001,398.04999,389.29501,397.84,579639
2020-09-17,386.685,395.44,385.90398999999996,395.01001,460268
2020-09-16,390.57001,394.01001,385.98999,386.38,351319
2020-09-15,390.01001,394.715,387.39001,389.37,368329
2020-09-14,395.72,397.42999,386.76999,388.51999,474779
2020-09-11,401.8855,401.8855,392.94,394.56,654056
2020-09-10,383.26999,395.17001,383.125,388.98001,599291
2020-09-09,382.33499,387.66,380.73251,381.89999,529919
2020-09-08,379.75,386.32901,376.10999,376.35999,622092
2020-09-04,397.0,401.20001,376.33011,381.81,767612
2020-09-03,403.01501,403.31,389.76001,397.64999,718414
2020-09-02,409.89999,413.1503,402.62,403.60001,544150
2020-09-01,408.25,411.72,405.64999,410.0,411891
2020-08-31,418.07999,418.28,407.16,408.97,475597
2020-08-28,414.41,419.28,412.23001,416.20999,274158
2020-08-27,418.5,422.95151,416.29501,416.32999,312642
2020-08-26,418.89001,419.715,414.92001,418.14999,295399
2020-08-25,418.54999,419.70999000000006,411.06,419.35001,300250
2020-08-24,422.94,424.5,416.97,418.98001,332761
2020-08-21,419.54999000000004,423.54999000000004,416.95499,419.70000999999996,310955
2020-08-20,413.79001,419.655,412.82001,418.35001,443513
2020-08-19,414.0,416.29999,408.01999,414.23999,578173
2020-08-18,410.0,413.73001,406.20001,411.45001,380842
2020-08-17,401.0,409.76001,401.0,409.0,653634
2020-08-14,399.70999,400.89999,393.66501,399.0,301165
2020-08-13,394.78,399.39999,392.26001,399.07999,337933
2020-08-12,390.64001,395.87,388.03,392.76001,376397
2020-08-11,384.01001,391.17999,381.91501,388.70999,419770
2020-08-10,390.76999,391.91501,384.41,385.85001,328478
2020-08-07,392.54001,393.66,385.01999,389.13,418511
2020-08-06,393.405,395.13,391.0,392.5,271078
2020-08-05,390.13,394.5,388.60001,393.44,447008
2020-08-04,384.27499,392.03,383.54001,391.78,399247
2020-08-03,388.04999,393.95999,382.0,387.01999,521206
2020-07-31,385.505,387.12,378.04001,386.76999,475767
2020-07-30,383.5,386.04001,379.69,384.57999,650370
2020-07-29,386.04999,389.151,384.42001,384.81,389540
2020-07-28,389.42999,390.82001,384.85001,385.47,433664
2020-07-27,390.60999,394.89001,387.10999,389.57001,459755
2020-07-24,379.5,387.20001,376.57999,387.07001,509405
2020-07-23,389.66,390.54001,377.89499,381.14001,566361
2020-07-22,388.89001,395.0,387.405,389.14999,516001
2020-07-21,394.73001,394.87,386.57001,387.70001,489231
2020-07-20,391.70999,394.595,385.14999,391.37,633781
2020-07-17,407.5,409.245,388.01001,390.20999,713561
2020-07-16,404.54999,422.14999000000006,403.75,407.51001,238527
2020-07-15,400.44,417.34,399.64301,415.01001,178755
2020-07-14,400.54001,405.01001,390.63,401.92999,189406
2020-07-13,403.58621,416.90051,401.23999,401.5,133457
2020-07-10,386.98999,398.91,383.72,398.13,126389
2020-07-09,386.505,387.09,378.38,385.67001,93288
2020-07-08,382.16,385.37,381.54501,384.34,110307
2020-07-07,384.33499,388.73001,380.88,381.13,190245
2020-07-06,378.56,387.01001,378.185,385.0,185831
2020-07-02,376.39471000000003,378.48999,372.17999,373.97,121826
2020-07-01,371.42001,377.01999,369.60001,375.70999,426981
