datetime,open,high,low,close,volume
2021-01-29,39.13,40.23,38.53,39.62,1031922
2021-01-28,39.91,40.42,39.28,39.48,1838800
2021-01-27,40.5,41.2,39.91,40.11,2794500
2021-01-26,40.02,41.13,39.94,40.84,2255400
2021-01-25,40.35,40.865,40.03,40.09,1443648
2021-01-22,39.83,40.25,39.7,40.24,1923900
2021-01-21,39.79,40.06,39.47,40.01,2090800
2021-01-20,38.58,40.02,38.36,39.9,2415200
2021-01-19,39.17,39.42,38.54,38.69,1647754
2021-01-15,38.66,38.92,38.06,38.9,2195900
2021-01-14,38.79,38.86,38.34,38.58,1484400
2021-01-13,38.19,38.71,38.17,38.64,1486000
2021-01-12,38.21,38.53,37.75,38.16,1330600
2021-01-11,38.57,38.867,38.18,38.34,2309994
2021-01-08,38.41,39.13,38.33,38.75,1297800
2021-01-07,38.25,38.41,37.87,38.37,1722400
2021-01-06,38.25,38.35,37.61,38.18,2332400
2021-01-05,38.45,38.73,38.11,38.44,2390100
2021-01-04,40.04,40.06,38.4,38.41,2476512
2020-12-31,39.49,40.01,39.09,39.97,1370400
2020-12-30,39.48,39.88,39.25,39.45,1162500
2020-12-29,39.92,40.15,39.41,39.44,1400500
2020-12-28,39.4,39.8,39.11,39.72,1321383
2020-12-24,38.75,39.32,38.75,39.3,582558
2020-12-23,39.5,39.74,38.72,38.74,1792800
2020-12-22,39.02,39.47,38.92,39.41,2055500
2020-12-21,38.65,39.07,38.35,38.99,1867672
2020-12-18,40.45,40.45,38.77,39.23,1788515
2020-12-17,40.21,40.58,39.9,40.44,2248663
2020-12-16,39.61,40.28,39.46,39.85,2431000
2020-12-15,38.98,39.58,38.41,39.58,2021740
2020-12-14,38.62,39.36,38.37,38.71,2328802
2020-12-11,38.25,38.5,37.97,38.35,1409539
2020-12-10,38.21,38.48,38.03,38.24,1479500
2020-12-09,38.54,38.56,37.87,38.17,1511600
2020-12-08,38.7,38.75,38.38,38.52,1241954
2020-12-07,38.5,38.75,38.18,38.63,1356801
2020-12-04,38.21,38.66,38.04,38.56,1207411
2020-12-03,37.59,38.03,37.54,37.8,1988800
2020-12-02,38.42,38.76,37.64,37.73,1403400
2020-12-01,38.29,38.8,38.09,38.6,2054500
2020-11-30,38.42,38.5,37.71,38.06,3943561
2020-11-27,38.69,38.69,38.19,38.39,553700
2020-11-25,38.12,38.87,38.01,38.71,1854200
2020-11-24,38.73,38.98,37.94,37.98,2097400
2020-11-23,38.52,38.92,38.3,38.44,1774986
2020-11-20,38.67,38.84,38.22,38.41,3809500
2020-11-19,38.63,38.94,38.4,38.69,3491900
2020-11-18,39.71,40.08,38.79,38.79,1184979
2020-11-17,39.67,40.2,39.38,39.85,1293300
2020-11-16,40.86,40.99,39.56,39.89,1497800
2020-11-13,40.05,40.415,39.77,40.32,1325483
2020-11-12,40.28,40.73,39.98,40.37,1911000
2020-11-11,40.35,40.62,39.74,40.33,1915600
2020-11-10,38.71,39.83,38.48,39.57,2974100
2020-11-09,42.76,43.45,38.5,38.66,3169188
2020-11-06,40.72,41.02,40.28,40.78,1663900
2020-11-05,41.22,41.32,40.56,40.59,3251500
2020-11-04,40.64,41.35,40.3,40.93,2602300
2020-11-03,39.37,40.54,39.07,40.27,2050700
2020-11-02,38.37,39.22,38.1,39.04,2182473
2020-10-30,37.8,38.27,37.55,37.99,2328200
2020-10-29,37.2,38.29,36.8,37.83,1750200
2020-10-28,37.06,37.91,36.8,37.16,2400100
2020-10-27,38.09,38.52,37.74,37.74,946349
2020-10-26,38.59,38.7,38.0,38.22,951860
2020-10-23,38.79,39.12,38.625,38.96,568744
2020-10-22,38.56,38.94,38.44,38.67,878000
2020-10-21,38.71,38.86,38.38,38.53,1473100
