datetime,open,high,low,close,volume
2021-01-29,92.01,94.58,91.0501,93.93,2049924
2021-01-28,92.16,93.7,91.45,91.48,1999600
2021-01-27,92.35,94.16,91.33,91.71,3002300
2021-01-26,92.79,93.45,91.86,92.92,2259000
2021-01-25,90.01,93.07,89.79,92.91,2890763
2021-01-22,89.82,90.67,89.46,90.29,1917500
2021-01-21,90.5,90.77,89.8,90.18,2254700
2021-01-20,90.3,91.21,89.5,90.78,2331300
2021-01-19,92.59,92.95,90.35,90.38,2353250
2021-01-15,90.91,92.38,90.6,92.11,2913500
2021-01-14,91.56,91.96,90.33,91.66,3097300
2021-01-13,88.98,92.37,88.95,91.56,3589500
2021-01-12,89.14,89.56,87.62,88.93,2860000
2021-01-11,89.64,90.42,88.53,89.29,2189500
2021-01-08,89.95,90.4,89.42,90.05,2752100
2021-01-07,91.15,91.46,89.74,89.89,2988400
2021-01-06,89.95,91.77,89.87,90.91,2822400
2021-01-05,89.79,90.19,89.04,89.75,2546900
2021-01-04,91.78,92.13,89.2,89.71,2277433
2020-12-31,90.61,91.64,90.27,91.56,1638800
2020-12-30,89.92,91.08,89.92,90.56,1838700
2020-12-29,90.53,91.04,89.68,89.86,2044400
2020-12-28,90.16,90.66,89.73,90.25,1454228
2020-12-24,89.22,89.72,88.8,89.67,733500
2020-12-23,89.98,90.75,89.02,89.04,1956500
2020-12-22,89.09,89.57,88.6,89.53,2831600
2020-12-21,89.81,90.0,88.18,89.1,3977786
2020-12-18,91.52,91.5973,90.25,90.33,3075379
2020-12-17,91.355,91.83,91.0,91.53,2419255
2020-12-16,92.39,92.98,90.6,90.61,4056600
2020-12-15,91.26,92.84,90.9,92.12,2452909
2020-12-14,92.38,94.08,91.1,91.13,3425866
2020-12-11,91.2,91.89,90.9,91.55,2105146
2020-12-10,91.69,92.07,90.83,91.76,3628500
2020-12-09,91.49,91.74,90.29,91.39,2998200
2020-12-08,91.86,92.01,90.4,91.51,1906830
2020-12-07,90.7,92.3075,90.55,91.87,1840063
2020-12-04,92.2,92.65,90.1383,91.16,2807047
2020-12-03,93.48,93.7,92.1,92.35,2286100
2020-12-02,93.1,93.91,91.91,93.87,2173900
2020-12-01,93.56,94.64,93.17,93.26,2947300
2020-11-30,94.13,94.25,91.94,92.66,4576913
2020-11-27,96.15,96.15,94.1,94.6,1293800
2020-11-25,95.95,96.24,94.84,96.15,1959300
2020-11-24,94.47,96.33,93.9,96.26,4350900
2020-11-23,92.52,93.43,92.01,93.33,3795518
2020-11-20,91.7,92.68,91.38,92.58,4213800
2020-11-19,91.34,91.76,90.01,91.7,3368200
2020-11-18,93.59,93.9588,91.46,91.53,2451560
2020-11-17,94.3,95.0,92.83,92.92,3178500
2020-11-16,96.05,96.05,94.47,95.01,2840694
2020-11-13,94.705,95.36,94.6,94.99,1281209
2020-11-12,95.5,95.91,93.6,94.25,3119000
2020-11-11,97.68,98.66,97.04,97.31,2703300
2020-11-10,95.72,97.27,94.3,97.14,3144000
2020-11-09,96.81,98.88,95.11,95.4,4148183
2020-11-06,94.5,95.53,93.34,93.44,2380500
2020-11-05,94.82,96.96,93.97,94.22,2531900
2020-11-04,95.07,96.73,93.55,93.55,2883700
2020-11-03,94.86,96.56,94.43,95.52,3512400
2020-11-02,92.93,94.2,92.25,93.82,2873916
2020-10-30,91.66,93.0,91.23,92.11,3304800
2020-10-29,90.72,93.19,89.62,92.24,3424900
2020-10-28,91.79,93.09,90.83,90.98,3658800
2020-10-27,93.19,93.917,92.62,93.06,1897390
2020-10-26,91.94,93.5,91.47,93.18,2605418
2020-10-23,94.0,94.37,90.9721,92.81,3873764
2020-10-22,92.59,93.91,92.06,93.89,4162200
2020-10-21,91.96,92.98,91.56,92.51,2232700
2020-10-20,92.11,92.8,91.8,92.06,2243100
2020-10-19,92.12,92.87,91.75,92.07,2283744
2020-10-16,92.18,93.06,91.73,92.37,2811200
2020-10-15,91.07,92.82,90.75,91.96,2170600
2020-10-14,92.9,93.48,92.025,92.66,1687426
2020-10-13,92.57,93.26,91.3,92.9,2148682
2020-10-12,93.19,93.85,92.59,93.11,2741251
2020-10-09,93.15,93.92,92.04,93.33,2506903
2020-10-08,91.23,93.43,90.9,93.16,2824784
2020-10-07,91.61,92.13,90.7,91.3,2480000
2020-10-06,91.72,92.07,90.46,90.77,2993500
2020-10-05,90.98,92.15,89.9,91.74,2871151
2020-10-02,88.69,92.15,88.69,91.55,5364120
2020-10-01,88.05,90.36,87.61,90.04,5574202
2020-09-30,88.0,89.49,86.43,88.56,18801900
2020-09-29,83.06,83.37,82.045,82.41,1655654
2020-09-28,82.97,84.08,82.66,82.87,2396941
2020-09-25,81.21,82.59,80.95,82.48,2352375
2020-09-24,81.265,82.41,80.4286,81.66,2286832
2020-09-23,82.92,83.13,81.23,81.26,1740530
2020-09-22,82.35,84.005,82.255,82.69,2301034
2020-09-21,82.06,82.57,81.1694,82.57,2481381
2020-09-18,84.36,84.7,82.9,82.92,2861681
2020-09-17,84.1331,84.78,83.64,84.59,2531942
2020-09-16,84.64,85.48,84.57,84.84,2366489
2020-09-15,84.88,85.87,83.93,84.46,2160134
2020-09-14,83.66,84.93,83.63,84.38,2872851
2020-09-11,82.08,83.41,81.75,83.05,2720356
2020-09-10,82.23,82.7311,81.4164,82.01,3144405
2020-09-09,82.42,83.89,81.92,82.59,3838475
2020-09-08,81.24,81.24,79.39,80.73,2575263
2020-09-04,81.12,81.82,79.93,80.96,2412835
2020-09-03,81.49,82.7,80.35,81.14,2716575
2020-09-02,79.231,81.9,78.98,81.46,3216658
2020-09-01,79.8,80.175,78.98,79.19,2682601
2020-08-31,79.61,81.53,79.61,80.29,2694055
2020-08-28,79.99,79.99,78.95,79.69,2724113
2020-08-27,79.74,80.37,79.22,79.57,2576172
2020-08-26,80.5,80.62,79.31,79.55,2972711
2020-08-25,81.42,81.5,80.43,80.86,2088043
2020-08-24,81.39,81.65,80.5,81.47,2180693
2020-08-21,81.07,81.33,80.28,80.98,2369953
2020-08-20,81.39,81.61,80.56,81.06,2391633
2020-08-19,81.65,82.1855,81.46,81.68,2219923
2020-08-18,82.61,82.77,81.5,81.67,2189296
2020-08-17,82.29,83.11,81.6801,82.61,2204383
2020-08-14,82.74,82.896,81.9328,82.15,1674253
2020-08-13,83.11,83.23,82.0,82.74,2797945
2020-08-12,84.2,84.775,83.84,84.31,3043702
2020-08-11,84.96,85.0914,83.465,83.675,3347295
2020-08-10,86.55,87.18,84.5257,84.76,3753446
2020-08-07,84.245,86.68,83.68,86.6,3709626
2020-08-06,83.5,84.39,82.6725,84.22,2706781
2020-08-05,84.66,84.86,83.28,83.51,2124945
2020-08-04,83.68,84.97,83.34,84.7,2588788
2020-08-03,84.5396,84.74,83.11,83.82,2219533
2020-07-31,84.1609,84.81,83.6,84.75,2419720
2020-07-30,84.17,84.58,83.49,84.56,2298019
2020-07-29,84.61,85.05,83.84,84.99,2133870
2020-07-28,81.21,84.98,81.21,84.61,4519642
2020-07-27,82.64,82.64,81.09,81.3,3738132
2020-07-24,84.35,84.9,82.621,82.78,2734262
2020-07-23,84.15,84.39,83.48,83.99,1983092
2020-07-22,82.0,84.49,81.54,84.22,2661987
2020-07-21,81.12,82.77,81.1,82.35,3513096
2020-07-20,82.05,82.23,80.946,81.09,2175500
2020-07-17,81.655,82.63,81.459,82.4,2274376
2020-07-16,80.43,81.338,80.43,81.05,432306
2020-07-15,81.7,82.63,80.32,80.43,281439
2020-07-14,81.39,82.47,81.39,81.69,266739
2020-07-13,81.33,81.96,80.97,81.42,176800
2020-07-10,79.82,81.57,79.76,81.34,356246
2020-07-09,81.32,81.33,79.11,79.75,342125
2020-07-08,80.86,81.95,80.33,81.45,265850
2020-07-07,79.17,81.18,79.15,80.84,694805
2020-07-06,80.19,81.86,79.13,79.79,481913
2020-07-02,82.6795,82.89,81.44,81.84,414179
2020-07-01,79.97,82.38,79.7625,81.93,2636017
2020-06-30,80.09,80.48,78.93,79.89,4890000
2020-06-29,79.57,80.25,78.52,80.25,2884163
2020-06-26,79.35,79.92,77.58,78.93,5320900
2020-06-25,80.26,80.26,78.7881,79.44,1050552
2020-06-24,81.1,81.32,79.82,80.46,886186
2020-06-23,83.45,83.5,81.5,81.86,992896
2020-06-22,82.19,83.55,81.32,82.52,808593
2020-06-19,86.84,86.9292,82.39,82.63,2274937
2020-06-18,85.85,86.38,85.01,85.77,916676
2020-06-17,87.59,87.59,85.48,86.16,747225
2020-06-16,88.88,89.47,86.43,86.98,1088003
2020-06-15,85.0,87.4,84.3,86.96,1386039
2020-06-12,88.99,88.99,85.73,86.74,980560
2020-06-11,88.755,89.01,86.34,87.11,1142747
2020-06-10,90.41,90.94,89.505,90.22,727985
2020-06-09,91.0,91.01,88.9351,90.32,742161
2020-06-08,89.5,92.2,89.14,91.91,650053
2020-06-05,89.4,91.56,89.15,89.49,3353300
2020-06-04,88.8,89.38,87.48,88.44,3640800
2020-06-03,88.33,89.65,88.0,89.23,2449600
2020-06-02,87.82,88.1,86.6,87.67,3446800
2020-06-01,85.84,87.58,85.23,87.44,2438800
2020-05-29,85.54,86.37,84.67,85.63,4018500
2020-05-28,84.85,86.1,84.68,85.83,3957600
2020-05-27,84.12,84.2,82.69,83.72,3606600
2020-05-26,84.46,84.67,82.69,82.81,3910200
