datetime,open,high,low,close,volume
2021-01-29,17.0,17.61,16.42,16.45,5660554
2021-01-28,17.42,17.56,16.66,17.2,12285600
2021-01-27,16.46,17.57,16.11,17.21,15503300
2021-01-26,17.68,17.93,16.83,16.85,11020000
2021-01-25,17.53,17.63,16.69,17.37,14645542
2021-01-22,17.8,18.08,17.3,17.8,16632400
2021-01-21,19.91,19.99,17.48,18.39,21202300
2021-01-20,20.24,20.3,19.5,19.97,10242300
2021-01-19,19.99,20.135,19.52,20.0,10319623
2021-01-15,19.9,19.94,18.99,19.57,12572000
2021-01-14,19.27,20.77,19.25,20.28,12993500
2021-01-13,19.66,19.72,19.01,19.13,10869000
2021-01-12,18.72,19.88,18.36,19.71,17081100
2021-01-11,17.57,18.385,17.3,18.33,10664788
2021-01-08,18.79,18.85,17.92,18.11,13941700
2021-01-07,18.13,19.27,17.97,18.57,21495400
2021-01-06,17.7,18.65,17.51,18.32,89599200
2021-01-05,16.38,17.94,16.35,17.36,17602300
2021-01-04,16.0,16.43,15.71,16.13,10244254
2020-12-31,15.99,16.21,15.65,15.81,8596700
2020-12-30,15.31,16.23,15.25,16.14,8880900
2020-12-29,15.5,15.55,15.1,15.31,5648400
2020-12-28,15.5,15.65,15.24,15.35,5191285
2020-12-24,15.66,15.68,15.13,15.33,2780953
2020-12-23,15.2,15.93,14.93,15.66,6573800
2020-12-22,15.32,15.35,14.81,14.83,5470700
2020-12-21,14.66,15.49,14.34,15.3,9748944
2020-12-18,15.99,16.245,15.435,15.62,10271288
2020-12-17,16.11,16.28,15.72,16.1,9698641
2020-12-16,15.93,16.08,15.46,15.91,11101200
2020-12-15,15.58,15.83,15.221,15.78,5951822
2020-12-14,16.54,16.6,15.36,15.37,8051319
2020-12-11,16.4798,16.4798,15.935,16.16,5844314
2020-12-10,15.58,16.72,15.48,16.57,9434100
2020-12-09,16.21,16.35,15.35,15.71,11766600
2020-12-08,15.73,16.495,15.67,15.97,9670203
2020-12-07,16.41,16.52,15.9,15.95,9590211
2020-12-04,15.69,16.74,15.68,16.73,12652710
2020-12-03,14.91,15.65,14.59,15.31,10300900
