datetime,open,high,low,close,volume
2021-01-29,28.97,29.11,28.1808,28.24,1009584
2021-01-28,28.93,29.69,28.16,29.24,3145100
2021-01-27,28.62,29.21,28.2,28.47,2840900
2021-01-26,29.32,29.45,28.9,29.35,1640600
2021-01-25,29.22,29.39,28.59,29.15,2311341
2021-01-22,28.76,29.52,28.73,29.23,2523500
2021-01-21,28.95,29.94,28.71,29.3,2415900
2021-01-20,28.43,28.97,28.25,28.82,1474200
2021-01-19,28.5,28.67,28.03,28.21,2259313
2021-01-15,28.64,29.76,27.99,28.5,3412000
2021-01-14,28.46,29.1,28.29,28.97,1352500
2021-01-13,28.42,28.78,28.09,28.26,2715700
2021-01-12,28.2,28.65,27.9,28.3,2068400
2021-01-11,28.47,28.84,28.22,28.39,3441972
2021-01-08,29.2,30.14,28.92,29.6,7228700
2021-01-07,29.01,29.61,27.75,28.91,12350400
2021-01-06,25.87,27.43,25.87,26.45,4121400
2021-01-05,26.21,27.35,26.0,26.88,3705500
2021-01-04,26.95,28.14,25.56,25.92,7291270
2020-12-31,24.59,25.96,24.34,25.75,4402100
2020-12-30,23.73,24.82,23.62,24.34,4084000
2020-12-29,24.2,24.2,23.34,23.66,2841300
2020-12-28,23.21,24.54,23.08,24.06,2572915
2020-12-24,23.08,23.2,22.74,22.9,580700
2020-12-23,22.9,23.44,22.76,22.89,2516800
2020-12-22,23.01,23.09,22.65,22.69,1355800
2020-12-21,22.48,23.17,22.36,23.01,1873141
2020-12-18,23.38,23.675,22.91,23.1,1573292
2020-12-17,23.36,23.75,23.14,23.39,1569977
2020-12-16,23.43,23.46,22.88,23.06,1866800
2020-12-15,23.55,23.65,22.92,23.43,1118930
2020-12-14,24.27,24.37,23.205,23.24,1405934
2020-12-11,24.55,25.04,23.81,23.92,1742928
2020-12-10,24.34,25.16,24.33,24.85,1852500
2020-12-09,24.37,24.91,24.3,24.84,1880900
2020-12-08,24.19,24.42,24.01,24.24,1209111
2020-12-07,24.76,24.76,23.9,24.19,2770088
2020-12-04,23.81,25.46,23.8,24.96,2642059
2020-12-03,22.5,23.97,22.47,23.76,2946500
2020-12-02,21.8,22.46,21.63,22.34,1673800
2020-12-01,22.32,22.72,21.93,22.14,2371000
2020-11-30,23.0,23.04,21.82,21.91,2432333
2020-11-27,23.56,23.77,23.16,23.28,702300
2020-11-25,23.64,23.64,22.99,23.56,1877400
2020-11-24,22.72,23.78,22.62,23.67,1824400
2020-11-23,21.73,22.32,21.73,22.19,2295201
2020-11-20,21.99,22.27,21.4,21.46,2033800
2020-11-19,22.05,22.21,21.47,22.03,1592000
2020-11-18,22.08,23.24,21.978,22.29,2838116
2020-11-17,21.6,22.17,21.14,22.05,2419500
2020-11-16,21.41,22.205,20.78,21.5,3063464
2020-11-13,20.46,21.15,20.35,20.5,2777918
2020-11-12,20.69,20.84,20.06,20.28,3535100
2020-11-11,21.15,21.37,20.51,21.02,3470500
2020-11-10,19.65,21.17,19.55,21.06,4165900
2020-11-09,19.09,20.93,18.9,19.54,4783207
2020-11-06,20.24,20.4,18.03,18.11,4826800
2020-11-05,19.44,19.94,19.41,19.58,4094200
2020-11-04,19.67,19.86,18.96,19.07,1945200
2020-11-03,19.33,19.9,19.21,19.53,2001900
2020-11-02,18.65,19.22,18.38,18.96,2194522
2020-10-30,18.1,18.44,17.59,18.42,2875700
2020-10-29,17.5,18.45,17.36,18.25,2895000
2020-10-28,17.3,17.94,16.88,17.64,3335600
2020-10-27,18.665,18.89,17.81,17.85,1551304
2020-10-26,19.36,19.455,18.38,18.64,2235451
2020-10-23,20.08,20.1535,19.52,19.85,974164
2020-10-22,19.9,20.07,19.5,19.94,1170200
2020-10-21,19.99,20.15,19.65,19.84,1125400
2020-10-20,20.06,20.44,19.89,20.01,1492800
2020-10-19,20.59,20.77,19.79,19.89,1762635
2020-10-16,20.29,20.82,20.13,20.59,1684600
2020-10-15,19.6,20.21,19.44,20.18,1734400
2020-10-14,20.32,21.01,19.96,19.97,1976895
2020-10-13,20.07,20.48,20.0,20.2,1966825
2020-10-12,20.07,20.195,19.81,20.18,1611146
2020-10-09,20.3,20.365,19.97,20.05,1962821
2020-10-08,18.41,20.175,18.41,19.98,3523649
2020-10-07,18.01,18.45,17.99,18.44,2029200
2020-10-06,18.92,19.2,17.81,17.89,1807900
2020-10-05,18.75,18.88,18.41,18.71,1325965
2020-10-02,18.09,18.595,17.85,18.36,2365378
2020-10-01,18.11,18.82,18.04,18.81,2419301
2020-09-30,17.79,18.37,17.74,17.85,3471200
2020-09-29,17.025,17.865,16.91,17.7,2998222
2020-09-28,16.82,17.34,16.6,17.09,2702654
2020-09-25,16.0,16.45,15.82,16.32,3326719
2020-09-24,15.99,16.375,15.64,16.19,3270271
2020-09-23,17.13,17.3892,16.27,16.28,2607213
2020-09-22,17.44,17.54,16.575,17.12,2630006
2020-09-21,17.91,17.99,17.23,17.32,2574516
2020-09-18,18.67,18.7,18.07,18.46,3339880
2020-09-17,19.01,19.09,18.645,18.86,2078766
2020-09-16,19.8,19.91,19.35,19.42,3006564
2020-09-15,20.23,20.27,19.53,19.55,1554497
2020-09-14,19.85,20.26,19.7,20.19,1815291
2020-09-11,19.59,19.65,19.26,19.55,1632533
2020-09-10,20.46,20.56,19.42,19.58,2102417
2020-09-09,20.18,20.2225,19.3,20.09,1916000
2020-09-08,20.16,20.64,19.92,19.97,2338826
2020-09-04,21.24,21.44,20.21,20.65,3337686
2020-09-03,22.57,22.7,21.16,21.36,3669564
2020-09-02,20.13,22.43,19.96,22.36,7614119
2020-09-01,19.8,20.06,19.58,20.04,1527218
2020-08-31,20.41,20.41,19.94,19.98,2125875
2020-08-28,19.82,20.59,19.79,20.57,1857045
2020-08-27,19.5,19.84,19.31,19.77,1726603
2020-08-26,19.51,19.64,19.02,19.465,1605235
2020-08-25,19.1303,19.31,18.78,19.21,1416418
2020-08-24,18.765,19.06,18.29,18.94,1800931
2020-08-21,19.12,19.22,18.5501,18.68,1239830
2020-08-20,19.39,19.64,19.12,19.13,1288103
2020-08-19,19.35,19.9,19.35,19.71,1597741
2020-08-18,20.07,20.12,19.28,19.36,1705582
2020-08-17,20.49,20.96,20.12,20.16,1982055
2020-08-14,19.53,20.7175,19.42,20.42,2299396
2020-08-13,19.355,19.86,19.27,19.65,1922113
2020-08-12,20.015,20.205,19.56,19.58,2871013
2020-08-11,20.72,21.19,20.01,20.03,3211285
2020-08-10,19.92,20.48,19.89,20.27,3226593
2020-08-07,18.9,20.64,18.835,19.89,5335895
2020-08-06,18.2,18.86,18.04,18.7,2466254
2020-08-05,18.45,18.7401,18.31,18.47,1833413
2020-08-04,18.3,18.4987,18.0426,18.24,2172801
2020-08-03,17.84,18.71,17.58,18.16,11920538
2020-07-31,17.62,17.99,17.35,17.91,1690902
2020-07-30,17.25,17.86,16.8,17.77,1641232
2020-07-29,16.96,17.89,16.92,17.8,1632260
2020-07-28,17.14,17.37,16.92,16.93,1413946
2020-07-27,17.09,17.2,16.71,17.13,1597821
2020-07-24,17.5,17.71,17.062,17.15,1813333
2020-07-23,17.22,17.79,17.165,17.54,1654013
2020-07-22,16.915,17.44,16.82,17.29,1373259
2020-07-21,17.18,17.61,17.035,17.1,2049318
2020-07-20,16.66,17.02,16.43,16.9,1572854
2020-07-17,16.66,16.96,16.55,16.81,1126223
2020-07-16,16.13,16.94,15.97,16.65,496484
2020-07-15,15.725,16.49,15.725,16.42,320721
2020-07-14,15.325,15.48,15.075,15.41,250390
2020-07-13,15.65,16.01,15.44,15.51,322953
2020-07-10,15.04,15.555,14.93,15.49,230268
2020-07-09,15.34,15.37,14.73,15.16,145409
2020-07-08,15.26,15.54,15.005,15.47,202248
2020-07-07,15.09,15.795,14.95,15.29,784363
2020-07-06,16.525,16.58,15.0811,15.28,1027777
2020-07-02,16.81,17.05,16.095,16.14,503163
2020-07-01,16.45,16.87,15.62,16.14,12571442
2020-06-30,15.99,16.59,15.87,16.5,3418400
2020-06-29,15.57,16.09,15.22,16.08,3397409
2020-06-26,15.74,15.79,15.11,15.48,5439800
2020-06-25,14.92,15.98,14.82,15.92,1234735
2020-06-24,15.755,15.789,14.94,15.05,939237
2020-06-23,15.59,16.29,15.59,16.2413,1167208
2020-06-22,15.35,15.585,14.865,15.5,839808
2020-06-19,16.05,16.42,15.41,15.44,810076
2020-06-18,15.72,16.07,15.25,15.66,748176
2020-06-17,16.26,16.39,15.66,15.81,690674
2020-06-16,17.34,17.4898,15.9,16.22,1166858
2020-06-15,15.37,16.575,14.94,16.39,883651
2020-06-12,15.83,16.4,15.3,16.265,1062573
2020-06-11,15.52,15.82,14.76,14.775,1379725
2020-06-10,18.05,18.18,16.93,16.94,1432302
2020-06-09,18.99,18.99,17.91,18.13,1068534
2020-06-08,19.14,19.67,18.65,19.55,1070247
2020-06-05,19.21,19.46,17.9,18.0,5945700
2020-06-04,17.65,18.15,17.13,17.6,5535700
2020-06-03,16.92,17.93,16.82,17.85,9362300
2020-06-02,15.0,16.28,14.97,16.16,9025700
2020-06-01,14.3,14.81,14.02,14.76,9541400
2020-05-29,14.95,15.35,14.0,14.21,29835400
2020-05-28,17.6,17.65,16.33,16.57,6427700
2020-05-27,17.23,17.73,16.31,17.68,5838000
2020-05-26,16.59,16.67,16.2,16.36,5131200
2020-05-22,15.95,15.98,15.06,15.48,5049200
2020-05-21,16.84,16.93,15.81,15.85,2842400
2020-05-20,16.51,17.23,16.48,16.98,4629700
2020-05-19,16.51,16.73,15.78,16.16,2477300
